veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
Non-Veteran,B,70.35948629759473,50.89377112604851,-16.058774156715067,A,B,-52.87583521648626,A,D,A,B,136.60140110491895,E,1
No,E,-116.71500290043495,-114.32847357622352,23.608224995448488,D,D,155.32947675363312,A,D,C,B,4.246752472894165,C,0
No,D,3.1134039392616772,-10.887849609129496,-80.20287403994523,A,E,30.626027891820485,D,C,D,B,-53.8893180156632,B,0
Veteran,B,-113.05649869234757,17.474385491443336,-115.85426183243419,E,E,-3.096320259586401,B,E,B,E,-5.5946766593013635,A,1
Veteran,D,22.166283300238902,-87.18788428044874,134.57854517246213,E,B,10.860776177421439,D,B,E,C,221.65419535033885,E,1
Veteran,E,25.634085757820213,-82.37916847377885,-31.846922221809226,C,D,22.54055325889019,E,C,D,C,69.70750580510435,E,0
Non-Veteran,B,-67.90769924759796,56.710458989396116,-41.748455000478806,B,A,48.42277494354622,D,B,A,B,141.46073106713052,E,0
Veteran,A,54.1009009687088,67.48808469771983,-84.97341940428662,B,B,22.287951285404176,C,D,C,C,140.6853011972065,A,1
Non-Veteran,A,-140.9290464698789,-100.26005523150955,-27.96606242382148,A,A,15.202806984193076,E,C,B,D,-116.47461152971765,B,1
Yes,A,15.96783264494735,90.57845737279384,117.03444193225654,E,A,88.14929321543232,A,E,E,A,-109.16770705227019,E,0
No,C,106.73938597484111,-55.370595452494484,-11.321162992536824,B,B,-8.754400032257752,E,D,D,B,-283.7290895245458,D,1
Non-Veteran,D,-188.41863808399086,110.87709293001147,-113.20974436761963,C,C,40.59107341375462,E,C,E,A,-149.6983952296534,D,0
Veteran,C,22.30120805935392,30.927866004370426,204.13753511917977,A,D,93.61289542224124,A,D,B,A,-92.00055888206647,D,0
No,C,-95.63521775081747,86.7258622513852,-84.76719136142545,A,D,11.49255958960403,C,D,A,A,-49.62883516847205,C,1
Yes,E,74.54850176620383,-11.051237452057546,-79.96735019975156,A,C,139.08839502364492,E,D,A,E,36.10357325792521,A,1
No,A,24.968924891958736,96.63328483256376,77.03537232989665,C,D,69.00354083678299,D,B,A,C,73.86454129506701,A,1
Yes,E,71.24574170276539,175.38365340059727,23.75354002323199,E,E,51.037319954254215,B,B,C,C,-61.66119218000789,A,1
Yes,D,58.253286537173935,20.410897259380917,180.3799594086471,A,E,-30.383360521735735,C,A,B,D,-160.52173548168457,C,1
Yes,E,-43.93055295379958,-3.8660446310132475,17.039828677231558,C,A,31.12048689105611,B,D,C,E,-44.47431380090304,D,0
Yes,C,83.21818924516619,-49.26099108724395,15.261796706381258,B,A,-142.58355368077056,C,C,D,B,30.191241559806535,E,1
No,C,158.91169512374418,-15.228992919537834,129.29153732266622,D,C,3.3232012547752015,B,C,C,C,-17.078268743184367,E,1
Veteran,D,3.151778254927741,153.1974421323207,244.8318190431388,E,D,131.63276989289088,D,D,E,A,188.57721829331794,D,1
Veteran,A,269.8307027828152,108.56154349098905,30.39972588460525,C,E,-187.88500817404196,A,A,E,C,-53.40676009460059,B,0
Yes,E,131.18638098067535,-32.497701148467556,-120.38018281617182,B,C,36.13277484465572,A,C,E,E,-36.02941924159768,E,0
Veteran,E,11.31481612622047,93.48121841570858,91.97945992475154,B,E,84.71983441898547,B,D,A,D,-103.44147562182597,C,0
Non-Veteran,C,-126.50554192090891,-194.1334750644305,74.51208017159456,A,C,-27.909144437754048,C,B,B,D,-76.33281531143949,E,0
No,C,120.87634387690312,-95.12326808677538,267.6886471926788,D,C,58.90223640951863,D,D,A,B,-157.9509201354588,D,1
Yes,D,-121.92173250651297,-30.9859323850688,53.79117268909886,C,C,51.478967008388665,E,C,D,A,-88.85965775185214,D,0
Veteran,A,62.8844318404017,-23.34399799420579,-99.89548891558599,B,C,158.66544183421928,D,B,B,B,9.901770548777119,D,0
No,E,77.01442691579199,-87.42311556881015,-126.41998327686717,C,C,127.6622031720364,D,E,D,D,-175.35054852099287,D,0
No,B,-27.487550390768245,15.005622190926635,32.716461932194434,B,D,84.99055058827986,D,D,E,E,127.20498612160031,C,1
Veteran,C,-3.389051118116003,-28.57521870521677,-18.55087020111309,E,A,36.25516455828943,D,A,B,D,35.470667083362166,A,0
No,C,74.52549621943618,74.57249227194285,61.80532492188083,E,D,81.91163519039092,D,B,D,D,-131.56141173474273,E,1
Non-Veteran,D,-22.727360652468214,-79.9961855583372,33.98376219413407,E,C,64.28073918342618,D,C,B,A,71.14891525033569,C,0
No,E,84.45047389305722,-28.369231825574865,-114.53135444708364,D,C,94.35599867893515,C,E,C,C,44.28548966051222,A,0
Veteran,B,105.3394880757796,69.38053563339761,-130.18686955524618,C,E,64.0936955610496,E,D,A,A,58.51727765702114,B,1
No,D,-52.80326414044697,13.748296426076623,39.35642210033162,A,B,-89.58770683263589,D,E,D,A,-94.12181239783288,A,1
Non-Veteran,D,26.878934554088207,-69.2491855529616,-26.31604332785094,C,A,143.23056728565,D,C,A,A,75.34054083215425,D,0
No,B,111.1333337518064,106.61403097439116,-160.84838109111348,A,C,71.03898782063666,E,B,B,C,-28.099154843183495,A,0
No,B,-8.831689504391475,79.64482363800774,-67.0421223434099,C,E,-79.29411263111255,E,D,C,E,-75.53819778939769,B,0
Yes,B,-49.950526337732455,84.03440518053382,37.071626618134026,C,E,-61.4896172207134,A,A,E,A,52.9068555316628,E,1
Veteran,C,-90.41034342034351,85.86326876019864,32.82190437418711,C,E,12.098044096271542,A,E,B,B,-71.90244743932276,B,1
Yes,E,-81.04989891981091,-77.97733397998256,-77.9216406245089,C,C,8.244011856420764,A,C,A,A,71.09217263018648,E,0
Veteran,A,11.725392699906175,53.90024172770927,-31.218995635880102,C,B,26.765420218899283,E,C,B,E,-84.27997729341052,A,0
No,D,-177.30738448738518,-22.43609594872468,17.370269494671295,D,B,17.570254645055506,C,D,D,C,-7.080165235910947,D,0
No,B,-48.981519181416054,78.48016730019467,150.7526530112336,B,B,-31.36644324458234,B,C,D,C,-63.57400878091999,A,0
No,B,-77.206583544907,120.1157544008459,-21.34092245087426,C,C,-49.64656270526103,C,A,D,A,-45.97190226906565,C,1
Veteran,D,60.567823248266706,-34.777377070714934,-124.63847345715466,C,E,-15.468066474211145,D,E,D,D,-21.49718757773144,A,1
