Race,age_range,gender,feature_0,feature_1,feature_2,feature_3,feature_4,target
Asian,26-35,M,-150.65076814979136,90.87994031450464,-93.13648364519224,-102.89120701246294,A,0
Hispanic,65+,Non-binary,-115.31614917465724,-217.2143853038648,62.26978146622992,85.81031472021272,D,1
Hispanic,18-25,M,-0.942012040108144,-96.38792790788453,-42.544207099938106,62.974938095512854,B,1
Other,36-50,Other,-70.06376618739701,185.31313934420655,-84.19207184969098,115.6139552572927,D,0
White,51-65,Female,146.31975931689013,-133.22125239443886,63.458590064182964,43.11889110982774,B,1
Asian,26-35,Male,36.816313321155626,-157.9365739505186,155.50842920392824,3.033113610008756,B,0
Hispanic,18-25,M,67.54859479185957,-65.08231185371845,-48.683207380777446,-113.16378510727357,D,0
Other,26-35,Female,-55.20872302040354,175.81686719680093,-28.47585262432836,-188.2222466827109,A,0
Hispanic,26-35,Non-binary,-194.60362302441106,-76.75425418434786,-125.98899366852353,204.5780792968063,C,1
Hispanic,36-50,Non-binary,-28.105225363434478,119.97474803073938,-176.24289769534664,-160.22270022586324,C,1
Black,26-35,F,-79.83159104194833,168.87947769912722,-67.54422614648419,125.47865010533026,C,1
African American,36-50,F,148.98808883926125,-50.8013253634919,51.555023883207795,5.030201622053645,D,1
Hispanic,18-25,Female,39.239813646974504,168.7432409881159,-111.70268061874538,64.44086495268323,D,1
Black,26-35,Male,-80.91034840785437,22.012189668753265,-8.124152922540771,35.49664308557537,B,0
Black,36-50,Female,-83.51903630000596,159.008823578673,-78.23852427692202,54.33224359597254,B,0
White,51-65,Non-binary,150.1426651402433,125.36813762007861,38.273992534577616,-115.28822415500557,A,1
Black,18-25,Other,-111.45488983253749,-7.256427247003392,24.575838716360458,-29.62351983900803,A,1
White,36-50,Other,51.882888140442915,14.800902803904972,140.443961489454,-165.1723985996451,A,1
African American,26-35,F,124.06441535089165,149.9428207782253,-136.27782693693115,-39.13660380714957,D,1
Black,36-50,Female,80.54128066750016,81.78038620520486,140.1732107309089,37.134230252074964,E,0
Black,36-50,Male,-194.42742892218408,-36.14391367837487,-58.90829128959635,-137.19914342373139,B,0
Other,51-65,Other,76.54497427080076,91.95365765300457,55.30474034561475,-56.08921943154655,B,0
Other,18-25,Other,-12.811639916741063,41.75841720472953,-107.09452076009758,-110.60248765049164,B,0
Other,36-50,M,10.862130250494161,-112.60034256880623,-97.63649493267575,-130.13598132920293,A,1
Black,26-35,Other,-132.91779883020348,-0.4376325426700387,2.8753177585026912,42.253814928982024,B,1
African American,26-35,Other,-159.07564551238121,29.46068077546059,-3.707266105829954,51.45206687123949,A,0
Hispanic,51-65,Male,-31.007616717121312,-43.1279695037995,-65.92304424658758,116.13345602563076,A,0
White,36-50,Male,64.47042040037606,82.08381880727701,24.805810227375922,49.21619795047583,B,0
White,26-35,Non-binary,64.31601252983798,-30.35004089472364,49.08112728331948,67.87176883474501,E,1
White,26-35,Male,6.674478334572552,45.55220807609418,-150.51150741891044,139.7542544669629,B,0
Other,51-65,Other,-8.193866262033076,-55.91951180380479,19.423103094189205,127.25030560453683,E,1
Black,51-65,F,93.57768834078695,138.98330178825015,126.86294790843822,55.45949395962118,B,1
Black,36-50,Other,-16.26162384885029,75.05984382097142,-78.28864168323526,214.94951093099547,D,0
Asian,65+,F,-3.9991779981656435,-41.0091949168368,167.14926089321878,-139.45014678360113,A,0
White,51-65,Non-binary,-138.929332962329,-63.09004358781055,175.06339576583366,-110.57487133860768,E,1
Black,26-35,Male,-59.959419034712994,211.0352176215125,-116.02415714056546,-83.8077937874577,E,1
African American,18-25,Non-binary,113.80576804338844,-36.59592834326921,54.71363674299221,-176.77522320190488,C,1
Hispanic,65+,Other,-51.91674863499502,-31.032698620112885,0.6421124903786081,158.2717023706483,B,0
African American,51-65,M,-35.61381067353216,47.93682846098719,-15.670505018664398,-93.94779313240255,B,0
Asian,36-50,Male,57.329674285767936,-38.76741853441541,13.56135136818489,56.82780119735571,D,1
