Gender,age_range,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
Female,26-35,D,-38.52104775855197,-225.48098661866933,C,-130.6045749563111,-186.14294635337538,A,-48.14774713002744,0
Female,51-65,E,-71.79750513812438,-41.526385098912556,C,34.490243769982925,14.95525301404844,A,-14.00521469993995,0
F,26-35,C,-47.87692915104053,-40.69858298791372,A,-13.116806913803439,1.8195215970196181,B,-14.34885091247132,1
Male,36-50,C,-50.54375552039014,-62.74003796048804,C,176.02968352081066,-20.775307759295277,D,149.3192561023038,0
F,26-35,A,73.5843605003581,119.33760573690999,A,-32.70641847160203,-192.50649884604144,B,190.9797493116627,1
M,18-25,C,76.37934207855666,80.67714654981027,E,-26.57501853200155,55.149114287466936,B,268.08007455384916,1
Male,26-35,A,252.46558657176044,-32.780613630294276,C,153.3877064528492,121.55580998978772,B,68.03121295617444,1
Non-binary,18-25,D,53.22891282849015,37.55958753528266,D,-38.894899239436604,168.6672878253834,C,28.165388277371132,0
Male,65+,C,36.86363529416342,-82.38532172173785,C,251.13348997455253,-53.18226655586129,A,-109.80282761896005,0
M,18-25,C,-144.61205663094708,67.38574302275818,C,163.68585656800047,12.929710446623519,A,17.066352858071724,1
M,18-25,D,-50.05517917985617,99.32072749662152,C,-276.22132589220325,63.78117529578448,E,-66.5592326729861,1
Female,26-35,D,-58.354029491424576,-52.70223221569677,B,192.44876162352452,-201.50934186332643,B,143.27973351950376,1
Non-binary,36-50,C,-10.942076941042135,-95.45862094901794,A,155.0041016877652,-3.495417472029606,A,-97.62351651578857,1
Female,26-35,D,-62.131832547036026,20.892789700328827,A,-34.79070386257705,12.542241210898641,E,162.80256743756556,1
Male,36-50,E,82.24346766358917,161.56129919821188,C,-50.44061815683288,35.74743346004343,C,-228.91328806844635,0
M,36-50,D,133.41088707543392,213.21195285319425,A,-39.776994275735575,-62.17554886641628,C,-184.25340801914473,0
Female,18-25,D,-84.2092559273951,190.5260250048506,B,76.9897792435352,-24.912744856975838,B,-36.23184614260082,1
F,18-25,B,-22.1499158993171,0.8437863172158564,D,-63.6937661186901,144.50718076565937,E,58.625952858279064,0
Male,65+,E,115.2346912670693,-185.27335068999318,B,-34.35474157523324,41.844975425105794,D,15.847333715267936,0
M,26-35,E,130.2334457283884,35.83715413241528,A,61.217439923689575,-73.88577705904636,A,-211.6129682715738,0
Female,26-35,D,-37.20157980706921,-12.646364469889832,B,230.35376697607052,-10.420357113123952,B,20.5511547671046,0
Non-binary,26-35,A,-22.6962606655942,-90.83531346968188,A,-99.92299569555442,241.98020007056994,B,-44.81689547493482,1
Female,18-25,E,-24.396962253664295,-18.377325619743615,C,-76.70727363721721,71.39916422794055,A,-43.77980211538102,1
Male,26-35,D,-135.7555724644204,76.91029820626204,B,51.5094250359606,-131.6283863585725,B,125.98487059696201,0
Non-binary,65+,B,-47.474178212429216,15.697204577802898,A,102.7855592230064,-57.10343852584151,C,-70.20661558507369,1
Other,26-35,A,-149.3156287394219,-216.27110818492525,C,121.78224837712375,-48.10460391969886,D,-174.27159155822295,1
Male,26-35,A,106.43390211815289,4.240210495608884,B,44.306160202678925,130.5538169050654,D,-87.13143146097983,0
Male,51-65,C,-41.5087550625251,-197.38289541600537,B,6.50450900825521,-33.56895210147056,D,-74.43834316434639,0
Non-binary,51-65,A,150.8829239466555,-18.294171726392374,B,132.40535721336565,200.3453190228365,A,-139.6014472289392,1
M,18-25,D,111.28145157033778,-27.281711470476694,D,-41.389096058819746,-61.20314221348679,D,132.72747364535064,1
Other,65+,D,124.82273943232379,70.34866454334683,E,-107.37903023183317,-74.3122560865373,A,92.09401004307121,1
F,65+,E,38.161728839380714,-130.13957151392032,C,-191.65265895002727,68.7089667172975,C,13.878539137621207,0
Female,36-50,C,-65.72049201520109,29.229838439981076,C,-31.783197934992458,-25.204340362590916,C,-50.89666914371064,0
Other,18-25,B,11.631037274577318,-18.696191097127254,E,18.332100839941322,47.364753172290506,A,-66.75336651676808,1
Female,36-50,C,2.08058096210837,108.5940520709908,A,164.79866964058138,167.4481924403257,E,-7.108822528106747,0
Non-binary,51-65,A,-141.2158026126283,-127.85498816469752,E,74.51198564475398,-224.81649572099735,B,225.5311025694389,0
Other,18-25,A,9.633685375211185,-174.1823549851994,B,24.514350883706225,14.332633314927424,B,27.34024122432715,1
