Veteran,nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Veteran,US,B,-82.01743835163722,-55.53524955602579,29.21999609618669,A,A,D,B,E,D,-126.10399876347678,D,51.51771552457962,C,C,-125.8774730551484,1
Veteran,Germany,C,62.84138922412805,-21.897541037363332,163.7844127593723,D,C,C,D,C,B,197.12460248652008,D,51.754886091065735,D,A,-150.58453826998118,1
Veteran,UK,C,-2.184786486025117,45.642442640256874,-29.166958802655635,D,B,B,B,D,D,-96.02284723997128,E,-14.098438774452635,C,C,-226.16323777208166,1
Veteran,Mexico,C,-188.2909579214592,61.98135649764978,9.56536551857024,E,B,E,B,A,D,96.79428689402019,A,-63.97900425124008,E,E,200.59340998840617,1
No,India,C,-74.58580156895303,128.09903840121385,13.521518163590093,C,D,D,B,C,A,-103.13787807352219,E,64.78711301834355,E,E,26.113806775816457,1
Yes,Mexico,D,7.771633452629158,19.469574041452532,166.79223379825314,B,A,D,E,A,D,6.069173523889862,B,32.64339877304073,B,E,158.98521216660504,0
Yes,Mexico,C,-116.71470216816982,104.40362312041884,161.5085062398284,C,E,D,B,D,B,-132.1755192060755,A,-87.55922002040444,A,E,1.7857383689193045,1
No,China,E,16.7817223132725,69.55980294865192,42.65435413044493,A,E,B,E,B,C,96.6768785720731,C,-42.83170896246944,D,C,-147.73704827673743,1
No,India,C,-76.4829824758802,-19.13678942327543,132.6053736826823,D,C,A,E,A,C,-82.60358267644703,A,-107.63538622195934,E,C,-18.78059677138032,0
Non-Veteran,Other,E,-29.680583291475397,154.45649025497795,-74.6160845361623,C,B,E,E,A,B,-66.44747924617775,A,71.56088953275572,E,B,-35.522155711270756,1
Veteran,Other,A,2.4770775099578564,81.57727229800851,-1.3980012257014618,E,D,D,B,C,C,-36.39601523866787,B,-54.056152601891924,B,B,-73.09173380066504,0
Non-Veteran,Brazil,E,164.96976874315072,33.20154946755199,97.56934024472291,D,E,D,B,D,E,-54.515275539884215,C,-39.687610498134724,C,B,43.178502797197574,1
Non-Veteran,Other,E,-45.585568695734736,-137.60090291814134,110.04592418597059,C,E,B,D,A,E,106.8819138662239,C,123.95704335624826,C,C,-12.444542494896165,1
Veteran,Brazil,E,51.92629420057315,42.34217811613328,-6.098822431460673,D,E,D,E,B,C,-136.04626247047443,C,55.06738211266232,A,D,-67.92711251232052,0
No,US,C,-122.58855059800251,-57.44051930822243,30.517539850602247,C,D,A,A,A,A,-9.593734996475412,C,56.092583716152944,E,B,89.98506454126313,0
Veteran,India,D,63.32726258932587,177.7769472484272,-19.843517365166846,C,A,A,B,C,D,-193.41221351927695,A,5.872236625329165,D,B,-88.7347233755244,0
Non-Veteran,Mexico,D,-173.49560497867944,84.98911675085836,-16.509992713941745,A,C,B,A,D,C,164.59945491986414,D,-17.163721487401205,B,E,-106.66025680556407,1
Veteran,UK,B,-90.21637319692833,21.94769377882252,-201.40886950452494,A,C,B,A,B,A,-128.0256793266362,C,4.585812188625345,B,D,190.3069897677247,1
No,Mexico,C,65.36860355834769,65.84674219870111,30.60721909551446,E,D,C,B,C,E,-23.168021004212452,B,121.12826182067249,C,A,-138.20834168654187,0
Yes,US,C,-63.98782341243026,-24.21982233376904,-198.41426591010372,E,A,D,A,D,B,-37.758248927239826,D,-199.6764268179001,D,E,-28.784355502378805,0
Yes,Germany,D,18.78876423301602,-153.93655053031952,27.05616986920967,C,C,B,A,D,A,3.46554303162104,A,-29.02471485921032,A,B,66.25003967253787,1
No,Mexico,C,-266.71037847620147,-96.83593618696162,-205.2969792100153,A,E,B,E,C,D,46.859779079050334,C,102.98410780189955,C,C,-4.858218039975464,1
Yes,Other,C,-34.76775873501974,57.14947934261186,91.41170940432646,E,A,C,B,D,A,-21.659905314702357,B,158.4168193638027,D,B,0.7145034905942785,1
Non-Veteran,Other,B,163.6163638271754,-63.03467383947089,25.432331369591342,A,A,D,D,A,B,-185.2636182770262,E,156.39252702008025,B,B,79.01809738830389,1
No,UK,E,-130.78357286809177,83.60258246469442,-98.36953502908436,B,A,C,D,A,E,-143.31446238124,D,4.474402927199481,E,E,-67.20897413270345,1
Veteran,Other,B,-41.71959276657331,208.89137648773115,-72.9577234972034,B,D,C,E,D,E,198.42567037343602,B,133.2782757310723,E,A,142.87281049260932,1
No,UK,C,67.99806264855917,29.364181484875846,-11.175435111540514,E,A,D,B,E,B,-74.69714097687451,D,-25.137193335152247,E,D,157.13134375170046,1
Non-Veteran,UK,E,226.369313530319,-157.97974282363052,58.62153428768837,C,C,E,D,D,E,65.33456467676262,C,-18.509751480230538,A,B,-260.02099946130073,0
Non-Veteran,China,A,209.56358417676722,-40.95986185096314,46.77455187609106,A,B,E,C,D,B,-40.88620608580985,C,105.20739816605062,E,E,-81.45031565627055,0
Veteran,US,C,-35.929152347246834,-183.36060058071993,44.321258797833195,C,E,D,C,C,A,8.978910761647645,E,25.83164542528737,A,D,180.35593478527346,0
No,UK,E,-19.515895388765625,10.508639193091815,75.04395865685652,E,D,B,E,C,B,-104.02527050604449,B,-154.24837923867247,B,A,-16.740048555717372,1
Non-Veteran,Mexico,E,-63.36583234256984,53.535578281369055,-37.0838114934771,A,D,D,E,E,D,83.24168293464899,B,-14.020481480231867,E,B,-70.8746845741038,0
No,Germany,D,-55.46535736205082,20.002239121866864,-34.03256362436666,E,E,C,E,E,C,88.42516028623795,B,-24.029274756865604,C,C,28.5145703715879,1
Non-Veteran,UK,C,14.486035372247125,-121.48152078938634,-40.55569421367806,A,B,C,C,B,C,76.22124753825253,A,35.71967336948357,C,D,52.67838341141373,0
Yes,China,C,48.97841697721557,-193.21781712725274,-41.423701720776926,D,D,A,A,B,D,38.66457140467466,C,-64.36275771157139,B,A,-54.97340389973567,1
