country,Disability,Religion,Age,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
Germany,None,None,20,49.091187498449585,98.39147877655759,63.0630578141211,E,-137.29425831397603,65.51498292921299,D,-72.64570431906394,-33.4889138381696,-77.40364750528137,A,E,A,E,-80.16768814258606,1
India,None,None,98,-141.06312088403524,53.98632049271254,179.13652691401518,E,95.34304594233201,133.97367605998156,B,52.2250600811726,-103.13860727087206,-95.18948605776515,D,A,E,D,44.75042281624144,1
Other,Both,Christian,31,78.84098878459618,114.3359529947885,-58.41757659008875,E,43.843742255948534,-25.021150873537483,B,29.514872668593696,-183.5861298484164,130.33756593909936,E,C,B,A,37.003356400525604,0
China,Both,Jewish,19,81.66408777660376,-3.8360465826764654,-66.11022361298214,E,-107.51039348810984,134.2522048291355,D,-15.642024423049076,-28.275464164117142,-36.540904175536205,B,D,E,C,36.40891362104405,1
China,Both,None,61,-182.2913285608151,-64.98242379445894,78.23589976607879,E,-33.26669850625849,-200.23037455668867,D,69.77119437541302,68.33182096597167,54.993209331784655,C,D,D,D,-39.27914741472042,1
Other,No,Buddhist,29,18.946216667268008,-258.54195457318883,-23.2378523924405,E,2.2420143727079354,-17.43310626509397,D,6.820373724816076,54.64975824482126,-15.680383958551133,C,D,A,C,125.92823815327192,1
US,None,Buddhist,95,199.12845642832426,-25.841649630410483,60.425900242949524,A,154.47784240844976,-105.76577127761988,E,-271.7782641558556,-40.91700015652399,-61.04185252262367,A,B,B,A,-44.27713838895061,0
Other,No,Hindu,91,129.02238866992178,-12.338757743201127,-49.65721995888978,D,-34.071609700119545,128.8947828773964,E,6.0285635551794226,-194.53186086326141,27.03082984443368,E,B,C,C,-17.475027046567142,1
Mexico,Both,Buddhist,24,218.6287743632074,-81.02098789421717,-2.709745402013147,A,-74.84743699483332,199.06202367608356,A,123.78924253741926,89.48151154217801,119.05913091069087,B,A,D,B,0.368844530572375,0
US,Yes,Christian,19,51.6096809762279,-135.10807320372015,123.38695907708355,E,96.85085111071072,-49.73501144079439,A,35.4788731854775,99.9574446483045,206.3912020858487,C,D,C,A,24.967285082443357,1
Germany,Yes,Muslim,39,6.01542488213241,20.917453961342108,-27.878844774347495,B,142.60801367588428,25.15795556680689,D,-103.0941381786745,-216.94587641399954,-71.42161876643802,B,C,C,C,39.839792342422,1
India,None,Hindu,37,-231.44900068223006,-53.75570671212473,-93.48978768069337,B,95.62490312526444,-57.454869173289104,D,-164.29294245477882,-22.286374398978996,71.49228059017442,A,A,B,B,106.60700283193869,1
Mexico,None,Muslim,31,-151.59893297180955,87.51612396170191,69.3332779165343,E,139.05719556027185,-8.158133969131919,C,-158.80553573433852,2.8421335806450725,-49.87890375375394,E,E,D,C,123.21560840040378,1
Germany,Mental,None,56,76.14769124726533,-200.9340851579723,-87.96783880725769,D,-101.68252131233213,-18.851678517009198,C,28.66209843024369,25.442039163054826,-95.24816535858733,A,E,B,B,-18.49679255965231,0
Mexico,Mental,Jewish,78,40.1490087730811,-70.84315827247293,2.204474454941122,D,136.4936597893685,14.440242088610294,A,151.3505624633644,87.72630734622238,87.84713156921643,C,B,B,B,62.783553498208576,0
India,None,Other,74,-66.05822023304849,33.28394531408328,-45.422716354960755,C,-71.66128289221592,-13.149038542211148,B,112.25259759580139,158.0742122857169,121.6677756261991,C,E,B,E,-12.321973806550307,0
US,Yes,Buddhist,41,68.44856365190057,14.250200663337367,-206.4758245569659,B,0.21582065014439272,-2.088225849007286,D,-1.0783360372302946,-88.37102472138642,-32.985190518689436,B,E,B,C,128.2699246505246,1
