handicap,RACE,sexuality,veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Both,Asian,Homosexual,Veteran,D,73.83800022162173,D,101.0793272701691,B,D,-11.051388241276562,-148.5741577584512,E,1
Mental,Other,Homosexual,Yes,D,-51.83883754376504,A,83.86681961332914,D,C,-32.876192726062385,82.82998473007572,A,1
Yes,African American,Homosexual,Non-Veteran,A,64.60445409314731,B,90.88077993426278,E,C,229.87710931530634,-10.994401733197998,B,0
Physical,African American,Homosexual,No,D,-28.502933776506712,A,155.8027617917559,E,E,94.61712740431575,75.26310786762454,E,0
Yes,Other,Bisexual,Veteran,B,30.899604368109458,C,-32.25172567742726,E,B,101.35846317225403,-98.92181321464945,B,0
None,Asian,Bisexual,Non-Veteran,B,-133.7907323863281,C,71.42832385012777,A,A,-144.51680344903892,11.527048393519337,C,0
Physical,White,Heterosexual,Yes,C,-134.20488170964384,D,209.35990639772362,D,B,-64.1703564453446,-4.538610219437142,A,0
Physical,African American,Homosexual,Non-Veteran,E,9.016157360679689,B,116.55982642629523,D,D,12.230656228447812,-111.57905247119126,A,1
Both,African American,Heterosexual,Veteran,B,-46.97510061488944,E,-178.98316351098188,A,E,56.57844412758275,18.184432001777097,D,0
Mental,Black,Heterosexual,No,A,-228.76006774791074,B,17.495039032204545,C,D,-71.39585393546452,118.92962055767711,D,1
Both,Black,Bisexual,Veteran,D,7.097144320855958,B,317.2164667838598,A,E,14.386969082923626,-29.13604180866799,C,1
Physical,Other,Homosexual,Yes,E,-97.04088694193618,A,-102.99235333915556,E,A,-120.64946697864283,-20.275974376095732,A,0
None,White,Other,Non-Veteran,D,88.35061478164296,A,-9.241395609418952,C,E,-19.198605950198694,39.65911527326531,C,0
Physical,Asian,Bisexual,Yes,B,-23.399821990114663,A,88.79976170383839,B,D,98.76833332476916,-151.29056216567406,C,0
No,Black,Bisexual,Yes,C,-98.19604724692276,E,44.57482605639021,D,B,-104.37430404269988,-101.89601815537992,A,1
Mental,Hispanic,Homosexual,Non-Veteran,C,-70.41982106409506,E,-190.87721266650553,B,D,65.72108786490858,-99.73124027705626,A,0
Both,Black,Other,No,E,-48.321435919526486,C,112.5219376426906,B,C,40.60980381381338,160.15785710107707,D,0
Yes,African American,Homosexual,Yes,D,16.935582411284127,B,-142.86844999638782,B,A,-33.63029754463752,-0.02352704145053785,A,1
Yes,Hispanic,Homosexual,Yes,D,163.23084073993311,C,55.34069522790846,C,A,-100.32910458943196,-135.1422331055585,C,0
Physical,Other,Other,Non-Veteran,C,-39.387569345489844,C,252.15194980926583,D,E,22.788569849849313,103.80450224462831,C,1
Mental,Hispanic,Other,Non-Veteran,B,-9.197287765397325,B,57.460988487767764,D,D,-36.88276699831288,73.16887124788546,E,1
Mental,Other,Bisexual,Non-Veteran,D,170.86271581058384,C,-30.485025585265223,B,D,-145.16765497493864,203.4713900073669,D,1
Physical,Black,Homosexual,Yes,D,45.42287815288509,A,52.83284910539645,E,C,52.967274532739005,-23.855585585738293,D,0
Both,Hispanic,Heterosexual,Veteran,A,-56.08851518710427,D,-55.11109092058065,E,E,-22.7297715836496,-78.52302348175033,B,0
Mental,Asian,Homosexual,No,D,92.44170925315628,A,133.97345037609148,A,B,240.31829840948728,-231.03210802982218,E,0
Both,African American,Other,Non-Veteran,E,89.65057826567093,E,181.82739045181674,E,E,-97.3448874235544,15.611153878810727,C,1
Both,Black,Bisexual,Non-Veteran,A,-74.79745436497996,C,-132.3137679176873,E,A,-3.1300628429229094,8.111790659415655,A,1
Mental,African American,Heterosexual,Non-Veteran,E,-120.91275791393625,E,-194.79634883139767,A,C,111.47030832014178,67.3048377991308,A,0
Mental,Other,Heterosexual,Yes,D,-87.86356721614105,D,82.23579004702802,C,E,238.34577684305293,108.54650728123372,C,0
Mental,African American,Bisexual,Veteran,C,-43.112417037253955,D,122.91923582013595,A,B,10.686131146127794,-16.324747974439045,C,1
Both,Hispanic,Bisexual,Veteran,B,4.8369486675129325,D,-102.66822714189337,C,B,-157.53564223947487,-53.888215564761296,C,0
No,Other,Bisexual,Veteran,D,138.0268957458475,D,-182.61265455960998,C,D,126.86416361267906,-216.20489832547335,B,0
