married,gender,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Divorced,M,65+,C,C,105.00946609471266,-2.2314926767834633,A,-105.97074560178777,D,-16.219123491838072,A,52.67178803315932,99.08111677501148,A,A,-30.231736104889485,C,D,1
Single,M,18-25,D,B,33.37835438092237,145.20015469848164,C,-73.65257944609446,B,34.491822736895465,C,29.277106377336786,-83.9032630717187,E,D,96.49115724532379,C,D,0
Married,Non-binary,51-65,A,E,-65.11999785564187,-2.0109211087354173,B,-159.71794652888335,C,134.57204832852793,D,-27.351544988690367,-124.5750173587018,C,E,85.62594193901049,A,A,1
Divorced,F,65+,C,A,-54.190725961986544,96.92981935055822,B,-128.62340396990862,D,100.9921443902662,D,113.62947054640739,-101.15095232565534,D,C,7.0702545422840215,B,E,0
Widowed,Non-binary,36-50,A,B,-45.19741627446233,43.656291578864376,B,-42.4829972862175,E,44.342336599447385,C,-114.8234274626607,-36.8069753833231,D,B,30.620306510927907,D,A,0
Married,Female,26-35,E,E,-168.914178262134,124.96763109095572,C,282.95262592806347,E,82.56827258486817,E,-88.61460328223188,71.867243527001,A,C,-21.799321164717504,B,D,0
Divorced,F,36-50,E,A,111.84182977101602,10.416159989227154,B,-0.585712504212544,B,51.98247846630476,D,46.84863080694745,-34.2315288995376,E,A,-56.30341616341339,C,B,0
Widowed,Female,51-65,A,B,79.32562730645914,60.51175480446936,B,-89.38548895597295,B,-63.5522094719648,C,-2.0393999884029688,130.2996484737028,B,A,35.050594795441896,B,B,0
Single,Other,51-65,B,D,-35.340012650832044,-57.35360487821685,B,53.59512781143211,D,-110.61539747651167,C,-96.94402895509803,-82.65701358306393,B,C,70.2647522219665,D,C,0
Divorced,Non-binary,65+,C,D,102.21686750707717,-95.52051736717485,D,124.34363308813417,E,-13.177069550490566,C,-67.83775722553537,27.859208650932192,A,C,149.45859573664114,D,E,0
Divorced,F,65+,C,C,-134.89081005732,-7.871533265459613,A,262.77140365598785,B,14.760277927428355,B,106.04483626608112,-28.523396237864198,A,E,106.4201140808011,A,C,0
Married,M,18-25,E,C,-169.98565724240478,76.46763690817563,E,13.752324407015829,C,-64.25439286302685,E,-23.834788703347566,-207.3180900219847,A,A,62.95449546473271,A,B,1
Single,Female,65+,E,A,-198.06104702936216,-230.48634692954008,B,-30.35538053411611,A,73.07019536324553,D,22.102604983013972,166.13598684165828,A,D,113.45890287055104,E,B,0
Married,F,36-50,A,E,85.916995053189,158.4926516801517,B,-27.099306528739465,D,6.115884203600267,E,-59.79757274721177,62.45500352593131,B,E,-119.56858218491269,E,E,1
Married,F,51-65,B,D,17.31857745046292,-152.95330744165497,B,-10.71185678306186,B,69.3106675070207,B,116.223398212365,21.412719595754094,C,A,-65.62013559807303,C,C,0
Single,F,65+,D,C,19.135495110900585,217.49447779711463,C,18.730584838196204,A,99.17905902264387,C,-13.500643052799074,-6.468387808365124,B,A,-55.55267385396099,B,D,0
Divorced,Male,65+,E,C,39.861033492139356,55.37876522069236,C,-82.66318381535386,C,-318.7378174117267,D,51.245926305401326,8.213073040648965,C,B,-83.31624707972776,D,B,1
Married,Non-binary,18-25,B,E,-125.27156744754176,122.917766767443,E,52.677737396924606,B,-109.63050421171552,C,-67.51034354287195,-78.51818253392061,D,A,27.802289778244777,C,D,0
Widowed,Non-binary,65+,C,E,-171.47770678371293,20.3820633227852,B,-112.53505114373954,A,66.02398306424239,A,145.7987810950482,-44.128872642361046,A,B,139.91714598219906,E,E,0
Divorced,Other,26-35,B,B,-74.78807849358539,-100.6465398385187,C,-36.65329478187856,C,67.73208846019851,B,155.40104463078103,54.60696883754177,A,C,123.27519654597883,D,B,1
Divorced,Other,36-50,E,C,-122.34283190192915,106.37038187109702,C,-20.71962710604791,C,102.1469503289758,C,2.6667948725079267,44.81157417294181,E,E,137.7605579423842,B,B,0
Single,Other,65+,B,A,198.99642994297736,78.10528468066242,A,23.507206955568286,B,-116.86226767829208,E,1.6912618081927895,36.11573814097654,B,E,-63.26449744904262,C,B,1
Single,Female,65+,D,A,8.286790990227708,107.32477020693563,E,-106.89258168963767,D,-6.9425997034307425,A,8.531917622484084,-209.85039484493058,D,E,78.21356214066688,C,E,0
