AgeGroup,disabled,Religion,race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
18-25,None,Muslim,African American,C,38.860114813321,83.83976725997982,C,100.54436816546767,C,-60.02012193462845,-52.268626658323804,E,107.9227544985087,E,E,1
18-25,No,Buddhist,Asian,D,-53.416546390821686,91.73232323857864,D,120.48933684977617,C,-48.07974730514227,-151.63739379727085,C,7.898752072361377,D,E,0
65+,Mental,Hindu,White,E,-1.779671594984077,-10.039027725613943,E,-26.80516098482213,A,-200.67194297818406,-29.30435387099467,C,206.50821325258835,E,C,0
18-25,Mental,Christian,African American,A,35.81828083393251,-47.08403916865577,C,-12.642792692725113,C,-68.34350750814134,-149.28560838709353,E,83.6244303734156,B,C,0
65+,Both,Buddhist,Black,C,-59.42097206178635,16.590121509977223,D,149.4165292385488,D,16.795292169009425,119.19772936180253,C,-17.66364708334427,E,A,0
18-25,Both,None,Black,C,156.1109155190045,-48.92345726103937,A,-15.195081626103956,E,115.32778828695274,22.335097385740788,D,110.20037774664321,C,E,0
26-35,Yes,None,White,B,39.44305346993105,-49.052092956068634,E,-81.84448070210577,A,-246.3426238698045,-126.8362760834607,E,95.33037227767234,B,D,1
51-65,Yes,Jewish,Asian,C,65.6053561086535,0.8437490992628258,B,-101.98931156951012,A,-108.50057788195132,-42.95788994183484,B,-57.42455739487817,A,B,1
51-65,Yes,Hindu,Black,D,49.83624593602375,-184.51949838271122,E,-66.66676791877822,D,21.995780288590545,68.91907941747198,A,-136.695166062063,D,D,0
51-65,Both,None,White,C,43.57861111310849,15.98728385559817,B,109.0157173700171,A,-94.71141193428524,-45.559542612851075,C,105.83155721246469,C,E,0
65+,Yes,Christian,Hispanic,C,23.493176042158932,11.620400793451653,C,68.81920358925063,A,-128.00648513463602,115.9998067072969,C,-44.64725221776036,A,D,0
65+,No,Muslim,Hispanic,A,-89.20068327603009,28.748016614181072,A,36.46134376820574,C,-50.98300225166097,76.86968211813476,B,91.44077611809126,A,E,1
51-65,Yes,Muslim,White,B,3.436428825200441,-93.8921753175049,C,-39.27425792713096,E,101.26849225367151,-39.42245756765204,C,-96.59649069655067,A,D,1
51-65,Yes,None,Black,A,-168.61953839747267,-39.067143810116725,C,69.48691831387393,A,45.34872495185249,36.66868920394769,B,35.75059794434585,B,C,1
36-50,Yes,Christian,African American,E,-26.806293558844903,-97.54841701436557,C,-79.04221300559202,B,39.91015173061989,72.44461446330564,B,2.762202677711135,E,C,1
51-65,Both,Other,Other,C,-104.32029245642063,4.925367370720343,B,96.67918704584136,A,-75.13123014633784,129.93215290202025,B,82.76448123875876,E,D,1
51-65,Mental,Other,Asian,C,184.88315996394897,-249.03664592199797,B,-21.54606310559438,C,-132.65129158856973,-48.03899820723013,A,28.398950935980388,A,E,0
26-35,Yes,Christian,Black,E,38.0828759890589,-228.76437835072926,C,49.97841137801255,D,-40.62013517888817,-78.88914077717472,D,51.79243444146036,C,B,0
51-65,Yes,Christian,Asian,D,-174.16403178436252,-107.954021380595,D,-20.621082050337108,D,-35.2727274703899,134.82657882315928,A,1.3489542998076567,E,E,1
36-50,No,Christian,African American,B,63.423888099928135,-132.80803879760484,D,-97.51317477004774,C,111.22048403091627,-48.941254452288334,A,-127.09492538763918,C,E,1
26-35,Yes,Muslim,Asian,D,40.22986077560883,-147.00813593364276,A,-6.766244863534012,A,-5.575880638846707,75.1693189962076,E,-65.53869028809638,C,C,0
51-65,Both,Muslim,White,E,13.626191075229485,-222.44045113534972,E,-126.0573920021745,C,-236.5743790125757,2.558506508875118,B,-131.52351997217502,E,C,1
51-65,Both,Christian,Asian,C,213.30566269807613,100.4931564776077,A,7.2769907199587704,D,-20.012783634534596,-71.16514658621624,D,34.973073351455895,A,A,1
26-35,Mental,Jewish,White,D,64.06568432951732,17.496835792112066,C,-40.748475230627946,B,54.75473401558847,-51.5665112687883,E,-78.03649418315459,A,C,1
26-35,No,Buddhist,African American,C,170.73144118179252,-159.98635315235632,E,98.34051393723165,E,-80.77487463312549,95.99674623627268,B,145.92430728023103,E,D,0
51-65,No,Other,Black,E,34.25260046702343,-119.17644651839541,A,-33.37433449282592,D,175.63224238283425,111.70167302117191,B,20.50353234397166,B,A,0
18-25,No,Hindu,Asian,C,66.19048203694582,47.314163607105804,C,90.23509420907526,A,-114.74774280589577,-65.12433391906325,C,220.98336025130737,A,D,1
65+,None,Hindu,Black,A,-165.00747330523345,-78.07347614150366,B,23.86806687472665,A,70.58739796771997,47.088217503872386,B,74.01606025261242,D,E,0
26-35,Physical,Other,Hispanic,B,200.64513509238705,28.046690984959305,D,20.815574257448414,D,-161.6765961434531,-164.51816699439001,C,-83.41651566298765,D,C,1
18-25,Both,Buddhist,White,B,-17.699122286022533,189.17934477671642,D,80.62302783805006,A,-92.02051996155164,-133.684188640954,D,-76.54060521135544,E,E,0
65+,Yes,Jewish,African American,E,-31.437726378150867,-121.53995082500555,D,-70.38435164155739,A,-32.9335346663491,-20.145566141447574,B,-16.162963325674326,D,D,0
65+,Mental,Muslim,White,A,38.44338200357911,1.8252158867644284,A,115.00948366477526,A,86.5198115580337,49.41624768955923,A,-7.407588088868565,B,D,0
18-25,Both,Christian,African American,D,47.89040628177625,18.015739702190473,A,-142.5141788820568,D,-103.85589345945976,8.464639901235662,A,-60.72191658050282,C,D,1
51-65,Physical,Hindu,Black,C,82.87555761905122,47.780810830186795,A,-73.06902334915925,E,69.30671783839765,-14.872393204131424,D,-129.9164123801255,D,B,0
26-35,Physical,Buddhist,Other,C,-97.2860540596636,-109.0038063962574,A,-295.48531717991403,E,-63.21735223902352,-111.54616177308647,E,-35.2658648835231,C,E,0
65+,Both,Buddhist,Other,D,111.79886879924629,-105.41205904132882,C,14.425284081800804,E,-166.98978074702572,-67.77290134207031,D,74.99247078711844,C,C,1
51-65,Yes,Jewish,Hispanic,B,-4.935048737960301,83.79090914902676,C,-75.63407962300745,B,144.951171246869,202.22723229540898,A,27.93177124136666,D,B,0
26-35,None,Jewish,White,E,32.21470873533381,36.111182561453035,E,14.41916345557494,B,-2.7575654466101347,172.07359659887317,D,-2.694073593690307,B,A,0
65+,Physical,Hindu,Asian,D,26.38175375663795,-117.3460978927706,C,72.65794442186996,E,181.77967877759178,15.988127352022923,A,17.852536854040675,A,A,0
36-50,No,Muslim,Other,E,147.24584570971632,-186.38712810152086,E,139.103263583257,D,-51.97094556932987,129.90117250996798,D,-6.472924925573557,C,E,0
36-50,Yes,Hindu,Black,C,-196.14360230924197,70.40979661446539,A,142.40765746444598,E,-37.30994583953177,205.41106264331805,D,0.8857935349602288,D,D,0
26-35,Both,None,Asian,C,-35.80929571983237,96.39497776614128,B,-6.608892086696095,A,137.41397394509875,51.752741281142335,C,-230.44375768628922,E,B,0
51-65,None,Hindu,Black,E,68.44445358739671,2.681718409598573,E,71.46010523917288,B,-49.645261662260346,120.19417794751615,C,63.28554934319068,D,A,1
36-50,Both,Christian,White,B,110.22739014240454,178.99695769688208,C,193.33938083658197,E,-7.884484214887411,-134.6978609438106,B,25.06073571397826,A,C,1
36-50,No,Buddhist,White,E,130.23958021205752,-89.90772761629735,E,195.12651824043047,A,-4.436419732864159,-238.14736990240428,A,-82.68703147514971,A,D,0
51-65,Mental,Hindu,Black,B,256.48401535757756,98.72685711995389,A,-83.65644474540774,E,-57.083175423960384,109.02765249369743,E,-85.10706091516201,B,E,0
26-35,Yes,Christian,Black,E,-204.82056048188508,150.80659947238843,B,-105.67091266956811,D,109.4500684866571,-35.79439154115444,A,-29.89482849573789,C,C,1
51-65,Both,Christian,African American,B,-71.02722547284172,222.8957711972525,B,-132.24962644587092,B,63.71577628151369,-220.63931725603135,E,-313.0927700089126,C,E,0
26-35,Mental,Hindu,Other,B,16.727715362314438,-17.84687921598635,D,29.756194536844323,C,20.29787844439488,-64.63977409024244,E,-26.423730715741627,C,E,0
36-50,None,Hindu,Hispanic,E,30.88684007363895,-90.74188102226745,B,117.23069874362646,E,-61.46123278937734,-46.16255974222516,D,45.05133746273787,A,B,1
36-50,Physical,Other,Hispanic,C,-1.6017257457492668,6.6922393318964115,B,171.20297130080073,E,-36.66551790973552,60.381760247044824,B,-33.77525689149337,D,D,1
26-35,Yes,Other,Asian,D,112.16603299357169,-88.47551267755543,A,49.947600967546826,B,137.08500780237324,-11.536625932767832,A,149.51251645186912,B,B,0
18-25,Mental,Muslim,White,A,-13.151967285142813,17.94555770211949,E,76.39508492504235,A,116.37634832816886,69.10533146694607,D,-155.759714074755,C,C,1
36-50,None,Muslim,African American,A,-105.96526464013954,27.088578564138142,D,-5.047681932461778,B,-30.31898207513002,78.74044244349317,E,-187.64214905814117,B,E,1
51-65,No,Muslim,African American,C,-109.8950464437128,123.86958354642705,D,42.35180063354235,E,-159.95814083001315,-5.623910673368993,D,-25.326621875142752,C,D,1
18-25,Mental,Other,Asian,A,88.62852296259867,257.0955639792734,C,-22.460080071086153,A,57.250927363209414,-76.21151892832917,E,-197.01443455609876,C,E,0
65+,None,Muslim,Hispanic,B,12.898362166186727,68.2808402031549,D,9.321622956910927,B,92.7531652916374,31.56559179166131,C,-9.411661923994437,D,B,1
