age_group,SEX,civil_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
65+,Other,Divorced,C,B,A,92.37511323291649,E,C,76.67880621559729,1
65+,Male,Married,C,D,A,72.10699369956,E,C,174.45563805298917,0
26-35,Male,Divorced,D,E,E,11.153426768337345,B,A,83.64859384840521,0
18-25,Non-binary,Divorced,A,E,B,123.28565833946806,C,B,-128.19251927274655,0
26-35,Female,Widowed,B,E,D,-10.302891495569359,B,D,-233.80503100551698,0
18-25,Female,Single,E,D,A,129.35470632936173,C,B,121.42883962980741,1
36-50,Non-binary,Single,E,E,D,168.91083940103078,D,E,-117.72478654765894,0
26-35,Female,Divorced,B,D,E,114.30953925858323,E,D,201.81270843277548,1
65+,Other,Single,C,E,B,39.75114526900338,C,E,0.34484624614648013,0
18-25,Other,Married,D,A,C,-19.85693674616831,D,E,-26.7636908962682,1
51-65,Non-binary,Married,B,B,C,-26.086894484843526,D,D,-22.879641034420263,0
51-65,Male,Widowed,A,D,A,-78.28742274469714,A,B,244.85158584673403,1
18-25,M,Divorced,E,D,E,62.72029163038779,D,D,-81.73320863117769,0
26-35,Female,Divorced,C,D,A,101.6493260175341,B,B,19.528537032321424,0
65+,M,Married,C,A,A,-110.01362812931713,B,D,-134.1715340126885,1
18-25,F,Divorced,A,A,A,-72.54867009455246,A,C,-12.75644427820721,0
51-65,Other,Single,D,E,E,87.54603419464247,D,E,-20.34815295705371,0
65+,Male,Divorced,A,C,B,78.08712409636907,E,B,104.18865862749236,1
65+,Other,Single,E,A,D,74.02640950951049,A,C,-107.1804550208507,1
18-25,Female,Divorced,B,D,D,-113.60408250961176,C,B,-75.61781702542284,0
26-35,M,Married,C,B,D,-41.304812841280466,C,C,-52.882749606288115,1
26-35,F,Married,D,E,A,-146.69236514581948,E,C,-52.47999501658677,1
26-35,Other,Divorced,C,B,B,45.71731624265434,A,B,114.06681506176959,0
51-65,F,Divorced,E,C,D,-79.9731697526693,C,E,95.98971719005792,0
65+,Female,Married,A,C,C,35.93735448178699,B,B,35.368738810713104,0
26-35,F,Single,D,E,B,2.16776358684474,A,C,95.20044575501242,1
65+,F,Widowed,D,A,D,-30.278704405367733,B,A,142.59926307535505,0
18-25,M,Married,B,E,A,53.140316953199395,E,B,-6.8755892025026855,0
26-35,Male,Married,E,D,D,-64.6845259941359,D,D,171.6519405068098,0
18-25,Non-binary,Single,D,B,B,-63.79941027763133,B,D,13.311153112648785,1
65+,Male,Single,C,E,C,31.182095213199712,C,E,130.18837176899686,0
26-35,Male,Married,B,E,B,178.2075892551851,B,D,-42.1536189376697,0
36-50,Non-binary,Divorced,D,C,A,-31.59544224945244,E,B,126.6075475290431,1
51-65,F,Married,A,B,E,-27.054199351904657,A,B,170.30464741790502,0
36-50,Other,Single,B,D,C,-36.92663945937606,E,B,-29.631821867946833,0
51-65,Non-binary,Divorced,A,E,D,65.46103725587172,C,D,-5.4246548556797745,1
51-65,M,Married,B,D,C,-7.40077294693052,B,A,-140.58555460904606,1
26-35,Female,Widowed,A,B,E,-98.11570860793574,B,E,-4.571193957290006,1
26-35,F,Single,C,E,A,-170.32059550916702,C,B,35.06159848389613,0
26-35,Other,Single,D,B,D,5.185112574434731,C,C,-62.66852256190998,1
36-50,Female,Married,A,A,C,-26.764213532191167,D,B,116.02248984583763,0
36-50,Non-binary,Single,C,D,A,-72.89212733077733,D,D,140.93442542351417,0
51-65,Female,Divorced,B,D,E,-69.2739929550899,A,C,-103.84170691742203,0
18-25,F,Single,E,B,B,21.22826354398144,B,E,-118.38872479877472,1
65+,Non-binary,Married,A,A,E,-68.01664421593094,C,C,84.66171333104683,1
51-65,Other,Divorced,D,A,C,82.95568289556505,D,E,-83.48064078546604,0
18-25,Other,Married,A,C,E,37.87341722863935,C,C,-7.224753226795919,1
51-65,Male,Divorced,D,C,E,54.429929103631004,B,D,110.4385495686929,1
18-25,Other,Married,E,B,E,-56.84059951493637,E,E,-243.06957848755215,0
36-50,Non-binary,Divorced,A,D,B,171.69460498974448,C,E,123.88906716950136,1
26-35,Non-binary,Divorced,B,E,C,-53.10459619716171,A,B,116.23277107272246,0
51-65,Other,Single,E,E,B,122.7952651410858,E,D,63.69874696878027,1
26-35,Other,Widowed,A,B,D,-32.02877884924916,A,E,-10.779468982995951,1
65+,Non-binary,Divorced,E,D,C,-201.83282213635562,C,C,-324.4020181190071,1
51-65,Other,Divorced,B,E,B,79.1273809621235,E,E,-104.38422275932582,0
51-65,Other,Divorced,B,B,C,117.65318911074341,D,A,12.20291768098006,1
18-25,Non-binary,Single,C,D,B,-57.40702770868862,C,D,136.06553278844038,0
51-65,Female,Divorced,C,D,E,97.31912414580415,D,D,-83.22815958693896,0
26-35,Non-binary,Married,C,A,B,-166.6733600122642,C,B,52.50753162668408,0
65+,F,Widowed,E,C,D,-103.33491615595788,E,E,53.13102146296256,0
36-50,F,Married,C,C,D,-136.31002986769246,D,D,106.84086132370105,0
36-50,Other,Divorced,C,C,C,19.179713199474882,C,D,-89.7128740193074,0
26-35,Male,Widowed,D,B,E,99.47409579243063,B,A,148.7611917033092,0
51-65,Female,Divorced,C,B,B,-21.900403935454722,E,E,115.98716113968798,0
51-65,M,Divorced,D,D,B,132.19225670722318,E,D,157.88487657921323,1
18-25,M,Married,E,D,C,18.26517785757637,A,C,38.61317820799963,1
18-25,Non-binary,Married,C,A,B,-30.785693696916365,C,C,-16.45652845925591,0
36-50,M,Widowed,B,A,A,-17.372806625974864,E,E,22.900676634732793,0
51-65,F,Divorced,B,E,B,41.46258997424235,C,C,-254.67575898163943,0
36-50,Male,Single,A,E,E,78.38025104135197,D,B,-102.02388421495189,0
36-50,M,Divorced,A,E,B,168.34820317523048,A,E,65.52885515995496,0
18-25,Female,Single,D,E,A,-137.32863038473818,E,D,-131.19912564266082,0
65+,Non-binary,Divorced,A,C,C,-51.99856206820059,B,D,18.98305008836876,0
18-25,Other,Single,C,E,B,80.88806935540616,B,E,-99.43208061319775,1
51-65,Female,Single,E,D,D,-47.95235846618546,A,E,158.95348080146644,0
65+,Other,Divorced,A,C,C,-97.74097757994001,D,A,-50.6886765304812,1
18-25,Other,Widowed,E,A,C,0.7021654867147544,E,C,-207.04268083592208,1
51-65,Female,Single,D,B,C,-10.22203860348233,E,A,47.741263738830206,1
65+,Non-binary,Married,B,E,C,-116.83895860585966,E,A,31.316268034512806,1
36-50,Male,Widowed,D,C,C,139.7312822807787,A,B,-38.0977153750603,0
65+,M,Single,B,D,E,52.905476838019126,A,C,64.0143668829865,0
36-50,Non-binary,Widowed,B,C,E,-86.65694136957859,B,E,-172.03431929609977,1
36-50,Male,Married,E,E,A,31.647596334407947,C,A,174.61750350639718,1
18-25,Non-binary,Divorced,A,D,B,157.57205615700298,C,C,26.447682467674692,1
51-65,Male,Widowed,D,B,C,-346.2901921567593,A,D,-10.554521045789201,0
65+,M,Married,B,E,A,-2.022879819290825,D,E,6.920030202787932,1
36-50,M,Divorced,C,A,A,-13.906568731857874,B,E,-4.481454334854272,0
26-35,Male,Married,E,D,A,48.07230479843837,C,D,-205.91011846383017,1
26-35,F,Single,E,A,E,22.39349032406629,A,E,125.7379991547593,0
36-50,F,Widowed,D,C,E,-118.18218450366315,C,E,14.209062894501434,1
65+,F,Divorced,D,B,A,40.313701108361904,D,D,122.81645518438928,1
65+,M,Married,A,A,D,185.9756298254014,E,C,5.447851803320357,1
51-65,Other,Married,B,C,B,-50.83427993247859,A,A,-145.68080556519837,0
26-35,F,Married,D,C,D,123.241882291839,A,A,-134.29767681305424,1
36-50,F,Divorced,A,E,D,-26.03545329368296,B,A,-124.88990876858865,1
65+,Non-binary,Divorced,A,E,D,-67.03242142797758,B,D,64.20060669254744,0
65+,F,Married,D,C,A,-5.268721995875709,E,D,-41.077134972067455,1
65+,Male,Widowed,B,E,E,-150.57318576067144,E,E,-63.196883509066936,0
36-50,F,Divorced,C,E,B,-273.98592739276603,E,D,124.81029446270159,0
65+,Female,Single,A,C,B,296.94492377854004,A,E,-59.13513723764402,0
51-65,F,Divorced,D,D,B,-111.27082062682365,C,A,-42.24814851148199,1
26-35,Female,Single,C,E,E,-5.405858823350649,D,C,235.66410365514602,0
65+,Non-binary,Widowed,E,C,C,149.73284773503536,A,E,-12.095150547841271,0
36-50,Other,Divorced,C,D,D,-119.00291455945779,D,B,-182.76471012161656,1
36-50,Male,Divorced,B,E,C,121.38737715694741,E,C,-47.62364486679524,1
26-35,Other,Married,A,B,B,-59.07414403788286,A,B,80.20723479783133,1
65+,F,Widowed,A,C,C,-36.74868991908589,E,C,-42.96425803044261,1
26-35,Male,Single,E,A,B,-186.96101828514713,A,A,44.629115833310316,1
36-50,Other,Married,E,B,B,125.44132161617547,A,B,-66.94183148469162,1
36-50,Female,Widowed,D,E,E,-15.907144117915358,B,A,-30.56404576223315,0
65+,Male,Married,E,E,E,-94.21153967732194,E,E,-75.81770051257007,0
26-35,Female,Divorced,C,D,C,71.29859591013114,D,E,-7.6898745560234625,1
65+,Non-binary,Divorced,D,C,C,12.42049118551285,E,C,103.30943077337145,1
51-65,Male,Single,B,B,A,-148.14886546293016,E,E,-187.73332240043237,0
36-50,Female,Divorced,D,C,B,118.19618699649355,B,C,154.88343725359005,0
65+,Non-binary,Single,A,E,A,78.9849780873357,A,B,-46.93232003479487,1
51-65,Female,Single,B,E,C,108.05204354084881,E,C,7.285315201303987,0
51-65,F,Single,C,A,E,-395.6599049746362,C,B,80.7598164832252,0
65+,Female,Divorced,A,E,D,124.49595925286785,E,B,40.21606971753285,0
26-35,Non-binary,Married,C,E,E,-49.23393278696838,A,E,-37.29020915692095,1
65+,F,Married,A,E,D,-5.585924758913594,A,C,-206.84506853555632,1
65+,Male,Married,E,B,C,-239.4209631298365,D,C,-91.72069378431475,1
18-25,Male,Divorced,B,C,A,60.92449618247945,C,C,79.76884096204635,1
18-25,M,Married,A,D,A,-60.872603641434694,E,B,-90.02148781768959,0
26-35,Other,Single,E,E,D,-66.34242961245963,E,A,-39.59802435642976,1
26-35,Female,Divorced,C,B,D,-250.7631409198265,A,A,-6.655460240603259,0
36-50,M,Married,B,D,B,-22.827471770022605,B,E,-54.244897770897104,0
18-25,Male,Widowed,D,D,E,1.0978101022908984,C,B,-36.853676336741295,1
18-25,Non-binary,Married,A,C,B,34.83014621375201,A,E,5.238451967103744,0
36-50,F,Married,C,E,A,149.29224198917612,A,D,102.48834105655094,1
36-50,Non-binary,Widowed,D,A,D,59.70080081503677,C,A,-85.53149634343094,0
51-65,M,Single,D,A,E,-104.94504780899787,A,C,82.18107353822575,0
36-50,Non-binary,Divorced,A,C,E,-172.61430696492164,D,E,18.405512744410693,1
26-35,M,Widowed,A,C,C,81.0779929601541,C,B,-1.001682553337159,1
51-65,Female,Married,B,E,D,8.841637997404565,A,D,-111.72233227570206,0
26-35,F,Divorced,A,D,C,75.98232544787086,B,B,11.67936895139897,0
18-25,Other,Single,C,D,D,-75.30093157956057,E,D,26.21807541200069,1
18-25,Male,Widowed,A,A,E,-120.4728342499789,D,C,-67.74178829320815,1
36-50,Other,Divorced,A,E,B,-105.38090923208097,E,D,135.04152577408644,0
18-25,Other,Married,E,E,D,-57.158691918708215,A,A,-173.63467608985215,0
