age_range,Veteran,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
65+,Yes,Jewish,C,D,E,214.2932880581529,-64.99023573237804,-174.7809681627906,-12.682512379672026,-33.54259514817705,D,E,D,0
18-25,Yes,Other,E,A,C,100.8894736484025,-90.02067710109193,214.35063892712284,-34.125881215986986,-111.11484560223934,B,D,A,1
36-50,Veteran,Jewish,E,C,E,11.105006054974549,130.52364288433893,-20.314357897953993,-59.45942549190053,-18.601985364063278,B,D,B,0
65+,Yes,Buddhist,A,C,B,66.88914701875461,79.23455603593564,-19.710123072010653,113.68335648169389,26.476653238646865,E,A,E,0
36-50,No,Hindu,B,A,A,162.99743671620718,27.073049589846963,106.5472969725,-43.51352272543044,69.0449059028717,D,C,B,0
65+,Veteran,Hindu,C,E,D,-25.774728056074853,-102.74953203445152,-13.404488517749236,-39.17107188113459,-171.19164028282762,C,B,A,1
18-25,Veteran,None,A,E,C,137.12804798459646,-54.472431796250035,-237.51569893891386,1.6154545743150512,-42.29256942804853,E,B,A,1
18-25,Veteran,Muslim,A,B,C,144.7454782437221,33.11398783304799,20.604261704941305,-141.47831217302684,178.58742161043577,A,C,A,0
51-65,Yes,Jewish,E,B,A,-83.04684441876273,80.83434285301297,-19.409336703146106,54.00043232505407,-82.13495520899086,C,C,E,1
65+,Non-Veteran,Hindu,C,C,B,67.40425490147682,107.62520006967635,163.09457852692918,78.65458988082892,-80.57492735980081,A,D,A,1
51-65,Non-Veteran,Other,E,B,C,34.217959664246614,26.005244570569587,157.9049195513847,-92.29640701175474,-156.41778371429018,E,C,A,0
36-50,Non-Veteran,Hindu,E,C,C,53.461599866658716,-25.29243632604231,-58.662898123964744,-97.34864092886893,-137.7579525928123,C,A,D,1
36-50,Non-Veteran,Other,E,C,A,-101.94755168450693,6.1481461853335615,-4.655804107434964,-168.075259181633,120.65529354718979,B,C,E,0
51-65,Yes,Muslim,B,E,C,-31.595741349964328,-183.81542643860988,-99.31653587759473,143.5997444363739,-36.401635605677384,B,E,D,1
36-50,Veteran,Hindu,E,D,A,-148.3872228235032,-66.88880403087484,-25.469061376498363,-30.952240282011317,7.6661627065010425,B,B,D,0
18-25,Non-Veteran,None,A,B,A,-161.29527812165685,-4.061999476354429,-68.11908659942037,168.07522379428391,-125.59892460601773,A,C,D,0
18-25,Non-Veteran,Muslim,C,C,C,-2.664217300972055,83.93080236098129,-64.25261559529862,-148.52057266380857,-108.04999034257341,E,C,C,0
