military,country,sexuality,sex,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
No,Brazil,Bisexual,M,53.589823484783494,B,-119.93946867400031,-305.3848411979918,-71.43646045590224,D,E,0
Non-Veteran,Other,Other,Other,-77.0165357708872,E,-58.711181068754335,74.8388102866878,24.250367576622388,B,D,1
Yes,Other,Homosexual,F,-13.216297129527707,E,-56.7893339751078,76.32781939169759,28.759515822692787,E,B,0
No,China,Other,M,-49.20306786998591,B,-89.7659173544398,-113.4306882293042,-91.23938810079338,C,B,0
No,Brazil,Heterosexual,Male,-39.54660496636811,C,32.296644924294924,-128.24456497708127,13.12818667994896,A,E,1
Yes,India,Heterosexual,Non-binary,-25.408799881783196,B,-83.9794971227198,-42.755984155016336,-99.68135731370432,C,D,0
Yes,Other,Homosexual,Other,-17.748639392004044,E,106.64360140472363,57.04960666922446,35.5422947611328,A,B,0
Non-Veteran,Other,Homosexual,F,-26.952066657418207,B,-116.08700518829164,-37.468762014861994,-56.868395296768234,A,A,1
Yes,UK,Heterosexual,Non-binary,69.71991959064066,D,141.09450120846384,81.66341483020487,49.86630090068019,D,D,0
Yes,US,Homosexual,F,66.25767540250858,E,-112.54693597669633,-35.42757854886588,154.41166573731581,A,B,0
Veteran,Germany,Homosexual,F,-25.549056707550317,C,125.34692518957063,-121.56890104150293,33.890076925827,A,A,0
Veteran,Brazil,Bisexual,Female,83.62329215283224,D,215.18517062381903,123.82198487617562,-155.6820115289661,C,D,0
Yes,India,Heterosexual,Non-binary,38.54417178530447,E,276.3303324360733,-6.153285176044065,152.6283663751646,C,B,0
No,Brazil,Heterosexual,F,154.1554706046648,B,-150.1729201284988,181.0882167202179,-38.18565263789325,D,D,0
Yes,Other,Other,M,-144.97364420155236,A,-34.69950138803575,-108.00850505241667,151.17913926282074,B,E,0
Non-Veteran,US,Homosexual,Male,144.80596921542949,D,36.725267623925895,-172.0916230382464,-126.78510951829534,C,E,0
Yes,Other,Other,F,107.86078055011346,B,24.387102777448778,103.25848292145616,-12.043451073584379,B,D,1
Veteran,Mexico,Bisexual,Male,-9.121334191172751,C,31.98057948639144,100.51752140143108,-56.52873039168136,A,C,1
Veteran,UK,Homosexual,Male,-190.62075130125768,C,-86.2261252496724,102.61788238438956,-69.48812484280737,B,B,0
Yes,Other,Other,Male,-283.2769840753263,E,51.3107188434184,74.81364728374564,8.067843401362932,A,E,0
No,Brazil,Other,Female,20.26104943838341,C,-91.14474123388774,-206.9943015916659,22.375077668451702,E,D,1
Non-Veteran,India,Homosexual,Other,110.76167530652774,A,103.07055522694024,-75.84403392468442,25.111189316260575,A,A,1
No,Other,Bisexual,F,56.6514202073171,A,206.12917579129544,30.173213571602954,82.55287473657485,E,C,1
No,Germany,Bisexual,F,-148.34582108710123,B,191.66268564863037,72.05488791930134,-1.1232869998613209,D,E,0
Yes,Germany,Bisexual,Male,-2.557003064300446,B,80.74318169074424,141.4954637903823,250.30764150786777,A,E,0
Non-Veteran,India,Heterosexual,Other,53.299672271782995,E,102.68023658539252,-42.85457900769802,-149.4156450088676,E,E,0
Veteran,Brazil,Bisexual,Other,-179.57165407803558,D,102.63579160101513,-39.859368768216825,21.50680240244016,B,B,1
Yes,China,Other,F,-43.04347852143543,C,-34.58758352601409,63.399695428995116,-116.39915981519829,E,C,0
No,US,Homosexual,F,22.42848057140353,D,240.9768227159392,-38.26922955506153,32.77865991232233,E,C,0
Yes,India,Bisexual,Other,212.82149101866105,A,41.325385700767455,-59.68397239054926,-22.746356738968693,A,C,0
No,UK,Bisexual,M,44.55265428878449,D,366.32950215761485,-59.18460732988352,-182.9860566637775,C,B,0
No,Germany,Other,Other,-99.25835648670396,E,23.21652138884724,26.322962469758103,-29.445826134574006,E,C,0
Veteran,China,Heterosexual,M,95.89467270545782,E,-188.73393377808253,75.59840468575446,-131.67108563980642,D,C,1
No,UK,Heterosexual,F,-124.7696741963785,D,174.7312238356695,-250.91641044914277,147.68981498143728,B,E,0
Veteran,Germany,Homosexual,Female,122.01159770093533,D,6.056310519786737,-18.39206021126746,81.58127393142055,C,B,1
Yes,UK,Other,Non-binary,-55.83476818269053,C,71.38893000694976,151.06263375180887,132.30182784131142,B,C,0
Non-Veteran,Brazil,Other,F,-113.17748832775752,E,-183.7870971833917,-220.71503959772673,37.828431197383736,E,C,0
Non-Veteran,Germany,Homosexual,Male,176.78846421982607,A,149.73635165448715,3.7055219892912112,34.604036009729896,B,A,0
Yes,India,Homosexual,F,118.0255360684581,B,55.04153206908809,-9.39165928684249,5.747587692862766,A,D,0
No,Brazil,Bisexual,M,-21.635057323892628,E,99.25576669569418,42.14362631299362,23.5677648490911,C,E,0
No,Germany,Bisexual,Male,-62.919602887433044,B,-105.59611445705916,-193.2945907338919,199.01814359920667,C,C,1
Yes,Brazil,Heterosexual,Male,117.43442611746342,E,-61.415413542406064,18.182662120877616,-61.54939682750401,C,B,0
Yes,Germany,Heterosexual,Female,0.09049461551592941,C,-9.420748947098371,48.94762090485573,-58.3049182907286,B,B,1
