ethnic_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
African American,-36.559712303426814,A,A,D,5.695338651603344,-4.974025462856015,D,41.50754961547954,C,23.220405687281684,-116.09880319571207,0
Hispanic,-116.94315355451079,C,D,D,-246.5063560903469,-22.017772312650337,D,-104.46510814416648,D,54.82042746839044,4.085333049844516,0
Hispanic,-143.19738193119312,A,A,A,24.38248691708717,164.8171318553984,A,93.47531011699427,D,12.672481449227767,-30.123549163783842,0
African American,116.99005034433338,A,A,E,-110.31648780912673,139.81333344126088,A,26.304743298848326,D,7.009154341473456,-71.09651935666514,1
Other,-142.71842709269814,A,B,C,89.27900888663554,-63.263034329033,C,-77.45170117640629,E,100.2797330918084,-5.287712876875032,0
Black,105.90593420997921,D,D,E,-69.46157496987941,26.822684291227354,C,-127.28137825633632,D,62.16461735695592,14.46256030167213,0
Asian,1.1739442948873235,C,E,B,-21.172009001792407,-116.74393409990509,A,65.97731810677129,A,-73.54441165593455,2.625126479039752,0
White,193.8557508660798,D,E,D,-45.246314829926476,132.48011151967984,D,-138.68290691984527,D,79.54124692714934,81.02389651878133,0
White,-39.13857934335373,E,E,D,-92.40870427098272,-57.36370262009275,A,24.009331117156513,B,-140.50332670138036,-150.45473890362499,1
Asian,-28.624002455742104,E,E,E,-178.9475862357762,59.50278753654392,A,147.7245393006424,B,47.49093666173823,-131.32707681441005,0
Other,64.98479763975152,A,D,E,-46.780668051680586,-173.83146492108418,D,-1.2979097369677222,A,72.98488759797488,-45.28612662350733,1
Black,53.56433545704397,D,C,C,-82.02986439022636,-31.245261160131125,E,-60.55284079340777,D,-143.65544728671676,-203.11761084029655,1
Black,-48.32538421659528,A,C,A,174.9478133047135,132.1222579902057,C,-174.0260200027313,E,-9.948316443374958,-47.341752871597784,1
Black,-14.972380136704619,D,C,B,191.02081107700639,-101.76427482597208,B,-130.86031170380207,C,49.46708005355616,-94.0351595127318,0
Asian,-51.115492454828235,B,E,A,-91.73258597070449,-45.60290531874011,D,2.0209986509599345,E,81.55504571402615,-124.6948747021675,0
Hispanic,-80.32583487315829,B,D,E,125.99712374442058,150.83031067004984,A,-110.71137244559029,A,-57.61534920724787,-42.98252465367341,0
African American,124.24946190944807,C,D,B,-75.00677628145107,28.575931565495583,B,-75.52060345338087,C,108.43527120655327,-102.24221754892409,0
Other,-92.06766312898891,A,E,E,84.97871716824896,-112.6847524001654,D,76.2130181844505,E,54.186087232186445,-17.247574632657507,1
Asian,31.92573460421514,E,E,C,8.737186098143013,-82.2650972458578,D,-17.894747440535863,D,-26.335188360924832,34.42099764000468,0
African American,107.29709348285614,C,B,D,197.02882147927875,113.40869420232478,D,-58.50935165695428,B,70.02743695679722,-85.21404110547812,1
Hispanic,60.84685476910199,C,E,D,-77.98870182690166,-12.043927656986204,E,-11.991756595269978,D,-69.71191479117132,132.00844692982017,1
Other,-39.73821378930954,C,D,B,207.66443342347927,72.13723068124227,B,-234.96752086892863,C,115.00866107316747,85.99282796278196,1
Hispanic,-218.15723864043903,B,D,B,-17.119094966678713,-49.792300854180716,B,153.80940466237124,D,-24.850976281812066,58.5402374345334,1
African American,-187.689670875016,D,E,A,-114.19894243539832,-158.63211996451582,C,-80.81388271465676,B,17.26227562105143,-115.27037793969758,1
Hispanic,122.8739777444139,E,A,B,-13.62049232652908,81.10471685485889,B,-41.94241135491218,E,15.98171473923772,-40.773794271774506,1
African American,-33.186743995274206,A,A,D,-36.255102332360224,134.88591094752397,C,-138.07441451753738,B,51.92034654388551,-82.37290279718778,1
Other,-22.3520219643011,A,A,C,-259.28758240475076,138.3184211999611,D,-13.911911057248522,A,157.3054546648078,44.798226667910036,0
Hispanic,-50.65193119220351,D,C,A,-184.01112171296273,45.18943030015864,E,-12.29169708585746,E,134.85052366872486,-59.64474153312103,1
African American,-141.53972326682748,E,E,E,-33.63061464211782,53.665794954901614,D,-93.89281846549642,C,143.8950526036447,8.592571837529626,0
Asian,-18.883631364205765,C,D,A,12.140287673960735,48.09456787956937,D,-10.813629550628173,E,-43.56648813008779,89.86340030382651,0
Hispanic,126.07627831078281,A,C,B,-135.50555231183515,30.481410112824143,A,106.29589721942992,A,-62.78325508119313,46.95937115460765,1
African American,-30.57060363081192,B,E,A,-14.53356485714984,-171.72937613334236,C,-21.283522578019173,C,-69.0484138609746,-43.176956160452086,1
Black,150.43256478386664,B,E,C,-165.63523065301518,8.634748280845344,A,-16.562073057162937,A,90.21145625663436,108.65690239681317,1
Other,-94.86056593108263,B,B,D,-42.99500995368768,-195.34479424550676,B,-49.94794140092334,A,6.391761132477441,31.10215071463499,1
