sex,country,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
M,Other,-73.98715469395985,112.26136459160591,113.72159687443815,158.4568958639407,-24.443766308856656,D,E,B,E,D,B,62.836103547184706,C,A,-216.952867055329,0
M,US,120.77665432209292,44.3006173918053,98.54271202024688,-118.75662298832965,41.8342442293241,C,A,B,B,E,E,104.66309758676606,E,B,-134.2440469650751,1
M,Brazil,211.2057957466572,101.45726666423445,42.57767670751862,57.063238792796845,-77.74287089292403,B,D,B,A,C,E,123.04699652758231,D,A,34.09608457834061,0
F,Other,56.352830999118474,-35.105551021914,138.3042005214544,-32.34996494533669,67.92191129658079,A,D,E,A,A,D,-39.05587535069289,D,A,206.10782478159985,0
Female,India,107.90700627553502,135.89870356191378,-14.857599869755425,6.891290318097767,96.44690922668465,C,E,A,D,E,E,-108.93738649168046,D,D,89.99575108815276,1
M,Mexico,212.213792159063,72.7629884553384,14.064514780376383,94.5396366491,-181.3093037415342,C,B,C,B,B,B,35.07857124762642,D,A,-23.473174761381348,1
F,UK,-20.147552602572418,152.2265048830396,-21.500216268392002,-43.909538919701596,-149.10689582676636,E,D,C,B,C,B,32.42273068454145,C,B,-70.50084665060066,0
M,Other,0.25055819722756983,82.62241507528437,-6.882162375134457,-77.92634182471929,-49.030366050916875,A,A,B,D,A,A,-33.22519128337299,D,C,28.420265034246967,0
M,Brazil,-22.070355257674596,11.00166284419039,17.008356189625026,-52.13841704358318,-70.2891207311932,E,C,C,C,D,B,-23.910817521816462,E,C,-57.795927033489534,1
Other,US,140.14145736188365,-61.05271728127693,-189.91027527589992,-147.6355696604506,55.3303195941539,D,E,C,B,C,C,99.40490525892584,A,E,-44.96987150527143,0
M,Brazil,-69.23380646024081,102.99064960061936,-15.69563325057331,70.76541963492298,-65.64832913443053,B,D,E,E,E,C,-184.94995186920147,E,D,-12.604744215096037,0
M,India,72.58815128335173,-45.99088555344845,-79.0015250854356,-30.909502176483,44.48765134616664,A,E,E,D,E,A,-80.34777421849253,A,D,-27.623061378031387,1
Other,US,-35.1124808769282,25.088172341828663,-130.5959909095228,127.87798158154749,100.99206902415452,C,B,D,B,E,E,103.4210456705922,C,B,-42.9867642512788,1
Male,US,10.076768394206361,84.56028582873144,0.02990301009832292,6.764371319457858,43.56403987072527,E,D,B,C,A,B,31.923655460088412,C,A,-172.55437044253986,1
Female,Other,-96.60590683240635,66.69266646176703,40.51332987835841,-85.08502000100216,-49.02462608630339,A,C,B,D,D,C,-129.39559527170462,B,E,108.44651411203088,0
Male,India,139.06896495465423,120.34419276778172,-65.91784915612749,-150.94336243873153,-52.12624247742047,B,A,A,E,C,A,3.5867333469350173,A,E,-62.41202770267561,1
M,Other,-42.52342368016391,0.7789289339493516,17.307332182466613,-37.85019605337908,184.64040804391658,B,D,A,A,C,C,88.63406236188403,C,D,49.220324505748195,1
Female,US,244.54567782592375,92.88756980557416,75.32489573283905,-110.24518358880906,-38.234143530686964,D,D,B,D,E,A,-50.555064941007736,A,C,96.1384712160992,1
Non-binary,Mexico,-178.01286481957212,-6.647266153321393,-197.06053718249078,169.25582100449265,-231.20681372337276,C,C,A,B,A,B,28.314139328053717,E,D,-128.19247202899285,1
Male,Other,34.64944589347622,-129.43723377740835,-86.63092751067536,-109.15553921638723,104.41090809557801,C,E,B,C,E,E,79.45238074768865,A,C,-52.233680360299715,0
Other,Brazil,-8.732471385717806,111.57510082454813,-106.02816930768051,-6.292207951481586,-34.38545443801358,D,A,C,B,B,C,-315.0454557466444,B,C,-114.22902661956866,0
Male,Other,-53.37163151288944,-54.66763995294326,147.2357491850397,-71.44697051995817,169.68489377466753,E,A,B,E,D,C,158.06364461639242,B,A,102.75009528564496,0
M,China,57.770729476017756,-28.88841787922884,208.9892758251304,183.90616871556858,-129.1609531283506,C,E,C,A,A,D,-157.2817605921244,A,A,148.04981653466837,0
Other,Mexico,49.23051820425216,-51.508561613981776,147.86208979554368,-28.81843453000438,118.03831513228273,B,C,D,B,E,E,44.50878912475667,C,B,-62.12255243363256,1
Male,UK,-200.52420257530684,-159.6024742274168,-39.95920401635903,49.919967488866526,-110.47629096591774,D,A,B,C,B,D,64.91251562340071,D,D,-178.49931650243758,1
Other,China,98.88764017215985,26.391178741145094,-40.87955720501775,-232.19647575994844,-86.35536454453991,A,E,A,D,D,A,-129.1797020781756,A,B,-124.94547199720158,1
F,Brazil,120.56782047142451,-9.92302070613635,99.00413952066306,-83.3646070609138,-60.227705155928554,A,C,D,E,C,C,-22.359627999342685,D,E,-111.96165409585046,0
Male,Mexico,10.400285975404882,-70.86654455464368,-35.749528958318535,-57.8802139789142,185.24191229756642,C,B,A,A,D,B,211.11143994741224,C,D,192.6924551296751,1
Female,Mexico,87.31047074264116,86.38969565209183,-182.2721739538351,-183.99562530321145,16.441553722700178,D,A,D,C,C,A,19.529332437533693,A,E,64.4287014893111,0
Male,India,132.62685786025816,101.03811683290458,3.9308372228165647,-3.441276572256148,-101.2316798668605,E,B,C,B,E,C,-7.794826682654218,D,E,-300.94380436234735,1
F,Other,62.84415275072407,-144.29959308200233,20.731722439438936,44.58959452124943,2.4715589168672647,B,C,B,A,D,D,21.807555929145348,B,A,-25.360507108355506,0
Other,India,179.24215139217822,135.6598681317022,131.45713865643717,-212.7881436527288,-100.69427864156447,E,E,D,E,E,A,-87.40949711201304,D,D,-217.65901208604967,1
Non-binary,Brazil,59.43306455241694,47.29801688393426,33.73041669598024,73.31368548553552,121.97297434762116,D,D,E,C,C,B,-54.78441594693317,E,D,-16.67171694255866,1
M,UK,70.51602660337379,-2.00064851860693,54.074115369527966,20.357524990256227,72.24978785719057,A,C,A,E,D,E,-12.268234608838954,D,C,122.47483561145016,1
Other,China,172.19006929441315,23.180810622232713,-93.8535694659948,-65.7284199535728,-41.71857480044116,C,A,D,E,B,D,11.825787019339908,B,B,6.627154070361864,1
Female,US,24.712795367098188,222.45492908050278,18.410886162061978,55.58782159880954,-25.314839997387732,A,E,D,A,A,E,-237.39344957416057,B,B,131.2052956517329,0
F,China,-15.74362456725425,-36.29206670444872,66.10340765360218,-36.507710002239676,-86.501243779277,B,A,B,D,C,D,-71.94311563350972,C,B,-62.595031029776685,1
Female,Other,82.3590825464307,-12.25551476020566,126.34971723291584,148.67199822380576,147.5915398514926,C,C,B,D,E,B,-57.17986618816359,B,C,-45.62798380899032,1
Female,Germany,-58.07947107058254,-96.91497380617295,221.76628684683607,77.70587139827973,-10.446511028045302,C,C,C,E,E,B,-136.39948026971365,E,D,-32.20369717706383,0
