Nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Brazil,D,C,B,B,C,11.42624916222367,A,7.643838979767478,19.271539487221304,B,-139.0090587817413,-61.19954023736596,-174.75475941038601,38.69069796952566,A,C,199.96580936614254,A,C,0
Germany,B,A,A,D,B,3.741424365259369,B,221.05273825339356,-109.16028356141246,E,51.91767413681635,69.7048200383922,-27.97167754569781,-106.80913948312781,E,E,102.19981075030078,C,C,0
UK,B,D,C,A,A,-149.722764496377,D,36.37640725899733,-61.43955356812184,D,-59.00219545957559,-172.37823990255356,72.3405565973125,-57.182324595164836,B,D,56.493945898251894,D,C,0
China,E,C,C,B,E,-47.66652106873894,B,-1.017654029342519,75.13434632313569,A,-45.73356378864214,-28.88408595969522,-25.463075795791546,0.8286900721570636,A,C,-191.60482090848814,E,B,1
Germany,B,D,D,C,B,-2.035092091520505,E,-70.93554308355834,-96.57396390755754,E,-171.7905054064222,-91.53425384852693,-49.41247316285631,96.62131113771889,E,A,-187.1051930959518,B,B,1
Other,A,A,D,B,D,-43.23593818622955,A,49.40616036197106,-12.940981676145569,A,-18.854265177041878,-86.10166709911468,-28.686311314277845,63.855671812591076,B,A,89.78082096079386,E,B,0
Mexico,A,E,B,C,D,93.05810947921755,D,-60.30256352594543,-38.62366426319305,C,56.62840843779821,-140.0068460737748,47.08728796904686,5.5180599440752145,C,B,57.85186429526843,A,A,0
Other,D,D,A,D,A,-157.05005562934983,C,77.61665901441614,59.470891433626626,B,116.38242594697542,77.55239316139165,-99.98173180200735,-108.43582606562751,D,A,68.68518052113484,A,C,0
Brazil,A,C,E,E,A,-151.6779131747707,E,-19.65765009335693,41.96929183639252,E,-147.52441307507752,-57.733287179341374,-119.76235965656059,23.426504060537667,A,E,-233.78119829927314,E,D,1
Mexico,A,A,C,B,B,8.126631668683975,E,-141.04813798478966,-35.27630705386846,C,22.88309349673121,-10.43668187741939,1.6895703479528248,-25.706943983449033,D,B,-12.884142288082218,E,E,1
India,D,C,D,C,C,-33.787355214070445,A,-120.88926679286287,112.0903447434532,C,75.2415492789145,-42.85626347420522,-120.37541955944118,135.63967101193887,B,E,54.26780210511172,B,A,0
China,E,B,E,E,E,-283.14669075385194,B,-74.05822428131843,-6.840442047803033,A,-92.20088101739145,49.943657789254914,62.23973345615777,-93.37587726444563,D,E,-93.04103553238326,D,B,0
India,D,C,A,C,B,-67.47366163792614,B,25.02320020697767,-32.487598819404575,C,81.4797679309347,-0.7044659175997784,-14.938648843324383,-75.3997690910227,C,D,-80.9917783459184,A,E,0
UK,D,E,C,D,C,-35.544773760629326,D,-109.5661387686737,23.52335469564309,A,8.394867459449154,-111.04395398595616,82.90053308074603,-5.697175788010673,D,B,-46.7172458839746,D,B,0
Brazil,E,D,B,D,B,-29.72117268926912,B,9.690319285854267,-76.29035243116297,B,-170.43295721630514,-80.05863652340405,-53.883599806391004,-171.76466376655893,B,E,-85.73328576243607,B,E,0
India,C,A,C,E,D,-107.8159609731201,E,-106.30393020180715,24.886623892236635,D,159.88703287082126,-143.23645747761933,-33.6631688060827,-91.75745919610013,B,A,10.631962829038903,E,C,1
