Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
None,E,C,C,B,E,A,-136.73155291586548,64.0851297859593,-51.059634306741465,A,0
Jewish,C,D,E,D,D,A,91.33205284871002,-31.7163463026729,-33.64435147935447,B,1
Other,E,A,A,A,A,A,-69.68171245856783,-14.247240856953699,-153.44601832736188,E,0
Jewish,B,B,E,C,C,D,-49.51508405909006,-122.79153921249329,-52.00981735947394,A,0
Buddhist,D,B,B,E,E,C,-97.945195197909,54.41346100437324,-150.11160200390563,D,0
Hindu,A,E,D,B,D,B,-97.71582097053445,-97.22659479674995,-95.01775607774556,A,0
None,D,B,C,A,D,B,-73.96280797988737,126.74461968219181,53.09331378000387,E,1
Hindu,C,D,E,E,A,D,82.52043051214835,-99.97121665345352,-38.30954840426777,B,0
Christian,A,C,A,E,C,C,85.7633527872152,15.638291727705228,-125.31182174785303,E,1
Other,E,E,E,A,C,D,-30.3040856501037,72.65472520019438,-164.7952633407995,B,1
Jewish,E,E,A,B,C,C,-113.52050295167832,-25.005300943674403,92.3777285915396,B,1
Buddhist,E,B,B,D,A,C,98.26320981613839,-147.81707304232958,105.39136950696542,B,1
None,B,B,E,D,D,A,-161.53358536650325,-55.57697414825108,-46.57291515664631,D,0
Other,E,D,C,A,E,D,139.30754953750542,-93.57488463207201,-244.78050566330816,E,1
None,E,B,C,E,D,C,47.73049924026648,87.42484645037499,-112.20868612399042,C,1
None,E,A,A,C,D,C,35.022630721068865,25.402294765929884,69.26295563723095,D,0
Buddhist,A,C,E,E,E,C,0.7311392648729987,5.483156970084599,138.37195092453803,D,1
Christian,D,E,E,A,C,D,83.75221498552992,22.768719974655934,-43.18279771727633,A,0
Hindu,B,E,A,B,B,D,-18.514417141731748,-98.68400526194426,-167.41402771381365,B,1
Buddhist,B,D,E,A,A,C,23.671274849991804,120.14781706435949,-102.39136654421137,B,0
Muslim,C,A,D,D,C,D,-234.43293893343662,-126.09803290223098,48.35037864014684,C,0
Muslim,C,B,D,E,B,A,3.176337594110486,-33.806094140243765,64.92065094452083,C,0
Hindu,B,B,B,A,E,A,53.77043387871764,157.0972072036831,24.034648148053673,C,0
Jewish,C,A,D,D,A,B,51.73422750875852,-5.453973562206574,-27.900318029533032,A,1
Muslim,C,E,E,E,A,B,50.12253081635728,11.863718679739268,-117.31510039010064,E,1
Christian,B,C,D,C,B,E,-1.9039094947337858,65.12737849651292,-29.768487700027357,C,1
