Veteran,Religion,age,marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
No,Muslim,63,Widowed,22.008258798925823,-70.59205268658489,-141.27241786482867,A,88.45316072917494,D,C,-66.41508595896805,17.689361747134377,15.233492215191221,-171.11318239038152,91.65700102626187,9.920236322522166,D,9.136305321010186,-7.327801254751162,1
Yes,Other,54,Single,172.5937271181574,-50.57791640337811,-71.3637194827729,E,81.07958400215217,C,C,176.23799689242335,-118.95282953709206,222.9364066615593,90.66189040838725,151.93291741137324,17.472734225341167,B,-27.228060804006095,-140.36164816986098,0
Non-Veteran,Muslim,23,Widowed,-155.2216150084453,-68.82336322142145,-44.637957256915506,A,-43.33619353527085,B,C,-3.2126344888493095,131.813807893768,-10.312659439824213,-53.49461156476174,21.182585694815586,92.82279224538401,B,-203.79034977434821,-63.33589823228555,1
No,Other,63,Married,-51.122119708837346,234.8163294126441,98.43926264566235,A,-80.995190557921,C,B,-26.93783205111996,-108.40005591030868,63.17905635344182,120.59829245506792,-69.5592800866437,-67.45120054015692,B,-70.49592377622048,-32.50237129257776,0
Yes,Other,39,Married,-219.23874353124552,-0.23476967634637946,-81.73097739009452,E,-51.893453439557135,E,E,18.302950154086027,30.67657830928068,-222.89714954304682,143.53967572111196,37.385551106293924,-139.04115641902072,A,-31.62107242237609,-161.0677975355529,0
Yes,Jewish,30,Married,-127.00218871396667,93.15726648752099,64.022170565201,A,-43.69601350051829,A,D,101.1545192087978,134.91338308057072,-160.44828650632476,-31.84812013723582,-76.2311584268721,-153.5231255248554,C,134.56256148843258,-2.679839568281346,0
Non-Veteran,Other,30,Divorced,-58.53250509047556,-66.49764836098497,-105.12115564285283,D,27.070489985022267,E,D,183.07716880160982,-45.50748377808147,-45.39781854872384,10.08944665385343,-8.764661783412844,156.8327205419434,D,-117.53313139909567,71.05741116442513,1
Non-Veteran,Jewish,77,Widowed,-37.73617004105673,-31.780940214269954,-116.86622742515367,B,179.9817220109329,B,E,84.96737005567236,-102.7011114700034,-21.198462360274572,121.45139674866539,-49.21651256738095,-130.2665184702666,B,-130.80259874275563,105.55021979116542,1
Yes,Other,54,Widowed,158.69329706563414,93.6466204784435,124.12373552910726,B,37.69178071607806,D,A,-66.10691310320804,-192.08423102307265,132.52227627667023,12.947071927787334,49.952963554153975,82.47629480419559,C,16.196739403839842,-39.306574632113325,0
No,Other,36,Widowed,-60.19052007540255,-11.379458067752287,15.743023807236087,B,43.821184786419884,C,B,192.73926612049027,88.45306978901834,-23.453085277737895,-98.44921833869144,-57.35748282704321,48.04544633368589,D,-125.35868461310875,59.95412822008943,0
