age_range,country,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
51-65,India,E,99.15392329291198,D,83.26993096237605,141.95852187743182,75.97366370237883,34.17372734751534,85.52513896485678,29.52636757093113,15.380001408158941,A,29.172171117745037,B,1
26-35,Other,B,-167.00952174078174,D,109.57323899348937,-36.98979517833292,62.34664883257821,13.836559779193813,166.97760058097793,-1.8023686667189054,9.355510839381058,A,-140.92326416533308,A,0
26-35,Mexico,A,-114.750319530042,D,-26.9362691720055,-53.13869660618844,44.020694802250226,-94.14322130416919,40.60074815453801,39.95218917657583,142.22945900016103,D,-4.988846226083358,A,0
26-35,China,B,-23.911092205001562,D,2.4790322246044445,-213.69322994332438,-90.08585547412457,145.40489061938538,81.98461866817878,129.14976681002216,27.423316796448084,B,107.96985923032372,A,0
36-50,Brazil,C,-50.67570529346494,C,-0.19993396159517715,-166.45084307405335,-9.259017187964872,15.819384938899846,92.03084539247746,57.51716874168103,-111.1228522191823,E,122.23870529109489,E,1
26-35,China,B,-25.38051573045029,A,47.76651085430113,27.503587035760468,-37.63470209953175,153.224459261242,-79.82583731435105,-78.64571850489664,-72.66126517714274,A,37.008737861412584,A,1
65+,China,D,55.932205668079725,A,106.05549905857208,81.33486890678769,-71.63882359957627,-4.277890695926719,-55.01051676097457,275.05383406187553,-5.680120275843478,B,89.10418470389641,B,1
18-25,Brazil,C,104.45465354629846,C,71.06141354902596,307.75704638112984,-130.50404954158554,-53.89448475388497,-58.29304280253355,-94.12919346132209,123.4876255711169,B,-100.16398647628952,B,0
18-25,India,C,-98.54700790733149,B,67.42621429563371,-57.11629854088248,-41.52400176032215,41.58814710964579,109.504016961785,-74.85925895749494,-77.22827969157115,C,-38.20817755697482,E,0
26-35,China,A,121.20197469615637,D,72.56925041009143,-116.05712935595945,142.9548877338254,-34.43957367441286,47.077273137983795,191.16776270499182,-248.35850196335832,B,39.11394235595043,A,1
65+,US,E,77.66255430815889,A,112.89709503906036,19.709714127711543,-30.492707018429243,182.63803686079038,5.825864593144538,-25.930698983053524,-37.399099641665664,A,223.1295251048514,C,0
51-65,US,A,-75.15775929161443,D,20.623416779265767,-66.80841669807378,161.53124293014466,-143.37814376750683,23.01972426377083,29.422129268200248,159.803805271203,E,93.02058439795073,C,1
18-25,Other,C,-47.02985147042224,B,73.5609761643181,-84.75013394503814,60.58707003488851,-166.8742174971379,-21.82906855246937,100.96404734234319,-25.017197365841486,A,206.5597802123689,B,0
18-25,Mexico,D,104.91824510488156,C,148.49875526718762,77.77604781334114,-132.39692633598995,6.750809867026963,136.08311343210295,16.540013441735113,114.23803660040824,A,19.949600259792817,B,1
51-65,US,E,-31.752299679061764,C,-21.071239204939644,-88.95670864031962,70.39582952060766,-39.616941414043374,16.0343178800732,-78.17511907063547,8.628827414769923,C,-173.2789488896361,A,1
51-65,China,C,36.310265432179634,B,55.46233400343685,-169.28560381726828,179.57929110603882,-154.00339596083586,-36.398607344755995,48.21479686836449,-145.95177116352062,B,-14.94022854103182,D,1
51-65,Brazil,A,29.572826481308834,B,-13.581523162134939,-164.91414573892683,10.303455437282855,-21.05278837114328,304.5060002830031,-88.02819051750014,-19.145858662408223,E,53.78175121951037,C,0
51-65,India,C,83.51098666485719,D,95.9714106085675,-91.81740368439439,-21.211757428229355,-50.240172967826645,-24.50490530497354,-5.196929916663226,185.43377988482763,A,-62.44601827120144,E,1
51-65,Mexico,C,-18.30758843747924,E,115.83772271684857,-41.83230331712785,105.17786202931259,-76.13288075778573,60.23702638282455,-85.55637319714306,10.027590968753897,B,27.45688465802588,B,1
51-65,Brazil,D,-80.14739912937159,E,-0.8457631314511294,91.6287633833193,-0.980319459274415,102.16544147504642,125.08017450687589,-158.78264397803406,-14.125263130052273,A,-88.20529103270367,C,1
18-25,US,D,46.25950891175635,B,168.92660763180854,9.215877484427075,19.939920212398107,-102.24302501926586,156.9780298092052,-112.79470682494006,130.07026831826462,B,82.06532934313566,E,1
18-25,Germany,D,-16.78291416096107,D,4.569816317895497,51.112447511622605,-20.700418214317743,-114.57642486115493,96.85509935592829,-46.8985576959969,189.42373160516294,C,-35.45809954807699,C,0
65+,Brazil,B,0.40358725864266937,E,-27.31792521867841,-42.34178479126583,-101.93263691711051,36.80071647695048,100.21452802069469,85.3474819759236,-28.926699952128676,A,201.55944068671667,A,0
18-25,UK,B,66.62177148239041,A,-58.696406291770984,74.76369170638112,77.80802421555371,55.47107938844126,-6.618896910850933,-31.29536840579409,45.624417295745516,D,-117.58713264617597,C,0
18-25,Germany,D,74.82969360904322,A,-95.04263859990319,80.86912791274182,80.23113708448001,24.36009824159226,-351.2930857185189,217.11765487869576,167.9642429227049,D,166.1204628985773,B,0
65+,India,A,-2.0231716688592996,C,83.61632801635405,182.78090857125488,3.4302572659773793,-49.129010039426326,79.09885016316251,-1.13031827795415,142.97790044403885,A,229.37786084508406,D,0
65+,India,C,-53.96513136428296,D,127.24183865994982,-58.54923923419525,-187.73399965412986,4.671199309412117,-50.63924999207755,-26.770942021594628,-136.09069236715433,A,-10.490493932780574,C,0
51-65,India,C,70.10472699261723,B,27.283231831458497,-35.466541971611484,-3.1580303745558944,105.59015998457339,-87.85313181766784,52.940278407133775,-10.401896676685498,C,121.88698647098842,E,1
51-65,Mexico,B,41.63700853658851,D,97.24134192260941,-172.07301975484094,-73.21597412700378,-5.888371794282012,118.49556064558051,79.28315857742116,-97.96043054888014,D,-56.10137493600534,E,0
26-35,Brazil,A,157.30885996079144,E,123.16888533881236,-78.84396185646766,41.29541611337686,46.23326950403191,42.88619406521053,-32.55002544658779,134.7838605139543,B,-78.85781290636842,D,1
65+,China,E,77.64945148248104,B,62.3757307734348,-146.78693196337608,-104.43081714647795,-108.30852856571028,83.26186453391648,81.33478782712244,-24.977969728544412,D,78.05489988819592,C,1
65+,Brazil,B,32.554476997543304,D,-32.06745155449189,166.70199628073735,124.40528347753359,-23.079783365841145,-72.17428878319433,-89.5957728795552,19.210235124494083,A,56.57176679324999,B,0
65+,UK,A,72.73713552211557,B,54.13026422367153,57.51533732197163,51.73336171189005,4.147346384850873,-85.43242330093868,-2.746115244974175,75.0501034187771,A,4.399564824552733,D,1
