age,marital_status,veteran,disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
30,Single,Non-Veteran,Yes,-35.93737877181426,33.934835105840634,B,D,B,101.79767285755348,E,E,-16.400015645492765,B,0
20,Single,No,No,-2.516772380180075,324.2525239581336,D,C,B,104.803658929037,E,B,-138.17822900287163,C,0
46,Divorced,No,Both,-164.28673824739008,-133.69259236422647,B,E,B,-76.03559412277858,A,A,-114.46909017085214,E,0
55,Widowed,Yes,None,21.251638270165948,-34.593771515274604,A,B,C,31.068678560569516,E,E,111.92139402817149,E,0
97,Married,Non-Veteran,No,-1.208609452206433,61.71071706290242,A,C,E,195.31596809649852,E,D,111.08273838515169,C,1
34,Single,Veteran,Both,78.60634043871472,-122.57102406788896,A,E,B,115.76878073793331,D,E,52.749792934193565,B,0
28,Single,Veteran,No,-79.42685285405341,31.117689100700613,A,D,D,-95.4385291130248,B,E,88.0755863980735,D,0
98,Widowed,No,Yes,103.02974345630842,25.28301739096992,D,E,C,78.9415310974189,D,C,173.99664382045626,A,1
97,Married,Veteran,Mental,-28.534353195572237,-11.677128989969532,A,B,E,61.68581786811457,B,B,-131.03675556813062,B,1
67,Married,Veteran,Yes,-122.30980954903248,-31.907708894025344,E,A,B,120.20551104604557,A,B,3.733866448817581,D,1
89,Married,Non-Veteran,Both,72.6494395295504,-115.49175874111009,B,C,B,81.57249136625687,D,D,-41.55850985510084,A,0
33,Divorced,Non-Veteran,Yes,89.83745087862764,-191.8346271746711,D,E,D,99.32342971803094,A,A,156.10632759852678,A,0
46,Married,No,Physical,-25.54228350106356,-69.500969465417,C,A,D,88.1864191902644,A,B,16.28743565761655,A,0
85,Widowed,No,Both,-90.8086596712095,111.86846548788694,E,A,A,-19.89316392972901,E,C,53.52801853516149,E,1
75,Divorced,Yes,Both,43.854877124770006,-117.88979743999701,E,C,B,-132.91550498648004,D,D,53.53965498907376,E,0
88,Divorced,Non-Veteran,Yes,-228.9784992809949,24.60459604120569,C,A,D,8.121182513095906,B,A,-3.39701377789796,D,0
57,Divorced,Non-Veteran,Mental,-128.7189851458682,-5.941350756350188,A,D,D,62.41144996043552,A,E,-173.9921892981641,E,1
86,Single,No,None,184.24023734791882,61.863389797537174,D,D,A,91.61125336734499,A,D,169.2278469525847,B,1
61,Divorced,Non-Veteran,Both,20.625971465998212,35.79182978819782,B,D,A,53.032201832451776,B,B,30.85398729303209,E,0
40,Widowed,Non-Veteran,Both,-202.48084259846806,-53.94418419183871,E,D,A,-90.50222580252985,D,C,-113.16932608285191,E,0
97,Divorced,Non-Veteran,Both,9.835059878102106,7.282473781622952,A,A,E,-23.51286757225578,B,A,-126.29715776797067,B,0
45,Single,Yes,Physical,61.553929979576225,-83.0970636364049,D,B,B,87.95321997790613,D,D,-125.96736870525274,E,1
87,Divorced,Yes,None,83.49128747909532,-43.572386687510814,B,A,C,226.25708898946968,C,B,-31.16849778906064,E,1
81,Single,Non-Veteran,No,45.74968550147868,76.34837918145632,B,A,C,-19.325386784939774,A,E,123.82293752877689,E,1
80,Married,No,No,22.949102816789647,-8.057265228261379,C,D,B,-0.731375125432871,E,C,88.61556326630554,B,0
64,Widowed,No,None,104.50546989143466,-80.22063875748655,C,B,A,-41.80340032685271,A,C,-33.47803884664992,E,1
97,Divorced,Non-Veteran,None,191.14637581188876,3.1255555637196926,C,C,A,37.43771705552789,C,E,-193.04439257935718,A,1
25,Single,Veteran,None,13.938297577428472,-22.319600781524148,D,D,E,-151.91912773056555,C,A,28.924704538442835,A,0
47,Divorced,No,Physical,-25.412442433777784,73.67644231091991,A,D,D,-63.25119471927607,E,E,-54.233741524214516,D,0
46,Divorced,Veteran,Mental,-130.40078400123883,-2.909693986619635,C,E,E,-68.52242320566924,C,B,-99.50306761020782,B,1
38,Married,Non-Veteran,None,63.76539314159875,-101.36021675005584,D,A,A,4.013710401248583,C,B,-2.2146607972209393,A,0
94,Widowed,Veteran,Yes,-84.87342225051394,46.68002596484986,D,C,B,-136.16585197600298,C,B,-53.51477736062213,B,0
84,Divorced,No,Physical,-4.138228902340623,-88.70306600369125,D,B,E,-82.33409618623533,B,A,95.38887781503897,B,0
24,Married,Non-Veteran,No,18.64769374012768,-39.61241162970252,E,C,E,35.22266045799473,B,B,86.77023205909963,B,0
28,Widowed,Non-Veteran,Mental,-126.76305107490553,-146.18685223614935,B,E,E,107.91432238107322,E,B,111.42445803883503,A,0
79,Widowed,No,Yes,-125.95757844922969,-68.71404487634018,B,B,A,-109.16338260831115,D,C,-23.965118959943556,C,0
35,Married,Veteran,Physical,-14.047983495952668,101.67594473026926,D,E,E,16.942277874784846,D,D,106.39977826926994,C,1
76,Divorced,No,None,-54.88115944940155,-16.453717169231034,E,E,C,-184.18261003233488,A,E,-53.8456752746292,C,0
82,Widowed,Yes,Both,-32.02302719135012,21.244299425667872,C,B,D,-197.0010994782366,C,D,-123.61458048015442,C,1
81,Single,Veteran,Mental,28.33839056212486,127.31693216797795,C,A,B,168.51971273201713,C,C,35.77830699684818,C,1
51,Married,Non-Veteran,Both,48.8635383447417,90.83256694332509,A,C,C,-7.340693423580837,D,E,-58.3461053230716,E,1
75,Divorced,Veteran,Mental,31.20793243036426,49.32866058741938,C,C,D,136.48352066534585,D,A,-84.36308726351545,C,0
82,Divorced,Yes,Yes,101.14079157143058,-14.526866438778876,E,B,E,167.10901978703302,D,E,-75.91730917167276,A,1
