ethnic_group,country,Age,feature_0,feature_1,feature_2,feature_3,feature_4,target
Other,Mexico,24,E,E,-36.30173630353013,E,A,0
Black,Brazil,60,C,A,7.369857850014072,E,A,1
Asian,US,20,C,D,2.3355206907270754,C,E,0
Asian,Germany,49,E,A,35.72288734263221,B,A,1
Other,China,60,C,E,-14.508390947288571,A,B,0
Black,US,79,E,E,99.10638294445022,C,D,1
Asian,Germany,56,C,E,3.760241887457836,C,E,0
Other,Other,55,B,C,126.67129024660014,E,A,0
Hispanic,US,19,B,B,-63.654189836990284,B,E,1
Hispanic,Brazil,50,D,A,31.249248062541323,C,D,0
Hispanic,India,74,E,E,-171.22368750244544,E,E,0
Other,Brazil,50,A,D,140.60804067373823,A,B,0
Asian,China,72,C,C,-229.65456873750378,D,A,0
Black,UK,55,D,C,-116.25425797280133,A,C,0
Asian,Brazil,41,C,D,92.97299371595969,B,E,0
African American,India,62,D,C,52.859407687082204,C,A,0
Asian,Germany,56,B,A,84.29835243658236,D,B,1
Other,India,50,E,B,69.05762474397865,A,C,1
Asian,UK,74,B,E,47.15421294731278,C,D,1
Other,China,33,E,C,-66.13392261357404,C,C,0
Hispanic,Other,53,C,B,-66.66417660466789,E,B,0
African American,China,37,E,A,153.64494104344314,C,C,1
Asian,UK,51,A,D,-140.19217853858993,C,B,0
Black,China,68,C,C,-103.34107393858152,D,D,0
Black,UK,29,D,A,50.45236826212628,D,B,1
Black,US,71,A,E,162.71440757568598,C,D,0
Black,Brazil,35,D,E,148.3735173353261,C,C,1
Hispanic,Other,28,A,E,-257.4463692843271,D,A,1
Other,Other,61,B,A,-142.9638379904941,C,C,0
Asian,India,55,D,C,14.234549493164506,D,B,1
Asian,India,57,B,C,-16.729686075417433,E,D,1
Asian,Mexico,50,E,E,-130.95739892181413,D,C,0
White,US,71,D,D,108.02271938873402,D,E,1
African American,Germany,47,B,B,-81.10388915287669,A,C,1
Black,UK,49,E,D,155.52049289959265,E,E,0
White,Mexico,77,A,A,35.186120833954234,A,C,1
Hispanic,Mexico,41,E,E,-142.08637425380803,B,E,1
Black,UK,53,D,E,-95.12639005667899,C,B,1
Asian,India,56,B,E,91.74980489845821,A,A,1
Asian,Mexico,46,A,A,49.57044108838292,C,A,0
Asian,UK,31,B,A,7.331786045108816,B,C,1
White,India,62,B,E,83.99701355038289,A,B,0
White,Brazil,30,B,D,29.849239689325195,D,A,1
Other,Mexico,29,B,A,-12.253241979673342,E,A,0
