religion,Veteran,marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Jewish,No,Widowed,237.4330891668974,B,-105.45883569070817,C,-95.10503094556138,B,B,C,A,4.3291371838498875,D,1
Muslim,Non-Veteran,Married,15.73620287446092,B,37.13644150820274,B,122.39756721759292,B,B,E,E,28.620867224394626,D,0
Christian,Yes,Divorced,-23.011524889420713,B,12.247233497491631,E,-114.86637624156782,E,C,A,C,-123.68081614118502,A,0
Buddhist,Non-Veteran,Widowed,121.32912113452201,E,-41.18167738814729,B,66.16968484552359,A,C,C,A,108.60810884050028,D,1
Muslim,Veteran,Single,-67.69637359585441,D,-87.06759443307487,D,-128.51497572293778,B,C,D,C,-32.81052813450919,A,1
Hindu,Non-Veteran,Married,21.172541988027287,C,66.24441300475657,E,-89.05072503877275,A,D,A,A,113.60353208257467,D,1
Jewish,Veteran,Widowed,-168.03818755528232,E,-84.26091354777036,A,139.0520733203305,E,E,D,D,60.86320167462637,D,1
None,No,Single,39.80164453737005,D,-27.77628801107458,A,-23.95379974696181,E,C,E,A,126.93667511444289,C,1
Jewish,Non-Veteran,Married,-82.74080407201556,E,139.01538374800765,E,-157.51649621294072,E,B,D,B,77.7042154636961,A,1
Muslim,Non-Veteran,Divorced,39.09952620402102,E,77.6611716271139,D,-276.1500908136749,D,D,C,C,119.21855559759238,B,1
None,Veteran,Single,-25.15681331010314,D,-64.4577879407133,A,52.95186740898866,B,E,E,D,-7.391827230424363,E,1
None,Veteran,Single,-72.58216224901749,B,73.07701969693306,C,-108.0556996973992,D,A,B,B,-103.14762645895594,C,1
Buddhist,Non-Veteran,Single,139.71583450816394,C,-32.9001260414019,D,8.69187970755481,D,A,B,A,-17.270749767180078,C,0
Buddhist,Veteran,Single,-74.94294319681241,C,114.52830211686846,B,14.381105209694855,C,A,D,A,-63.194698044959615,E,0
Jewish,No,Married,22.458947871582442,C,-146.35071878240817,A,-23.49434305223023,B,A,E,E,100.79492418228755,E,1
Muslim,Veteran,Widowed,-45.35766188992943,B,3.484446049107954,C,80.3201338589776,A,B,B,E,34.67001105136646,C,0
Christian,No,Married,88.37329616432523,B,-61.30784224046536,D,31.667942923008585,B,A,E,E,30.950544245167183,D,1
Other,Non-Veteran,Widowed,149.5768074458466,D,28.773604397767127,A,-290.783095016613,C,A,E,A,92.83809732908497,A,1
None,No,Divorced,-210.47590358105296,A,40.02472867217692,D,-118.64532734605694,C,A,C,D,70.70366195845101,B,1
None,Yes,Single,44.582897931621915,B,96.0816494794425,B,-120.95531160339961,D,B,A,A,97.20850654009607,E,0
Other,Non-Veteran,Married,-134.68633804178046,C,-34.29862741026677,E,113.01526065145696,A,D,A,D,-205.693114257567,B,0
Christian,No,Single,-64.36402494388224,B,83.30374440997309,B,6.772482128408827,A,A,A,E,158.87162128657778,D,0
Jewish,Yes,Divorced,125.20028159254008,C,43.97646944665918,C,106.34639729603867,B,C,D,B,-55.036710035092185,A,0
Other,Yes,Single,88.39314280906063,B,-25.671037781385632,D,233.66632199714826,B,B,B,A,-52.708914493486745,D,1
Jewish,Veteran,Married,109.89791129787608,C,-9.434298114566628,E,53.117306481519975,B,B,B,E,-29.491695242320564,A,1
Christian,Veteran,Single,46.43120115537614,E,-83.22824428974107,B,47.13368023491788,C,C,B,A,-74.41748467679096,B,1
Jewish,Non-Veteran,Single,1.1167667390079077,C,-40.77680466105816,A,134.62808804453283,B,D,A,B,-47.000291270905095,C,0
Jewish,Non-Veteran,Single,-246.2738561457483,D,56.33279874277288,E,-47.67392056414303,B,E,E,D,3.367490109429895,E,0
Buddhist,No,Married,-7.785672661336357,D,-83.02902363483454,D,-124.48560859472086,B,B,E,A,-57.256071163809665,D,1
Christian,Veteran,Widowed,-127.39270594855125,D,-48.24791989707068,E,-61.62082055067933,C,D,D,C,-189.8872957176685,B,0
Other,Yes,Single,199.02049579046135,B,121.20538211722216,B,96.12922985776369,C,D,C,E,-113.45572522730659,A,0
Other,Non-Veteran,Single,150.61283215063494,C,11.797418338484855,C,179.05977696220896,E,A,B,C,-112.04573831180127,C,1
Muslim,Yes,Divorced,164.22334444837568,B,24.664789223865895,E,-92.69243195129533,C,E,A,B,50.33108737236186,C,1
Jewish,Non-Veteran,Married,108.96196001752496,B,70.06845970108768,E,-135.85809722762062,B,D,E,C,-3.714144247915071,B,0
Hindu,No,Married,47.44348029555275,C,58.852875142350655,D,171.6232242157082,B,A,C,B,-33.61173548470563,C,0
Muslim,No,Widowed,102.61135726673017,A,-144.44286919102169,E,19.661828805820516,D,B,B,D,-47.691073268868486,D,1
Other,No,Divorced,115.22331505756942,C,-80.19848975584912,E,34.52473526136522,C,B,E,B,78.34702101661838,A,0
Christian,Veteran,Divorced,-98.71590055237117,D,-100.00025995821247,E,137.49722161677366,C,D,D,B,-27.986185826545718,C,0
Buddhist,Veteran,Divorced,-20.463273450399715,D,-1.3052626059944792,E,49.43060630580415,B,B,B,E,2.7922114062280468,E,1
Muslim,No,Widowed,169.44046503348451,E,80.01133201092372,A,-113.4698928672044,A,B,C,B,0.18982387036446843,B,1
Buddhist,Non-Veteran,Widowed,-78.14800849333812,E,-117.72152718251358,D,-116.93522605612243,D,B,E,B,-41.06763249874074,E,0
Jewish,Yes,Widowed,-70.79016575698765,D,18.714203112114138,C,-38.79698012609673,A,E,B,B,25.93184848659009,C,1
Hindu,Veteran,Single,123.83790113239432,E,-103.00340069772311,D,3.67957732930237,D,E,B,B,147.9802811651721,D,0
Muslim,Non-Veteran,Married,-101.35964849302479,B,-127.91647822777807,D,147.05419118918238,E,B,E,D,-12.18997112677253,D,0
Other,Yes,Single,-44.71468782743121,E,-207.85779679329045,A,35.132188653643674,A,C,D,E,-76.39456752101778,D,1
Buddhist,Veteran,Married,-14.864694876713235,B,94.50175288913243,D,-60.08886894915747,E,A,E,C,-139.85787029307693,A,1
Muslim,Yes,Single,-115.63178564357584,A,-4.554816885028486,E,-337.47373476128445,D,A,C,E,26.479818230860356,E,0
Jewish,Yes,Divorced,90.83168443749756,C,-102.32342233249818,C,21.796678922533417,C,D,C,E,-4.95509003325946,A,1
Hindu,Veteran,Single,59.20785255670247,A,44.311789219639365,D,18.52097280836242,B,D,D,B,-136.1278148858627,D,0
Jewish,Yes,Widowed,104.97864729591211,C,-112.17866695773068,A,67.77992177364823,A,A,D,E,27.821445750902598,B,1
Muslim,Veteran,Married,154.57917923402863,A,-158.75339962928993,B,-8.929194294617972,E,A,C,A,-67.40216577036156,E,0
Buddhist,Non-Veteran,Married,-43.47104768358448,D,45.13693870960283,E,5.493685768678579,C,D,B,E,-7.546364716919787,C,0
Muslim,Veteran,Divorced,-34.96636364469611,B,15.987643975496427,A,89.43794766991995,A,D,C,B,-39.30583726589648,A,0
Hindu,Non-Veteran,Married,-18.39309761519027,B,-175.34996125880306,C,27.595921936414385,A,C,B,D,13.560554705138383,B,0
Muslim,Non-Veteran,Single,141.1783990750976,A,-100.98348030155901,C,9.919082903642593,A,A,B,A,134.62555947221452,D,1
Christian,Veteran,Widowed,-40.55755598109233,E,-12.433146395271406,A,-32.35770038428804,E,A,E,B,-139.52570269631678,C,0
None,Veteran,Married,-78.56961224020515,E,-83.4864449440571,B,-277.35524255595146,C,D,D,E,-46.50358633596197,B,0
Other,Veteran,Widowed,121.24965914405583,E,78.62925930812258,E,-58.114007331886555,E,A,B,C,71.84352406394959,D,1
Hindu,Yes,Single,123.35559726835857,D,36.63921934297979,B,-149.6522368428761,D,E,C,E,-2.6790792574954403,C,1
None,Non-Veteran,Single,-38.07472562055473,C,-134.56352296315134,D,166.65302434163564,C,A,B,B,-121.45706474266763,A,1
Christian,Veteran,Divorced,62.59766893490065,C,-131.94834638257785,E,-45.43008149324567,B,D,D,D,110.83261496653247,E,0
Buddhist,Non-Veteran,Married,124.48057203463911,E,-66.33672225489113,D,-231.17795218732923,A,D,C,D,-64.54703547295158,D,1
Jewish,Non-Veteran,Widowed,-126.14246901281882,B,-21.616792466169,C,184.4882216131464,B,A,A,A,104.99683168601067,E,0
Christian,Yes,Widowed,-28.0694577973943,C,92.82664923032377,E,-59.892245610163165,A,E,A,C,97.38466499047853,D,1
Muslim,Non-Veteran,Divorced,-19.04950579026422,C,23.89204189394148,E,-101.43737382195728,E,C,C,E,104.25850976632276,D,0
None,Veteran,Widowed,-19.96862449437965,E,79.57383180070669,B,200.65738396674155,E,D,B,B,-26.010908379479126,B,0
Other,No,Widowed,131.83359458756487,C,88.60864207532522,A,28.328330241755495,B,C,B,C,77.90878484291619,C,0
Christian,No,Widowed,-196.28138214443948,B,-37.98628494546214,E,-67.21545202421287,B,E,D,A,-51.09771727708188,E,1
Hindu,Yes,Widowed,174.79777849421706,C,6.032021531734884,C,86.51209664315044,D,C,D,D,71.59199555402088,B,1
Other,No,Widowed,77.71382750532084,E,109.50565662948841,D,18.571884541436916,A,C,A,C,-35.390140132483616,C,1
Jewish,No,Single,-42.46480086795074,D,46.59305429536423,B,56.12470274775496,B,D,C,A,-97.06457922745383,C,0
Jewish,Yes,Divorced,-107.68035365477877,D,39.82242460437063,A,-13.604786898811172,B,D,A,E,-89.42747411105675,C,0
Buddhist,Veteran,Single,-83.12291223661616,C,244.7417195686012,A,36.09251828999153,D,A,B,B,239.54970356980948,B,1
Christian,Non-Veteran,Widowed,-71.57507843587622,D,-96.24106216083834,D,-70.51353724869736,C,A,B,D,-3.64398959755311,E,1
Other,Yes,Widowed,123.21682973558814,B,-184.45445257429625,B,41.373292062921045,A,C,B,B,52.51440283969446,D,1
Other,Non-Veteran,Divorced,85.04179712001721,D,-67.51944991689412,B,-64.7829675149047,E,C,B,B,123.58750614713279,B,0
Hindu,Veteran,Single,-10.375794221909539,A,51.65987946395547,C,-16.695813831509312,D,B,B,C,-5.658508162801572,C,0
None,Veteran,Divorced,11.534654756582933,C,-195.39234714445385,E,3.7126248066752154,D,A,C,B,-155.70113607639388,A,0
Christian,No,Divorced,-51.7402554922923,E,50.94826254948212,A,-88.89767406043471,A,D,A,E,97.96731843398315,B,0
Hindu,No,Married,-84.87432666323869,A,-88.41114640265917,C,42.033225862439345,C,E,A,D,-6.573979454341028,C,1
Other,No,Divorced,78.01334821922886,A,-23.337318046534087,D,-50.41230510072452,A,E,D,A,-71.63819003862292,C,1
Christian,Veteran,Widowed,-59.12915272536553,B,-39.51064034874712,E,6.535939054997019,B,D,C,B,-143.00707946582338,D,1
Other,Non-Veteran,Widowed,210.94697038554057,C,85.92018532484224,E,3.25473184678313,C,E,A,A,-78.03084587592359,E,1
Jewish,Yes,Widowed,98.45154342248458,B,80.26737823514392,A,-24.41755788753826,B,E,B,C,-40.95330336013419,B,0
Christian,Veteran,Widowed,-259.35925569907545,A,6.728810624311915,D,151.37671226850685,B,D,C,E,186.78139979932297,C,1
Jewish,Veteran,Single,-3.046973070667831,D,36.946842547275416,B,20.86474689835839,A,E,D,D,33.40000485578993,A,1
Other,Yes,Single,-31.096387607896553,B,-52.55720321455638,E,-34.87173129971394,E,E,C,D,-77.55230161817349,A,1
Hindu,Non-Veteran,Single,-73.01365441679114,D,61.50332831841464,E,127.98543536410479,C,E,C,E,-162.87464907400891,D,0
Buddhist,No,Widowed,268.8560042234421,B,-139.02617929778432,B,-133.48551591236725,C,B,E,A,54.89241240377998,C,0
Other,Non-Veteran,Single,2.975410232148882,D,-73.67471170674574,D,-120.28673811573137,E,E,B,B,-12.024814292229813,E,0
Muslim,No,Married,-82.56310910258642,D,-98.80516870415998,A,-76.88014234650619,B,A,B,E,173.2889012117693,E,0
Other,Veteran,Widowed,75.28664345555853,E,55.19042706558576,E,91.15044853478594,C,E,C,B,-34.90573044442064,A,0
None,No,Widowed,-41.763378251262814,C,55.21131600437615,E,-21.87586064950344,D,C,B,D,28.325097470437356,C,0
None,Veteran,Widowed,-107.18589021478036,E,-45.903955527250695,B,-65.73820501383223,B,D,B,B,-152.6675748141863,D,0
None,No,Widowed,-121.51704663695111,E,78.25792160505583,B,52.93560431823864,B,D,C,C,-71.14596279516218,D,1
Jewish,Yes,Divorced,188.059858348867,D,-198.32152644434663,A,208.74574766707704,A,D,D,A,34.77115810954825,B,0
Buddhist,Yes,Single,187.37598821121856,E,135.2792959384103,C,71.1032349374668,D,D,E,C,21.561124817967382,C,0
Other,Veteran,Married,-31.397161704582228,D,-112.41557253448853,D,-41.17297946522169,D,C,B,B,117.05483095641551,E,1
Buddhist,Non-Veteran,Married,34.330136575266174,E,-127.55110734715109,A,-47.80786598866325,D,E,B,A,-141.23523384487356,C,1
None,Yes,Widowed,-16.952420365775527,C,-79.44946731367088,B,-219.45427941905496,E,D,B,D,133.14438326106097,C,1
None,Non-Veteran,Divorced,26.50404812035224,B,-230.9324620829751,B,66.13512414948566,D,A,E,E,-69.24766601566759,B,0
Muslim,Non-Veteran,Married,50.497639730086206,B,-37.22939973271961,A,25.822425514282816,E,A,D,E,-108.47891814140924,C,0
Buddhist,Non-Veteran,Divorced,-20.996135895556623,C,34.24539857702162,A,71.00796189120986,A,E,D,B,-11.08054221428887,D,0
Buddhist,Yes,Widowed,119.54929579782714,C,-15.052084863486003,E,-136.36306070462373,B,D,A,B,12.30699461281316,C,0
Hindu,Yes,Married,80.15097576873413,E,-1.6460026353629469,A,-147.02810698058565,A,E,D,D,-61.788360862187616,D,0
None,No,Married,96.8129468162559,C,112.74740572088761,C,-50.30834544715395,C,D,A,B,84.28370576844102,D,1
Other,Yes,Married,-61.98379837962184,D,-107.43350311391336,C,118.43133781866256,C,B,D,C,26.7695235204622,B,1
Muslim,Yes,Single,388.1319611052021,C,33.4291942137418,C,84.12221364455563,D,B,C,B,-163.28579624027628,B,0
Other,No,Married,5.746951784221956,B,40.287787430823165,D,19.823745693154947,B,B,B,D,66.16155163733723,E,1
Muslim,Veteran,Single,160.61557157640522,A,-174.02301644004893,D,122.31725950643953,B,E,E,B,-111.99678611389426,C,0
None,Yes,Single,-136.3663062159363,E,-78.82319655518006,A,62.482553537111194,B,C,A,D,-6.017174073243808,B,1
Hindu,Yes,Single,-7.389520435641305,A,74.61579668888277,D,6.441299795049369,E,D,B,B,104.16947485198872,B,1
Muslim,Non-Veteran,Widowed,112.81857183508485,B,-68.97220841386122,C,27.436139508419462,B,C,B,E,-123.75366696861035,D,1
None,Veteran,Married,-265.5035631542182,E,-35.0679015481908,E,55.37262570940204,D,E,D,C,-200.89196804970126,E,0
None,Non-Veteran,Divorced,68.8507061172563,D,0.9258589011821161,A,-145.01874910620785,A,A,B,E,-101.08747005766614,E,0
Christian,No,Divorced,20.468075518316663,D,139.10301785232969,E,-2.892377354514115,D,A,B,E,-110.83026778674801,B,1
None,Veteran,Divorced,-68.83331447232537,E,61.532669868237456,A,16.52331085192668,D,B,E,B,-76.22683683805445,C,1
Muslim,Veteran,Married,-62.68245402831846,D,-69.95542964521042,D,21.162722682633987,D,A,E,E,-35.38679017820478,E,1
Muslim,No,Married,-98.61891448796315,D,-27.467779233330024,C,111.95247668067067,D,D,E,E,92.23964995672789,D,1
Hindu,Veteran,Widowed,-21.261490709504976,E,135.1801478617005,A,-265.2656284396651,D,D,B,D,34.92115844967982,C,0
Muslim,Yes,Divorced,-11.650542397561821,E,-0.9048214368783422,A,-18.78406605928091,B,A,A,C,68.5606167733611,C,0
None,Veteran,Divorced,-29.017308404565313,D,-150.06354936069053,D,36.785583321248545,A,E,C,C,122.79378769592886,E,1
Hindu,Yes,Widowed,-60.5301487800141,A,8.266096974222014,D,237.31506436029485,C,D,D,A,-45.35560588319817,B,0
Buddhist,Non-Veteran,Married,0.08111989458740684,A,32.57944361989147,A,252.063501002121,C,D,A,E,79.88575617249279,A,0
None,No,Widowed,84.14544140855152,A,-6.645653502129174,B,-18.038906383946436,C,B,A,A,44.126609544922715,B,1
Other,Non-Veteran,Divorced,-50.64682564902658,E,93.22140771981687,B,30.88414757092432,D,C,E,D,-18.90026527932559,D,0
None,Non-Veteran,Single,-83.77946290531416,E,-49.157494173919176,A,-89.5287972446724,E,E,A,D,-80.39601239716298,C,1
Buddhist,Veteran,Widowed,64.39955145807306,D,6.955033522578086,A,-14.026148139699684,E,A,A,C,1.1159661039285202,A,1
Buddhist,Veteran,Single,-35.7831991951866,E,113.55592176880813,E,188.380887258597,D,A,A,E,127.68777110039136,A,1
Muslim,No,Married,69.23209442792653,E,-94.69429377221617,E,14.711391791009715,E,D,E,A,-59.80468181819164,C,0
None,Veteran,Married,5.049839430708384,D,-58.182549050265564,C,-34.91276688507371,A,B,A,B,19.635064936781117,A,1
Other,No,Single,-150.45721271658562,A,94.20851586694558,B,5.3632659491254415,B,B,A,D,-15.155849397514935,D,0
Muslim,Yes,Single,-98.98405674817482,E,75.28466430629572,B,-54.587893765641624,A,C,C,C,48.34454038700354,D,1
Buddhist,Non-Veteran,Widowed,108.30355142570262,D,-117.18687222332258,C,-95.7588168196418,E,D,A,B,49.82982289491124,B,0
Other,No,Widowed,18.289539060074798,E,136.10062914076482,D,-43.21587243039546,A,A,E,E,182.65189750603713,C,1
Hindu,Yes,Divorced,9.132525112451873,B,-131.6830691627964,E,139.26239850227304,A,D,E,C,-167.36778798219729,E,1
Jewish,Veteran,Single,-29.118922331401848,D,-52.75337425976138,D,-41.74985184243597,A,A,B,E,-17.270559046056512,E,0
Christian,Veteran,Widowed,-83.66488962694669,A,63.245138521536084,C,12.925235149495986,A,A,E,A,-31.43013382187922,A,1
Christian,Non-Veteran,Divorced,-116.94393408366285,D,-5.890209414743692,B,42.21180609883886,D,E,A,C,-93.90781643286694,A,0
Hindu,Yes,Single,-25.921097218453674,A,-149.8931658388112,B,38.18369027076159,A,B,C,E,-28.482411734922735,C,0
Jewish,Yes,Widowed,-14.109268262783308,E,43.63999205049701,E,160.53954028749783,E,A,D,A,-134.45236790229714,D,1
Other,Non-Veteran,Married,7.892698034289743,E,-25.162171150443463,D,-43.435269666524945,A,C,E,B,141.04613461606266,B,0
Muslim,Non-Veteran,Widowed,99.50058487880825,A,-20.740785037096618,D,78.56131792411493,A,E,C,D,73.35191924042216,A,1
Jewish,Non-Veteran,Married,59.1906893850632,C,168.74793716587777,E,-110.46173866108437,C,C,D,D,28.648867070448947,D,1
Hindu,No,Single,-81.67528743499112,B,42.58430105229663,C,105.51238078556315,D,C,A,E,-88.62393116316814,E,0
Christian,Non-Veteran,Married,-85.02219476407426,D,32.450852241971994,A,-106.75301051818325,B,E,A,E,-12.706820511641201,A,0
Buddhist,No,Single,76.98201978537666,B,-3.127754739125197,B,-11.913768807114636,A,E,A,E,84.35750668176655,A,1
Muslim,Non-Veteran,Married,-126.45161717037008,D,133.8475550215991,D,44.625940428639225,B,D,C,B,-40.511026117401066,E,1
Muslim,No,Married,65.41403713156986,B,-91.56443790958917,E,-40.54668874649609,B,B,C,E,-47.513475422735574,D,0
Christian,Veteran,Single,214.02212721271795,A,97.77305711058767,B,79.89974839879595,E,A,B,C,124.79124036707279,B,0
Jewish,Non-Veteran,Single,-143.21813179918706,B,-50.325364474984035,E,71.86941225848842,D,A,E,B,-96.98228113014102,B,0
Other,Yes,Divorced,-56.054446021200654,B,-95.92686865353357,E,226.36999773151368,E,D,B,E,-91.8398215309213,A,1
Buddhist,Veteran,Widowed,73.95560871549071,E,-26.3260248825947,A,-84.4635150274428,D,C,A,C,-26.38433196473689,E,1
Buddhist,Yes,Widowed,46.97470655112797,A,-146.02034468625226,A,54.650450074271305,D,A,E,D,-17.037719447367955,E,1
Christian,No,Widowed,-192.68336208942273,D,74.59504208791635,D,122.08735682442861,D,B,E,A,91.95602885597155,C,0
Muslim,Veteran,Divorced,9.281017847539012,E,35.60745181798098,A,7.2041537838737275,B,E,C,B,163.3737519291477,D,1
Other,Non-Veteran,Married,-109.40339477903504,D,-110.65539533136794,C,-74.1323937749289,D,D,A,D,55.287400309663916,D,0
Hindu,No,Widowed,-5.727566474391073,A,93.19204588646814,D,81.96239246106929,C,B,A,D,-37.85278685900232,A,0
None,Veteran,Divorced,121.08332232992348,C,-102.24287873331687,A,-156.59200535484732,C,A,E,C,120.64034990456555,D,1
Buddhist,Yes,Widowed,2.6845735054775943,C,65.30193631522937,A,4.302555459774006,C,A,B,D,-141.93602838016247,B,0
Christian,Yes,Divorced,-28.97909175443657,A,45.38485238134014,D,-107.63744941097872,D,C,C,A,-139.64302700233597,E,1
Hindu,Veteran,Married,20.7442816843919,B,-180.2079215195262,D,-78.76678825672937,D,E,B,B,78.27374187950251,E,1
Other,No,Widowed,16.731819942934088,B,-66.6359687799858,D,-89.49202694682263,C,E,C,C,50.094655133632735,E,1
None,Veteran,Married,-137.87549842025572,B,103.07622276745263,A,64.08721016081532,C,D,E,B,-27.348597859581442,A,1
Buddhist,Non-Veteran,Single,-75.12679820251978,A,1.6605775566415883,A,107.96543621448984,C,A,A,C,91.39557130365895,E,0
Other,Non-Veteran,Widowed,31.653506503443534,E,76.966086779614,E,23.990801200985256,E,E,B,B,-38.151208416393814,E,0
None,Veteran,Divorced,-93.80761611902648,C,-6.555166732100766,A,87.01207663629718,D,B,E,E,19.016770267345244,A,1
None,Non-Veteran,Married,87.92991282732862,B,58.16297627325378,B,12.38579795570232,B,A,C,A,-29.55364822108924,D,0
None,Yes,Divorced,-33.73724123683333,D,4.603333972102389,D,62.19573252446969,A,D,D,E,114.31267656646527,D,0
Christian,Veteran,Divorced,61.85608017161035,C,143.74316512702936,B,-65.6750596461148,B,B,E,E,-42.464583936051596,E,1
Christian,No,Widowed,22.486361746606605,D,-3.347775470645852,A,89.4288288361469,D,B,B,D,-78.90467227912707,B,1
Other,Non-Veteran,Married,46.91851205911441,C,-2.4310740495475,B,-86.98932418797152,B,A,D,B,-77.43847079887752,B,0
Other,No,Single,-195.96386183454092,E,21.66516526990245,B,-13.109647103631247,A,A,B,E,33.13592218421486,E,1
Hindu,Veteran,Widowed,123.76914672205888,C,-144.15162353271484,A,-66.44759470688115,E,B,C,C,-37.76282693441499,E,1
