gender,nation,sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,target
Male,Brazil,Bisexual,D,36.880361086451025,81.56312894515708,E,B,0
M,Brazil,Heterosexual,E,-40.290669990862476,70.21923740593444,B,A,1
Female,Other,Heterosexual,A,-45.17863966795011,-15.803275396567013,E,A,0
M,Germany,Other,E,28.0762709387667,-56.403412627325736,E,D,0
Female,Germany,Bisexual,B,91.98108014505057,-112.272321051224,D,C,1
F,Germany,Bisexual,D,-118.83306025500127,-35.11144073173241,B,D,1
Female,Brazil,Heterosexual,A,-11.97946127276469,50.51198837590023,D,C,0
Other,Germany,Other,E,55.62831757611699,-31.635914673639682,B,C,1
Non-binary,India,Homosexual,E,-31.864633988571256,167.31691592388216,C,D,0
Male,Other,Other,D,-238.10617356149072,117.6255192033963,E,D,1
Non-binary,US,Bisexual,D,-82.74428425480076,-128.22695988025015,C,A,1
Female,US,Bisexual,D,46.155353456645734,-78.65475047659545,B,D,0
M,China,Homosexual,A,17.47570973719381,-157.260484110521,A,D,1
F,Mexico,Bisexual,E,32.94861723939017,9.69487416150791,C,B,1
Female,Mexico,Other,B,-131.13595907667684,75.53891398276711,D,A,1
Male,Brazil,Homosexual,B,18.000960177010594,-17.08510037385444,D,B,1
F,Other,Other,A,-3.6218697369292863,-114.16893530860861,E,E,0
Non-binary,Brazil,Other,D,-3.3059769874373304,-207.9938958999306,A,E,1
Male,Brazil,Heterosexual,D,36.64538900369123,90.78141839642221,A,B,1
Male,Germany,Bisexual,A,27.620386207729013,-61.35391426135819,D,E,0
F,India,Other,D,-126.18158262149512,140.80333845383643,A,E,1
F,UK,Heterosexual,E,15.409469325880945,-170.23300081962267,C,D,0
M,Other,Bisexual,E,-6.293083342315864,42.23068398773859,D,D,1
M,China,Bisexual,C,-106.07292046875689,103.64784711901068,C,E,1
Non-binary,Other,Homosexual,C,-40.122632844692895,90.55659364298299,A,C,1
F,Mexico,Bisexual,B,2.033364598521708,1.5177150745881154,A,C,1
Other,US,Bisexual,C,-106.14588995487881,-19.85417037883666,A,A,0
Non-binary,Germany,Bisexual,D,11.252937560334754,63.51736345561356,C,E,1
Non-binary,US,Bisexual,A,17.287267831861794,-139.59793914701848,A,B,0
Other,Brazil,Bisexual,A,-22.597080354228023,36.07060584541895,A,D,0
Other,China,Bisexual,A,-168.39539163311832,-134.4938771042535,C,B,0
Non-binary,Other,Bisexual,B,52.02417237039523,-186.5453503138867,D,C,0
Male,India,Homosexual,B,56.214062384618146,223.32117034656426,E,E,1
Male,Brazil,Homosexual,C,-10.918202965071904,-5.499903679962159,A,E,1
M,Other,Homosexual,E,16.182714054676918,47.16816640203607,A,C,1
F,UK,Other,D,-23.176107832602685,-156.8835096065714,C,A,1
Non-binary,Mexico,Other,E,-146.27052895156075,14.894247062240924,B,C,1
Female,Germany,Bisexual,E,-48.87076433489148,224.70313756751997,A,C,1
F,US,Other,A,-105.98909460568065,131.65348560214568,E,C,0
Female,India,Heterosexual,B,35.56649895605462,-133.60996179308054,E,D,0
Other,Other,Bisexual,A,75.13014185802875,-3.1262798521302835,D,B,0
Non-binary,Mexico,Bisexual,B,109.68988082901244,-35.837207782442434,D,C,1
F,Germany,Other,E,82.53551789516335,-27.260321967840746,B,D,1
M,India,Other,E,75.52983275402298,-64.20395901393832,B,B,0
M,China,Other,E,73.75756987974903,163.84846824032292,E,E,0
Non-binary,Germany,Other,E,47.21437382515499,-79.9699528032413,C,A,1
Male,US,Bisexual,C,-69.10376630407717,86.0161691624053,A,A,0
Other,UK,Homosexual,E,37.626709988666676,-59.06889383456293,E,E,1
Non-binary,US,Bisexual,A,47.71753761176117,-126.89256390093493,B,D,0
Other,China,Bisexual,C,-20.251584166922747,31.56282243914869,A,B,0
M,Germany,Bisexual,B,-1.1905768395713148,113.91992712963683,E,D,0
Female,Other,Heterosexual,A,-89.0638968180104,-8.275957030267064,A,B,0
F,UK,Bisexual,C,143.7542670313858,-110.99470239412605,C,C,1
M,Germany,Other,D,44.852119754481876,-61.92407430834116,D,C,1
M,Germany,Homosexual,A,95.77102690316222,-231.14908597013013,C,C,1
F,Germany,Heterosexual,D,-75.73584069432837,97.13542773730451,A,E,0
F,China,Other,E,-152.90238691162182,-4.630020519594079,A,C,0
Female,China,Bisexual,D,2.3621156390878495,-17.47517070155718,B,A,0
Male,Other,Heterosexual,B,0.21018663937206855,-28.33336697291725,B,C,0
Male,Mexico,Other,E,-39.14134441232576,-195.77571948689362,A,B,1
F,Other,Bisexual,D,86.40681446707438,153.99337409003223,B,C,0
Female,India,Homosexual,E,-14.094196707396446,30.49032188901156,D,A,1
M,Germany,Homosexual,A,148.70427986669435,32.91601897891358,A,E,1
F,India,Heterosexual,C,32.96230203959859,-12.259600270238904,A,C,0
Female,US,Other,B,45.773575943229275,-18.984869888072016,A,B,0
Male,US,Heterosexual,D,-94.06234637883527,-118.89942133586734,B,A,1
M,Brazil,Other,C,18.010860150575617,109.63341204933303,D,E,0
F,Mexico,Other,D,111.014435351077,13.014949078274055,E,D,0
Male,Mexico,Bisexual,A,-236.89756736301618,-208.19910812360214,E,E,0
Other,Mexico,Heterosexual,E,-149.94083641636894,107.39542454794335,B,A,0
Non-binary,India,Other,B,100.74637945649059,-16.926674763516374,E,D,0
Non-binary,China,Bisexual,E,72.76240667505253,-98.96798852048224,A,D,0
Other,Germany,Other,C,70.0586138864887,-122.5463853350229,C,B,1
Male,India,Heterosexual,D,87.87745054010533,113.01133540427632,E,B,0
Female,Germany,Homosexual,A,129.0569525496591,93.5882147309322,D,C,1
Male,Germany,Homosexual,C,47.518180037044715,68.61831104167466,D,E,1
Non-binary,Mexico,Homosexual,D,8.749592399319381,-136.37743414867685,A,E,1
F,China,Bisexual,D,1.0313885583883216,39.212213854646784,D,D,1
F,India,Heterosexual,D,83.84558679200704,-95.54348071638039,C,A,1
Other,China,Heterosexual,E,-0.6620419969438023,-81.58837859243803,C,D,1
F,US,Other,D,19.26011576681582,-76.6515106965534,D,A,1
Other,Brazil,Other,D,200.8068013741199,-134.4309040965162,E,C,0
Male,Mexico,Heterosexual,C,-137.29202303883747,-52.86526389367317,E,E,1
M,Germany,Heterosexual,E,-105.04871480060707,168.57505226759088,B,A,1
Other,China,Homosexual,A,-37.10699210308288,-51.35369932760695,E,D,1
Female,Germany,Bisexual,E,24.23484587135295,36.88118401310177,C,B,1
Other,UK,Homosexual,E,8.607474332340479,42.60512912546775,C,D,0
M,Other,Homosexual,E,-46.83566542744195,49.883810521954054,B,A,1
F,China,Bisexual,D,-47.0030474335819,-125.05420105161038,D,B,1
F,India,Homosexual,E,-107.60766266364313,4.128983711471826,B,E,0
Male,India,Homosexual,D,46.42567965213599,21.38530760672459,E,C,1
Female,Brazil,Homosexual,D,-83.53459018722698,-51.44683638786465,B,E,1
M,UK,Heterosexual,B,50.5377194970056,40.76735360231521,E,D,0
Non-binary,Mexico,Heterosexual,A,135.4031283255488,33.92928418024067,D,C,1
M,US,Heterosexual,B,158.5548624057368,-38.70413747376616,A,B,1
Male,US,Bisexual,E,74.20755858177027,-90.53390979663902,D,C,1
Male,US,Other,A,-58.32101296734229,-25.490295283103652,C,B,0
Male,UK,Homosexual,E,72.03401865926851,-121.3876835697953,D,B,1
Female,India,Heterosexual,D,73.2558570869203,-184.7880516086239,E,A,0
Non-binary,UK,Other,A,33.48796375605815,26.309843498363268,B,D,1
Male,India,Bisexual,D,-48.31710476287077,102.10441824140628,D,A,1
Non-binary,UK,Bisexual,C,47.244423804770136,-39.044116014293444,C,A,0
M,China,Homosexual,D,82.46680966272268,-30.48848495707962,B,D,1
