religion,civil_status,sexuality,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Other,Divorced,Homosexual,36-50,D,D,43.99391504128297,2.0567315317728,50.27103198328051,-110.59907814147785,-7.275339398035434,160.77118432123717,145.15650003487679,15.488668209013182,1
Hindu,Single,Other,18-25,B,C,-97.6926461075195,36.475720988300424,33.88931116367993,131.17484910895269,48.770594401215924,0.8422291588497814,-60.70577223494499,78.10254855519094,1
Hindu,Divorced,Heterosexual,36-50,B,B,-12.13823824700195,62.71191950575506,159.83001685930992,-135.8739783422485,-241.68614105569324,-50.360104227005564,-224.26271415951538,82.70427383776166,1
Christian,Married,Bisexual,65+,A,E,-87.95829862583844,63.020197273583115,56.65637320372665,33.80998293896052,-51.9455608816201,106.44177171121055,24.922043562110836,-190.23051985334658,1
Hindu,Married,Homosexual,18-25,C,B,24.69777046418327,181.00474315874706,-49.77344128041088,-206.12299480911983,-95.31223224617638,19.002941351942205,49.56359166315221,4.272931777868664,0
Jewish,Married,Homosexual,18-25,C,C,120.39564569273647,136.40265756787352,-188.02984444709543,1.3158114326263415,102.67454140133437,20.25916664168273,89.7417120499738,-0.25186519697928134,0
Jewish,Divorced,Heterosexual,26-35,A,A,-93.80775913637855,-112.79519702255752,-119.98386914102417,-21.950939438616775,107.90117663380923,-211.73107943629418,-86.17168119586516,-27.00246438008294,1
Jewish,Married,Other,36-50,D,D,-114.3303763822272,92.24278177719368,60.872643623317856,125.71425163440951,127.24681742725863,-21.883493117422013,55.258029816126395,189.7970980109231,0
Hindu,Married,Bisexual,65+,A,C,10.469785242218236,-34.983649447661506,-19.9704158599856,342.70027313981103,-140.60194068969363,67.17044442504883,-32.385293790532124,170.57096440772452,0
Muslim,Divorced,Bisexual,18-25,D,B,103.86290892126868,51.991562907989476,-63.52317759816765,383.2465694988945,-29.499621122266845,-23.292202335251737,18.302933343339323,-7.223939417406938,1
Other,Single,Heterosexual,65+,D,B,99.72601857273482,19.001889077908814,-92.88667331131721,61.127412683610885,111.65851387212405,-6.3752230485709145,19.247639064753947,-50.543671214094324,1
Christian,Single,Bisexual,36-50,E,C,-46.232864560966405,-67.11441740318634,-214.67804963123766,-43.435941320362936,5.539861909666466,74.5738253454549,-186.34140684519045,77.15985536880343,0
Christian,Widowed,Bisexual,26-35,D,B,15.954678997564473,-136.41151053838877,77.510731772574,10.788589875903421,-1.287364922432942,27.77533078279135,197.8626275488315,66.11754285950936,1
Buddhist,Single,Bisexual,36-50,B,D,-117.6584504589895,41.65604164117761,87.32643385584706,-94.0362463415413,15.845510834497176,-113.02939916490156,21.823058089642906,-139.19202540505026,1
None,Single,Bisexual,51-65,D,E,-164.06385487941216,-64.05541283870792,-2.0191677273763102,159.81351335772493,179.25025270571874,-49.860359961380674,-42.88448182303992,90.63522286850836,1
Other,Married,Heterosexual,36-50,B,D,29.996930925483966,-69.93897707917507,117.08396346687809,248.1881724969235,41.21338973548516,19.028507447894782,177.30344144336001,-77.74938193853959,1
Muslim,Married,Homosexual,51-65,A,A,48.47967978136758,21.85429629409579,23.750192163608883,-98.01889229632728,109.33361972878564,145.87580632964892,-106.91106020756193,-170.0371206316644,0
