AGE,RACE,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
54,Black,36-50,91.85300603332146,A,A,24.500874181262713,-19.054948224316146,A,-124.42856633542314,D,32.941398511083015,C,-74.2452764459049,-47.833696138180585,C,E,0
79,Black,26-35,71.04283320284665,E,B,-29.208484193401873,33.92850750653032,E,-85.04413470490081,B,173.54915284476772,B,94.82943004363361,-121.86274719508728,E,B,1
27,Hispanic,18-25,39.27327435035403,D,A,-53.39672763740434,-32.318618963127655,C,-98.56291574968228,A,-78.50134813217055,B,110.03625409277767,-115.93097917887967,E,B,0
72,Black,36-50,-32.71842437693423,C,E,-95.82873367610392,-54.539150582646734,D,162.5376411050107,B,39.68583284022312,E,-97.6641365421677,9.559724515646495,E,B,1
58,African American,51-65,-122.99084089670154,D,A,-132.8243153770845,5.113535028612845,E,99.12382690696589,E,-153.20065882659515,C,4.957950432910904,-97.7966169448683,B,E,0
39,Hispanic,18-25,-1.7928851160243626,B,A,47.49011391538932,-134.91461010571754,D,125.2331256872529,B,-121.86109819713364,A,104.82319313968557,-113.08019815038885,A,B,1
77,Hispanic,18-25,107.03862604917649,B,A,-149.23583700000037,-6.442292953077357,A,-107.68855114449592,C,-192.77362341195393,B,-18.989466199102534,-69.67341508677504,C,D,1
59,White,51-65,-32.61521609149939,B,E,22.85519583880222,19.202536442944535,B,-105.68713070140528,B,-61.43638808759776,D,-21.785254455519727,-88.2713513714082,C,D,1
49,White,65+,-41.29421277798102,B,C,114.14473358846023,39.36789304472322,C,38.52930914883248,B,-40.65697359183115,D,48.57221829647645,166.9787908289265,E,E,0
28,White,26-35,-93.75256753761222,A,D,22.3052190387434,-25.72495719098168,A,-120.22225683928427,B,141.1292202919928,C,-42.630896223384696,37.70242912537635,D,A,0
24,White,51-65,-102.13466344926978,C,C,20.695397113645214,-31.397701143480717,C,-91.40470589612806,A,-178.00066256286252,D,10.3379911440551,-17.742473977304847,E,E,1
43,Asian,51-65,56.82357851309,D,A,-224.19952842060832,-6.765527605462475,B,-50.902973480567425,C,119.73107432927988,B,-86.22904395349258,117.55193842064638,A,C,0
42,Asian,65+,-71.81225949756312,B,E,-89.31205958166242,51.06352760842968,E,249.20027461021994,C,-112.3487272650157,E,-89.21960088341821,238.27378778807193,C,B,0
33,African American,51-65,24.527195274394202,D,B,31.346304999663833,-22.579844763760008,C,-10.121994142250264,D,-29.996785005811294,E,19.727442344714756,4.3140494024594105,A,C,1
42,Other,65+,34.785692560817665,B,A,105.20812695313693,80.76269716055235,E,-106.28412479859584,A,-192.95734448865684,E,-10.222524640588695,-102.02073942060774,B,E,1
69,Other,18-25,99.52480848831077,D,A,122.80953963304077,103.2201271748576,E,-79.15637642742902,C,-91.50979951359042,A,46.05174826492299,93.51433022947799,C,B,1
37,Hispanic,36-50,-29.90022978897442,A,D,-50.018958981391926,-24.524412247489014,A,-140.54740510479945,A,-229.51999861563945,A,-62.55366452738718,-24.52053334710582,E,A,0
57,Other,26-35,104.8340693511079,B,C,-36.936029139570174,52.835226174429586,C,139.02775170069216,C,70.28731643083972,B,-32.0599412591681,44.921724550707715,A,C,1
29,Other,26-35,-50.88212059196342,E,A,-211.4949976449014,-30.91237180368579,B,-82.15322582020335,C,6.862916338158513,B,54.84313833207256,-52.84211660741267,E,E,1
75,African American,18-25,42.27638979619076,E,D,5.940204016259812,-22.698402514220493,A,-61.732902354844214,C,-40.61965419926658,B,7.7538309485704655,92.71015777336851,A,D,1
46,Hispanic,36-50,34.68234152126329,D,D,-227.71010323389,-70.6811674108481,C,58.87846072052917,A,-41.21340079521559,D,-14.813844295333405,-58.547326521540754,C,E,1
29,Other,65+,32.690849988031594,A,C,-101.28336679005636,0.12257046271582327,A,-1.5842588446591568,D,135.55428799522278,A,245.4549109953247,24.300977370658007,D,A,1
70,White,26-35,-0.4505679090061347,C,C,-174.29904812663818,-140.45426012806124,D,122.78839734742427,A,129.6418328015607,C,-104.12757533601935,70.73126351919666,A,D,0
76,Other,65+,-155.0480213383748,E,C,78.54485004815885,-17.031003412428607,E,4.721375572622846,D,124.74518418518954,B,-75.94354177414563,1.2663417254983163,D,C,0
44,Hispanic,51-65,-55.31448965985357,C,B,-118.38928457944029,18.172213222258993,E,32.23040009184372,A,-59.15363424600947,E,-115.50648661755325,-131.52663497628959,E,C,1
41,Other,18-25,-235.89913971243317,E,D,-89.38263157596315,-138.39550885863054,B,42.99832510985933,D,12.61456436304777,D,-65.24541799480656,-133.144330141444,A,B,1
30,African American,18-25,92.45371903312454,D,C,27.59290255269456,-58.17911335495162,D,114.01439186032192,E,100.3866864431786,D,8.731910608162394,82.56289583735271,C,D,1
40,White,18-25,103.39045800541875,B,C,36.286925733723976,-262.8550689502505,E,-54.40048599778452,A,-277.36696032623496,D,38.48424037321125,82.15751288841095,E,C,1
57,African American,18-25,90.80120171740927,A,B,-29.638465265858805,13.679567478427867,B,-32.33526508528345,B,-118.16479971793655,A,52.53734294945881,-139.55353153041435,A,A,1
47,White,36-50,-15.108164344383871,A,C,58.08032834120757,23.309462361605,B,-5.198954094704245,E,107.4115566795059,D,107.44080693706128,204.69788682006,C,A,1
47,Asian,51-65,154.9334178818364,D,C,106.10480960074726,-28.91074912001922,E,-17.544863542772752,B,-286.2226951978148,B,-79.2738997580119,48.52408481299467,C,D,1
