nation,gender,race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
US,Male,Asian,E,-1.91359488738688,82.98001530792963,-73.38481990251942,A,E,-8.717772064723016,D,D,-1.509934343795269,-95.4916941156312,218.53446886047917,110.49690015924973,-47.15846441547408,0
China,F,Hispanic,C,-21.425136191974108,66.50462983538239,-53.83236240805761,E,D,156.38786096625358,B,A,88.63163287933179,15.287903196588903,180.20370759298433,-160.98592819234082,4.360718604853394,0
China,M,Black,E,-54.592172674870895,294.0239865213291,153.75069548391355,D,A,-99.16856513898001,A,D,16.694070440799816,-35.890164192547026,-111.28618524348548,-74.51234938284756,34.63171111201936,0
UK,Non-binary,Hispanic,C,-34.24611727440986,131.530319567879,-113.02272859807533,B,A,34.594001889106984,E,A,-172.97933631305605,-153.85578714226895,-37.844292090209144,-25.53010906182155,-71.33217543170754,0
Mexico,Other,Hispanic,C,66.58207254977071,34.30489324535975,-28.508241108424937,B,A,-44.73766944742514,E,E,-36.28624516730376,170.79392350420136,-272.50322510809605,-70.26828241093558,-14.948107173809245,0
India,M,Black,C,-117.01613355710383,85.30564484200794,-9.290124636916827,A,A,-181.2622007882724,B,B,-163.3518131186672,150.3078993392148,30.378696587458027,-79.22271718862986,100.86049418358208,0
US,Male,Other,A,19.74505794639702,50.27373981432945,-51.59997709725603,E,B,-116.5905132896927,D,E,-91.73218668982607,-117.2851859678321,-81.47489837332817,146.80391226391635,17.543651936031857,1
Germany,Male,African American,D,124.0181662493546,-55.493692954883066,-39.204158106605675,D,A,22.793719185191083,D,A,93.87737326322733,-147.08934495584094,-156.8727992548823,49.54249245851487,-30.781879760088277,1
Germany,Female,African American,C,-184.6629107272746,96.9125311427378,-0.4223502714761378,B,A,-40.686725075829536,A,D,57.98717125896439,-44.600289564878906,170.27236788545818,104.42209268355471,-46.48013622757218,1
UK,Other,African American,A,-79.20708402368712,75.47123709787208,-8.515890850946983,B,A,48.51788413877237,E,D,124.39454489063442,106.58866538405223,-20.25669938663588,-60.27520379005811,30.658227653772286,0
China,Other,Black,B,50.09207915599784,26.737100489704996,-109.55227187042456,A,A,-75.3660873411996,A,E,130.1257925891463,181.96698828456053,138.84325643359648,-79.33240077706901,2.1141303288798636,1
Brazil,M,Other,D,136.07469024368254,76.6183617769943,-77.10014742172623,E,E,-31.49038801870368,A,C,146.5510335092772,96.21872913655874,176.55758081176106,-112.2872629361495,-110.56109910023547,0
Other,Male,Other,E,-148.7224509838305,-62.222291740056356,-125.67643729655842,B,C,-71.550945599109,D,C,-97.55706789249436,-201.6467772851,133.62287305898533,122.35507677504285,3.946856571437083,1
Germany,M,African American,A,-100.19037610080792,27.610767759998602,-174.49463256373798,E,D,15.06637435189997,B,D,58.78099293214978,28.97905936997048,44.647213240881776,57.7872023231557,45.12141127321803,0
UK,Non-binary,African American,C,-68.91922427850088,-49.8411716177403,138.20619740270118,D,C,-227.781736725295,D,D,-79.54962552805885,44.45491521892569,61.459027544776546,-3.9091811877165434,-7.191388607869989,0
China,Non-binary,Hispanic,E,-2.4409409209068,76.40309180116603,27.453844276797945,B,B,-14.109733651526149,B,A,-17.99619512228346,98.39614205311837,-313.19618507757633,-28.18666574961287,-95.81341847919938,1
India,M,White,B,-115.5129989543379,46.291260909267095,0.41471259471028016,E,E,28.124017605488284,A,B,9.422056359122962,30.874788974242247,-28.02410599457489,113.52720443448219,70.62886312941224,0
