Age,age_group,Disability,sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
71,65+,Physical,Homosexual,D,B,25.69788632044041,55.398626306569,52.29839071593456,C,C,178.40301200102508,B,6.974920405866719,A,5.701650090410053,E,A,E,1
99,18-25,None,Other,C,B,28.407591825552313,88.9521496492224,-227.27305678990928,B,E,209.65922742996565,A,2.9930742449376604,D,-246.17336889642334,D,B,D,1
31,18-25,Mental,Bisexual,B,D,89.74004527359281,-85.6097187914936,-48.64216835567021,D,C,25.675012379574742,C,129.80051306512635,A,-83.23052099622046,B,B,D,1
35,36-50,No,Other,A,D,24.247589338737928,-186.0128443300915,-23.69768164135747,B,B,-91.0927576031363,D,-31.20320468638635,B,3.908239788163601,C,E,A,1
69,51-65,Physical,Bisexual,B,E,4.090782831773467,-77.07664627674156,-41.348917398773196,B,C,117.6394890359705,B,-100.3228545434957,B,-62.30650280092568,C,E,B,1
77,36-50,Both,Other,D,A,-177.61573457045458,21.045624129636618,-49.453771459137776,A,C,147.68249732278272,D,-72.6172948325074,A,-118.16382746812538,A,C,C,0
71,51-65,Both,Homosexual,C,D,222.0340008031365,-208.40472595198324,14.974681567330773,C,B,7.913379088179775,C,-247.84203615815764,C,-82.59832797345999,B,E,E,1
62,51-65,None,Heterosexual,B,B,49.26965871139153,145.13576990357654,31.336462527318503,E,D,7.734923557356652,D,83.98472784989825,C,-50.08529721065711,A,B,E,0
20,26-35,No,Homosexual,B,B,-145.20743964864727,43.333141523894334,155.34252564578532,A,D,36.51111015515917,A,42.58427268371109,A,60.871579397545936,D,B,E,1
93,51-65,No,Other,A,E,-112.5309218989157,20.902774548337764,72.16775532452048,C,B,-26.315003842793917,B,-59.50577255952063,C,-105.28994986612108,A,C,B,1
42,18-25,Mental,Heterosexual,B,E,200.43067566835933,79.1765057391058,77.1027725581806,D,C,57.356819183903795,A,63.07614042731129,D,190.64015724884072,D,B,D,0
24,36-50,None,Heterosexual,C,C,-252.53874243899682,-36.96975287680751,201.55212657809267,D,C,23.421599704812582,A,150.74526695769435,A,111.56054106030273,E,C,E,1
65,18-25,Both,Other,A,D,10.545083076249835,-10.744647128627818,7.168845946639378,E,B,151.05820686593927,C,14.646181162974903,E,-91.7276545448407,D,B,D,1
58,26-35,None,Homosexual,A,A,-156.74042526880686,6.2245386523247275,0.12633994207634142,E,C,12.876358334628302,C,56.97559142845074,B,-29.451817078876896,A,B,E,0
41,65+,No,Heterosexual,A,D,115.81415531597364,72.64477681434208,-27.211008809852306,A,D,-9.247144484810498,C,77.3618404707253,A,-67.77213198364994,C,A,D,0
43,51-65,Physical,Bisexual,E,C,80.18609312544186,-66.58662715052832,64.19996271345666,B,A,-24.28523109164676,A,114.04051150577949,B,-54.21443845850371,E,A,E,0
65,26-35,No,Heterosexual,D,B,167.50309883416867,-96.41574721318196,-29.28673405725098,A,E,57.37419309896268,A,26.069927961173278,B,-51.86393016961005,B,A,A,1
85,18-25,Yes,Bisexual,A,C,-19.22435080955878,127.89298091605612,-198.90370775503263,A,E,154.4272357612941,E,15.151855581198337,E,148.86625846505396,D,B,E,1
47,65+,Both,Heterosexual,E,D,-130.72678383422777,-66.36254939721255,-83.24573119719989,E,C,49.67280988183304,C,112.46431912693447,B,147.64747780760018,E,B,D,0
20,51-65,Both,Bisexual,E,A,17.285529601381057,10.465035654487437,-52.586506362695616,E,C,2.325986916338501,E,64.9749062114334,A,-102.88939626925138,B,D,D,0
67,18-25,Physical,Homosexual,B,B,16.508227732858934,-21.08522545677276,-100.92375840249215,E,C,-221.05713973988264,C,37.56390306961087,C,58.51967880458496,C,C,A,0
73,65+,None,Heterosexual,A,A,-2.3435452885612524,62.761277452546,51.40548436481932,C,C,-172.71652070258693,D,15.770601514132423,E,35.564277421842235,B,C,B,0
31,65+,Physical,Other,E,B,52.88878516213886,5.601951360841094,5.454636986822284,A,C,-72.9044092661857,B,134.37532900715132,C,-100.57765604450384,B,C,A,1
45,51-65,Both,Bisexual,D,B,45.73067907859647,-40.73366800810249,-129.78189220406563,C,D,302.7840855574957,C,15.961665329886173,A,135.49591335525935,D,B,C,1
69,65+,None,Heterosexual,C,B,-86.44823327289264,170.57129723636683,-9.074052465215217,E,B,163.26066000851412,A,15.292380275067755,A,-108.1587070502028,A,C,B,1
78,65+,Physical,Heterosexual,E,A,-51.391666479553614,-113.79329360045219,220.94100975285394,C,E,-34.347839164909104,E,-0.540091759025837,C,-38.233566773950464,E,B,C,1
31,26-35,Both,Homosexual,E,B,27.191723713227322,98.23533772389182,65.21005675500868,D,B,95.96831282884986,A,45.03384064352153,C,-21.959730212929102,B,A,A,1
