sexual_orientation,veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Heterosexual,Yes,B,E,4.153921428445158,B,-40.88275921368088,B,-142.96391478446523,-86.7317095200746,214.74880726545337,-11.455594218886192,4.125929618236172,102.76671253206162,A,80.08662812581795,B,74.48412919988283,-24.222690955550245,154.00798621526783,B,0
Bisexual,Non-Veteran,E,C,111.91058984943514,D,141.3548915551803,E,32.63069768548322,-1.1617213557881205,-11.928153689251756,-19.669594568258187,15.9818894430934,36.44729659467325,D,42.7613186328444,B,0.40438823839915566,-169.18376134198283,-40.98725123747711,B,0
Homosexual,Non-Veteran,A,A,-37.645048534073204,D,85.015309095472,D,7.669913821468374,-122.12158604648012,14.08046970810451,3.1482476092804106,120.5737633588122,-24.261228332782736,B,-51.14607928924501,E,48.07880773943735,-38.87847502046489,144.6568539263673,C,1
Homosexual,Non-Veteran,A,B,-74.68011520124554,E,-74.87871682776004,D,-18.129048039734975,15.683131664109387,-50.50568970923369,-126.79736698679119,68.37147756885696,42.98002955293478,D,-53.70760893515533,C,21.676436407457505,-69.65914913309639,-113.84749812367774,C,1
Heterosexual,No,E,C,52.0692343319472,E,-15.49307602411146,B,-34.28815945385418,103.04280810381645,34.77164816677083,-8.160107183165321,-34.658383237966724,-42.559002159099904,D,-66.67899178757786,B,77.49677274426826,-144.58650971922748,22.57450652159121,A,1
Homosexual,No,D,B,-7.345959415015677,A,91.82052710580622,B,-58.194305441361614,31.39445016776021,-91.56097367821275,-177.84103306465389,148.28394233465156,-3.621154021488773,B,-32.66666871748165,E,-128.59881934332796,-237.43333960294407,173.93469348092447,C,0
Heterosexual,Non-Veteran,B,C,61.28022088412484,E,123.67187267117885,E,-31.076513500675958,-22.970008828627183,166.2085428261417,76.44618651916501,27.817319668375323,-111.1065580765822,A,19.100677245546432,D,-38.09587884909804,35.52141816328056,-100.67233434865015,A,0
Other,Veteran,A,B,-58.42986483080522,B,-55.97775793659942,B,-66.76533192675855,82.04221729778561,187.59195179096113,-46.05082687349539,39.807942569033806,106.49422210533095,A,24.196115755996722,C,-128.37602191067373,-196.46595230343547,-121.01318787117643,C,0
Homosexual,No,D,D,-66.79343113028287,A,175.82608303274483,A,-192.70601039445486,-113.95041217862652,-110.04318926863384,-94.02468524916036,22.28731289329501,-32.68418686711339,B,-133.01711552421938,C,-213.91854869408346,43.198193949723056,-152.07508648865792,A,0
Heterosexual,No,A,A,97.4111713296018,C,-65.45811940875457,B,-44.352253865576266,70.16555279915204,155.40954196200923,113.73875890597955,-67.85962680148502,32.86476482759053,D,-76.68826768390089,B,-41.991389264096824,94.06332883350908,-186.7271719588406,C,1
