ethnicity,sexuality,nation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Black,Bisexual,Brazil,A,-47.16094918806411,C,50.41451458218988,72.59121633706374,-94.74738381784776,25.553614174530292,B,D,D,73.26399214585082,C,42.67435010216304,A,1
African American,Bisexual,India,A,138.0794401175941,A,-31.1737625787131,-15.233626707621184,-12.715102453957842,77.57825682173085,E,D,A,-206.82821786292584,C,5.37035685745675,E,1
Hispanic,Other,UK,B,34.579382511720645,E,-122.19183418115946,-103.05311041733782,-41.788747330723155,85.43883424162176,B,C,C,-122.18967337274935,C,-46.518148740853185,D,0
White,Other,Germany,B,56.68203347751643,A,-22.652781604910125,-156.60579031358608,-92.95022343596108,-57.39655248847176,A,C,B,-120.09340095248622,A,13.383689697304805,E,0
Asian,Homosexual,Germany,A,-11.691442023492614,C,-31.657166216572293,144.9736202124094,-46.4248020414543,72.06903645094017,E,B,D,-55.291025365857436,E,131.07982227644865,C,1
Hispanic,Bisexual,US,B,-100.54768868974786,C,27.001929014818,71.01620003256588,-119.64429154671976,-86.49881494466419,E,E,C,-28.674284707438368,D,39.45648511420497,C,1
Asian,Other,Germany,E,74.80491132353076,A,-8.783051672524918,-17.48174241043893,-32.20851449696801,-21.458286484287527,A,B,A,-46.648449441916185,B,62.987707483654034,C,0
Black,Other,India,D,-25.17905404165272,C,132.93057851282472,27.884320113385936,36.65132056462801,-26.145452307224172,A,B,A,-20.76151956766271,C,-137.00036707746324,D,1
White,Bisexual,India,D,-4.941848942858275,C,-77.82270868312526,-9.299494339098398,-12.677820102066034,8.862062650516863,A,D,B,-58.303909062175286,C,12.4183824310233,C,0
Asian,Other,Mexico,A,-205.72449918418806,E,-29.933468922361566,110.55614023753353,-147.13311466777307,-119.51764789461932,B,E,A,4.157226997682512,D,8.32490911970978,A,0
African American,Bisexual,US,A,-69.78760715399794,B,15.240763155541565,-31.81108173743486,-7.634957743518813,179.23492097392733,B,D,B,19.86666987733162,A,-31.70426640943002,D,0
African American,Other,Mexico,B,-19.77285283549608,C,224.92474483055886,49.78609894286108,25.513689496014198,17.78956204066922,E,D,A,-65.86549078368532,B,-70.85838729963078,A,1
Hispanic,Other,Germany,B,-117.84477843035475,B,-91.16715267305682,-23.073403304810725,-300.37102990879845,-163.81260223066948,C,D,B,137.97914263764278,D,-0.16138568772392575,B,1
Asian,Other,India,C,13.152261758718742,A,-120.05515825303851,-96.07029096608477,154.55204332773798,70.70618056261974,A,A,C,59.32699499547678,B,58.78087876590219,D,0
Other,Homosexual,Germany,D,145.09992350321045,B,-81.65712534423604,5.463827834921216,44.32996461132033,-8.809787954621958,E,B,A,-170.62558846395285,C,-38.33723569953983,E,1
Hispanic,Homosexual,Other,D,-91.43703056034231,B,5.640296637657995,-66.54909353948982,39.48632374356853,44.5438702441658,C,C,A,75.70839553100471,A,137.07543149768475,B,0
African American,Bisexual,Brazil,A,-56.716415157963574,D,-76.24751337377619,101.72823300524763,21.21038689674272,267.3209613475095,A,D,B,-29.926220665173624,C,54.61816581829496,E,1
Black,Homosexual,Germany,A,-225.5141314096648,E,-68.12553990322634,27.8843070889063,3.5904135204062353,-27.957088061459405,A,A,C,-61.99069345944953,C,5.762666365762827,B,0
White,Heterosexual,US,C,105.03252188381025,E,-174.11251835226597,-74.7577865848254,36.93656788514111,92.76098105825345,B,B,D,11.016183089601538,E,-123.45820750990664,B,0
White,Bisexual,Mexico,C,33.744551043977026,A,81.44388708151813,-53.84084051459076,-32.18814019736888,65.4121809253108,B,B,C,39.177423239955125,E,137.42377779250324,C,0
Asian,Homosexual,US,E,-117.20149226068072,D,238.5893569410197,-29.680063071999545,-51.424055832183114,-106.51987866788535,D,E,C,32.3849980770043,B,-164.8837992949415,B,1
Hispanic,Bisexual,India,C,-74.8118394453417,C,56.37691693763247,64.93058837259596,-6.047894412519934,18.302275693327886,E,D,A,68.51785633018322,A,-94.59627395012373,D,1
Hispanic,Heterosexual,US,E,33.03923386644063,E,-129.00513138292092,-65.10393380697838,245.25925365534547,226.30768795218276,E,E,B,82.50528641972572,C,45.15084399668977,E,1
African American,Homosexual,Mexico,E,23.67192899641018,D,51.487745216057675,72.55670794656064,125.08980731445914,-11.501969076035854,E,A,A,75.10399305031058,E,-14.061042137378035,A,0
Asian,Heterosexual,Other,E,17.463306359847167,D,24.144737595561807,91.17265088125957,-50.98149613175254,229.35255602518905,E,B,D,-44.12368983561261,D,45.282678687768126,E,1
