married,nationality,orientation,Age,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Widowed,Germany,Bisexual,72,B,26.060869449159263,78.96012576386774,B,-72.64516829838664,D,15.242684496975944,E,111.22448248616645,85.50045365462094,D,E,0
Widowed,Germany,Other,41,E,69.84377016424868,103.77588129270508,C,32.45804818108593,D,-1.878876104667507,B,-190.7204391316779,44.39884941487032,E,C,1
Married,Brazil,Heterosexual,19,A,-132.57683305852018,57.46405448806831,E,-79.43559518640585,E,-97.70092452677474,C,-4.884948331216846,-55.81707218944808,D,C,1
Single,Germany,Bisexual,59,B,-79.04050743680303,156.1412068418925,A,110.05403069850645,D,33.837051126035306,B,8.957824524304026,138.34970255607539,C,C,1
Married,UK,Homosexual,36,D,-194.54196978623514,96.13865229882528,A,-40.6347199818143,B,-108.82062023507375,C,20.723498467587696,88.43556236803106,A,E,1
Single,China,Homosexual,54,B,142.46338558151382,194.95725515508659,E,-156.73011542330806,C,28.25610159331056,E,21.374711146388062,-25.67119139315969,A,A,1
Divorced,Brazil,Bisexual,65,C,-50.54598688847358,-39.58638907966606,A,-41.648496042289544,E,-31.484174573940432,E,-47.68717958844332,-44.53326058699449,A,B,0
Divorced,China,Other,49,D,-50.784755149887296,-80.94988271923285,E,35.80977655654347,B,-5.75759419113171,C,-85.10218406853514,-38.839777488001985,D,A,0
Single,China,Heterosexual,43,E,-73.14907516709124,-110.20654012352477,A,-76.72968127998828,C,60.98144502745686,B,45.86048371358101,135.06004133586825,D,E,0
Widowed,UK,Bisexual,18,A,34.57180748706442,86.23957242556466,E,-144.42675855486482,D,-91.47311975982622,A,-10.131195364841435,-182.15862801009524,A,A,0
Single,Other,Bisexual,24,A,19.343889238805023,-223.01976578889784,A,-56.73075551842116,B,90.63848580129367,D,85.60216215866546,-95.9742764761799,D,C,0
Single,Brazil,Homosexual,42,C,196.4986089333763,235.5799113353521,A,26.426698999141664,C,82.1061867453798,C,85.47146086221919,-88.17546019889508,B,C,0
Widowed,China,Other,33,E,-56.145651165316735,-117.4643254671534,B,23.028163640290177,B,-67.29690457312873,B,67.40770771279759,75.08984968310959,E,A,0
Single,Other,Bisexual,31,B,96.4103710084201,64.08957247026508,B,21.755668775315467,B,-58.701682908614586,E,41.00047636721155,60.15909108655432,A,D,0
Widowed,US,Bisexual,72,C,67.70961533299223,73.92998145525398,C,125.08756800667751,B,-140.16671818201758,A,59.45129860126903,148.92102758064505,A,E,1
Divorced,Mexico,Other,24,A,33.94033934405642,-306.21618815731534,B,-73.06588311654444,A,-35.54895548977456,A,-63.32788693639526,-29.923362688417644,C,A,0
Divorced,Brazil,Other,65,B,21.75185224750731,-34.35798621020676,B,-36.80908308389045,D,7.7918093952750915,A,11.445357826334696,-295.4158274762967,E,D,0
Widowed,Other,Bisexual,36,B,15.401870657490358,-84.6853946358445,C,-149.58881250290648,C,169.68631814014648,B,207.9462771512792,53.72610148432432,B,D,1
Divorced,Germany,Homosexual,75,B,90.01419618993371,63.82031896170924,B,-194.1147496155625,D,66.00842758608707,E,96.77121192839378,0.915621152798057,E,C,0
Single,UK,Bisexual,58,A,109.52978418047772,-125.29190479234661,C,85.14678320039346,C,-16.212296468233873,D,-139.06232552509462,-50.73956899926721,D,D,1
Widowed,US,Homosexual,44,A,87.13846153083374,-129.95926473199765,B,-22.150974048215964,E,-81.39414805092046,A,12.799458504316927,-6.383999118683577,E,C,1
Divorced,Brazil,Other,22,E,195.2974321200993,-41.00232022357289,B,7.103192682482426,C,-30.2975040885117,C,78.51683398719462,98.57381530089782,D,C,0
Widowed,China,Bisexual,36,E,-8.73366743702666,-190.72290746350566,E,-108.84075265402961,E,55.19926207448733,C,-118.43288583269972,-25.686833003473076,D,C,0
Widowed,UK,Homosexual,26,B,59.51589934633109,4.977491829248857,C,8.90785883077936,D,4.590584068411372,A,46.716762397323905,-230.2426013203092,E,B,0
Married,Germany,Heterosexual,74,B,24.78292970260525,197.9405294319046,D,-1.1665803442731346,D,-32.390729063200176,B,66.77654993946369,34.92134487193487,B,A,0
Widowed,India,Bisexual,50,D,-106.72725121428421,60.35007370093458,E,122.6241257106536,D,2.4240648850839692,C,-55.41324502791799,-158.07954813808425,A,A,0
Divorced,China,Other,78,E,13.934107932664103,-66.96906993092576,C,-70.112739607875,C,5.36052448658078,A,37.65260050150915,-66.31200943872906,E,E,1
Divorced,Germany,Homosexual,35,B,-40.256454935861555,-41.31259546021605,E,15.685697500924217,C,116.71644198616885,A,-14.092660001977015,-10.358221851376122,B,B,1
Divorced,Brazil,Homosexual,64,A,-11.600723166235499,-148.9899678614127,A,-20.823742975301464,A,75.93160495874561,D,78.09107666306299,36.15839524065668,C,C,1
Widowed,China,Heterosexual,43,B,-185.6997131143569,-211.59948085865287,B,-61.94624248846692,A,27.408072568792026,C,-51.55636972407696,-63.561002497884445,C,C,1
Divorced,India,Other,45,D,-1.7949641842164168,32.88942139354907,C,60.50905256998481,D,-56.53541720001828,D,-67.47810260301694,-151.0739432271152,C,B,0
Widowed,India,Heterosexual,64,D,161.48429839733836,-90.65801162915618,E,-120.4383864526358,A,-26.335277946974838,B,-145.7136172968569,18.81572621931101,D,E,1
Divorced,Other,Homosexual,18,E,53.63338378237666,-18.01184124483555,A,-87.4550687395562,B,92.27660541047798,E,142.25649842153868,-25.525800567318797,E,E,0
Divorced,Brazil,Bisexual,66,C,84.1286791115419,-53.2249387350957,A,-12.022494913220028,E,47.980635174297824,D,-6.0760557212640975,31.83052915057231,B,D,1
Divorced,Mexico,Heterosexual,55,B,38.294522877557995,192.65448768158853,A,11.443532408789162,B,12.912819692371807,B,0.9658393268649692,31.73600038208247,D,A,0
Single,Other,Bisexual,25,E,15.347899230058662,52.825573167885885,E,94.3289621811083,D,-169.01810837572685,A,26.472903350247556,-15.961006294238716,B,C,0
Married,Brazil,Bisexual,79,B,-26.465132080332804,22.92110681141348,D,104.23352977023555,C,7.833301451401297,E,11.989688514773803,112.89322930059986,E,E,1
