Gender,civil_status,faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Non-binary,Widowed,Muslim,E,87.42825284277363,39.59976679321789,B,-81.76957234221473,45.74736363931322,-103.81934959443258,A,86.68131104377093,C,165.29184576778036,-101.90415669897396,D,E,146.40455678208127,-43.94055602893168,-42.908693401381925,1
Non-binary,Widowed,Buddhist,E,43.23364141162355,6.661400644162731,D,-62.91431118263837,49.251320057292496,57.3065864931929,D,-77.82062721187971,B,107.12419476701103,-51.3272234666736,B,B,-160.84551452280965,32.40951459640697,-115.92695702576027,0
Non-binary,Divorced,Muslim,D,-156.55182970067838,-98.75608745246873,B,144.8897437186152,-0.3666103890001634,-14.093992950606534,B,-114.23956643351923,B,-11.514064183334328,130.56015388791843,B,A,-43.28412245603945,55.03589376932896,81.09648157991303,0
Other,Divorced,Christian,A,129.0838221761457,-131.36878081756342,D,-120.50052692515891,-133.05397287490172,94.15209769851788,C,231.08971131137673,C,35.26886323912938,108.0315802548775,D,E,-177.55039233538307,-121.08337139349928,37.274277917238,0
Male,Single,Other,A,-90.9159362101596,62.03563823858913,E,-273.58463609909734,52.12786639944471,125.43309890931526,D,-66.63825240293302,A,-34.1420031522077,-34.04607863428826,C,B,39.08008168206699,0.9577165933548502,-10.233087666219836,1
Female,Married,Jewish,C,-84.49834426050987,-46.429996042929744,E,-113.89140688235135,-58.332985938431904,-106.53105706034816,C,16.68582222833725,A,-70.14764355981582,-34.317204916320186,C,D,-157.97027522667946,134.21554607653965,-150.84936756391173,0
Female,Divorced,Jewish,E,205.05135182116982,40.49869368316592,E,2.3854475267990094,-14.37592238413308,30.15132137996578,C,-78.9322467786039,A,-127.05195963901733,78.97440973364256,A,E,-116.85688374601264,-139.534478959251,18.197377966890677,0
M,Single,Jewish,B,52.74987295628064,54.05986610901222,D,-9.252609386258602,-31.663510297317238,91.12576025640428,A,106.73557630444787,B,14.296446538949326,23.164228270882685,B,E,201.04873359231755,27.746094944855788,-230.0871795579428,1
Female,Single,None,E,-153.96751711495634,149.9469441848369,A,16.242072337514376,-92.44151354993423,53.73724848845437,A,-60.544951706395764,D,40.08590968855722,-55.3642881451819,A,B,-178.93476851854086,214.64375523141973,-46.26920597390629,0
Female,Divorced,Buddhist,C,8.366852815149514,-44.88154566963528,B,68.50065599221543,-142.8519827592463,-41.70212530790287,B,58.52250279508797,C,-20.66538091496997,198.80955821450056,D,B,-30.468219217205306,133.4821207221222,46.46305349637269,1
Other,Widowed,Christian,C,-15.493414567035458,13.21726708998331,B,59.36487324350996,35.17178685970399,147.1715635354675,A,72.85703928811328,B,71.88046241900486,-186.5700890988164,E,A,73.42250010761016,-45.204323120907816,98.22057573951005,1
M,Widowed,Hindu,A,-89.70969900936508,-145.9613512219138,A,16.823091464459193,-143.6069771942934,148.12564015892912,D,101.44369743489881,A,168.37768063265815,70.91110102143496,E,C,81.94035862002006,75.45640787046717,23.00743211789182,0
F,Single,Muslim,B,45.33855924987514,16.48482632115586,E,-58.55848287342099,-66.30790871315438,98.4010648813029,B,-53.31955578042783,C,-182.0544904059006,-216.2980679686778,C,E,-237.14147394762205,-24.13790167530712,112.18867985491241,0
M,Widowed,None,A,106.62320904930542,-35.93402572766373,B,152.08691699433183,-93.04360270894466,-89.4563546992394,A,191.99596135691127,C,70.250380968931,-134.30344846954569,D,A,-87.64605978317616,-11.175724181187839,-56.027493958594334,1
M,Single,Christian,B,-43.20983832271661,98.01035266550139,E,7.262025722255032,15.594893170362734,-20.312244321480488,D,-113.1778627653719,E,-346.6299601883052,-43.157180540412284,A,B,-6.513032339855318,-73.33664505538451,56.691757902314635,1
Female,Single,Jewish,A,34.92171018055198,-177.0320350051592,E,97.57891928267638,153.9576435955743,252.1195724669656,E,31.07788017671239,B,-80.01667619571032,33.01889874656756,A,A,-30.917415186461483,-36.827175543743,-43.21621272498663,0
Other,Widowed,Muslim,E,34.89614200823182,1.4939332038676154,D,-148.09350910896467,-9.638502824602075,-121.90624884184334,E,-92.2450492668213,B,-125.15794106291995,-210.20606763005256,E,D,366.8204344261281,-24.934980676167235,54.8563279802689,1
