marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Widowed,-21.047692177209292,-1.5563088575092092,C,-99.88204635854642,D,234.7356072565752,B,88.64880901956764,52.37786115891075,-24.893846167374406,-7.726833785883088,-146.48442633381234,B,A,A,A,E,-202.99843618240075,244.76696830164948,1
Widowed,16.29340139587987,213.01609488617598,B,117.37589052442239,B,-98.22179667700588,D,0.6735039186066487,-152.03250527899147,24.572027648062697,-144.57989339431646,-5.802057065719422,A,B,B,A,C,-93.70699970367686,-127.72387748121285,1
Married,98.39260766762851,53.54763636652379,E,-156.2689423790808,B,-143.01272703780091,A,-166.5540295925145,81.86065656010084,-1.9087938884560431,63.862477676956516,-8.276758609890962,A,C,B,B,A,-177.87239766986963,18.210725740982923,1
Single,5.34355504771711,-128.33549849419694,D,-16.19396913814917,A,-73.3783387169742,B,-101.1921670635132,-52.03000929681596,-15.314040414507662,159.94082264402135,137.423206826475,A,B,D,C,C,-8.258153858286963,-10.867671267336199,0
Widowed,188.8274431711376,157.99415867155068,B,37.67401379361645,A,16.852609080949218,A,-181.67997524380846,-132.1081855786902,36.21384406676174,102.11496027010571,-169.3712900102446,D,C,C,C,A,-7.743720394449443,-158.09105564057106,0
Married,-186.74400716720478,-56.613667656320345,C,105.66602033346275,B,-0.9501116333439783,D,-91.02328700869099,173.3614659203427,-23.688994129162822,-82.38736100676516,-174.39918274720029,A,A,D,B,C,33.67072196852974,134.29932056404044,1
Single,96.64969463308847,-16.81412505675968,C,14.344712872889248,C,159.0960328839166,C,3.6448505298008174,-112.97404048713547,-82.81592387407045,28.356849771811582,-207.1005165958578,E,A,D,C,D,88.94948336843335,127.42386533059833,1
Widowed,-84.08886160010297,-116.69647767840281,E,49.6560213239272,C,-94.80220349440722,A,-25.341569206090515,102.9000278706264,50.97841191862828,-165.55016572216948,107.43467463210705,B,A,E,E,D,166.73931197900532,-202.72741977439185,1
Divorced,-81.66200562174141,-60.939573584260685,E,-18.74953030419462,D,24.782173494820935,B,75.53479832554443,-89.52489341938443,15.176011339085594,49.214053923010034,-95.2196028712099,E,D,D,B,E,-149.64517985792068,-19.033660028910276,1
Married,48.43733232515519,-46.34517077532752,B,-64.8664791895726,D,-217.36730158083094,B,-80.91854443002012,5.892699762825738,20.222491262587912,-46.654553087287965,33.88875326723943,E,B,A,D,C,-47.70285586895315,63.09708948855468,0
Divorced,-38.21500780859141,-23.68608618900089,E,281.06258177471466,B,31.162532841293274,D,-54.622999370135716,-34.25966814892216,85.38024926062185,102.45825385533371,-54.88310251116116,E,C,A,B,D,53.39832216358808,116.70567486934118,1
Married,-139.51757642647175,-17.883443586864693,D,56.973825615108474,A,172.57143380365903,D,-160.56534182954476,72.7461579296467,152.48283153440602,41.85544140342416,351.01057329954983,A,C,E,A,E,37.23033619948296,177.24664973775643,0
Single,-51.12962022422452,-77.87060404108786,D,51.184491700763004,C,-31.491671956483415,B,15.893738831395277,-92.04118022749999,-83.3300582760048,53.82043650755798,-202.88536272312047,E,D,E,E,A,30.482006055365353,-106.77677514578528,1
