sexual_orientation,marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Heterosexual,Widowed,-198.39264225538133,12.670659813658636,32.149598323392425,-170.8269871722248,B,-56.43702517013106,C,-28.5055686183661,-200.6180587593603,C,D,1
Homosexual,Widowed,33.516927602997775,65.39633904848775,132.53982889941022,-216.5688432106918,C,-16.414307976048274,D,87.07895810957908,147.6049145613085,D,A,0
Bisexual,Widowed,16.921245695283194,93.0214793028579,-12.623485411787923,-74.80351804347684,C,151.26053069002728,A,-1.8340419775176282,235.1916136503792,A,C,0
Other,Single,-2.025182896295672,68.71377196036826,48.72417688640164,220.11783503640797,A,137.2235264536158,A,116.14031670487121,-51.07900721158101,E,B,0
Other,Divorced,-91.18719728002233,141.70767852854743,-115.55142750366782,39.59310233589596,C,2.0623951722974723,B,-19.971827846725922,21.482252464925008,A,D,0
Homosexual,Single,-3.937468181909251,29.24573314347182,-49.02948167728401,25.83591964085724,C,-22.869855935119357,A,29.65902540560587,39.8192657023555,D,D,1
Heterosexual,Married,4.843272309909749,131.53309673426853,93.43941014536243,102.88709395877002,C,-23.44874379139454,A,100.43805373393502,-23.5381562019368,E,C,0
Homosexual,Divorced,30.498722570721938,-19.61605953551556,-11.234166811773468,106.79947920556714,D,-84.2930318957036,C,22.176358854487383,61.765941116936204,B,A,1
Heterosexual,Single,95.33605271130216,-4.163614477755663,-65.97706025713919,-161.32877966037393,B,-75.37977208803814,B,-12.47632267376534,0.9703250266550997,C,B,1
Other,Widowed,44.74131567812668,-109.16264561839748,-220.43919527927795,24.124528920895237,E,-42.20789556335347,E,102.65836590052044,-21.14286217613963,E,A,1
Homosexual,Divorced,-11.115791203811769,-65.97279310201912,72.8425759052607,201.70480887992053,C,-64.11875496153651,A,22.06131041208364,26.497894014966565,E,E,0
Bisexual,Divorced,-90.10140206654516,-37.98290615182183,95.26698096459631,-21.163595077356774,D,-99.4595172551249,E,-59.671242642578314,4.484241184900811,B,B,0
Bisexual,Widowed,-20.024686874428014,23.836704323800028,-96.90371914695619,-122.49596276462573,A,-4.15811992714004,E,11.099891394725432,-59.64516318133999,A,E,0
Bisexual,Married,-133.55135778768755,-62.8598401669209,72.57885210637669,-45.34610583757659,B,-55.25764897273393,B,-92.26077166070071,-55.02911360727586,D,D,0
Heterosexual,Widowed,154.09348159556427,39.07885062782278,-68.10962717330845,-181.3540324059434,E,124.0313679716416,A,1.8508014270396584,-141.7720284312819,D,B,1
Homosexual,Married,64.07515330728324,37.99230428916028,59.55119287641718,-53.94612954692203,A,149.32699511420145,A,38.23201545374741,-99.1453809347835,D,E,1
Homosexual,Single,74.74775642080185,-120.51817515537103,85.16988665237383,88.94282008917513,D,-318.111181375161,D,-18.057934278669897,-38.21503666385948,A,E,0
