military,religion,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Veteran,Hindu,26-35,C,-33.4613449842416,134.22689779731454,-70.13570963758218,C,E,E,82.26539333807885,C,A,B,-86.04449629213345,-130.91737371226486,195.95898541048132,1
Non-Veteran,None,18-25,C,-52.91245978480583,148.3821970898979,23.18415181311465,B,A,A,-131.27777326356434,C,C,E,-77.62971644386202,1.2497488204653064,-21.02903415247498,1
Veteran,Muslim,65+,C,66.6453756658693,-98.40821202351624,105.23734401022628,B,A,B,-23.02177571469055,D,E,A,-9.396189847694995,78.59972271701838,64.46224223246169,1
Veteran,None,18-25,D,-23.91915311012852,-112.25521660521645,-201.2716211097941,E,B,B,-79.2451635844983,E,A,D,157.0708731983242,-75.33628959941967,-93.37957041106064,0
Yes,Other,26-35,C,121.898759741435,43.70336127287,-25.71253069669653,A,B,D,-208.17496617201567,E,E,A,181.6890979504003,21.407056786324638,12.522157229018415,0
Yes,Muslim,18-25,D,60.58107228617514,-98.0968092155497,-119.65243158010612,A,B,B,-103.35413554174846,E,B,A,-247.2120310284328,-98.61701186653367,-152.9587265201086,0
Veteran,Christian,18-25,A,69.26756104548888,194.74566375551976,192.7739472841945,D,A,E,16.09746592369012,B,D,C,99.94071703502391,47.46336886467919,28.145389344688766,1
Yes,Christian,26-35,C,123.03076553261123,-68.84868723001152,17.530440116658173,D,A,D,113.84141664841319,A,A,E,-53.775442485467636,186.60618764693066,274.0042494238329,0
Veteran,None,51-65,D,-133.7314707189456,-122.73530564709117,9.449962833507218,D,D,D,-23.92932476420798,C,B,B,189.37208208475337,130.58448449706134,20.24143048902513,0
Yes,Other,36-50,A,103.67002809623524,4.46814095557181,1.0445941305583568,B,C,E,128.46253424107422,B,C,C,51.749768489955294,51.16112807706411,-201.13672704716836,0
No,None,65+,B,33.3524946300438,131.8601414923984,-83.78923117288967,A,E,C,-78.62207006170568,C,E,E,-197.25523790595258,40.41159096407892,-113.26818677112853,1
Non-Veteran,Other,51-65,E,-22.891910544033063,22.23988886213824,-58.79014722712724,D,B,A,-35.63568978495281,D,E,A,-53.897439088035185,-92.3720218229737,-78.02594378249381,1
No,Christian,18-25,B,-103.77497522553676,59.748568042040674,-46.80514761442122,D,D,C,-121.67646913784877,B,E,B,-35.087859446159825,-180.57742391296844,104.94081301645753,1
Yes,Muslim,36-50,E,-92.32372434467781,-78.76741672494178,30.362853119583242,C,B,E,-168.09493780765487,D,D,D,44.89675326357607,-36.17981681587376,6.22158842412473,0
Veteran,Hindu,26-35,C,120.24865518923966,49.222656345623086,33.03756513909644,B,A,D,5.125700672642338,C,E,D,-13.074111461226668,78.16598152812243,-6.2810367192951535,0
Veteran,Muslim,51-65,E,-34.579635804614675,-155.8113010229646,-27.396166893991587,C,B,C,-6.507793979861537,B,C,B,-104.77040877416752,59.52627527895237,-56.735764995477986,0
No,Other,65+,E,-50.06952218225986,-0.6336040185888437,227.86694935839137,E,B,A,-113.65501822696721,E,C,C,-39.228656837858956,-271.52334517447105,-1.617486928075863,0
Non-Veteran,Other,65+,B,80.08570903807343,95.92530527131024,-247.63611944140766,A,D,D,106.6135947083387,A,B,C,193.4088304100388,67.87145126671217,-112.9985133370616,1
No,Hindu,51-65,C,88.42099791267388,-244.7266209791371,2.78530809824449,E,D,C,98.7544252992989,C,A,D,-25.117949364257058,-78.38901936342761,7.349934916505588,0
Non-Veteran,Other,18-25,B,113.20247319492167,18.128094166108415,-211.42559780461062,C,C,C,64.46911843009102,E,B,B,-36.853396024394094,-37.97912425262439,111.41417599645247,0
Non-Veteran,Buddhist,18-25,C,-39.17202888534511,-9.832093402464842,-171.7955112520161,E,D,C,13.741236204645176,A,B,E,11.072471143277674,115.68528964580914,-1.3553173601492483,0
Non-Veteran,Other,65+,C,51.564875917697506,32.35564425980927,-130.86907065448915,A,B,B,-132.18113610471875,D,A,B,-7.9733800577373,-126.41362241048375,-100.97408867953044,1
Yes,Buddhist,36-50,A,142.8090055563525,-33.96594550555723,-244.8881278883451,B,D,B,-153.98405857183099,B,C,D,-98.46034571137095,-62.84880325577652,57.18192238492934,1
No,None,18-25,D,-74.00641789866881,-129.7325091187605,92.43865851443537,C,E,B,-13.12096644786973,B,B,B,-29.28645220283575,12.833964787810867,-96.79550266064325,0
Non-Veteran,Buddhist,18-25,A,-176.95610373792363,186.12171150590663,-59.38696860706869,C,E,C,21.590270097259634,B,A,A,99.07871387922518,-55.555424091399445,-50.39800131809784,0
Non-Veteran,Jewish,18-25,C,-260.1729212886498,176.9636314409156,44.9099162286326,E,E,D,93.36130106466777,E,A,B,-2.892656797018049,-114.26010552694844,-107.67126990346397,1
Non-Veteran,Buddhist,18-25,C,31.228358606237176,1.4217695504870933,-59.39746575003911,E,C,D,-42.78390292618444,C,C,E,27.318029229481734,-75.93824957207974,-135.0319187702523,1
Veteran,Buddhist,36-50,D,-185.82099986609083,17.585269130585466,-146.45368469977453,C,D,B,58.501922285243694,D,C,A,-66.56438283501875,-71.96616284814161,60.78896239714901,0
Non-Veteran,Other,36-50,D,121.06417909116773,51.681374080703954,-82.11879269302882,B,D,E,0.3807964191692834,B,B,D,26.869249225403465,-58.35409204030692,143.74824506690382,0
Veteran,None,51-65,A,-4.949784727116697,-117.65495277233889,-97.84670666996945,E,E,D,132.19691178433985,C,D,A,-185.04868444037064,77.69623914517359,30.766020386758946,0
Yes,Hindu,36-50,B,87.73613713592935,-117.08785235214265,52.24584352378986,E,B,E,-51.0517715531471,C,B,B,-104.47131368931153,-40.19050980891926,0.055890302323563325,1
Non-Veteran,Christian,26-35,A,62.538339076360764,54.961740668453515,-72.97428793228985,D,D,D,-103.00677443576798,E,E,A,-78.20861819430768,-32.43596374991362,0.09371469590952124,1
Non-Veteran,None,65+,A,185.30627888754984,187.89449799849478,-160.4478523697092,C,A,D,-14.2406981698292,A,B,D,44.17409521921446,233.81552823307663,-72.08784773198134,1
Non-Veteran,None,36-50,C,128.59063726144487,-14.03690862975825,-1.3341853630331384,E,B,C,-33.36601813073051,D,D,A,-63.13570133748089,-130.87054903703088,-54.796787898309816,1
Veteran,Christian,26-35,B,-46.45857940384753,108.06669517670329,-16.703317564995757,A,B,C,-75.05089262563908,B,E,A,143.18536425178388,-44.2246423990324,20.490819120910075,0
Veteran,Other,65+,C,-1.4777827912962092,-54.16581877089662,-148.2095408381318,B,D,D,-110.35517263195518,B,B,E,-27.830575238196225,-76.12431816630644,96.46155085924039,0
Yes,Buddhist,18-25,C,-39.74838905555238,-67.18418614718247,-36.46842238445516,D,B,C,-204.36638977318373,A,E,C,26.98887923058697,127.35514595330673,74.02482710853697,0
Non-Veteran,Other,51-65,E,-151.64210150760633,86.04061910661727,10.38143102983795,D,B,B,-224.8461475771243,C,E,C,-23.822403545660176,14.676809710696137,-18.148022200846846,1
Veteran,Jewish,51-65,D,-156.76913385940753,15.603800537091237,-8.762930227415291,E,A,B,141.26365755559587,E,B,A,57.894981948415015,75.64591275477378,-114.1947499294588,0
Yes,Other,51-65,E,123.88385732023428,142.54267395092666,-151.4943823383351,B,C,D,-52.01575059432475,A,C,D,-122.54364015803192,65.76690537469109,83.07962343163476,1
No,None,65+,C,-77.88128906632343,-68.09701423632515,-72.181758116613,D,E,E,-41.63093328276691,E,A,C,57.528884431083824,-33.306018558701176,-55.681054273228966,0
Non-Veteran,Jewish,51-65,A,67.76617021292553,116.14567750434655,-203.71969600339108,D,E,C,-93.9017862355713,D,C,C,362.11778504165073,79.34143725461446,-40.302605390985164,1
