disability,veteran,Religion,sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
Mental,Non-Veteran,Hindu,Bisexual,B,25.236150310460175,131.64161455936633,-37.968468756015696,-34.585931846086204,A,-94.48650463569103,C,E,70.2137125302178,D,E,-46.18803909148525,-139.22205473032207,51.87946835689944,159.89654142471176,68.33863492626459,48.08608399353516,1
No,No,Other,Heterosexual,A,-21.18344908850612,49.95808268248547,175.39973632988512,58.032861125530985,D,-103.33151836607364,A,E,-59.267487558556084,C,D,-33.399401459896225,8.676771865058946,56.819419850237466,203.04979751757423,-32.164626653276606,207.7934927956985,1
Mental,No,Muslim,Other,C,-11.990601473020769,-16.576873442978943,55.276335343364444,3.775841616118638,D,27.14266225401831,C,C,21.01343196936454,A,A,-7.9927328606649795,-150.30782635864722,-15.290512199994991,19.02929487359437,152.7733078195437,75.03819042967812,0
Mental,No,Jewish,Bisexual,C,55.16883617162085,199.00386181378,-65.59927227124734,11.098086518536117,D,-32.28229389702388,B,A,147.81586183178968,A,A,42.47787470034964,-53.688799169170956,104.27029794494884,-73.01209810557486,42.24253815614606,-162.25294756966525,0
None,Veteran,Other,Other,B,55.7217149234141,-77.72762578213724,32.874694738032204,24.3574370044238,C,-124.68655336479632,A,C,74.9242187966302,D,B,20.051842966129158,67.0716286674491,-98.15593863784689,-34.01775347996336,142.91826476454497,8.308250434398438,1
None,Yes,None,Bisexual,D,22.486398406432713,26.527998960787748,-1.722609773830794,44.532131252965776,E,136.2824713111681,E,E,59.856814599553054,D,D,-72.73850858750546,7.9986430512455176,108.91672159016804,83.08704243241674,145.288827954325,108.7309317687489,1
Physical,Non-Veteran,Muslim,Other,D,30.166012173357394,6.010221283128094,-138.88589663046207,-79.96653271152279,B,19.948439467449127,C,D,-4.834061620352234,D,C,74.83398086695414,42.60888285970521,-22.24979482593872,61.5462509964828,-23.691433590047467,70.29584084815802,1
No,Yes,None,Homosexual,A,130.7086934316993,-125.34788660677295,-47.0674464006191,-85.39252524920663,C,-9.193651487381066,A,E,-122.09871689544937,D,C,66.71188234425193,-34.90755498852459,-216.89517826854643,-62.097013749283434,71.41261239996498,15.066328097168855,1
Yes,Yes,Buddhist,Homosexual,B,97.62177453054962,-14.003073028873942,96.37521353051456,52.72076004094025,A,80.37675559794295,D,B,41.33320683990037,E,B,-96.77831144202865,-76.7532645760727,-53.935253118733485,113.94405923839798,-99.76933543118375,-87.94873449596507,0
No,Veteran,Other,Homosexual,D,28.094757137169058,-39.85989765628796,55.83075663605742,-16.772288891733208,C,-130.8486895044278,E,C,92.22034210940237,A,B,-40.49048080370224,155.71893903367547,-203.5530593570333,64.39769427441244,-107.5286834412438,-42.97861263815162,0
