race,birth_year,sex,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Black,80,Non-binary,-59.92442100071759,133.90729201492562,-67.13140573429453,E,-15.521955090945564,A,87.18193218903893,-124.56170852682075,A,C,-3.905667234735936,-26.135298286784277,148.34687652912933,-95.94860688976948,B,5.711702549035973,0
Black,18,M,-72.3987245940756,125.49630642880408,27.776781104323216,A,116.41268003008109,E,-194.62210804434147,93.22857245778799,B,A,39.19689578298008,7.6514223002444535,138.76286215711116,96.75302750916062,A,-120.79704535389087,1
Hispanic,71,Male,-182.6847575556565,140.20688254843657,-6.897903107512243,D,-19.83216955402294,E,-107.32693566635744,29.082933061915163,A,C,30.888952772827423,-328.7758787707402,-110.35374260781659,0.11982373722071363,B,-23.072689449243004,0
African American,24,Non-binary,60.80630977027772,-134.93834495559497,14.8467975716869,A,-10.155508051278263,E,61.08906677949511,-90.62789892983865,D,B,-63.03822467889479,84.02888506831026,3.463799040521747,178.17873708503572,A,61.65731060885506,0
Asian,98,Non-binary,12.640974137042225,96.83006565273362,-99.40111309315682,D,-89.44951204708997,E,311.7966226641934,-137.0214601168226,D,B,29.42818431296906,65.80222818932846,36.97623073639428,16.186687591742945,D,-184.16764717423283,0
African American,36,Other,-58.93465641974621,88.42783772600453,-99.80160700953766,C,-145.65786161629114,E,109.92456451257016,145.6116003082554,E,B,-134.4954209704854,-9.865010930503892,178.4198398895125,82.66364108254439,E,-124.63713098763407,0
Asian,74,Non-binary,7.75059738664431,-24.344272749804812,48.00083133929772,C,184.42892559216148,B,55.76701895916235,-140.20321621611296,A,C,116.68126536110623,-80.48498138494766,120.73363301218893,2.5373719560130024,D,-99.0551485384978,0
African American,32,Non-binary,-118.23311669926937,-83.22052148533584,-153.83562714645933,A,-172.72046768305614,C,81.76066559939699,92.70567546337236,C,E,-82.8588457510924,93.84284616095286,-32.17551406075303,-287.7947481000133,C,7.863454552928674,1
Black,68,Male,-19.04711270949614,-9.369631560036254,-161.14680398466027,E,4.952409511767021,E,70.8977334454188,-148.1006997967241,C,B,109.1069368951257,-25.31957809653781,-159.4921620411529,-33.32354193393323,D,119.30990789236975,0
Asian,53,Other,-116.0320735127284,-92.63855467239614,30.036611109639978,E,-25.107457322983397,A,85.63323877870431,-0.6321061263837696,A,A,-345.48408987180534,-8.921554268269166,135.56072547692548,54.09608361745663,E,-217.30340442346196,0
Other,79,M,-12.92606735429039,-129.73201250140463,-22.594598426596775,E,90.00172918540056,A,292.2923895823125,83.95738457807886,B,D,-4.87447766828245,-3.7387299018152027,101.67931252049107,3.3694747105991776,A,60.58742005995595,0
African American,66,F,85.99560528188816,85.02495188444574,60.78292758574598,E,-1.079794964679636,A,-80.3230600165142,137.9997242452981,A,C,9.215363067272317,-71.45846372491603,-65.22533625068651,-144.04271608301838,A,-58.991804830020875,0
Other,81,Female,46.032805484173814,43.69076930145748,-27.791692782239142,B,12.21125307503894,A,-125.84308861738964,-36.509622552522444,B,A,1.406795336937449,-86.77730665743513,55.430220730108836,113.51290490123891,D,140.40031907024203,0
Hispanic,60,Other,37.31344456682562,-93.22287474114367,106.30177580794553,B,-25.613241856138846,C,-29.175206897125943,78.43041378006922,B,B,-50.63789281205544,62.32242489884482,25.34628672616512,63.12094795049019,B,196.2882259587013,1
Asian,40,Male,-50.37980556546054,-65.41627636281909,-152.58518442834418,B,62.73343359762363,D,12.313158493555793,-80.10164237276226,C,C,76.52390703527333,-143.87430902971474,165.99350413108962,-70.07528620172124,B,-44.94238334309777,0
White,73,M,94.3375393129974,8.070561804575853,124.28917331046452,E,-49.815614374702584,D,-111.84453248330803,-11.528110043803906,E,D,-112.35435756162362,-51.662367962680925,-46.647457215734114,-18.42863704814016,D,-74.96441415517208,0
African American,42,Male,-73.97447780472514,135.3154551857887,-109.98704781418982,C,23.22036267824658,E,-83.3124144483266,-88.3017002910006,C,B,195.3939103065845,131.16732766262322,0.31892310986127403,-303.90466519671696,C,111.73039414714204,0
