Race,sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
Asian,Other,A,D,154.9478656817339,25.59350711923669,C,D,7.059255752486456,B,140.9049072320115,-27.168272813264277,A,D,D,25.21391041476534,92.12311693605952,C,-310.1510527102718,B,1
White,Heterosexual,A,D,-2.5453623489628816,61.51816454540364,C,C,-45.28795144288091,A,-24.193338924195075,216.25966205949766,E,D,E,123.34660674469464,-19.877552411425302,B,-134.6403118158908,B,0
White,Bisexual,A,E,30.79651709332133,2.9289654084941197,B,C,51.6705651167418,C,-101.74655547846525,-21.438091444670444,C,E,D,136.81720544749848,-118.92139866382637,E,14.588980240010377,B,0
African American,Bisexual,C,E,-170.66332334032936,104.23533243719507,B,A,1.7330750873038245,B,9.532481666990973,37.03125382407519,D,A,B,-103.33148971218398,143.17700645017928,C,62.163626562911446,C,0
African American,Bisexual,C,C,45.087411841381865,-48.612300450353395,B,D,39.17433766857072,A,22.3921979013982,47.81831146515645,D,D,C,12.268334818807618,-62.874155264208,D,-125.05871971390228,B,1
White,Bisexual,C,E,134.87923436388385,122.28203559817908,C,E,51.36928932795621,E,-45.556265098858304,-136.7663476677373,B,E,C,58.8445867393965,48.78888849361706,E,-3.579025041790219,E,1
Other,Bisexual,C,B,-23.51016279858625,-161.40534889668896,A,D,36.086170784305516,C,0.47261757684069533,-27.785548818037658,B,A,B,72.14348820809418,-128.79498257435012,B,-21.559390272572458,B,0
African American,Homosexual,A,C,-196.7919544651992,80.04289896943698,A,A,-216.60032523756146,B,77.10698816593926,-178.14894688708,D,D,A,138.6240389182366,7.560294484283814,B,234.21465830026915,C,0
Black,Homosexual,C,D,-83.74011826291904,202.83458339103126,C,E,-197.20517777017014,B,87.19007548723332,-37.738587209103336,D,E,C,-32.73775858266206,17.047276988125407,C,36.474711095970044,C,0
White,Homosexual,B,D,-16.636016505615867,169.1659064244412,D,A,-77.79076213952116,C,14.165854664621625,-6.944502951879801,D,A,E,3.636379417711618,17.8433057706771,A,186.6512373974544,B,1
Asian,Other,A,C,14.388201733485964,148.9658466255109,E,C,251.5389247479255,D,-36.573973501001205,63.40389327687179,E,D,D,-173.89221565004556,71.85718810278681,C,-60.50490151082663,E,1
Asian,Heterosexual,E,C,88.17506202180618,69.09065626909018,E,E,41.81924975005554,E,122.63144849000444,168.64352880825035,B,A,D,-73.95920723993098,-69.10759623243978,E,-84.24981144791302,E,0
Asian,Bisexual,B,E,83.33552942443295,81.23480508553477,E,C,-109.447463150966,B,-39.89508044691969,48.5065565091994,D,B,D,-13.004997290350994,33.56126970675719,B,61.264672408875654,C,1
Asian,Heterosexual,C,C,-19.141183104236823,106.93778921671522,A,B,126.25079618878652,C,-41.88422901001741,-58.47886738432438,E,C,A,-116.65452619481991,-81.84884689695903,D,-92.78037426180123,D,0
Other,Other,D,C,-51.426490557505936,-167.74403950846718,E,D,46.132260923060336,C,82.6093686822486,-113.8399749391169,D,B,E,-18.87415429778164,-138.18071094671453,A,57.75461230917956,E,0
Other,Other,B,E,105.45019456288955,129.13744000358844,C,B,13.601069339785704,B,118.20400563824968,193.17295491270946,B,D,C,-29.079423678268533,104.58775243806637,B,163.51078328220223,D,1
White,Other,B,B,-174.00494438996927,111.11699221161422,B,D,-125.16090423534538,D,-183.43667960756414,17.365318102984173,A,E,D,4.942609002178046,-17.000815421558983,B,-15.441317590089495,A,1
Hispanic,Heterosexual,D,C,57.507878196872085,-17.5998238379649,B,C,-33.507864098143635,E,-49.20775623674454,-116.6427205595669,E,A,A,52.69723473173477,-21.16808196907607,D,9.031503655057023,C,1
Other,Heterosexual,E,E,15.081424302962908,2.3699602426202717,C,A,107.08154995904044,C,-7.746898388917678,-221.99953308063238,B,C,D,-138.5930297592593,12.96275084562958,D,-14.798451755542336,B,0
Hispanic,Other,D,C,-66.35970219260855,-112.89204946423487,E,B,-186.50041983664158,D,-21.740638154531112,52.30877666521353,E,D,C,112.89037230545583,137.8841556356232,D,-16.54224209076844,E,1
White,Homosexual,C,E,-7.492628652614679,-62.54238931413643,B,B,-28.290666911036155,B,6.037272709155453,-224.24783205440667,B,E,E,19.140250008349934,39.154907779930255,E,25.438455136298998,C,0
Hispanic,Bisexual,D,C,265.3016196723507,45.063082705797484,C,B,-217.78955474979887,E,108.62731390803617,-123.3900417942162,C,A,D,170.81075175716413,-8.909623356201479,D,60.75535005136855,A,0
Black,Bisexual,E,A,72.40391837378122,121.94356368534007,A,A,75.15340802887151,E,105.58710571099968,-123.03123977016466,C,B,A,40.70548061296875,-134.40241483395752,E,-98.66683870203155,A,0
Hispanic,Bisexual,B,C,79.79289835580214,-167.19422781572402,E,B,138.02324586679296,B,147.49966567335616,-133.23437136615917,B,B,B,-1.184434060338177,87.31452689943738,E,-131.4279930691969,B,0
Hispanic,Homosexual,D,C,152.32567841150802,16.966285116346736,D,E,19.08931149682001,B,10.383288831877191,20.32695053745085,E,C,B,-18.943378006779056,-331.19859350552827,B,1.0594224902454918,C,1
Other,Heterosexual,E,A,198.6746589254049,-84.24239127929869,C,C,39.59430079736595,E,-44.61625850955423,6.626910231748205,D,C,A,1.5767099253127101,-8.740276259831596,C,143.4433927567163,D,0
Hispanic,Bisexual,C,C,106.10811819205597,47.4548762529451,E,D,-24.115552082178656,B,-83.04210441137346,99.04410818614478,B,C,D,-103.43389354028038,112.84735687897319,E,-38.878794571571746,D,0
Hispanic,Heterosexual,D,D,-104.63737799449937,-213.12635235415715,D,C,11.618655797656176,E,-128.95959420270376,24.322038791284808,D,A,B,96.63170068871523,60.48467240006511,A,18.32461651859195,B,1
Hispanic,Homosexual,A,E,-1.7785390348439531,0.5999718823298301,B,E,109.57177846916267,C,186.40430996424934,-174.01978468588436,A,B,E,18.890116855993206,-18.11665317002521,B,-114.00553988504178,D,1
African American,Bisexual,D,B,45.57115590227252,52.16474285774483,E,B,145.2498857460821,B,-29.697813562177476,21.112844510764152,A,B,C,4.931273803688338,42.95718616270794,B,-38.66314820165913,B,1
Black,Other,E,A,90.7897596193216,10.283950501092052,E,B,-42.1441215052894,E,-314.0489377933086,-175.4518536350059,D,D,B,-31.38104182172901,-95.0947054787545,C,-40.8675867843547,B,0
African American,Other,A,B,-100.26008886000908,50.44791980568323,B,D,42.89498187949859,E,-62.29662751073482,150.19459757496458,D,D,A,88.82207818877275,-67.89871510137927,B,126.35328255380765,C,0
Other,Other,C,A,94.94087101276575,32.511113342502235,B,B,-17.879847637155503,C,32.93750290032129,37.86276409843142,E,B,C,69.8841076234163,-63.79579276788155,A,50.04433388568367,B,1
Asian,Heterosexual,B,A,-79.68514191436627,-19.06966152508997,D,B,5.83765574069189,A,-18.3760960059384,14.62533112009583,D,D,A,-156.8373516847315,9.521306228944109,B,-78.59856006898498,A,1
Asian,Bisexual,B,C,-50.07864437744368,-115.94105516644062,D,D,86.3560750648867,B,-142.5425695375155,20.518791138017846,B,B,E,230.78668794413875,-42.594939142038136,B,-95.13449922805212,C,1
Hispanic,Homosexual,D,D,66.37374965205623,78.79648997254685,A,D,-29.29190269286059,B,-6.058416832028687,71.82040120270335,C,E,E,27.197040632581597,-77.94569544199459,B,124.27639921180096,D,1
White,Other,E,B,-46.19543153883471,47.84123402103146,A,B,165.0869172684773,E,42.169763812316766,162.60729646087105,C,E,C,133.58326701425514,157.316079187123,A,-43.50218373204635,C,0
Hispanic,Heterosexual,B,C,7.889104427582814,218.32358588820108,C,A,-4.114293944464182,A,-140.66858559232008,14.674868951492767,C,B,E,-193.70202661340528,32.556048411005136,B,-8.818388355952314,E,0
Hispanic,Heterosexual,C,D,46.024024557112654,-48.271911674466025,D,D,-74.14336188311982,E,36.05963617024123,33.52718075569006,C,C,E,-15.377087028406693,121.20559358611625,E,53.21924106307727,C,0
African American,Heterosexual,E,D,-117.20183268917508,-210.32894887213067,E,D,182.0557298398863,E,23.753619120165794,34.85263112458951,E,D,D,-159.89329091621823,68.8324730382714,E,127.51607131427404,D,0
Other,Homosexual,E,A,98.24182750495297,57.39984407953399,B,C,78.53632661668921,A,76.0195155937754,-16.302970222403072,A,B,D,40.93635311882203,-103.67717806208272,C,-27.675050143393754,E,0
African American,Heterosexual,C,D,-2.0609157286407087,104.52067982547386,E,C,55.8240356722957,E,140.53637579502836,-57.44793751068359,B,D,B,118.5361877419168,42.58204455848599,A,-58.66388871177596,A,0
Other,Homosexual,C,A,-99.33817816553102,115.53757197002135,A,B,5.360762865725722,A,-145.6550867972902,78.17769063936896,B,B,C,-53.71637447580178,15.785152714969081,A,-116.67597296405914,D,1
White,Other,D,D,-253.53996670643687,-66.28322582956278,B,A,-51.22960139050813,E,24.544343057098512,88.99445891576028,E,D,B,8.393953042628196,-98.6738155072295,E,-3.561519710888075,B,1
Other,Bisexual,E,D,-94.77020211364119,-55.70159028832261,E,A,20.198743876586565,C,69.29227032130981,-5.563079102371838,A,A,A,-109.5893542912393,96.92342256314753,E,122.4443797386171,E,0
Hispanic,Bisexual,D,C,-50.67416845978918,4.5381387224217615,A,A,40.172858332254044,D,18.441625698402348,-28.10411895598578,B,E,E,-98.26351229957183,-125.8025329600112,B,109.4080555985304,D,0
African American,Heterosexual,E,E,146.2670417945865,39.700511189416126,D,A,84.91787264427643,A,99.89511815921546,-153.33866891069584,D,D,B,-177.60157620528057,-70.96441469027334,B,-62.74374346971011,A,0
Asian,Heterosexual,A,B,31.85896471031557,-10.93261784601754,A,D,80.95085382132316,E,76.23965019094379,-88.65959955622353,E,A,D,-66.75663097666387,-26.148066072004355,A,95.43264385303377,E,0
Asian,Other,C,C,148.15682814032724,-67.82236256958973,A,A,83.86785528273111,C,104.70510018034307,-82.7086609969491,C,D,D,-0.3358791408927801,-36.202590909222934,A,-149.4748979533345,D,1
Hispanic,Other,D,D,-130.7449636677486,-19.620691041206864,A,D,115.19970764689975,B,171.7333351547236,-180.27321370953976,E,D,E,-19.81976359118899,51.70987258627358,A,58.800694335836425,E,1
Asian,Bisexual,B,C,35.26682015240494,72.36755313046436,B,D,57.1131566534653,E,88.97321304526933,-77.72129821526144,C,D,D,3.577380529238154,-12.255760788343027,C,-4.791019324942509,D,1
African American,Other,E,D,-146.52104399248034,-52.2667600086677,A,B,161.94542503603307,A,1.1603353977001252,2.469979704185837,C,B,B,-128.84573250100152,48.119253896781544,D,-24.97112444760431,C,1
Other,Homosexual,D,E,244.14954855182648,111.6936197184518,C,A,62.324573340397215,D,202.16208148011722,-92.12816051797246,A,D,B,145.2103437868314,98.49172530083972,D,66.15661419938859,A,0
Black,Bisexual,D,E,-11.508936945693875,43.33268827398713,E,E,-42.450916894016714,A,9.840446055303213,-155.75319656151038,E,B,C,147.8969937995912,127.96441497247596,D,14.576136214685745,B,0
African American,Other,C,A,75.85561911619943,-64.72559457556417,D,E,17.83485227553342,D,-8.25688141850999,43.652077443119374,E,B,C,80.52334765144622,-109.12010959228753,B,-51.53914691541197,D,1
Black,Homosexual,C,B,-27.237000443710013,35.59680656643566,B,B,99.81741364788256,D,34.859596501298014,163.2951504586001,D,A,C,-15.85482487133611,73.84527538830729,B,-11.279158194910773,C,1
African American,Heterosexual,D,E,93.90147889803731,-60.4175312188015,B,C,16.142797606539613,B,33.13813647492828,-161.30804379796237,C,D,E,8.644170562068194,48.19707498643649,B,26.305231096441982,C,1
African American,Bisexual,A,E,-9.451139160967314,-178.13654202187686,C,B,-53.506740006524986,E,36.512672768194484,72.97020444150078,D,D,E,-77.71138064697493,14.383766394054886,B,-87.20040206514848,B,1
White,Bisexual,B,C,-227.09629279143186,-66.45613334289953,E,C,151.21625850539763,E,-74.7917921561013,-8.718665912356192,A,C,B,-91.50354949749361,100.39262675130243,B,-12.77789401878148,A,0
Asian,Bisexual,C,C,34.739272203292806,72.00923547028681,E,D,-71.33584422518919,E,-134.97344238711057,-101.49936725649735,A,A,C,14.799998876759568,184.6809321973435,D,70.83752498835739,D,0
White,Heterosexual,B,E,-43.68708945857216,-41.8635385420354,B,B,22.93422484739826,D,42.736755461728585,97.00606002329022,C,E,B,-58.659291401737825,-9.119393582374972,A,-107.89061551348486,B,1
Black,Heterosexual,D,C,-207.24045322344443,-41.808602993475716,E,D,-31.016234547818357,E,-87.99478895333273,-39.36756440183647,C,B,C,-132.81069111299743,25.704998518528715,B,-181.74904397690892,B,1
White,Other,A,D,98.68675669165013,116.1601988380692,C,D,102.56181924070322,E,208.76471255528676,108.28480443854873,C,E,C,48.14520980045046,-191.20196319927118,B,-27.28221570063424,B,0
African American,Homosexual,A,D,18.22573640758804,-70.10825260406304,A,E,-25.145837050199997,C,148.79036201178204,217.5494214159223,A,A,B,2.4173198397368183,0.46823450106533854,E,133.09193290403005,C,1
Hispanic,Heterosexual,D,D,-171.76168067959782,181.29271926132552,D,A,-140.86766109662665,E,-275.2164688025926,109.2808341104923,C,C,C,71.02009443196519,115.82911398022976,B,131.91354856166674,D,1
Other,Other,B,B,-69.47190014906965,-73.42399168230595,B,D,-32.48009249847131,A,-167.36953117392414,85.13071774818583,B,D,B,-91.02761874721492,117.73915141977132,A,-12.758079063574238,B,0
Other,Bisexual,B,B,73.4206968520201,205.8518367255411,B,E,62.54161183625453,E,75.54340239479896,78.77437834909597,D,A,C,16.140396628988533,-182.7792872494031,B,-83.30292227490675,C,0
Black,Other,B,E,48.98809305525096,-155.73875266546622,B,D,107.30886050627846,C,113.86803013522983,120.13649806306535,C,E,D,68.68575608358164,-52.081383475046096,D,-88.9517437873328,D,0
African American,Bisexual,B,C,-114.78265508990103,-80.7394539910361,E,A,67.18579911186357,A,172.10831627234754,-21.436389722717202,C,C,B,-6.976701895030016,-46.33398823165645,A,163.11865005139526,E,0
Other,Heterosexual,E,A,-90.61634676811987,8.17401048275277,C,B,-187.40320802916327,E,1.1571034646088558,43.886646053957776,D,A,C,8.874013628864878,215.9261169436101,C,-29.391186907016735,E,0
African American,Other,B,A,41.694845265041984,-154.465772832596,C,B,-18.752312329319405,B,-11.386553977690706,-100.47778952623696,D,A,C,179.28213378374036,78.05388968207406,A,-41.96137953389956,E,0
Asian,Heterosexual,B,B,-15.326990811445496,170.3972961764566,A,C,204.20393899449897,D,-8.438802736398074,-148.9170253597417,D,B,A,50.777558767013254,-103.47465062347234,A,-108.50404860870901,B,0
