race,Veteran,nation,birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,target
Black,Veteran,Other,61,B,119.80863087617661,204.30432133652351,59.650588843514306,D,0
White,Veteran,India,18,C,94.29624699311717,62.522305165728255,-43.64991785421397,C,0
Other,Yes,Germany,40,A,-27.882905623519132,-42.130884456585235,112.11171553041966,C,0
White,Yes,UK,76,B,80.22125934560313,3.092640045040648,67.27872541006819,C,1
African American,Yes,Brazil,24,E,44.42706891984751,132.30337553633166,123.60456573248095,D,1
Hispanic,No,China,37,E,100.16627059975356,5.868270310380782,-44.29285481365844,A,0
Black,Non-Veteran,Mexico,42,C,22.17885132446887,66.55768349828715,-61.5876093386803,D,1
Hispanic,Yes,India,44,E,-127.36613446892157,-28.70798352512343,-61.6253141397659,D,0
Black,Veteran,Other,45,C,-75.22207795499187,-252.08464124441895,-74.5433243890709,D,0
Asian,Yes,Other,76,B,90.21500926756958,39.69320136366198,123.08250323491458,B,0
Asian,Yes,Germany,58,B,-257.62658288271314,53.95093446583168,87.04389738408118,A,0
White,Veteran,UK,43,E,-28.900616923589666,157.83287084413203,292.0720713986774,C,1
Other,Veteran,India,29,A,87.45661297134465,22.566543039701788,-63.837508032723846,C,0
African American,Yes,Mexico,27,A,73.56267860140252,172.11982891962515,-51.20676550381831,C,1
Hispanic,Non-Veteran,Mexico,65,A,45.54362301241827,84.18995568641293,-110.4577152929904,B,1
Hispanic,Veteran,Other,76,C,-51.54053796578041,-106.17188276406992,173.2449420737185,E,1
Other,Veteran,US,26,C,105.6315015866794,132.11610066319957,41.26510543295847,A,1
Asian,Veteran,Other,66,B,56.706471390642555,-61.39981397531139,-86.01515445216636,C,1
Asian,Yes,Brazil,74,A,104.84681114069822,67.85930984200655,-112.9248669784789,C,1
Hispanic,Non-Veteran,US,53,C,20.498609089856277,-225.40986353015793,-215.6340783185205,E,1
African American,Non-Veteran,Mexico,29,A,37.52308229639743,173.2182663519143,-192.35326736200506,C,1
Black,Non-Veteran,China,49,C,-160.06238265749758,4.520312340574728,73.1266098005581,D,0
Asian,Yes,Brazil,70,A,68.21819433430792,-59.3211299365683,-138.55126812967563,A,1
White,Non-Veteran,Brazil,64,E,-204.23412039995256,28.07115492290385,-60.22988971094902,B,1
White,Yes,Brazil,19,D,54.48380740414478,0.6296709847082206,85.9094905776751,A,0
Asian,Non-Veteran,India,38,B,-69.34814551034016,51.26986518241351,26.610871289508943,D,1
Asian,Veteran,China,55,B,43.670155156327276,-147.7375704502967,72.3332207423195,A,0
White,Veteran,Germany,61,E,87.81151530316644,108.28674248198773,116.79280817307796,E,1
Hispanic,No,UK,43,D,115.54556663203202,117.67526417659093,-68.7510221425737,A,0
Other,No,UK,37,C,-1.9885050234535167,6.429511459966368,-128.9743381668267,D,1
African American,Veteran,China,63,D,-109.9490348610102,100.76667899132605,-67.09894733862829,E,1
White,Yes,Mexico,70,E,4.640125911740075,-0.5319005904843649,-44.956528127062015,D,1
White,Veteran,Other,52,A,-75.66628977831793,148.13086882606325,50.79811072289164,D,0
White,No,China,52,C,-44.94637432242061,93.63367803963826,-106.34211709759657,C,0
White,Non-Veteran,Mexico,23,A,64.58253064587792,-91.20129669711274,-67.72194423386757,C,1
Other,Yes,UK,45,C,-109.3345382155159,-71.25405040475243,-7.379507827560872,B,1
Hispanic,Non-Veteran,Mexico,42,E,-170.7782924421672,251.1210154027536,43.23380720181295,C,0
Hispanic,Yes,India,56,D,25.893137874828792,134.21082412884155,50.815067430893414,E,1
Asian,No,Brazil,56,B,-138.3236123236207,-68.88104690756886,26.599599147399307,B,0
Black,Non-Veteran,UK,64,C,13.944207133497441,43.465399363307746,-63.34572652813599,A,1
Other,Non-Veteran,India,75,A,79.04216762713507,-210.98679752683472,-15.088894208021367,A,0
Asian,No,China,18,A,72.12182645829856,14.509545148992586,-149.55653354221056,D,1
Hispanic,Yes,UK,34,A,-53.20236871816293,46.37824341525119,18.344871387437305,A,1
Asian,No,China,62,C,-33.98348954775603,155.14946483061084,-10.629942915095961,B,1
Other,Yes,Other,27,E,107.03948877532304,49.847292282931875,-91.41907251371693,B,1
Black,Veteran,Mexico,60,E,-161.88139820996616,-24.60706181977819,122.89289013952703,D,1
Asian,No,India,31,B,-179.40930050282319,21.059072249392205,-26.51968265724618,A,1
African American,Veteran,US,45,A,-101.65285180117114,-53.14517923614724,1.7187074448173818,A,1
African American,Yes,US,18,B,-40.14492543083883,-80.33693385264506,46.49271634410194,A,1
Asian,No,Germany,44,A,30.772259243637663,35.40183741733965,-77.35115782605457,C,0
