age,Religion,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
72,Muslim,Yes,-88.82114775036271,105.08623621501172,B,A,B,158.9133971978095,132.60466438366237,E,7.233284876210876,C,B,0
40,Christian,No,136.21714202302567,74.4550514036681,A,C,E,42.79195743946554,74.92108960376778,A,55.030210541093474,C,A,0
69,Muslim,Veteran,-141.3479163776639,116.0858681168166,C,A,A,-14.046598269566612,193.28958797246224,E,196.13608447343455,E,A,0
77,Jewish,Non-Veteran,-249.49116728182688,-123.29405350185685,C,E,A,-68.86620662391782,12.92074946092909,E,111.12403581405472,D,C,0
38,Buddhist,Yes,-39.40339221717273,35.123466895447955,E,B,E,101.07876310589394,-13.118141535115885,B,-126.79214096374673,A,A,1
78,Other,Veteran,21.865414865150868,142.91791041803984,E,D,A,94.3471524663433,-24.347851343674943,C,218.0720218373687,E,E,1
47,Other,Yes,-25.041360080426173,-19.23548745819813,C,C,E,77.87110680937255,-190.46121619107146,E,-1.286393732184618,B,E,1
66,Buddhist,Yes,49.496051401890355,83.34850588416863,C,E,B,96.07565544789585,-92.18815202655661,D,-24.023403246461125,E,B,1
96,Buddhist,Yes,53.77916164336928,-121.16625216488485,E,B,B,184.67991137546738,-145.91320431811232,C,14.496538057186136,D,A,0
87,Christian,No,-24.154859586680015,-5.1686068703906125,C,C,A,-245.18857231327326,-25.118092260118736,B,-126.42467920562639,B,D,0
51,Other,Veteran,-176.61441808490258,-47.06662398441084,B,C,C,69.48552497636172,143.90439253609688,B,82.7103665366715,C,B,0
55,None,Non-Veteran,41.04789126100536,106.44133107100922,C,C,A,15.736082354001116,-8.967161686280269,E,128.05748268574942,C,D,0
60,Muslim,No,188.86263817569258,29.215418675774202,B,A,D,-228.82835935799886,-80.62828461516962,A,82.87090603708616,A,C,1
65,Jewish,Yes,19.86369778042338,103.91895811053296,B,B,A,106.29311447464771,168.75469312894472,D,-92.51283202570798,E,A,1
29,Other,Yes,-128.87814102414137,-1.7487809632753661,A,A,D,8.718339279768868,-3.513759247278196,E,-122.31100921988134,A,B,1
28,None,Veteran,-27.66287903850284,235.25729001099342,D,A,B,152.0960065347378,146.52666041293767,A,-20.0253421706895,A,A,1
82,Christian,Non-Veteran,197.18819405514319,-108.96661090935429,E,C,E,49.56916871170149,-23.702625354057513,D,24.56846506380002,C,D,1
94,Jewish,Yes,66.65841736797753,-46.60894664466115,D,D,A,-101.91306548221877,-0.07818416853944607,B,121.59493467652811,E,A,0
52,Christian,No,94.46353713155574,-131.54447280436483,E,B,A,-113.35868434151509,-197.4440481113668,D,2.9394346810105945,A,E,1
44,Buddhist,No,-60.55947683017686,-44.2352160862189,D,B,C,-130.20701752050942,21.95522097285528,A,89.8826102765172,D,D,1
34,Muslim,Veteran,21.321962779466162,60.973245171465805,A,D,C,22.225240096502784,3.187198791430902,B,90.78421869610163,C,A,0
21,Other,No,-56.298154391492986,81.71427807192816,E,E,E,-200.4274234091401,98.1123886491948,C,-134.48956462608862,B,A,0
36,Buddhist,No,54.085694900401535,67.00165955006514,E,E,D,-48.94637150316354,-73.72830687779563,C,-75.44220186223474,D,C,1
29,Other,Veteran,-163.02604239153874,-70.18581680836286,C,E,D,104.74430273855184,19.469445942160874,D,99.6731990770847,D,C,0
50,Muslim,No,127.52783550918416,-286.1897170410737,B,B,B,101.90975314737176,39.63611514618142,E,-51.60917344563507,B,A,1
37,Buddhist,Yes,77.05381996798751,81.6873026401142,E,D,B,70.84172744249557,-4.569876462728701,D,72.15139038512895,E,D,1
58,Buddhist,No,-51.85467771917567,-99.70273001207956,D,C,D,0.35946909319607695,11.200427927082785,A,11.292395132175164,E,B,0
50,None,No,-20.60375225014942,160.0430883580107,C,A,D,21.702939250409745,20.369330788961175,D,-77.03854416219407,D,D,0
58,Christian,Yes,95.37893099307584,-83.89997708453072,B,B,E,-13.045937422225753,38.66426077084027,C,232.32433668253356,B,C,1
53,None,No,-17.699692979596957,0.14461132942970356,D,E,A,-40.13271541119286,2.490282299627004,D,-109.54534072975208,B,E,1
62,Christian,Yes,119.31158773883801,160.04164779574316,E,A,B,133.2937161956539,-169.49421451546309,C,9.410144702404304,C,D,1
81,Other,No,-8.216830909527943,-145.21819490787973,D,C,D,51.83361087951867,-26.201011602890905,B,-98.4020476108896,D,A,1
69,Muslim,No,86.79933630081985,69.48349643477795,B,D,D,103.30435392839294,-21.662161351553713,E,68.1583876416675,A,B,0
93,Muslim,Non-Veteran,2.7351672453408473,-103.14286187822917,C,B,A,-13.333258015213387,60.40979271924641,C,-204.9644110659863,A,A,1
86,Muslim,Veteran,62.44451038561003,68.57110138349148,E,A,E,156.59971109994683,-18.383825290677116,D,144.71354799738975,D,A,0
