disabled,orientation,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Both,Heterosexual,18-25,D,200.72341952439578,B,A,A,C,C,D,-70.10211659056581,-175.75370960585886,0
Physical,Bisexual,36-50,D,-14.434909839157688,B,D,B,E,C,D,27.157023599095208,54.51423583826786,0
Yes,Other,18-25,D,96.64708513840891,E,D,B,C,E,C,-102.09266037186877,102.27180344599982,1
Mental,Heterosexual,65+,A,154.90965010243355,C,D,D,A,A,A,-95.75058144109742,-40.89384802370756,1
Yes,Bisexual,51-65,A,-109.04604412745915,E,E,C,C,A,A,-95.05172987225538,-132.414466694406,0
None,Heterosexual,36-50,A,-61.043682770972254,B,B,B,A,A,B,-85.27518440434956,29.079509204330968,0
Yes,Heterosexual,36-50,A,-3.5456674614204404,B,D,C,C,E,A,-2.602949283121504,-41.931252579142445,1
Yes,Other,26-35,D,-7.5631030633558805,A,A,D,D,C,B,145.54680959244303,-79.43950497127032,0
Yes,Bisexual,36-50,D,-52.88978314862419,D,D,E,B,E,B,125.95833190630039,10.578838999142052,0
Mental,Bisexual,26-35,E,-108.37954684792616,E,D,A,D,B,B,68.66284116759167,-72.96456651824079,1
Both,Homosexual,36-50,A,77.40065222151716,A,C,B,A,A,E,75.60027000284263,74.13776243124506,1
None,Bisexual,36-50,E,42.657239686072316,D,D,D,B,E,E,-126.57369376798069,8.96739140236038,1
Mental,Other,65+,A,-79.0608847386779,A,A,A,D,A,E,10.536981532144097,42.379093967878354,0
Both,Other,51-65,E,94.64891460063652,B,E,E,D,D,B,-160.656536751798,-149.22417800480858,1
Physical,Other,65+,B,197.40012557084384,C,B,A,C,C,A,55.77136477065985,-43.338236342705066,0
Physical,Bisexual,51-65,A,-87.72617189388609,D,D,B,B,E,E,5.3731040839532325,-37.11294668445764,0
Mental,Bisexual,51-65,B,68.88082651570393,D,A,B,C,E,A,-78.5530008910342,-36.12312925310625,0
Physical,Other,26-35,B,-16.208371409776035,B,A,E,A,B,E,198.273976450035,66.65470742032139,0
Both,Other,26-35,B,40.474325142853694,D,C,E,A,E,C,-78.85511257985416,-69.49821986010353,0
Both,Heterosexual,36-50,C,-1.5019549879543173,D,B,C,D,A,B,11.472746431932196,-16.182357445667726,1
Physical,Heterosexual,51-65,A,58.69602778086767,D,B,E,A,B,B,34.47988371533834,-108.25393747254724,1
Physical,Other,51-65,E,-13.391607036450717,B,D,A,C,A,E,198.3619201305455,96.3620189187092,1
Both,Heterosexual,65+,A,-58.573327470209556,B,C,D,E,B,C,188.89701892766863,-46.813526688211134,0
No,Other,26-35,C,-133.25651081759048,B,D,A,E,A,C,4.321165951210147,-93.65957855583247,0
Mental,Bisexual,36-50,A,60.14399659969549,E,D,B,D,B,A,100.26328341395794,31.55259166573433,1
Physical,Bisexual,26-35,D,-54.830445397519426,A,A,E,A,C,D,-55.74301480783742,136.61832300774134,0
Yes,Heterosexual,51-65,E,-170.19879685867247,D,B,C,D,B,A,-130.19054019707207,5.49122857358063,0
Mental,Homosexual,26-35,E,92.97507493730049,D,E,D,C,A,E,-298.58746340074356,-65.30708303841428,1
Mental,Heterosexual,65+,A,-61.88561667996756,B,D,C,C,E,D,-155.36530708893,107.42213220702811,0
None,Heterosexual,26-35,C,11.54108743842862,D,A,B,B,B,B,48.39451000301412,33.69025559444204,1
No,Other,18-25,E,89.63202836632838,E,E,A,E,A,A,110.70858771216842,59.72620737189014,1
Yes,Heterosexual,18-25,D,-10.472523818054873,C,E,E,E,E,D,-23.481090105626198,78.30997012477113,0
Mental,Bisexual,18-25,C,32.956749031212354,B,B,E,E,A,E,40.9512548058634,-15.88770918807165,1
Yes,Bisexual,36-50,A,39.28096121571764,D,B,C,A,E,D,20.199424511073115,-48.85358078438612,0
Both,Bisexual,65+,A,-91.34341786216852,B,A,C,B,A,B,71.54125959900064,152.15020289039197,0
None,Bisexual,51-65,B,-33.668718431460654,C,B,E,A,E,C,-60.391819786949796,-120.54234673568311,0
None,Bisexual,51-65,A,-82.8636967817425,A,A,C,D,B,E,-22.51599622258928,-89.98386285050634,0
Yes,Heterosexual,51-65,C,79.97049016430195,B,D,D,C,D,A,52.42346408612727,118.42690351443265,1
No,Heterosexual,36-50,D,-62.683759076562495,D,B,A,A,D,D,-10.937017064988057,25.302629344973344,1
None,Other,26-35,E,-12.705203499261419,E,A,C,D,C,A,161.45230802834982,-8.95507385825907,0
Yes,Bisexual,51-65,B,-36.636691196146465,C,C,A,D,D,B,220.9239427621701,24.14800949094595,0
No,Homosexual,18-25,A,103.70957102185825,D,D,C,A,D,D,-24.757446286227776,-61.993471109189734,0
No,Heterosexual,65+,C,34.412965418405825,E,C,B,A,D,E,-41.43125414703017,42.90262756872407,1
Mental,Homosexual,26-35,A,-6.2763070280124635,D,B,A,C,C,A,-111.96654367339289,-113.36912638937868,1
None,Homosexual,36-50,A,190.59300011648295,D,C,C,B,C,D,-32.29740719936625,-181.0629593736419,1
No,Bisexual,65+,A,-131.5141046577388,A,C,E,D,E,A,206.5862256100362,12.544410564079245,0
Yes,Heterosexual,65+,C,-14.617173767374295,A,E,C,D,C,A,-35.29317542612441,-12.319616250863426,1
None,Other,51-65,D,69.63811066620286,B,A,C,A,E,A,-32.21444533762574,-104.06592415541675,0
No,Heterosexual,26-35,A,60.12666266857427,A,B,E,E,C,C,16.101494942235984,76.21744050622222,1
Physical,Other,65+,C,-44.987009042587324,C,A,D,B,E,E,9.87056515561674,-1.9838022963637107,0
Both,Bisexual,65+,B,178.54850326712653,D,B,E,E,D,A,-109.96135279827975,118.28853834237717,0
