gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Female,-59.496613819972,23.016631996825208,E,0.8242212474471045,-121.62744326307214,-141.4813428753605,41.763247316257754,-60.10746414505642,143.71843873723503,190.8150598479052,B,0
M,43.89614279549294,-164.74009829899117,E,120.3353262360517,20.876060809611456,82.6755287326682,57.9125891927078,47.339365418332235,129.41593721679465,-25.04866288756027,D,0
Other,-114.93324607205912,221.04289553601052,D,56.76334433484689,-18.048016514121265,-137.84871069370368,91.76083611534416,-12.699553693176302,150.78543868515777,4.506467236972638,D,1
Non-binary,169.28293233305752,-64.67035438004146,E,155.93587598519446,41.626305200868664,128.17294640395698,-78.80140094575412,28.996259585400946,-50.19075832624832,-70.4139435104302,A,0
Non-binary,27.796226796985675,-14.619405815135798,A,56.71219500792074,-65.69655960360708,159.91672136093985,-55.14998137312278,15.417833724013462,17.171454387809522,-59.948684148617325,B,0
F,-84.24700248718798,129.77030849155562,E,-94.55606217062224,-18.03454347542535,99.66131926322797,125.37181925803769,-101.24044201489724,-71.85236258008332,97.57040657903615,D,0
F,103.27241275744808,-18.532488636436423,D,95.65420575037916,40.59426487629067,53.243733183870546,-21.40137616712247,65.01031595657876,66.27805410902722,-83.58253677673322,E,1
M,-103.8319780925883,80.09213006223118,C,-80.56652270696097,-194.63765626633008,-61.30248526045473,33.13858405211939,-42.78170949713401,-110.70228472473367,164.85384994093886,C,0
Non-binary,-51.006732986204895,105.20141865598083,A,19.283530314878618,37.52000663653209,166.48977743379706,-2.94644034385911,121.39757279030545,135.81766353678887,-95.1869696501096,E,1
Non-binary,-241.33026430754992,-128.36624179849164,C,-72.35434247185603,172.31150340315915,-148.14720465535868,215.4457113035341,12.045174509475634,264.7580975273278,-74.36554872717556,D,0
Male,-106.22558125315156,-131.771149061107,B,-31.46531032615198,75.66581424133093,-185.45132299076747,-1.329069036557598,-18.83309365524773,27.862768139340876,173.41953083566813,C,0
Male,-221.30529689033605,75.54663088787265,A,162.6593691595612,-33.39010588603833,194.88871260847566,-142.58874955973806,95.67001466339163,4.246558278683435,-114.20338515719767,A,0
Male,90.04159143821036,48.90677794351001,A,-50.9723386134981,61.93684842205529,-65.79343855468275,20.385222125874332,-161.80263188741202,-72.51934901425798,-150.53906625656617,C,0
M,-63.47554382672405,-52.36869247993744,D,-34.316447927257954,44.44127100653005,79.86479540875465,-21.67481305400364,72.55807101065298,-109.841686444317,164.45813454597206,E,0
Non-binary,112.88419277907511,-4.228398266537601,B,52.63940098338329,88.57981556192289,23.43315935066309,-7.449132809283064,-185.81298818821966,45.93462616901405,73.92704615924248,D,0
M,83.63264746368958,-117.89715514768912,A,-85.62025211223421,-56.53145016219286,-82.16925533212141,37.6113535498942,87.99518776143871,50.90887611507405,-14.68458265452129,A,1
F,-159.57643942565244,132.04766640403702,B,-31.158800199734905,-110.10049830247806,56.25221581626793,-121.8518496795132,121.23807212519446,35.74228231617143,13.084207296783234,C,1
Other,28.69973313110209,8.43505915815566,E,39.814676007184055,25.211010748472066,-58.22295082294065,105.2499067136638,166.58824258288348,-20.81380028938038,81.59518426449478,A,1
M,-59.59029403007685,-38.645346973031955,B,-2.1750445990115788,-34.42622220904356,130.55272336144296,-91.10912203523237,-115.05424217048883,144.1133744821104,-44.529557215388586,A,0
M,49.326193356954505,135.471302718116,D,6.671503064230852,-69.76166807911373,131.85773845478857,-46.77141424862014,73.9188691758636,-13.724761472961717,7.03157057576446,B,0
M,104.76564481636363,-2.7484493929792237,A,161.4552042376492,60.3428761162784,71.63178322537307,-4.018876186248923,99.01228919159848,17.968475358947867,119.80781553078512,D,1
Male,-100.9609196690951,-172.89285287956585,C,-29.41964149113092,15.093000829595793,-64.40406716706202,-81.25062940169548,-4.410747215880231,94.89763254449815,57.62398556161915,C,0
Non-binary,-8.852882631534062,-17.949249735604624,B,77.16329116144341,111.45899289283525,1.9977787165755256,95.88676685523092,-19.748610810836997,152.6562057422198,-49.5641032494238,A,1
Female,-122.42053186152006,80.02432741121768,E,-136.08373510805393,-124.28896665492495,167.0100777014139,-46.13282180059507,137.67131759457024,152.67335442001618,-238.09106130242324,B,0
Other,-81.80528133343456,-210.82685123393986,E,4.185752863709203,-107.8987091480285,144.80146604426696,174.04897566232415,-43.14993906606718,12.334767693302322,15.49060695698326,D,1
Non-binary,-3.9424191672963023,66.4772041440431,E,54.7621656087216,-114.79851268866386,23.20763095090362,-71.16803765492475,49.583488417663155,-97.62460522533074,137.1258845689403,A,0
Female,-10.90079267947603,-139.82625093262283,E,-8.263042633485144,-20.694491152484957,-37.8660869497354,-136.4089948331898,-174.4213028208821,-8.697067993025728,5.934211750741699,C,1
M,113.3223509155028,55.97264135941097,A,-55.15869623585537,9.977198916061964,46.07863608556801,-105.97174864729415,-42.76445497298639,-239.842361583628,86.5197979773781,C,0
Male,-119.9003235050081,-95.89087681083738,A,-49.91275039006459,-21.252383368518267,-231.6404880928929,-57.268294703424125,111.1929636545108,147.42075063397434,12.183553414049733,A,1
Male,125.86063488333004,5.607651373008158,B,46.516341289897014,-5.052205045763794,183.4715563654048,-70.41686599848748,-55.27917423097439,-11.522799680037043,118.04361262436423,C,1
