Nationality,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Germany,65+,E,67.65854970032392,A,-118.88263264186803,-101.69202192429516,A,E,C,A,B,1
Other,51-65,D,-32.80845726767739,E,49.92732780361294,45.014686028818744,D,C,D,E,E,1
Mexico,26-35,A,120.5813627287107,B,-127.97105808124753,6.147861236074944,B,B,D,B,B,0
China,36-50,B,-26.65839782382971,E,-117.79070592884453,81.48218012969998,C,B,B,A,D,1
US,36-50,B,-26.51527173504552,E,145.7533077290931,-33.17920468015314,B,D,E,B,C,1
Brazil,26-35,A,65.1379228202348,C,119.20078825449127,-75.74171220592748,B,D,C,A,D,0
UK,36-50,D,48.026873660234436,C,-105.12369511161856,214.39246671797773,E,E,A,B,A,0
UK,51-65,B,-150.70682167639785,A,-44.81913533323368,-36.91866076367308,E,E,B,C,A,1
Germany,18-25,B,136.1129297237106,A,192.9717123221655,124.57651913666419,A,B,D,C,C,0
Mexico,65+,A,33.6891323372517,B,94.2421662647589,-150.4234145278878,E,E,D,B,E,1
US,65+,C,-105.58593013648341,C,-92.75314356452206,-232.83228938272882,A,E,C,D,D,1
Other,36-50,B,-208.56456769890892,C,30.921366663000892,16.66323050167775,E,C,B,A,A,1
Mexico,51-65,D,-63.92810247679384,E,43.523993989285785,-153.19976116858066,D,B,B,C,A,1
India,65+,B,-2.7083445783029285,D,-80.33949504983549,212.6480070337065,C,A,C,D,A,1
India,26-35,A,-106.94697894266132,C,112.37796433318363,-195.62828755047823,C,B,E,D,D,0
Brazil,36-50,B,-78.48597665659824,D,85.26457319123575,39.87908163938884,A,A,D,B,B,1
Germany,18-25,A,50.787551116956365,A,-86.17795548446334,8.208724581817892,C,C,B,D,A,0
India,36-50,D,-165.82236456074844,A,-135.66923298771573,-89.54378701098327,E,D,A,C,E,0
Mexico,51-65,B,-94.89127724418624,E,-142.58489165275833,-127.03797691329387,D,D,E,D,B,1
Brazil,51-65,D,12.106672505990606,C,75.80285023116797,-81.54728774395747,C,A,C,E,E,0
Germany,26-35,B,63.046829031164634,D,38.01799418872045,-43.286430665486684,A,E,B,A,A,1
China,36-50,E,-78.41904382397085,E,61.67482253165303,61.31665814126256,B,A,D,C,C,1
US,65+,A,-88.84104140830071,C,81.94985498199964,168.31201390661286,D,C,B,B,C,1
Brazil,26-35,B,48.535640860159994,C,29.069638145382008,134.01364521063556,A,E,A,D,A,0
UK,36-50,C,75.47225751057353,C,24.31055611109974,-107.01920254937724,C,D,E,B,D,1
Mexico,26-35,E,66.82302285235357,D,1.521888279312592,70.16700580316896,C,A,A,B,B,1
China,65+,B,65.82100393763582,B,-160.43605116184727,48.99501545917976,A,C,E,D,E,0
Brazil,51-65,A,176.25746780866257,C,-133.73754193183825,-120.30427308290406,A,B,E,B,A,0
Mexico,51-65,A,-74.51242423938616,A,-81.76807329511585,39.25042763130286,C,E,D,E,A,1
Mexico,26-35,C,-117.74012910171434,C,-149.6760842432409,1.688159231069541,C,A,E,A,C,1
China,36-50,E,-147.2945505937538,E,138.76513587962808,-28.624448069893525,C,A,C,A,C,1
India,36-50,D,17.22473452413328,A,29.45608990277,-182.28926399947767,C,A,B,C,E,1
Other,26-35,A,-49.74717559420867,D,-87.82652961369014,-12.831455452370873,C,D,B,C,A,0
Other,26-35,D,-121.54135147753915,B,38.523287705750676,6.843164583670183,D,A,A,C,B,1
China,51-65,A,-91.12909910529766,B,68.9185840930772,-80.83661462887746,D,D,E,C,B,0
India,36-50,D,-91.00264914746407,D,39.57375276730256,-132.9874740196576,C,C,A,B,C,1
Brazil,51-65,B,-118.68130586765521,B,78.2119211501194,97.37660930361342,E,D,C,C,D,1
India,36-50,D,-121.55443879755843,B,-74.10895701869343,33.19409235538961,B,C,C,D,E,0
Mexico,26-35,D,-12.833108803024066,B,-120.14441244429645,-48.19366577751462,D,C,A,E,D,1
UK,51-65,C,-170.27645474233555,A,-221.14653730716785,109.2177839803262,C,E,B,C,D,1
Other,65+,D,-58.66292382435465,C,-76.10997715008149,45.19031191172158,B,D,A,E,D,1
Other,65+,A,-160.27481053553174,C,69.77906557339466,127.72445767106082,A,B,D,B,B,1
China,65+,C,149.80105896355656,B,-126.80961621220032,3.182624892537282,C,C,E,A,A,1
Germany,65+,E,40.286065096759,D,33.89299929303321,-36.564698226878036,B,D,A,D,D,0
Brazil,65+,B,182.1002356441065,D,-145.9073274560996,-126.49844446459106,C,E,E,B,C,0
Other,36-50,B,37.53376963672173,E,101.98810814830377,27.992872201550867,B,D,C,E,A,0
India,18-25,C,23.2795920395053,B,74.4546476595634,-28.663068730087428,E,E,E,B,B,1
UK,26-35,E,-51.01590928561293,C,-17.021666845417858,-13.510236312778096,E,E,A,B,A,0
UK,36-50,A,113.22796243197976,D,-65.55216736194815,83.88576654697708,C,C,E,B,E,1
India,26-35,C,20.88092955439162,A,-15.02037838675896,57.42101709776992,A,B,D,D,A,0
Mexico,26-35,E,-73.4279769754632,C,101.23413165369308,-99.10971858709135,E,E,D,B,B,1
US,65+,B,-23.514231725992282,A,155.61270672822636,23.722801332247986,E,D,A,D,D,0
China,18-25,D,-102.49779728915978,E,20.69650745721847,-22.55549128505044,C,A,C,C,B,1
India,26-35,E,60.19965971188817,C,-161.5033992203946,59.08006261096084,A,B,E,E,E,0
Brazil,26-35,B,-75.9768987967652,D,-13.655040905335527,-94.27170913924215,B,D,D,E,C,0
Germany,36-50,C,26.773325031974714,C,72.9517191053028,-119.63677876140271,E,E,D,E,D,1
Mexico,26-35,B,-38.882527637414604,A,64.5068663163056,182.1839354128654,E,B,E,E,E,1
