religious_affiliation,sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Muslim,Bisexual,B,-120.2221406566651,E,55.771197171832796,-164.3546009334405,-31.477462193561777,64.78347713375345,D,37.47520757261168,A,79.60572267972516,D,136.56212711619645,134.42801950366476,1
Buddhist,Other,D,164.32043151254842,C,-30.29788859062574,-50.21844998606784,115.92471399548731,-25.179819481995686,C,-32.549136359426456,D,12.771360148172265,E,103.65898093830832,12.839500321840678,0
Muslim,Bisexual,E,-53.44802722517422,B,39.09218086123708,124.12749477469498,220.22318143183549,13.277479884258772,A,-84.966340846961,C,-144.3152232098194,E,-72.97165234838897,1.5320296920133487,0
Buddhist,Heterosexual,C,-80.46398114196715,C,8.142610202991106,-192.61598719989314,-195.65187003142296,73.44053678683395,E,85.06262220080232,D,-17.91770534239427,E,206.95646235498197,-17.779645989546253,1
Christian,Homosexual,B,11.01064308450936,A,-142.79886844842258,-194.00637073146868,87.54088409337402,-76.96908581220299,C,-6.153621682700919,E,-181.301115789376,D,-193.81834904124304,-147.34270627642044,1
Muslim,Bisexual,C,-188.09699846846655,A,-64.66723162980747,59.170644768894434,-216.26228874797812,36.93312932411131,D,-39.134039320766476,C,105.50993263865219,B,13.083526215143051,78.95336623363963,1
Hindu,Bisexual,A,-141.7072132516181,E,60.93900829360671,-81.52315813173827,-119.34442056484052,16.725934599262207,E,13.971465369746022,A,-57.563280777879655,A,202.0679727903317,-15.528130196733095,1
None,Bisexual,B,40.43775928513432,B,121.99576519115962,-181.83163566060537,64.43407010901761,-156.01211263975273,B,3.2366247882211923,C,15.487756660989952,E,-142.79398501586905,-182.48755585834263,1
Hindu,Heterosexual,B,-8.561350065137491,A,93.34652609089376,268.28087452218074,-13.679507807939373,-2.925114519514575,E,-58.71697841776099,E,-36.613193061969554,E,200.4946057703549,-210.12635471330535,0
Christian,Heterosexual,D,34.407015205356764,A,-21.41750480679539,-114.17926586815028,94.9216618508946,-25.755586425277976,E,143.26774321211033,D,72.73216672054888,D,-69.27629172092547,58.705636350450476,0
