birth_year,civil_status,sexuality,genero,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
29,Widowed,Bisexual,Other,C,161.76657396453155,158.58344269060413,B,B,D,E,-101.12140386818531,-147.74126883870963,-39.88470220392617,A,1
59,Married,Other,Male,A,74.12134222079139,-65.75738520010987,D,B,D,B,-63.9623061419352,80.44071864116349,-72.12110277045738,D,0
21,Married,Other,F,D,-8.212549230862288,-163.46072460636285,D,D,C,E,20.96193120579846,20.467738478166282,184.7713916317228,A,1
31,Widowed,Homosexual,F,E,6.906948376192261,130.57357057512164,C,E,D,A,9.833124409573706,-65.57657574528854,-143.65999327301304,D,1
76,Widowed,Bisexual,Female,C,135.91844295730309,128.5054361669618,E,B,E,A,27.86533360476579,45.474120124665156,2.8051853956328574,A,1
28,Single,Bisexual,M,D,216.89889626957392,76.6595845409996,B,E,B,C,104.20735996717805,-1.0100052769554677,114.86533001690904,D,0
71,Widowed,Other,Male,C,17.18683914224634,-40.24817022434103,C,D,E,A,-93.26266371151927,-174.8290172538163,-118.2943155851962,D,0
55,Widowed,Bisexual,F,C,-9.716658469634144,-24.674301750207526,D,B,C,C,112.57748610129448,-23.242220220673985,-56.9843098954099,C,1
89,Married,Homosexual,Other,C,99.07350150514432,-15.191642455596421,A,D,E,D,17.79502100699434,12.692275165580721,-178.49331626231677,C,1
86,Widowed,Homosexual,F,D,-61.72410406231986,158.80591041046785,C,E,B,D,61.28026495076253,51.59863583833163,-86.16250635937736,D,1
31,Single,Heterosexual,Non-binary,C,78.89772070246741,28.447440960734642,B,E,E,A,-101.76596822510837,99.89559173968286,-147.53147269325322,A,1
89,Married,Heterosexual,Non-binary,B,-51.16788204061614,-106.38316815136565,B,D,D,E,108.39179745466605,143.05587231303306,51.98942666039621,B,1
50,Widowed,Other,Male,A,-29.30530595235899,36.50719104725566,A,A,B,C,3.454075076008828,44.79725321227953,-199.37931576286704,C,0
68,Widowed,Homosexual,Male,C,223.28781459851385,-160.4597325959828,A,B,B,A,10.841007022278468,135.71780773206302,-12.428419687158367,A,1
22,Single,Homosexual,M,E,53.779731081405544,47.27871567254265,D,B,B,D,-40.54400944802354,36.325394995351374,-19.24955909167772,A,0
95,Widowed,Homosexual,Female,A,93.14856184569172,129.63486620452196,E,B,B,E,47.81991094855322,-40.977197287232926,14.818081928795559,B,1
57,Divorced,Heterosexual,Non-binary,C,15.770063101443768,41.89962504574617,A,C,C,D,-9.047237252013732,223.53675948627009,3.4573186157462596,B,1
23,Divorced,Other,Other,D,178.33104283193035,-32.07607509097446,B,C,C,E,26.843244093656054,-142.23353757596144,259.606995982902,E,1
95,Married,Other,Other,C,123.68316248207955,-73.45762039944294,B,C,E,E,-77.66143841506272,-44.15664162908614,52.94138692071797,C,1
57,Married,Homosexual,Male,C,53.074059377371306,102.98214876816148,C,C,E,A,63.53419368140194,-66.5748069271058,120.49866024919305,B,1
