religion,gender,Veteran,ethnic_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Jewish,Female,Veteran,Black,-17.050433989641263,41.42291931631734,-138.2205906847216,A,-49.51850993874255,A,D,-143.50153597353417,-88.95708385699709,0
None,F,Non-Veteran,Other,-78.30499772767855,34.12648672108007,-22.773322155250042,B,-152.58756650069756,E,C,24.17383282119578,90.55080395210712,0
None,Non-binary,Yes,Other,71.32671503178175,-97.96522114453536,-41.351962823753475,C,-75.02773820612147,A,D,239.98364222129914,33.69837073302902,0
Hindu,Female,Yes,Asian,149.74889480753546,201.95937161750655,158.0531760824477,D,0.6293492139303872,A,A,-4.273637744599726,131.96765641071758,0
None,F,No,Asian,-256.5945763586245,24.17840807786992,93.99659426416788,B,267.5415679094959,E,E,8.181862631282106,86.022832441342,1
Christian,M,Yes,Hispanic,-35.67960101479913,43.796387725943106,56.593030763210436,B,24.714595704412616,A,A,15.355851365255525,-0.06049923987422711,1
Muslim,Female,No,Hispanic,-46.32338722919695,-62.629057518800956,-254.63115757684608,C,28.3254914134101,C,C,-248.00696867839824,142.69576721999672,0
None,Female,Non-Veteran,Other,-38.007320093672995,-151.24245926473588,-57.73874806772128,C,-64.83618667535555,D,E,-98.06517650732773,8.847917527890482,0
Jewish,Male,Non-Veteran,White,18.802649850736692,144.5129433612648,70.87310258741664,C,109.07394626759061,B,A,25.94990682078781,-126.74220416153732,1
Muslim,Female,Veteran,Black,-44.00650609669382,96.61957574108598,-248.74706477721804,D,-49.91271584182498,A,E,76.45699114956047,25.79016976295994,0
Hindu,M,Veteran,Other,48.287389874267504,68.3710179671869,-52.375317130961804,D,-16.443917591910882,E,D,116.32932245075816,-28.586440682689197,0
Other,Other,Non-Veteran,White,-114.91777470513105,-11.596347955396812,121.41211432843167,B,-68.55924187724878,A,C,126.14934262822474,50.54892205526708,0
Buddhist,Male,Non-Veteran,Other,-154.34786753730538,223.95211683658243,36.72013918223263,D,-8.19034799895279,C,D,79.78944684598096,40.071708410388965,1
Muslim,Male,No,White,-6.047405239151005,51.045656771444804,-45.245802560649764,E,118.55676231224786,E,D,20.92680121592586,68.4244825720896,1
Other,M,No,Other,46.713918506587774,70.62862257503197,153.54330548424855,A,-38.3337571864833,C,B,118.48012769293932,20.107555219489022,0
None,Female,No,Asian,71.33136401122924,42.877517565123455,-196.19347366434226,B,-82.48297683212421,C,C,39.53161179003334,196.28868421764219,1
Christian,Non-binary,No,Other,52.275314668305406,0.8100794312385609,86.36032956367228,E,82.76385481096354,E,E,-82.64083352140239,-107.22035083672775,1
None,Non-binary,Non-Veteran,Hispanic,-47.27363081172694,-79.08000759045458,160.75526159201925,A,26.172099428491375,B,A,-129.4469410702598,-101.27224388178169,1
Christian,Non-binary,Non-Veteran,Other,88.31814118567969,116.34752926132272,21.833246000118237,D,6.360012281799432,B,D,12.835144997248694,-198.64922219114084,1
None,Female,Non-Veteran,Hispanic,89.44379230607522,-131.21044541916265,-42.843276266948784,D,-174.8260901026795,A,B,60.21144090219768,130.68480999234845,0
Christian,F,Veteran,Black,70.16821672103052,-14.776973403119467,-38.59737357223586,A,-95.88459837411851,C,C,-53.36763461628158,-146.13987467951995,1
Hindu,Female,Veteran,Hispanic,-89.65139189538203,97.58963851750855,-52.58098817479282,A,-5.346241129279676,D,D,-4.306058441651295,-34.72678926731225,1
Other,Non-binary,Non-Veteran,Other,81.09618020042682,7.5323785401872945,-97.58425461029088,E,46.02230365290744,D,E,15.329305950189204,4.720478666246527,1
Other,F,No,Black,-63.77806360279421,87.48729874792134,67.8349357916593,D,-163.41590449155336,C,B,113.34694198907084,-115.89274493946202,0
Hindu,M,Yes,Black,-78.31230348502734,-75.80932451739977,-158.0012033456322,D,-70.39635800906326,B,D,11.234255522224908,223.4388558282638,1
None,Non-binary,Veteran,African American,-28.285214852874503,68.42796486129575,-129.80298709075754,C,40.10233958297346,D,A,-177.92424879741185,84.51544442736976,0
Muslim,M,No,Other,-90.81468189827847,54.59666148341803,7.734387509874844,E,84.6932210518339,D,D,52.49790542693847,141.56366049857522,1
Other,Female,Yes,Asian,-31.645182106333724,94.70951204245749,-75.68395619432253,A,-54.34654952954746,A,D,0.27676834569814796,100.50426704144076,0
None,Non-binary,No,Hispanic,90.3107098346196,71.98775185292898,91.75043718006373,C,59.20907135861935,B,C,-67.81341788301798,-23.562967042949346,0
Jewish,Male,No,Hispanic,60.964216109639345,-63.312039768544736,-140.32948922867087,B,-29.590727308498177,A,C,-17.141768187709992,-45.06998022213933,1
Jewish,M,Veteran,African American,93.58114346618063,187.96512338834762,-87.16752928333594,B,23.790563188420123,A,D,-129.1392004204986,-50.360133672100716,0
Jewish,Non-binary,Veteran,Other,68.58210057064798,-30.239702982912114,12.060757012161606,E,-111.83291038066531,B,D,62.99141108986909,-133.16142467548386,0
Hindu,F,Non-Veteran,Other,-218.62701430122175,-14.888594136363858,92.31284200604325,E,-220.21840096314156,A,A,47.31657487977185,20.0629589245789,1
Buddhist,Other,Veteran,Black,121.6729238133067,75.88049084936338,70.06853051624027,E,-143.4660400851228,C,B,29.223399357942508,-182.6561010259853,1
Christian,Non-binary,No,Hispanic,-158.04647102163761,-141.0371931820229,207.67504193139126,D,-64.63497824871436,B,C,-144.47840326081882,-108.46830029611627,0
Buddhist,Female,Non-Veteran,Asian,-5.195286797812986,-132.3366422526493,2.720648368147712,D,18.842655161873793,C,B,-221.1279874501863,39.02291557420344,1
Christian,Female,Veteran,Hispanic,-213.86438327385892,73.4153713249004,-113.08428486064341,A,-127.11690346256105,D,C,135.80526952197772,-219.89646871234524,1
Jewish,M,Non-Veteran,Hispanic,-71.68198708640023,227.5636324012774,78.0621444626251,C,112.34323366874104,B,A,57.68590584511971,187.59641878676067,0
Christian,M,Non-Veteran,Other,127.30770438588956,-34.684114920399026,-63.524239870230915,D,67.11372147281797,D,E,70.21268370177137,54.2280361006022,0
Hindu,Male,No,Black,-75.86148086259303,-73.48096041803909,1.6279387242177215,A,-109.83715325054516,A,B,-156.4600731361291,2.4697738625982097,1
Buddhist,Male,No,African American,-6.709431348717631,9.735439323961609,51.23880388824493,B,171.5221270506662,D,D,-55.33483165451894,34.6200846407711,1
Buddhist,Female,Veteran,Asian,9.240646878300145,0.962517405698956,-73.74138290106941,D,101.1464090955531,A,D,203.0744317717329,72.83401932074345,0
Hindu,Other,No,African American,-46.23737374597519,119.24102494321632,131.97707200967437,C,30.774754687265805,D,A,81.21445298763649,-28.444017404731948,0
Jewish,F,Yes,White,-81.05549944359826,91.37448063872415,-69.36278596880565,C,157.7054518024149,B,A,-113.28977556145648,79.97072287716377,1
None,Other,No,Other,-95.95150957322276,61.44513658958726,35.116069550237015,A,18.1525129793327,A,E,-68.95697021059894,168.02322489365343,1
Jewish,M,Veteran,White,-104.2393398965961,56.08314007039985,52.488037413945364,A,-76.443675074389,D,A,141.58345791697494,142.48614385043373,1
Other,M,Veteran,Hispanic,25.443966511881406,-9.926495560497024,6.134066623440323,E,91.0026695362712,B,A,-184.86346295805748,71.87258315757606,1
Muslim,Other,Non-Veteran,Asian,3.41967863540991,90.06780890832864,-87.47745448435528,B,-31.4229614286471,D,E,20.613363559939025,46.20440490421625,0
Muslim,Male,Veteran,Hispanic,45.90691436975046,28.708014829109292,-145.45191710095128,D,-52.11491745208839,B,B,191.01109709459948,69.15074116696547,0
Christian,Male,Veteran,Black,-1.8398423810785016,-10.445705420889357,232.8001691019205,A,194.63535760480588,B,B,81.5616475318739,32.21398861897345,1
Other,Female,No,African American,-48.13748475458019,43.108475618306734,-100.16328306177722,C,142.43343107622496,A,A,-57.01378156622011,113.15241139555157,0
Christian,Non-binary,Veteran,Other,73.71849375958591,73.70644629535373,74.43688018884845,B,-15.526597670312373,A,C,-166.3789823913895,-95.41735829073164,1
Other,Female,Veteran,Black,-95.30814060098727,-11.113391624252634,84.97711602376866,B,-39.60190363929578,E,A,108.87778664873515,41.08259798777273,0
Muslim,Female,Non-Veteran,Black,12.190377139313986,15.390690542613322,76.28210330418383,E,93.13059057784659,B,A,-45.02021718868474,-86.7540029900559,0
Hindu,M,Veteran,Black,-118.2524456593783,-141.86991353083647,132.01702095139518,A,-205.42668670337872,A,C,-121.26027984434431,80.98471095326725,1
None,Male,No,Other,160.59218486469857,111.5714046451396,62.65092890033517,A,-73.32952767568558,C,C,14.26036157780097,12.875659180408276,0
Christian,Non-binary,Non-Veteran,White,79.22728140425689,103.19188425346415,-30.316555201780275,B,-81.13819397844465,E,C,13.98666974460882,-288.9654028843913,0
None,Non-binary,Non-Veteran,White,8.061915500579751,184.31456222927318,-206.132247666406,A,-94.25174940077812,C,D,-56.20361487170415,-1.365880583096848,1
Hindu,Non-binary,Non-Veteran,Other,-168.27449628321304,97.3810900740357,-101.35609335978685,B,27.923536168209356,B,E,101.7040403976036,-166.6403880290701,0
Jewish,Female,Non-Veteran,Other,-31.536881057022764,-43.19370629235223,87.02528192528099,C,127.1929810270759,E,E,-30.743154766467924,32.7237618246557,1
Muslim,F,No,White,192.57095900763514,-24.266898498071445,-55.342967914836905,B,2.410701672391975,A,C,14.602712684047237,-51.957768333169874,0
Muslim,Non-binary,Yes,White,-34.16531031305748,91.44262048959916,-10.229316791970192,A,-123.95644819349162,E,D,-92.36623544532517,-134.554143669373,1
Muslim,Non-binary,Yes,African American,-83.99612203346616,-71.91047703348855,92.62246409750006,C,190.26634075305765,A,E,-46.48950568582929,41.248021051222125,1
Buddhist,F,Non-Veteran,White,-76.21511752574574,-11.549969404150168,-81.11992789928478,D,66.10660982936867,A,C,119.82593327750702,-31.54111171422638,1
Muslim,Other,No,Black,78.60767818195895,-47.720943048282734,-89.11998426029888,A,-71.89428380729734,D,A,-49.770150331677655,-27.37789859636291,0
Jewish,F,Non-Veteran,African American,-86.19255404883702,-112.11043482785499,-2.690456868462936,C,-3.848682271474514,B,A,129.01901301798736,8.387966004165843,1
Other,Other,Veteran,African American,-37.75841589528555,-82.86934451559188,-32.03595943993825,E,-32.684055319341944,E,A,-84.65802695881342,205.07045238262864,0
Hindu,Other,Veteran,White,-152.1537668588535,63.481706059362,-67.34135317915388,D,-155.31579534506585,D,C,-146.4465006691082,-31.110701721416962,1
Muslim,F,Veteran,African American,-117.80615279906695,63.01790436714978,-6.078772102303325,A,-17.799655633587644,D,D,32.79887456748366,-6.525911120250084,0
Other,F,Yes,Other,-31.347125280935686,47.418666544261676,46.640410341503205,C,-195.3068411973727,A,A,129.64176537221127,-62.51667530491368,1
Muslim,Female,Non-Veteran,Asian,166.29342414465626,153.58417190956746,-64.8017802045953,B,47.132030315704064,D,A,140.8171316319041,-6.3115475743115725,0
Christian,Non-binary,Yes,Asian,-61.58513702831476,71.3872213834842,0.2409944992899411,C,86.94958113537577,D,B,61.866082757643156,-90.9015998078435,0
None,Other,Yes,Other,12.968334018093708,114.84045865779467,-11.999280552144425,D,76.75178802803312,B,D,-69.07025663792872,182.10911988938582,1
Other,Female,Non-Veteran,White,169.3312153192723,69.06210634299872,77.90637596215909,D,-170.37772839495867,D,A,52.585232794348016,91.7133890845437,1
Muslim,Male,No,Hispanic,-55.41943111177707,73.28174730235392,-17.31352770202865,C,121.85297216825879,A,E,27.27189184141274,19.514538666013507,0
Jewish,Other,Non-Veteran,Asian,-130.0170778121754,96.09951145516835,109.74713293197102,C,157.66944198766518,C,E,6.706266345747422,55.19769612207727,0
Other,Female,No,Asian,-11.046595995656944,3.9061825687117295,33.71573269872667,B,-104.50391090931419,B,D,7.4768855039420625,70.55313330295412,0
Muslim,Non-binary,Non-Veteran,White,-60.74915869056839,19.99119971525014,-81.69205048004507,C,37.72867388712983,A,E,10.17107757597153,-20.29982828730616,0
Other,Male,Non-Veteran,Black,-19.379248974030155,-92.72925035519567,136.59774149736538,A,-153.49796168584732,B,D,-28.987245127281998,-113.26773305616501,0
Hindu,Female,Non-Veteran,Hispanic,-68.17003831139684,-142.59811975289745,113.93705388783326,A,-83.47797555083832,A,E,-34.99623102690186,-2.8740224355823796,1
Jewish,Other,Non-Veteran,Black,-81.5881237846745,154.56368316012495,-199.64552211849679,B,31.674435616921905,D,A,-30.900388806067507,4.490738127697882,0
Hindu,Other,Veteran,Hispanic,115.33054093703947,31.423380551132453,9.611447807795038,A,-35.72075607417293,C,C,-87.18246427607535,111.01985541689285,0
None,Other,Yes,White,91.62399331111935,-61.11996197330498,8.720880662268842,C,226.61753865093058,D,B,11.178664107107462,-113.33106560666101,0
