religious_affiliation,race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Buddhist,White,-116.39525618740345,D,E,76.74787319530422,118.92920679471585,-31.825647717400944,A,D,-11.352327812982857,33.78608819995213,B,108.37951970770996,C,B,A,-163.80836582292207,A,-252.8920754367342,A,0
Muslim,African American,-60.23211050144237,B,E,-112.28512013037208,67.52111175932284,161.34537780692014,E,D,92.2254003627671,188.50641404151847,A,-124.24860533831492,D,D,E,77.5175410461413,A,-105.44781415786638,E,1
None,Hispanic,-95.50922568315094,E,E,-53.493854507480684,48.86590550505348,-114.60357261642457,C,D,129.3157417705332,-5.055689278910073,E,2.7272798037512174,A,C,A,77.48084205289014,D,-55.38677645465874,A,0
Jewish,White,-76.83518202541781,B,B,-162.22955797442705,255.26068540846651,78.00091180589416,A,B,-123.08028596688776,67.90949048982996,E,-33.35688637874276,B,E,C,2.5530855759948157,C,-74.34443136171467,E,0
Other,African American,-48.369978480628646,B,D,65.4918178812381,48.60468474934934,-100.20578383922015,B,B,-78.99083371488264,-0.5576118817652918,A,-50.29279049083119,A,E,A,-64.54584586412203,A,-4.51625252475252,D,1
Jewish,Asian,-182.015627862233,B,E,103.63946975602592,-5.478560342505475,-117.44985183970451,B,D,55.85798931961913,16.216471168565135,E,-193.03789815393714,D,D,D,20.409978288066526,E,3.097684406978176,C,0
Jewish,Asian,-94.76171959633616,C,B,-36.550415559110505,120.3293117766579,39.78934038116971,B,E,44.332268285664895,-24.068684343782206,B,66.6604925132064,A,B,A,51.2874733496616,D,-19.09429888311631,B,0
Christian,Other,107.60311560610396,D,D,222.0424659494448,-41.63844587295002,171.65164407883196,B,C,55.50111848348615,-10.084473739745068,E,180.3374728486828,D,E,A,164.45169705715085,A,28.65896891904187,A,0
Muslim,African American,-4.580970995303283,B,D,118.37546642293523,-21.550771177577637,128.3869839018665,B,A,-13.778623188950492,42.54368115986024,B,-54.623690867797905,B,C,E,18.575736256756244,D,2.1645061485162356,C,0
Muslim,Other,-55.10236476858081,D,C,-170.6944423223243,-16.34294541354948,-81.67259511866705,B,A,-172.1963493854885,158.36157403825317,C,-10.66254239057033,E,C,E,-18.77437488810649,A,-125.52215640994808,C,1
Jewish,Other,-35.27224113570909,A,B,2.9781860913328417,33.85469326091229,178.20095508159685,B,B,-14.759735453940895,-70.12256078926995,C,-96.19652194502724,E,E,E,-65.8493528454691,B,-177.29318800138233,D,0
Muslim,Hispanic,9.354804274881623,D,C,-12.067616396866617,-191.6462946205223,-55.43889822587262,A,B,-79.28207014509786,4.774273127460886,E,88.72801734766098,B,B,E,-23.03740850317359,E,-29.608455539556928,B,0
Hindu,White,-22.99849869496941,E,C,99.68771871609466,55.48852985159266,-94.9367989288531,E,D,-44.58168037448021,5.792821115502386,A,-54.51719912478079,D,B,D,58.1171971570596,E,109.0816021097029,C,0
