Veteran,genero,age_range,Race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Veteran,Male,26-35,White,20.98437129830865,0.2680085437006668,E,40.46953712758863,-88.92853262003402,-46.00310715669965,0
Non-Veteran,Other,26-35,Other,-148.74927550875645,232.3731683125796,B,36.37381973708314,-108.62302727282602,122.4529801141889,1
Yes,M,51-65,African American,5.670077805680374,113.28788848946462,B,-3.709820512178663,72.92182663510386,21.492942554618637,0
Non-Veteran,Non-binary,18-25,White,-104.32185934487914,-4.766804682122176,D,-23.63176132182532,5.761623025284078,-29.89462943354837,1
Non-Veteran,Non-binary,65+,Asian,6.118501125833744,-43.28722169518506,A,24.549580121784906,-121.09854678449861,-51.15071011537707,1
No,Female,26-35,Other,-37.89508985940012,-117.39927616456127,B,-123.19116819780915,54.61412860293488,-26.80199856418514,0
No,Other,18-25,Other,19.465881830670163,-35.38628737100043,B,-45.97348472803823,36.069061013722006,-13.937764131874491,1
No,Male,65+,Hispanic,-5.303259437133081,-9.893526827941141,C,20.3158414937094,-100.22882042368684,70.16510384808772,1
Yes,F,65+,Black,-48.93085092008179,-6.734364054493672,C,-7.91585391038386,-9.702250404449037,-109.24171406993631,1
Non-Veteran,Other,51-65,Hispanic,-22.411442734925895,42.148372187078614,E,59.29980175634337,33.843075719331104,134.0578202093786,0
Yes,Male,26-35,White,132.88541524388958,13.461450963992384,B,39.271590071260945,51.57739690320003,94.8323952288494,0
Veteran,F,65+,African American,-1.703575790318753,206.8588284107651,E,-18.59253305585846,-31.869317455384845,25.933684661778145,0
Veteran,M,65+,Hispanic,-141.71868381704178,144.60815968305488,E,47.52354402939026,65.2391138229423,-25.31080391342217,1
No,F,26-35,Asian,-136.24592040782173,-146.14850586967935,A,332.6103421100841,66.28046345000965,-79.4280872447101,1
Non-Veteran,Male,51-65,White,-97.17291637530141,-183.31529978537273,E,18.15972190516626,59.58604182117588,-28.50110862180491,0
No,Non-binary,51-65,White,30.180076049869104,-49.211021464475806,A,114.48318254805598,-179.16270224258918,-44.10660727086333,0
No,Other,65+,Hispanic,-1.3317952675271485,-190.68467171979512,A,-6.161167230268026,20.623098670700664,21.72295115622251,0
Non-Veteran,Female,26-35,African American,47.637952526731446,49.07146225051515,D,-13.595687344308057,-57.401038938847115,-15.566755358482276,0
Yes,Male,18-25,African American,85.1260798856329,75.06515938292318,C,-41.693322910909686,-131.08732939720977,30.278248190632628,0
Non-Veteran,Female,36-50,Hispanic,-67.72670999745635,170.26943672996705,A,-8.136104605389914,60.77395835749434,136.15289941310306,0
Non-Veteran,Non-binary,26-35,Other,35.00124140232465,-0.8902340989262918,B,143.4571398606565,-120.24022516875237,-8.702190905866651,1
No,Other,51-65,Asian,139.28940533191277,116.95698285268008,A,119.40780199338957,1.9750496401713775,-245.59128577688085,1
Yes,M,51-65,African American,-16.001101684676463,160.35866997269903,E,63.500067904522716,70.07919475924056,262.2305004138635,1
Yes,F,51-65,Asian,134.94059558712172,177.0842765810608,D,-24.36582480046583,-86.43095606215174,-30.521037191015576,0
Veteran,Other,26-35,White,-138.97861843280023,184.72079979517773,A,-79.23111363204282,-133.77159887836504,-63.22077215891019,1
Yes,Male,18-25,African American,-25.314052836430136,65.04485642196067,C,-17.510732223765853,-104.527217452842,-27.124105670980047,1
Veteran,Female,18-25,Other,-199.70603200683718,96.09351434254175,C,-65.90830459588597,96.54698096228705,109.91773483891245,0
No,Male,18-25,Hispanic,26.437172923390673,63.98353036153831,A,-124.04333904952767,-0.55059408626849,71.74686556262598,1
Non-Veteran,Non-binary,36-50,Asian,-0.5865811400780635,-11.633170841373898,E,-82.07271988672123,-110.5219333212821,17.008930684143007,0
Yes,Non-binary,36-50,Hispanic,-123.32218957492526,-74.07341519007583,C,149.38147262044907,71.16878054075514,1.0279518311707103,0
Yes,Non-binary,36-50,Asian,205.70686364057943,-25.32974976034651,B,184.91811841125906,-118.0299385474833,129.8021788076262,1
Veteran,Other,51-65,Asian,46.88208324762918,11.14841921920593,A,119.15846392659537,157.9392731750169,48.29743619950099,0
Non-Veteran,Non-binary,36-50,Asian,22.843604933389923,-11.189792714781015,D,8.166011249651,137.62658942470912,-51.532588780698184,1
No,Female,18-25,Black,-5.912077464063401,46.790647119008504,A,74.32200440107188,-73.85718046370121,-170.87622787966535,0
No,F,18-25,Other,21.268545770474976,-101.96676982513509,E,244.26211145357445,-74.48716798490054,62.060163016875634,0
Yes,F,65+,Asian,0.5737435027155251,-13.204732781269158,E,-43.33649953857759,59.454815240389856,-35.84995601619944,1
Veteran,Other,18-25,Hispanic,-5.012536660060702,68.11399310858316,D,57.26105786498247,109.28661616417838,-185.2605492839618,0
No,Male,36-50,Black,-84.2163956776285,155.82065706664258,E,5.3906687012964,46.842876905696585,-36.017641913533964,1
No,Other,26-35,Black,30.79792515842761,-25.370497383534463,D,164.66790012908118,-14.570224699815313,-24.348280484599226,0
Non-Veteran,Male,36-50,Black,88.95691521933136,-70.39664007987932,A,6.20785214735649,-148.91328404164798,-61.00927345195587,1
No,Non-binary,65+,Black,32.57397126547195,-24.15529822139868,A,147.93475283564314,64.6631985984073,-101.76944320705165,0
Yes,Non-binary,65+,Hispanic,-59.174673665889664,94.73847380473343,B,97.70285970770956,-20.582992160363816,232.07767134869238,1
No,M,51-65,Black,-89.29169920336251,151.4239502480498,A,46.24437433700314,-67.20008121003987,83.35970004967727,1
Yes,F,51-65,Hispanic,19.758118464575645,-8.587424178977082,B,56.49315635510563,15.271463435936585,94.95762798009834,1
Veteran,Male,18-25,African American,99.73087422771944,48.51640020372031,B,25.41410151604497,79.5457726164645,8.80442343688879,1
Non-Veteran,Male,36-50,Other,35.16729511151338,13.626094791386349,B,111.95989252999581,63.95648292202144,-17.163026969965326,1
No,Non-binary,51-65,White,-19.623685442373176,-8.75737136484065,C,54.216103380651006,-35.65956001981228,-70.36347543268772,1
Non-Veteran,F,36-50,Asian,4.916624063629336,-39.37982716192004,B,-15.877420474309256,-58.76590214023746,-161.32669902653507,0
Yes,Male,36-50,Hispanic,-9.490822751941383,-156.4362803110119,E,83.03606425678281,14.106723282428133,106.72745241863035,1
Veteran,Female,65+,Hispanic,-33.242892032735014,207.2358144993366,C,-31.428558902208593,-151.98533399282877,90.47326763486032,1
Yes,Other,26-35,Other,-106.97252158889394,-132.20434301072385,D,-131.62606366397628,-25.13769221358986,-31.84695013244361,0
Yes,F,36-50,African American,-87.01685172982329,120.0093452470293,E,-66.99853693297058,-120.17800077411165,-44.23521492265367,0
Yes,Other,26-35,Hispanic,-8.590655469788814,-99.23067236681185,C,203.29661291109775,10.73088970667385,7.8327975000671595,1
Veteran,Other,65+,Hispanic,-78.14191104288409,-95.54434429866032,B,-88.11387485395873,129.60648841271984,175.68869834393593,0
Yes,F,65+,Asian,134.40644558037238,71.30011005476553,D,69.23748040640174,-81.67285971838484,-59.831683801893206,0
Non-Veteran,Male,51-65,Other,-51.16596434688544,35.515284285109665,C,-20.667266763859537,-5.257752108660968,-89.97054942370907,1
Yes,F,36-50,White,-12.883853195853916,134.07222030153014,E,-20.638695913739937,-95.07506717695432,-5.14165093462039,0
No,Non-binary,26-35,Asian,35.94180372921129,-74.28562233198062,C,-73.98072796426838,-243.82592408283205,-123.48456396329243,0
Yes,M,18-25,White,-95.36815135669212,131.70214648528952,A,117.78040006172571,-268.0773500742748,90.61991363326817,1
Veteran,Male,36-50,Hispanic,194.59684682849283,202.4274998397436,C,93.3405117881725,-101.88785041534034,-54.22512805352893,0
Yes,Male,26-35,African American,-72.26514525129615,-38.01559742863251,D,-31.904184568610173,91.7499965481231,0.6370483461671389,1
Non-Veteran,Male,36-50,Asian,-20.66346781401427,213.6275740985055,D,-93.14238443147866,-151.8791943590029,9.24942410607872,0
Non-Veteran,Female,51-65,Asian,-64.2143288988376,23.8802005521761,A,61.70814365130665,-32.95398186945596,286.431766813014,0
Veteran,Other,36-50,Asian,106.18766391250358,-85.90293193574097,D,46.020620543512614,-124.7999138199081,-25.777255286105905,0
Yes,F,26-35,Black,-111.89641832422335,-83.40764147546739,B,-132.76117991140507,-148.54394677565224,109.13325664393525,0
No,Male,18-25,Hispanic,103.5978372297609,142.49038371586107,A,-18.784692222875773,-25.48870162530851,44.52528612796266,1
Yes,F,51-65,Hispanic,-0.07324149274429047,-80.39417169732215,E,-86.23103415890586,-128.02673016577145,57.20799554282209,1
Veteran,Female,36-50,Black,159.18092430433214,33.25797425591887,E,119.74286728958221,149.2024810439926,98.2293015286629,1
No,Male,65+,Asian,85.15989310076269,116.35382017239905,B,-156.44611866902704,-17.514743274331316,158.82336292027125,0
Veteran,Non-binary,36-50,Hispanic,-28.45820000296655,80.75288894089918,A,-131.9876389645234,184.22860238854696,48.95717119156531,0
No,Male,65+,White,-40.763853403646635,16.125599666495866,A,44.41609468489121,14.856812090604649,92.49703679882755,1
Veteran,M,51-65,Hispanic,41.60659924331653,107.77160205137288,C,-88.91244476474273,56.67747096977852,-96.94136038877093,1
No,F,51-65,Black,40.66818054663035,-129.98694468880785,E,5.627744833315557,-30.98599114415228,-2.331994255032334,1
No,Non-binary,18-25,Asian,140.52860819821908,-63.506850163665504,B,80.45808636621116,-31.223896521869293,41.641842398792875,0
No,Male,51-65,Black,97.76018414950735,10.117735446407895,D,137.74895927774534,43.433042378748574,34.30615592522404,0
Veteran,Male,18-25,Other,-51.934678492056086,128.09227827623062,C,-58.69164859939473,33.926421439456036,-118.83849238381437,0
No,F,36-50,Black,179.01804993142258,59.711460827053585,C,103.00511236168101,62.132086643010375,-97.72366266338494,1
Yes,Non-binary,18-25,African American,-96.68029045314479,-94.03979344205523,E,-45.77147876122062,20.138636998888895,-160.02714301844458,0
No,Female,65+,Hispanic,-56.28409749206493,155.56849103086944,B,-40.52346812695937,-97.8803887227722,64.54502139586754,0
No,M,65+,White,31.351635045956932,189.31001041152587,C,-84.63824084485555,85.51520987738326,-27.9347041424156,0
Veteran,M,51-65,White,254.5781123582648,93.50632087183365,D,5.910541303455989,-59.87005063291168,-19.921109445274464,1
Non-Veteran,Male,51-65,Black,24.697664725824676,32.36004161342448,D,28.684430083873046,-50.77333115271529,-208.4206459182503,1
Veteran,Male,51-65,Asian,85.41835318592067,-31.017012740781624,C,26.96138434322678,-51.53453465433494,153.2459398847893,0
Veteran,Female,36-50,White,-159.90094253296965,177.9628606454958,C,-114.85756874712534,61.92606452375453,-49.40101569163337,1
Veteran,Male,18-25,African American,-41.8707033410025,-59.065756618228605,E,67.36762341638916,53.480099402576066,34.454802988147556,1
Non-Veteran,M,51-65,Hispanic,-27.11488413555744,-22.480635866742453,D,-212.57316856542627,-160.00674177828193,50.26699114785424,1
Non-Veteran,F,36-50,Other,63.4602685391738,-110.88338754307297,D,16.411409783023437,56.87643112131309,-226.09243201234736,0
Yes,F,18-25,African American,33.02984539734947,7.233429180516262,A,35.385578135942716,-17.003676643220903,0.3281121449242471,0
Veteran,Male,36-50,Black,-96.66836679392888,-76.32930537648083,C,130.13371788482206,21.886361937751296,21.519642880493663,0
Yes,Male,65+,White,-17.226240716560383,92.11027957537232,A,-100.12200580784221,86.19022519486201,-52.79628347889385,1
Yes,F,65+,Hispanic,-81.14837421885098,42.07048066827502,C,103.674117763042,-72.36106318621471,113.98040950559425,1
Yes,Male,36-50,White,-138.79658923566558,104.11548418952601,E,40.290228367022564,180.7097231377939,-45.97834248765032,0
Yes,Non-binary,18-25,African American,-95.0817351479568,13.016494709428523,B,-214.61143938432303,-91.23968388270562,-41.01447452432806,1
No,F,18-25,White,-21.920191500787592,-127.0593221196602,E,53.35876975344645,-169.88081426507208,64.38518039979573,1
No,Female,18-25,White,137.22184276009307,37.75636181183349,D,-53.27849640815084,-105.25068399951103,34.41621061161783,1
No,Female,26-35,Other,-168.10803512441925,61.38967804791372,A,-167.915102641414,-36.61448207053976,-72.16330115986067,1
Veteran,M,51-65,White,73.4938274090315,-157.22704298489037,E,-295.32682434913403,211.76163948549086,79.69679130573924,1
Yes,Female,65+,Asian,-47.27001351615506,-72.80338424499391,A,-102.03178976669516,147.61318293100317,154.724561010848,1
Veteran,Male,65+,African American,-47.28251828895222,19.57866114957687,E,161.13693084905748,111.28685492289203,134.40567711605016,1
Yes,Non-binary,36-50,Other,40.72381768313451,-93.78554979251481,B,137.48965831730172,-181.18176547545963,-22.41348629925569,1
No,Other,26-35,African American,-56.33769805359222,-71.96496168790607,E,25.54563328234365,40.56959089476674,307.41339114634803,1
No,M,18-25,Hispanic,100.00503248807082,-120.79583458766656,B,-113.2105060623218,-129.85799938731023,96.17722538428082,1
No,Non-binary,18-25,Hispanic,113.9207701115905,-36.482680550561476,C,135.75142475409635,-30.04253305970062,-38.352299788018534,1
Yes,Female,51-65,African American,148.9886774364492,38.231802837026194,C,-46.706930699391016,-209.0700540774522,-79.91452597070456,1
No,M,26-35,Asian,-117.22599910789557,-75.07567836132674,D,67.31266440455545,10.344147453218284,-96.9775258854368,0
Yes,Female,18-25,Black,-78.24878196394147,-25.41061802764372,E,38.22777564857928,46.56430275219069,31.444572026837086,0
Non-Veteran,Non-binary,51-65,Black,-61.310888348635295,-217.43397634193434,E,-25.31923726105272,-51.109075211197144,46.3526511860086,1
Veteran,Other,18-25,Other,-61.503412856124385,186.33364617153887,D,122.83064951800806,72.04350946769101,-144.18909336409874,1
Veteran,F,26-35,Asian,43.87545336138307,-52.118201867485745,D,22.320019877617757,-125.21671839614625,145.42921029181096,1
No,Male,18-25,Black,91.47299105443416,16.559571040210155,C,168.06767135454592,199.5314737641386,35.638360293388246,1
No,Female,36-50,African American,-2.0764265466721277,-39.59762015976254,A,-68.95899587397427,-60.807406197243765,36.54855126769082,1
No,M,26-35,African American,78.6354156628633,115.3784567454372,B,-14.69701237904611,147.37115698861206,113.58311809749625,1
Veteran,Male,65+,Other,-19.35379219285351,-171.1821975818991,A,120.59282000979441,-39.11000386778908,40.44218259976436,0
No,M,36-50,Hispanic,26.707551566378356,156.5322827588459,D,-47.56539844999095,81.12248644311087,-35.8515719806649,1
Yes,Male,51-65,African American,-7.684750118150878,-75.03058986963799,E,-171.53527132779078,-150.38166507656297,-5.605384617972381,1
Veteran,Non-binary,18-25,Hispanic,60.93526726733508,-30.18625598074271,A,42.81221981513731,-57.583817122906375,-12.796766178670435,1
No,Non-binary,26-35,African American,-31.40642712456259,73.67781851801757,C,71.89856861921088,-59.93887552502174,92.54687818550205,1
Yes,Male,26-35,Asian,-16.103544691838493,115.2586892561672,A,-85.40954336226483,-153.4272667126229,70.82042058214203,1
No,Non-binary,18-25,African American,55.87777513029707,-3.072584596393467,B,-165.1632338970426,-47.18095191396676,-66.40048728438639,0
Yes,M,51-65,Asian,-200.1365673654334,-50.601363607863846,E,91.26869684393957,99.06030257839844,-148.8236723018687,1
No,Male,36-50,Black,49.65805548876227,-61.7095454951169,D,-179.01417723590254,-41.9669933815973,-7.473251698811787,0
No,Other,26-35,Hispanic,46.28290456506178,199.7852407113569,C,10.697148613561055,-71.0071936966236,-44.896371350239065,0
Yes,F,65+,Hispanic,82.01140414124286,-91.05963895972899,E,-157.1504904315449,-83.9107875362549,80.62262970582843,0
Non-Veteran,Female,36-50,Other,-116.4548105437358,157.0617602068506,A,6.9739395726015605,-122.59648513684915,2.1259825356038866,0
No,Male,65+,Hispanic,290.17453693491484,36.57971549833054,C,-109.90992646647175,-151.42575963211624,114.23527234852654,1
No,Female,18-25,Black,-114.15098933151067,-98.12851232683457,D,-37.396398746859354,118.60796011909275,-48.04894820244973,0
No,Non-binary,51-65,Black,-54.33618804142033,65.28164708420873,D,-7.071974170616854,-29.454530930624756,-4.809556388715364,1
Veteran,Female,18-25,African American,50.655264891904835,-118.20610153517926,C,-2.3663180932472097,-126.75947442775353,-2.4876061733261086,1
Veteran,Other,65+,Black,-31.48649550747813,-92.60170001526964,E,-70.46193820818299,-107.67600396591553,-30.02917393068301,1
Yes,Non-binary,51-65,Hispanic,-34.6101815910633,53.962141284669244,B,21.056103099238797,217.33913360724623,-102.14492098649592,0
