sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Bisexual,C,15.72211515609276,D,7.869598542164757,143.15457972135354,44.499903260668624,C,-59.33163807439825,E,0
Heterosexual,D,110.9999965552218,E,-89.79913261846335,-205.1267631940672,10.210471845785246,C,-125.37477164594092,C,0
Bisexual,B,102.2423583910298,D,-121.5085513076116,-73.52300659738037,194.28168512284282,E,-52.97097333914987,D,0
Other,D,-112.20299807759993,E,141.224752599077,-204.0390591561599,49.10996265477741,B,-157.67266728264005,B,0
Other,A,-5.572324036422324,B,-94.48942145036791,156.3027300384052,47.296329811444956,B,70.20945476752752,D,1
Homosexual,D,78.81659881594084,E,46.99424199509312,-42.89444466743542,-112.44178975706672,D,53.81649977070758,B,0
Bisexual,C,-8.671524299834875,E,-18.49060644793467,72.64091974999836,63.91394293320464,E,153.4621674042002,A,1
Other,D,-121.97112853116276,A,-31.69420361360457,67.9764971672973,215.62217148335301,E,-111.36026950351341,D,0
Homosexual,B,75.21263912529606,A,-145.81513653583994,-106.07129589220641,47.640142716877435,A,20.157236621628083,C,0
Homosexual,C,-147.0823402654019,E,-63.28732157156038,13.144225094109416,-20.105593215736047,E,128.65982308251634,C,0
Homosexual,A,47.8340080397604,B,24.1844717744246,-202.20884907955195,-123.90534834961973,A,-85.28892447880617,D,1
Other,B,72.75888473157478,B,15.842652589774268,-38.73244281423417,-155.76053171989656,B,-80.92525663708471,E,0
Other,C,-56.16030503648797,A,119.85849501282948,19.428165661881135,109.98283953882301,B,24.376605559577087,A,1
Other,B,-138.6127473840571,B,4.616315352015212,-4.2251984974282975,-70.60825284575317,C,-108.14557320060632,B,0
Bisexual,C,-85.90838350574333,C,-47.373053618713406,-35.530845657527536,-36.47251205612191,C,-102.38469094449812,C,0
Other,E,218.06039915941722,B,-78.61365913676687,-179.5130522401623,-121.55481295893982,C,-166.16964048855266,B,0
Heterosexual,C,62.49740754092391,C,-98.45753693504169,124.24600615164809,45.600380059620825,E,-141.0333873627037,B,0
Homosexual,B,85.89615118176597,B,-66.05923134147136,186.22050104638026,-247.46571810664966,B,-221.73106884163946,C,1
Bisexual,D,29.144469846704524,E,99.24108508358212,31.91578076097288,17.496685365707787,A,2.2392022353596497,D,1
Homosexual,B,13.065413756959238,D,-37.06553587620949,68.29514686819581,27.088063237616076,C,76.52406442651429,E,1
Heterosexual,B,110.15828737031899,C,128.52601347673755,160.47657794615083,-119.94138246384938,B,-20.7673556774967,C,1
Homosexual,A,-155.48576810857313,E,-108.66418344330056,-62.07166162758089,103.334107956189,C,110.24001825518471,C,1
Other,B,-102.23126141329912,B,-15.911115610775237,62.95525629603973,58.65465527664184,E,-21.90078201106169,B,0
Bisexual,D,103.35967151544898,C,-79.77851342025424,34.07781378046974,-140.47952071917345,E,32.46749230917762,D,1
Homosexual,D,-158.80515270588407,C,53.692876663060396,-11.148464324970833,48.35697897555885,D,79.13767477182871,A,0
