veteran,age_range,sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Yes,51-65,Other,C,-126.68251178799343,157.53839405149114,D,74.12020900223398,79.01988895783859,-125.45898552191241,C,-67.05006735794652,-64.98926199409355,27.39666100590655,A,-25.16470043592759,E,1
Yes,18-25,Heterosexual,E,89.40693158416956,-59.34731895683254,C,34.08247657066338,-12.194734984356591,102.1251416586579,E,-127.17443943656247,-63.06197195357005,61.09324573860272,C,-108.26911926445884,D,1
Non-Veteran,36-50,Bisexual,D,-117.43085628688603,-10.751856698268563,B,87.70753053841493,-91.73256039823744,-33.97083462597127,B,-160.2937450620528,117.37678189678877,167.5377354739425,C,-98.45784676641912,B,0
Non-Veteran,65+,Heterosexual,C,1.8791758184638443,-8.750738531774267,A,125.3568563238552,-39.21984514414852,186.82647517960552,C,-35.01287649453905,135.74944353560988,77.10538317928555,C,184.24157407354352,A,0
Veteran,18-25,Heterosexual,C,62.850491333170986,40.57486961983029,D,13.623214890741291,-17.174210068272487,-118.72164888290835,B,-152.6836230310141,193.62549167481467,-120.9095135939279,C,-87.6451539181131,A,1
No,26-35,Heterosexual,D,-65.59085792740376,-8.245055822472455,E,141.63234956729116,-125.68003175608702,122.59321553104078,C,-25.71817341532419,42.38759098641579,-11.547370679765239,C,-43.2711690278596,D,1
Veteran,65+,Heterosexual,D,-20.723885434055322,9.44276325961691,E,30.94863673849584,-80.82534839192995,164.60206124402885,B,-60.21837895028608,-5.915988775506861,-6.611870944710144,B,-54.21074671659578,C,0
Non-Veteran,51-65,Homosexual,C,99.4025969486871,22.97802611741361,B,-50.22143171426503,17.107545877778065,-81.86742320321589,C,-132.90055551375247,66.30880129235996,-45.81040843373255,A,110.63289562874701,A,1
Non-Veteran,18-25,Heterosexual,C,-42.85069245559533,41.53769780578836,C,-17.117471053795867,151.03942325000003,31.39180165668643,C,-59.23524412761253,-32.243946204237815,-82.7386456670509,C,83.30538133646411,C,1
Veteran,18-25,Homosexual,D,129.6260281694519,-95.61821824199087,D,-49.39590653228712,154.1200219754435,148.59938997865382,A,17.46393496270401,7.170815471219326,264.12607029218105,B,148.09705474721574,B,0
Non-Veteran,36-50,Bisexual,D,-71.4066471509002,9.873755877858482,C,112.61430183757251,18.322932710548596,31.270509277631415,B,94.6553509549881,68.4705725970905,32.378970370259125,D,-35.258442235588525,B,1
No,26-35,Bisexual,D,-84.37401742732187,-111.07913689921804,B,-53.28640909750179,31.057162398183387,123.33686219453195,E,51.87743258909181,-36.66522621441931,28.03328429489339,E,165.61782478741102,E,0
Yes,18-25,Bisexual,A,39.69051724035697,94.4875160100509,C,-161.490458560243,12.34967799030914,-170.76695417641866,B,47.96579951726246,71.65678494803738,155.81249556394025,A,117.60295252983704,E,0
Veteran,18-25,Bisexual,E,58.04633368201817,-79.83810446960523,E,-54.58324076352827,-134.74484430128683,22.405641420653502,B,37.05935361732276,116.40023591204385,-22.03509357580989,C,58.322159651875424,D,0
Veteran,26-35,Other,B,235.54257341867248,-161.38607534526852,B,-89.8676925288977,94.52558553386034,32.54994019807418,A,52.12658341074808,-12.573395424618946,193.01643564327034,B,-156.8398763201228,C,0
Veteran,18-25,Homosexual,C,-32.75506319700157,29.35749396625642,A,58.68607238217278,-11.456880464947016,51.300745171247854,C,240.98530043984013,-93.04550553790936,-155.32972379149038,C,-135.711395678707,B,1
Veteran,36-50,Bisexual,C,-154.48140544087087,87.84726428908161,B,84.14483391476404,77.52903058536695,-101.02551317143056,E,194.74614603346618,-83.6795390673229,-9.773885297042522,D,11.77677244441637,D,0
No,36-50,Homosexual,C,-16.359855493625254,-35.4764535185967,D,323.52991164810055,-3.9429081165588666,-13.704101140580152,A,90.36433227966435,124.89898164840278,-118.27811245105335,C,66.78685081459021,B,0
No,26-35,Homosexual,A,169.62426350505555,-17.408202008214854,E,94.54760020394963,21.973125761901546,29.819521278427906,C,48.765029836937636,-22.041697125117814,-221.20419048030752,D,-47.24158549263983,D,1
Non-Veteran,51-65,Bisexual,D,-57.138022697527816,-32.70960459868649,C,213.08239362763848,112.69801452664028,-190.1831992383832,D,-89.81123570216704,5.063074622389091,-61.57406369593916,D,-14.642014981014063,B,1
No,65+,Other,B,-124.33625147872442,-75.20813956046317,E,156.7288839028189,121.60499978897923,-8.308854564029268,B,91.73827855241132,111.2804437169741,111.82226120553112,A,-47.80688059876858,E,0
Non-Veteran,18-25,Bisexual,A,-3.968012707265441,46.96339337035162,E,-0.34461784023734665,-166.87499352741727,-13.653450374103478,E,89.56521335003238,195.9515922531403,-158.28055333439735,E,-7.626409687879419,C,0
Yes,65+,Homosexual,A,147.04374667451646,-26.48830255251593,A,-82.2183768686801,-21.76439176255212,113.33080086331262,C,99.64575019477508,22.05313837347279,63.81360769726151,A,-98.470140577792,A,0
Yes,26-35,Heterosexual,E,54.56994878957367,125.21607873363413,B,12.74345048505623,-7.463220248576634,58.02040903643412,B,104.48289854587343,-81.00330885566282,71.11480264388412,E,-156.64606162452793,C,1
Non-Veteran,26-35,Bisexual,A,-225.63330219642435,91.67502507862194,E,-99.07678993473115,-37.474289655849105,13.621431664589412,D,4.678212378248561,-145.5709408021664,-138.8616764745647,B,-202.15247765853772,A,1
Yes,18-25,Other,B,-168.26524418297691,111.53513110001292,C,58.38486506321284,118.13506634249009,-139.34520973288724,A,-1.122535546136971,90.81244305502703,-100.04376590759914,A,-202.4144742973577,C,0
Veteran,65+,Other,C,-65.00340770540717,-32.892159595510854,C,-176.3573857139445,-28.209400859154393,-57.59313815195297,B,120.0406559335575,100.6068547495516,0.46852625039305196,A,-102.1369096241003,A,0
Yes,65+,Bisexual,C,-70.51863038247002,9.132932540335958,D,-73.77478382900514,-15.356509895755476,-20.811597830171948,E,40.29507633818357,-101.43795838143359,-106.11371236883667,B,11.311343335597584,C,1
No,65+,Homosexual,E,147.6394712374424,41.543194574432704,A,88.48967226196366,0.669723206516681,-26.272600108168266,A,27.256398589634763,11.226138300425003,29.484157422936313,C,176.50310875626855,E,1
No,36-50,Heterosexual,A,-92.60672191839024,-201.01762718705027,E,-99.1484060592349,-102.09261068084959,-68.23809437277747,B,83.0703656892215,-38.03713126140397,97.05975654417931,C,-9.539883294501498,A,1
Veteran,18-25,Heterosexual,B,-118.73193355790173,-102.16214764929907,D,266.0188219419896,280.3443390157938,250.01722545221904,A,-48.445091714418325,-15.935831999249933,-207.75479368927864,C,167.34190394149465,E,0
Non-Veteran,51-65,Other,B,92.066053274804,-22.007875743346165,B,-62.27014754325783,118.44800601055361,-23.519299810142748,B,134.21617059187759,-103.0544724704962,42.88194657366219,B,176.7414175518315,E,0
Veteran,26-35,Bisexual,A,49.28974936453616,124.08751422760761,D,114.72642752669503,42.852351485845745,74.66500369937262,E,-119.1654128894037,-179.71951568069903,-71.90312390938473,A,137.01207825333415,C,0
