age_range,disabled,nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
65+,No,US,D,C,E,118.41699543185125,B,C,-39.654963364203425,-5.157321606827163,-107.09630207393903,B,1
36-50,No,Germany,A,D,C,-103.14137711924651,B,D,6.894173198396516,230.38392391434374,-132.52522497901842,D,1
51-65,Mental,US,D,A,A,16.43996538220301,A,C,-29.073929707128936,-55.36145322344945,50.177126443148346,E,1
51-65,No,Other,D,C,B,-218.0955878815602,C,B,49.54010640908452,62.80928277943993,38.39920739855439,D,1
65+,None,Other,D,C,A,-37.33496977483616,E,D,162.5137832527072,124.41582211581807,168.34480174651344,C,0
36-50,Mental,UK,C,D,A,-100.04433013503922,C,A,152.92569100484752,35.54448887847576,-35.57003887637974,D,1
65+,None,Brazil,D,D,B,59.6097144133856,C,C,27.990157016863204,87.87398251396915,-40.48965130329077,A,0
51-65,Mental,Mexico,E,D,A,-45.78762956341728,E,D,-113.1927021242328,-37.44361173513913,9.303303518958169,A,1
36-50,Mental,Brazil,B,D,B,-37.534074661235714,D,C,169.521483443167,-3.14732058666928,112.75493987478669,D,0
65+,Mental,China,B,C,D,135.0404848453948,A,B,-131.20090578182854,113.809517834425,91.35019924317265,A,1
65+,Yes,UK,B,C,C,86.20557966602745,A,D,-0.2842540111134948,90.84368163485526,-5.6961287211301,A,0
36-50,Both,China,B,A,D,76.65603569035916,B,C,178.47600246342017,-37.40680472569905,-45.159546443570605,B,1
18-25,Mental,Brazil,B,E,C,106.6583756436273,A,E,80.3213254995166,22.937039725527157,74.86756332900806,D,0
18-25,Both,Other,A,D,B,85.51113363669569,B,C,79.65240228822749,-33.84759317153456,-70.82539066492797,E,1
26-35,No,Germany,A,B,A,-75.9829439206206,D,A,-59.047954348239806,-34.3086089948873,-13.603426322153625,E,0
26-35,Yes,Other,B,B,C,36.1396432653324,D,A,25.179149427076798,-57.79408495192926,-90.61549875661008,A,0
36-50,Physical,Brazil,A,D,A,98.87459475677485,A,E,-30.066863187379283,28.395901915132647,70.09898941579638,C,0
65+,Physical,Brazil,A,E,B,85.46161946154066,E,B,68.84334698350025,58.456263615862746,-147.864738040142,E,0
36-50,Mental,Brazil,D,D,E,245.42544441930661,C,E,275.1277359766686,-24.712471882716873,64.78631330376568,A,0
36-50,Physical,China,A,D,A,-13.210110546180001,B,E,-194.70351703199998,32.740019051101136,-74.25694391975505,E,1
51-65,No,US,D,E,C,30.231498468556804,B,C,-130.05172880323823,-146.17901459089597,13.090437156071886,C,1
