country,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
Brazil,133.6222754775829,B,-113.33576411981865,-92.72839067039833,A,D,D,-164.86576186464947,174.80024898007485,A,71.30061344145304,-1.6089050707646695,-70.04209314999223,B,9.495104233110494,0
Other,-115.99826339475466,D,24.424670780000326,145.3140055785135,E,B,C,-134.30016048090926,34.3573240054887,D,26.576890087288803,110.9212662853801,116.72890306366573,E,55.31200062525381,1
China,82.38653009196449,A,110.29328398844196,-226.39786977995996,C,E,E,-41.726827906088594,148.83990082522806,D,-157.1997290385364,-31.495943518916302,54.719821116954,A,90.54642435446112,1
Germany,71.70305210638128,C,-150.14845771003314,31.349648594407626,B,A,C,51.17468519515014,-38.7111459537333,E,-130.15033076864017,62.042198817304296,-34.79094761371703,C,121.55682877515346,1
China,95.94552087566868,A,-38.071309000880305,-139.35596304714952,E,E,B,-234.1872935942972,106.39514583469538,A,42.70229544865368,130.32935698042905,187.69961084647545,E,-51.598780272068026,0
UK,183.60367659833832,A,96.65329788898958,258.3421553409379,E,C,E,107.99313950105196,-62.50614898946155,B,137.36395364167103,-143.59570012178838,-210.18297857616614,A,-105.10864656581478,1
China,115.93976346266588,E,-1.3586310872691454,-29.526757307286605,A,C,E,-91.3933735603078,-26.18249508390058,A,87.18809785971305,47.978924402272405,22.800645919350828,B,2.4361632529051263,0
US,71.22368739843897,C,-75.77305805253796,-69.06126801444627,A,B,E,67.29382567488142,-137.94833262223148,B,-38.40653660253874,11.772546650203365,-11.29890854498282,D,-51.1445356766041,0
Other,-30.423790131402395,C,0.667362913030357,-141.01121619601724,A,B,D,173.44713501736842,109.4896831592052,A,-170.9004352869945,-70.20054260075632,-35.74951115858385,A,-166.06022592942853,1
Germany,49.24094025223169,A,-187.87638832386145,151.17108088210242,A,D,A,-38.38551819149886,-76.59275736683065,C,9.299603387240463,-61.34533021467776,125.9789541211711,A,18.910347638867915,0
Brazil,124.01373287229696,D,220.54271315788802,-173.9016899618881,A,B,C,-44.62605590272031,171.8457738601065,E,65.68876568232606,26.88838811770905,200.596842413182,C,-37.191733411373704,0
Germany,-86.99803010789468,E,47.99440488375247,60.683213426716264,E,B,E,-97.37815520856876,-14.437444569784253,E,-38.48301514237642,-7.377621962910462,-100.39482256097867,A,22.581497561925676,0
UK,-6.070174334516458,A,42.50064232619943,-125.05305595211492,B,E,D,44.31266761511592,60.33047640819124,B,-139.91332523694865,-24.227491013208155,-108.41284851703632,D,-182.26654954432067,0
Brazil,142.19323788872572,D,157.49375368828646,-65.21783863574527,E,E,B,63.4375107913046,31.290685575087284,D,1.504411028449366,-79.53782487100074,62.59092746573077,A,28.65216884359422,1
China,72.76654281207347,E,82.71249651995394,-53.16084961847718,A,B,B,-86.88223703856445,82.79002801374938,C,26.412095269401913,48.77599374857058,-24.937731008319098,A,-2.21561114610759,0
Other,12.995423520673802,D,6.179503755254707,58.989404746891886,E,B,B,145.7950291347948,-145.88697358489384,B,-112.5074687680643,114.9700893613588,-150.67438226089618,B,-143.2643647448774,0
Other,9.773475431781744,A,18.607145555746698,-81.35113856105677,E,D,A,-36.392318309277876,-14.634947183826123,D,68.57361079449329,-158.10356278964932,-139.94733231564126,C,-20.17539876842676,1
US,-89.65188704371138,D,-159.83733903706542,-4.619783255886866,A,E,A,-54.437712539286174,38.133075031165355,B,-71.05796464880468,60.968374037330406,-67.58972149092712,E,-126.9359170115924,1
India,-26.022703506777724,B,-37.881889621087915,39.897454675049524,E,A,A,175.21538099783984,-151.58480141725644,D,-34.13308100904143,-83.59197857202302,4.642650980374049,E,91.86656280773764,1
India,-53.88226622259541,B,-67.70762628166011,-216.86028292949828,E,B,C,182.66833100362035,35.749765228650745,C,47.20158982492947,49.625869976751375,-7.832595351756874,E,-6.801155101657066,1
Brazil,-52.504987156690234,A,-41.256907917317186,27.266448117154408,A,D,B,-4.276851919693517,29.955094902326103,A,-169.4858584124571,-14.99468090552999,91.44987452136091,A,16.314408308920388,0
