Gender,AGE,age_range,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
F,76,36-50,-60.975094886800676,140.85186113432744,D,154.712750308553,-165.05933211062145,-24.0537776829675,A,18.241735261582253,D,A,-217.99268960435265,A,0
Other,57,26-35,-133.8035078852193,56.88314809758766,B,45.716456291647255,13.492788001924092,174.62273823771807,E,-129.20668165803178,C,B,-159.75912695332332,E,0
Female,19,65+,-4.459617552324673,-76.34521319773182,C,-87.35484517831496,-36.292291659879,127.37082246338964,A,-215.84474254523812,B,E,13.380032410665663,E,1
Other,78,65+,46.830901927256406,113.10907162889782,E,49.0396718870062,-51.84933248209512,183.56794128251758,B,1.47824855064648,C,B,30.813162081966567,B,0
Male,44,26-35,-6.459291774253015,-60.92476342014137,C,229.92806836703159,-38.489410178665906,-3.0017142005379673,E,-141.71310557982898,B,E,-30.28138910108693,D,1
Female,63,26-35,115.14484413932837,-40.83726475953229,E,81.2170459914371,38.74928224778178,-33.15298806436981,D,53.608124791908885,E,A,-127.18728085463754,C,1
F,23,18-25,3.767997006030238,85.84913175711361,E,48.70337565377462,3.3681189992067804,-162.07351483732077,E,-62.607393162357596,A,E,114.46280440379803,B,0
Male,56,51-65,118.31154714261487,74.90734234271085,B,76.6364404056758,-47.45181479138859,-167.47704043649892,B,-142.74549434103093,C,B,-14.133612071741346,A,1
Male,48,51-65,5.638323910739998,128.91687306011605,A,-89.953734263458,12.939061852970093,78.02909021105503,C,154.59877467964205,B,E,-164.83042353291023,C,1
Male,59,36-50,-155.71533356030946,-220.981675672809,C,51.40984107204544,-93.25558988922973,-28.89484340139972,B,-126.81159956309781,A,D,-52.38033629178462,C,0
Other,29,65+,36.340164884106215,-74.69539835177153,E,6.858928437813382,147.0793092142606,-1.7160409499178808,E,286.9123234145973,D,B,-30.52208894961882,D,0
Other,72,36-50,92.79862768248019,-48.702676754805104,B,-116.75107034048426,-43.31765644274134,-90.19157345335792,E,121.59074356373047,C,E,-28.793212250720167,D,1
Male,47,36-50,-49.65633417623814,-72.9717547360845,E,-148.6133378214559,9.25158068622749,106.76469730469933,B,-67.5189748140327,B,A,46.776745950324894,D,0
Non-binary,71,65+,15.41395683139478,122.3489504591973,C,148.55989695029584,79.17808415043068,-69.91993599870551,E,-95.01870602979831,A,D,-48.83413873984396,A,1
Non-binary,19,26-35,223.13066847746072,-150.55169379507797,C,-29.08820631281201,-175.75772087017668,-65.72923543284288,D,-48.17807998043303,E,D,81.15686586689786,A,0
Other,49,65+,-200.6625954456698,91.04698279970552,A,67.2870618639803,-139.14638326377934,145.6283967423401,E,17.77238023945771,C,C,-133.6270086721164,A,1
M,33,26-35,26.85375947374752,94.36427188804318,D,-17.48429448922861,-66.23467125621318,116.26136874917275,D,87.20861754413734,A,E,-16.76123133190566,A,0
F,30,26-35,-25.71114186179903,-97.09358230403824,D,64.45724612173152,25.41377742173886,-155.5115506519255,E,-127.07415210625615,A,A,127.8819186580951,B,1
Male,63,26-35,-63.78957221898164,82.18168007625499,C,-146.31370022726674,16.82509575452788,-83.3110258507772,E,-95.16154024986018,B,C,-14.960538036134658,D,0
M,73,36-50,0.5549969912075163,-100.29079624641506,B,144.9096793623771,-27.689943463490074,52.57412468260638,B,-56.842562960637125,C,E,6.909844735895162,E,1
M,33,51-65,41.22902847869969,-19.622244713282242,E,-158.22548041242257,12.466929305601106,1.4746641218924967,C,-127.16287074291965,C,A,30.973785290186324,A,0
M,39,26-35,56.125644413804054,180.08735691652703,A,-246.78109006303202,-32.199482974655346,30.151935517956925,C,20.989443034401518,B,B,-105.05521116914502,C,0
M,78,65+,-45.2423648232468,132.3905440823541,D,204.61391655553763,17.98752264827321,-20.91433719013474,A,-57.86989102922357,B,A,-13.78702315912471,E,1
Male,71,65+,82.00284531309063,-47.34383904214946,E,2.482388730168428,-48.09031644807239,-131.64215870289559,E,-111.90947754449626,A,D,-100.45870032691965,A,1
Non-binary,72,18-25,-248.6022993690435,100.89431229459025,E,45.01336203187429,-41.77792373405435,-23.314598282897016,C,-133.5071962005241,B,B,-31.545148364310872,B,0
Male,29,36-50,145.09917977478668,42.34524483490056,E,-70.08181977601662,255.5689503179024,-61.07291885047452,A,75.7378372979065,E,A,32.376020554255874,B,1
Other,52,65+,-99.38295307828005,47.00368780762316,E,70.59025449456,102.20711459741894,14.404175055644917,B,-93.75140363598639,A,D,-49.19281959031503,C,0
Non-binary,50,36-50,-58.5627532820379,-47.38847392179106,E,-105.47150969089401,-114.75862205677203,-74.9499768838788,E,-52.807995875693535,C,B,-136.21294359296968,C,0
Male,76,26-35,-212.0774920309469,118.66186355242871,E,-39.71687134600784,16.278491742999616,-132.96734235343473,E,-3.1368931916254152,C,A,82.46407261385409,D,0
Non-binary,71,18-25,-107.85340244678727,45.878038932257084,A,97.78600001228035,18.504966869449316,-107.65609674903072,A,-72.24613645969762,B,B,-127.78838973505077,D,0
Female,77,18-25,42.51297730683982,-7.926694334715482,A,-46.72451524986299,25.699501303541837,-12.830221910206507,D,41.81861131274456,A,C,-185.06942134851676,B,1
M,40,36-50,-10.496304782107812,164.02700802813112,B,-33.50173218933857,-118.62618421374542,15.834241507412885,D,-69.76518611825193,D,C,59.427486520091,A,0
Female,56,18-25,-7.558628669733968,225.81424097109198,E,-20.692821255049072,313.6857894881928,209.06963478914946,C,123.56519768780659,B,E,26.98992668088762,E,1
Female,49,26-35,118.16910922135433,-24.0838352639021,A,6.9289973619691425,258.06321901125017,128.71325740710654,B,80.1209007948239,D,C,96.3333645552901,A,1
Other,73,36-50,-49.91323027897234,-6.276530028631017,C,-58.921050623390606,4.911316080010365,45.60080415684724,A,112.11777887725063,B,E,28.24956796181089,B,0
F,37,65+,14.219797391303027,69.70170890941006,D,-9.738192944356948,286.51258770319953,42.972734772623475,E,-8.989116497857932,E,D,68.50930712078735,D,0
M,54,51-65,53.43199551330946,81.32719511447203,E,39.924727413133056,-51.88673173235995,-117.32481370125515,B,132.94725537067345,E,E,114.98212114716293,D,1
Other,32,51-65,289.0925922233495,58.82422762043703,C,-125.88555548774481,-126.75797998755827,-90.62286143337292,E,34.25150623663579,B,C,71.0644862035712,E,1
Male,28,18-25,72.24488347262562,-17.17458088182678,A,55.019630251693115,-137.9501293130354,19.481633671756622,D,131.74509282103105,C,D,67.49694813459539,E,0
M,31,65+,-47.42691397354182,-56.457874983851674,B,-79.4754939475435,-18.496358953170866,125.24080587476492,E,87.98984787460793,C,E,-62.971369850518364,D,1
F,74,65+,-70.10175191778548,-59.063488133160234,C,117.930150000544,-22.2517978663332,-26.548142441560202,D,169.20046680767408,A,E,56.26431467680679,B,1
