SEX,age_range,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
F,65+,D,C,32.57925646565732,E,A,-53.534574239266774,19.72867408993477,108.88255757429357,A,-61.84237662715651,19.230808942805982,C,48.360394046203744,A,-207.2517754994987,A,1
Female,18-25,E,D,-9.869273690775556,C,A,44.08624069223945,45.81510927065912,49.189808884292816,E,45.909806454786114,24.464797128823953,A,124.03085682124416,C,66.3994574508377,A,0
Female,51-65,A,A,24.770643099319198,E,E,205.3202001069345,49.01119335828832,59.341291736645616,C,64.2996884139828,-37.126685029724136,E,81.02078257790718,D,-67.0685211743085,B,1
Female,36-50,A,B,75.04197465157604,B,E,-105.18286689588432,-71.21129392781431,4.936730646171041,E,221.64103364542015,-186.68353239583467,C,102.33788100805083,B,89.08756392599531,B,0
Female,26-35,E,E,-79.17478826015355,C,E,190.31832483210854,39.24003079557444,57.414928180704784,B,63.162363012182354,45.072470722687015,D,128.0899039136088,C,-70.78207822189052,D,0
Non-binary,26-35,A,C,-4.189221417656152,D,D,-101.05191589850449,12.736041159720878,109.99747273925915,A,-111.36307047847944,70.1252292183577,D,159.52352489749794,B,-115.88522466384885,A,0
Non-binary,51-65,E,C,-100.50794470128128,B,C,45.92593051143103,-56.22604682867258,-172.53119898996061,C,122.59800448596252,46.474920408809524,E,4.852871119215758,A,-7.177208475937266,B,0
M,65+,B,C,89.78228262280167,A,D,-35.21390124067514,100.01068378191395,-6.015605332960691,D,67.89114448768613,35.68230331320097,A,-8.52664105690217,C,109.88462193006305,B,1
Other,36-50,B,C,-109.25212106877579,A,B,-0.3437857002305946,96.85415450883161,109.59529878160433,E,162.86535219631787,124.42014650220332,A,90.89053578765505,D,1.8453704993024238,C,0
M,18-25,A,D,32.58461355401355,B,D,7.900316725148541,14.967842362331762,94.51330025594781,C,-32.69785415052262,89.98792643620416,C,-42.650520072298214,D,-70.86232602032271,B,0
F,51-65,D,B,-57.512055320554914,A,E,-57.13763859062115,127.11547032682478,-59.32623292932442,E,23.160934654790395,-231.35605864293075,A,-37.00753568565181,E,-66.85010653087143,A,1
F,51-65,C,C,49.54127905469494,B,B,-37.785138607227985,-47.22101363765653,16.09140944149992,E,71.62100556104683,216.70344803287102,C,-22.40517430898339,E,11.212248476546211,D,0
Other,36-50,A,E,-92.44232171764779,A,C,114.18875328669458,56.23848343152954,-0.5272669413756531,C,33.255142556966575,-102.6706825746225,A,-56.51097963017373,A,54.059509371940315,E,1
M,51-65,C,B,6.4529296427371,E,A,85.39327253846336,-140.14801662157254,-144.1191632662925,E,-174.44558283397913,124.86862388860764,A,-67.18404162142615,D,-212.85168271711234,E,0
Female,26-35,A,D,53.39514287461219,B,D,-135.4926920448476,46.66184895189255,192.92536935635997,C,-23.281877432864118,82.4408510450665,A,-131.56033193248092,D,28.852008105866357,D,1
Non-binary,65+,A,B,75.01342953052445,C,C,46.4632540031824,-56.71324281371643,59.61470841888025,B,-16.819109047479106,100.57851046806927,C,80.28016773666214,C,62.16274936586637,E,0
Non-binary,65+,E,C,-251.33070038831505,B,E,-29.183241039519757,-48.65322481408483,35.109152895109524,D,116.90757440287936,139.40761776408038,A,49.30205957764376,A,29.896119696880707,D,0
M,26-35,D,B,-70.06728581703406,E,B,-135.4968707051517,-31.381081137385884,156.18332873688172,E,114.4205015381059,-56.05576719595064,C,35.46454114200999,C,-31.351449274329564,C,0
Other,26-35,B,B,34.42419297150137,E,C,30.28060454992439,94.01137008183753,213.34185597400287,D,159.55188074331792,36.86475914486696,A,-245.47605780669687,C,37.98038077418701,A,1
Other,51-65,D,A,-50.94595163711825,A,E,-10.24582689457954,131.77006705674216,-49.14043479388732,C,80.7438320234545,-2.3212551085997415,B,105.27828348424816,D,-34.557910488188334,C,0
Male,51-65,B,C,62.40071958312281,E,D,142.05033634589697,-2.2828405015701905,-129.88536924479413,D,25.267220537145,-114.57522579577612,D,-65.5005514547691,B,125.72882619549077,B,1
F,36-50,B,D,33.53385536875388,C,B,-32.17593025920576,-36.965159493987656,-2.5931738297851723,D,16.5570519826618,107.47981208606627,B,57.62866493321276,D,-1.1174194663581136,E,0
M,18-25,C,D,75.553137535331,B,D,-4.794993770962099,119.0542734128039,-44.248953097647544,A,84.52228496017146,-41.730641546398864,E,113.9349506744887,E,36.82031704268934,C,0
Male,26-35,A,C,108.79425569662742,A,A,-127.04217343697582,-8.347824569053435,-104.57331063726672,C,12.826520010019294,-97.85620653318536,D,146.93474637817752,C,-63.779703448977045,E,1
M,36-50,C,C,-96.38492249702266,B,C,-120.79658398215263,-7.0304715251342325,-53.408035336911055,E,175.93997683153222,37.68484883915756,C,-94.6710504992039,A,45.07707228180632,E,1
Other,26-35,C,A,-110.44746362914086,A,B,37.30765810026021,65.3403644887774,-21.27256873564845,B,-165.7685130788084,58.03604730394103,E,-59.723911023195654,A,-107.24795564937119,D,1
Other,18-25,D,B,-86.11940332910915,D,E,-121.17023377176331,-32.884968956994115,34.23266526150639,D,-36.17583875435918,-31.65886214676435,E,93.90894382504125,B,35.45602205636156,B,0
Non-binary,36-50,B,E,-199.74517505517616,D,D,35.845458076745835,-78.39177267174612,-137.95782394040782,D,152.3880557153582,-104.00093761436796,B,-46.86547757176341,D,-142.34056932023307,E,1
Male,36-50,E,C,55.19295631381199,E,C,-157.98280704029193,-12.0497467013125,-25.78123126985339,D,98.59564857665218,73.13425309819222,E,-99.57651461325086,C,49.33705246591751,E,0
Other,36-50,E,B,41.35491694356352,A,B,-51.81248182474668,25.51152006231416,-89.34593722327989,A,80.16303514882445,166.14058767963985,B,188.42845769489747,D,149.8800034450474,E,0
Non-binary,26-35,E,D,22.234910184909808,E,C,-144.65480645252754,-52.20910344021905,3.254264094697766,B,103.09577702253299,24.569491322424692,C,-66.10032544248395,B,-113.57932454566301,B,0
Other,18-25,C,B,163.62637781974368,A,D,103.48936074487361,-68.60565593749148,40.722735137220205,E,131.0888605138797,-116.37339230098227,A,-27.740475032006294,B,-56.007469080671115,B,0
M,36-50,B,E,-10.323587389256245,C,A,-21.8714923667613,40.068614204502985,24.419132455315072,D,126.67081135182812,19.913538002025252,C,32.62226199959757,B,-49.07566229595212,A,1
Female,51-65,C,E,-96.59018134882197,C,C,17.29241763751146,-27.358968473181967,-23.7308411770616,E,-33.387550002894905,35.763292305157975,B,82.56416536847678,A,-38.93520619078358,B,1
Other,65+,A,E,38.31866582534948,A,C,-62.30304706399884,-126.55040522315937,24.557844265391395,C,50.16134527094444,40.468536010716804,C,-122.07546125329584,B,-71.77606118545816,C,0
Non-binary,51-65,C,D,-71.73910796333409,A,C,52.29553386847454,105.42822484752949,-58.96997965519575,B,144.90289961545346,100.28648582035045,C,-15.534034805629874,B,50.075604852295506,A,0
Non-binary,51-65,D,B,161.19866103416027,E,D,-53.183572599473905,18.930432516564906,125.162410293084,E,-33.299267076032656,-143.99071943983174,C,-3.9235483375439877,E,-49.125354596247355,E,1
Other,36-50,C,E,46.04806820336169,C,D,18.97712823653515,-171.71031583813493,-18.558248479200454,C,107.34627826150573,-0.7053204196861164,B,68.08101631856881,B,-80.2291111512588,D,1
Male,36-50,B,A,2.2200630785260347,A,A,18.470934991286743,-12.615697530674602,-254.0599638515623,A,-18.041270824814607,-132.37092167680925,A,82.78799309031858,B,-12.637130945234464,C,0
Non-binary,65+,D,E,-91.1748393068801,E,D,12.14428802585101,-39.09517949684808,-153.54524883332994,E,71.94606443502136,-149.2321908316129,A,10.227904396661515,E,144.48680074243072,D,0
Non-binary,65+,E,E,-171.2133743032985,C,E,122.13855846630506,-47.98907006917452,52.069975796902845,A,-107.63930756689145,-189.73400250898018,C,187.76903056047405,C,-165.36538246701323,A,1
M,18-25,D,A,-157.41865310102042,E,E,15.525348467811837,4.63694869725136,-66.34644324835054,C,9.25188823875368,-62.05549415023037,C,-176.5558081546572,A,109.13870970789186,C,1
M,51-65,C,B,69.468682393982,C,E,-84.65263246401355,154.17082265241734,48.4018906051686,B,-112.06814204655011,136.10248855630874,D,21.725236836321102,D,54.892987208983904,B,1
Male,26-35,D,A,0.8914620244604189,B,C,262.88460568284285,32.45469279155096,160.06625122531858,E,-99.66683954997973,12.11925662075943,B,138.57094646233094,D,-35.30625356503484,B,1
Non-binary,36-50,C,E,170.646885280039,C,B,114.98832724538237,121.7334116522605,-30.34947738136009,C,-47.381016788421505,-92.06259476755744,C,1.8311620042189665,B,-12.028617325267142,E,0
Non-binary,26-35,E,B,131.88491789666827,A,D,14.77886119077687,-109.74584187383662,86.02690498438777,D,-26.6465323259127,-97.18454914036113,B,62.334396200428934,B,-165.3217985670654,C,0
M,65+,D,C,-68.8872479764695,B,A,-79.06558961620429,55.15800253262624,-14.428563070073519,D,105.73439131600928,20.733411789220995,D,-79.60578851374018,C,218.818911610824,C,1
F,26-35,D,C,56.17784439082689,A,B,-28.4825836685208,-165.12355822347303,54.05912948750807,B,-95.2204541435504,9.302442411451926,B,-29.3366892518921,B,-219.7885807968293,B,0
F,18-25,B,D,-39.36769194461217,E,A,92.2838577948558,-103.85713148363911,32.23463507356929,E,-131.21432620535714,124.14519014548485,D,-59.4189953463908,D,2.2841909885497835,A,0
F,18-25,E,C,181.03383146843314,E,A,124.25513396659615,-15.384614426704205,2.8450877643472627,A,-161.56755127609844,99.52446809806645,E,-1.63086418290111,E,-74.92359427715132,C,1
Non-binary,51-65,E,A,-138.4524819434497,A,E,325.68409877656165,111.73430861539815,-43.78420719370105,E,-52.027016309323315,106.70480252743874,C,59.721368581765965,B,-86.17157696498053,A,1
Non-binary,36-50,E,E,17.047930246344634,E,C,160.9089967206309,-196.87804684666273,-25.225794102958936,A,-172.3561579719815,28.708774930410907,A,-87.67905034667574,B,-36.8970354488325,D,0
Female,18-25,E,A,178.01282195405258,B,D,35.877070943078856,4.8351827195453385,96.85269435870104,C,-12.26815756011123,-106.26082130653703,C,-161.7409807123019,E,-116.55052992494876,E,0
M,65+,A,A,47.721673892868765,A,E,-31.927306133500327,-13.77220809566573,73.18572162650482,D,9.176993149702586,115.9552810993133,B,44.89204005860101,C,175.3794889462301,E,0
Female,26-35,A,D,104.86673355100638,A,E,88.96025657663053,-50.34571290949761,38.50445423739651,B,-217.19517556929867,75.2333172432145,D,-24.81154501243168,D,-16.026363555083723,E,1
M,65+,C,E,-66.3061391977844,C,B,11.732780845336896,-61.94267132897654,-89.51564610546052,D,123.84283384100465,61.87216548850866,E,18.923316897022627,A,-33.84637826598137,E,0
Female,26-35,B,D,14.160136869846754,E,B,-107.22815684674806,62.48822360629755,-158.98427312876075,B,-71.49988279015223,67.30592115548232,B,115.30710480675506,E,-39.688542102119996,B,0
Non-binary,18-25,E,B,-66.07638731238539,D,C,-19.715972745639256,173.9885022056999,-95.5833658357345,B,50.73788616745545,124.5577290477858,A,16.526249328103706,C,46.523887545395695,B,1
Male,36-50,D,E,158.50646422798414,C,A,28.661229009124877,-58.30479890813677,-238.9179575066209,E,-91.03715481117526,6.9635507219550625,A,-74.03123378654783,E,56.41567324552611,E,0
F,36-50,C,E,-166.02884793940686,B,A,115.387144673778,-35.82867893380444,-39.704358268071964,D,-87.25171394672991,208.41837115802662,B,154.24297139524077,B,0.21755742316603918,E,1
Other,51-65,E,B,79.54649884653624,B,C,-22.244997377273297,-41.84052785134353,86.21686051286686,C,-36.473232306844224,196.56065967122848,B,172.5035581271987,E,108.11658765149856,A,1
Female,36-50,A,C,75.58321617481852,C,E,-127.68147041599755,154.21313977612007,-156.0852920232036,A,190.05523900662564,80.42848562509715,D,-18.205275818683507,D,80.0160453892905,C,1
Other,65+,C,E,-71.1052926806983,C,E,151.38915840799103,5.715337822684981,40.76939435052048,E,-104.30097898436166,18.668763762614617,D,-91.36780833665091,B,-217.08362629869416,C,1
Female,65+,D,A,-73.69114961433888,E,C,92.28193181376204,-61.334333848346276,153.55468068260797,E,3.7261504049826635,-119.61728608141759,E,-127.35571262292662,D,-21.855904049187217,B,0
