Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
Yes,49.412266390490075,B,E,-115.74579671914009,A,D,78.96126058623058,-5.07258163820781,0
No,-50.891951027429386,D,B,159.76351246878454,A,A,-69.90166352368843,71.7082500846948,1
Yes,26.326776707060123,B,B,-67.69489762816852,D,C,-75.20904373416263,60.18208371089896,1
Veteran,-170.42884386720058,A,B,-36.65436298742784,D,A,97.39991813983387,-93.69205131701244,0
Yes,2.558788566092423,B,A,-11.018916459766926,A,E,-51.786053826543345,-64.42561338750431,1
Non-Veteran,-49.74426617381136,C,C,47.78372893420333,B,C,24.766177370025943,-133.91713213360262,0
Veteran,106.14347483156561,E,E,49.772066418206975,B,C,123.2835182658907,5.2605116853883676,0
No,132.5829064004065,B,A,-58.48761041878758,C,C,145.786077710996,-58.06443384302351,0
Yes,81.31806754490711,C,C,-156.7546515214344,A,E,-49.588116593746875,-69.1111611581498,1
Veteran,-32.425498125984596,A,A,35.008584423900494,E,C,-8.307977034241627,-170.63334125562156,1
Yes,-5.930306045627507,D,D,-62.12165792156359,C,E,-0.18646169380359523,-183.4244200356062,1
No,-59.02369396141217,B,A,-64.98674220485267,E,D,73.01994631307448,14.30470962546325,1
Non-Veteran,-120.459860316951,C,A,176.78343003649698,B,E,-124.88851976162225,98.76065727420473,1
Non-Veteran,104.07529619153885,D,B,-146.66869259844222,B,C,-197.45315275707796,-25.14040910896924,0
No,162.418499557514,C,C,66.53049786070146,D,E,196.71426782757558,45.81407126735585,1
No,-32.68638666104023,D,B,-207.8043460641807,B,D,-48.803721015120935,93.52665315733266,1
Veteran,-88.25354468209723,C,C,-36.728134083556604,E,B,85.10790714205793,-133.5752873779645,1
Non-Veteran,234.59097377058043,E,E,16.676475250605712,B,C,-24.26343809128244,-12.337899291356496,1
Yes,8.14871693985225,E,C,-129.8038346751797,C,D,10.04929891108378,42.82935331843092,0
Non-Veteran,-41.8162139393067,A,C,-88.96000330997447,A,A,-85.8690776216371,196.7468787561898,1
No,3.2758290735110887,B,E,126.51840201845526,A,A,57.33053318379577,52.516871903075746,1
Veteran,-89.93889375138716,A,C,-30.440646680051874,E,C,-39.40727972412484,19.808499582612445,0
No,76.12753451915076,C,A,82.18225038718002,E,A,-78.49917149458922,-76.97778139293476,0
Yes,95.40623073436132,C,C,-72.69137683867281,A,C,170.63191244333962,59.66302913772245,0
Yes,39.90071040552702,D,B,-51.51247333803528,D,A,-60.05808793880579,-68.19580425457362,1
Yes,64.03983818043241,E,A,-91.2860251432032,B,C,-72.03276611008643,-42.315093981830074,0
Non-Veteran,31.605994620676032,E,D,-135.16273730680075,E,C,-199.32999623944096,93.05082150525537,1
Non-Veteran,31.64904206773666,D,E,-49.0780598998445,E,B,73.71546069103239,-36.314823006968005,1
Veteran,53.451924569505096,D,D,-18.95927963730575,C,E,-17.20001619840002,-2.601505855110879,1
Veteran,120.5656936545886,B,D,154.84680308196437,E,D,137.69427471317255,-81.57177864937223,0
No,41.611562138499316,D,D,34.77887249049992,E,C,-62.24526822629417,-33.4640965127828,0
Yes,198.19626306129877,A,C,0.2850992513928486,C,C,-115.89191388196123,-25.73618177593275,0
Non-Veteran,86.85923210068279,E,E,-86.32925334265764,B,D,-11.958398378602746,105.3689555533934,1
Yes,47.54376695712989,E,B,278.03212535687385,D,A,60.85921432753909,66.78379685821612,0
Yes,-146.25544578008908,A,D,-59.311967415571274,B,B,-47.18363272498118,-56.451336424796985,1
Veteran,-128.45761142605346,D,D,-97.40562768953468,B,E,129.10702141458188,24.87330525954585,1
No,18.708942147757927,E,A,-10.184222036811978,C,A,-108.03147707659136,141.77998950405703,1
Non-Veteran,-131.57851115948304,E,D,56.5989421255068,C,A,-150.48411615888708,5.388020972232916,0
Yes,-9.093685467324624,D,B,-28.310144788504182,B,E,149.60846211508334,-135.50309589118842,0
Non-Veteran,28.362150440652734,E,C,-144.82559378069297,D,A,31.822510911741343,-154.54011649564052,1
Yes,56.87291903378108,C,D,78.05347602688845,D,C,134.49950860201773,-13.505139836045274,1
No,43.256249148089005,E,E,-96.2129595200794,C,A,117.82500837554892,-90.54675969699059,0
Yes,85.70029067495084,E,B,11.376016886269968,B,C,-59.97434233918484,-63.60362494641614,1
Yes,87.45951079001463,E,E,35.02178729850809,E,A,-53.06091883612144,-130.01670357079297,1
Yes,30.989596925171064,E,C,19.563011473220154,C,A,112.9989261237113,-46.031215274755596,1
Non-Veteran,91.3167792634568,C,B,-19.694617218625034,B,C,31.82541828174689,18.04672599558562,1
No,85.40313093611508,D,A,17.32690075946079,D,B,63.16716641770918,16.744680442327972,1
No,-14.00710517618949,E,A,87.96187565956369,A,B,20.46174003661063,-27.685186143678713,1
No,-7.986845547792969,E,A,-145.92542871506237,A,A,140.11853822295265,34.05130413357554,0
Veteran,-92.56475788352468,C,D,-10.98671937496563,E,B,-64.1949001617095,163.80384666500635,0
Veteran,93.61274794447787,D,B,97.18540552307327,A,E,-71.94589633624174,-87.03392324233886,0
Veteran,14.698003023944759,C,A,-17.929748013600562,D,C,-124.58878754124115,280.26363257950675,1
Non-Veteran,-135.95531834556775,D,D,95.23795245403181,B,C,-27.86875657208259,-5.424154096292579,0
Veteran,54.21185467821022,A,D,-198.61422009664025,A,D,6.122254917566177,-44.74180135430709,1
Non-Veteran,-261.1515659649595,E,B,94.65916725853383,E,B,43.66186499323666,-65.79341563783578,0
Non-Veteran,127.16070642594026,E,A,34.379626579047724,D,E,-43.29073960218584,-2.846661659964272,1
No,48.4900768573494,A,D,-200.82091584905157,B,E,-48.38097015574611,-158.6480414115785,0
Veteran,-40.00842941766491,C,A,121.49237609934845,A,A,182.78219361116103,65.17491242359569,0
No,13.639293860550755,B,E,0.8857997501367136,E,A,-165.46186061214544,-22.75611587761248,1
