Gender,birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Female,53,C,35.34281208385181,D,B,-97.26203236906186,D,C,110.37106727319772,B,A,-29.54865722574175,0
M,61,E,23.93369879811445,C,A,8.475607734543878,A,D,17.278463434120006,D,A,8.483007579793355,1
M,29,B,-21.9672345627299,D,D,-80.57235578729359,A,A,-157.65341007602157,E,A,-69.91541134899481,0
M,99,A,-97.17246941255343,A,D,326.02496216152474,D,B,195.15805551547098,B,D,100.79909653304739,1
Non-binary,76,B,97.79557902420677,C,E,-13.890105006584214,A,A,150.03080934431676,B,D,135.1296289908127,1
M,77,A,-107.32829681117441,B,B,-7.495145371517505,D,A,16.99542460848184,C,A,126.98186329393822,1
Male,60,E,70.49816056626734,E,A,-289.70005604173076,D,E,154.55495459388922,D,C,-77.48958524728394,1
M,35,E,-15.475534231347671,C,C,-122.26025072222357,B,B,133.67007384879918,C,E,-91.005808968111,0
Other,42,A,175.7965121816663,E,D,160.1813087605616,C,A,95.30436956681714,C,A,68.75523612810031,0
M,63,E,-20.830905815683,B,B,173.3787992708947,E,C,101.04037261539682,C,B,74.95382652486236,0
Male,87,D,-116.81048429476255,C,A,-104.64171573842256,B,A,-75.21697418765054,E,D,65.91453489282735,1
Female,37,B,-181.9498120345929,D,D,-145.83056710026133,B,A,43.31763343004081,A,B,129.04045462392017,0
M,20,C,-53.18108733786113,A,B,-8.557114776236581,C,C,-17.139222306022326,C,C,28.770877983121256,0
Other,22,D,84.32118648533717,C,D,88.72469420281239,A,A,-144.65326275105397,D,E,189.6569931395926,0
Non-binary,44,B,-213.99502553786292,B,A,20.554579898008164,D,E,56.296607778843686,A,E,-148.37694074763067,0
F,72,B,51.822685280758876,E,B,106.53442317615796,E,D,-125.57805169141692,B,B,-15.94592138377671,1
Male,57,B,10.867894838443418,C,B,-177.96292541578944,A,C,-43.14198596162216,D,A,-135.33861024770678,1
Non-binary,73,D,-42.344843915798855,D,A,85.02510679433807,D,D,11.103703749721786,C,C,-47.80504268578163,1
F,44,C,49.62387049187688,E,A,117.71575867743309,E,A,167.22712364546942,E,E,131.94939851419045,1
Other,78,B,40.27440779924079,E,B,39.732555386325735,E,C,-161.37396644252172,A,B,48.492945711700784,1
Female,29,B,-23.484344813399957,E,C,-19.544323825527517,D,A,64.58520969269411,A,C,-50.91481924008202,1
Female,29,C,89.46551426937738,D,D,-107.57950349026322,B,D,86.79448175894552,B,C,-24.84178334813111,0
M,75,B,19.20488024959403,E,A,-31.70717657730393,E,C,90.7587007218619,A,C,185.95543403015648,1
Non-binary,20,A,-85.15616925751152,C,D,-38.05896599292197,C,D,56.08678942997513,A,D,219.52781856593103,0
F,26,D,0.4986762898062318,B,E,-166.4650734058526,B,D,158.7024373751674,C,D,51.66384477531618,0
Non-binary,22,E,-120.93822782916013,A,A,-112.34117785105111,E,E,-43.66124391111255,D,D,-86.63269969478297,0
M,79,C,56.95602678435833,A,B,-68.01037380420152,C,D,68.75772522991484,E,C,-160.97639374325195,0
Non-binary,52,B,-125.68767059238368,C,D,7.853867596066512,D,E,-147.5471374310083,E,B,-97.66478331297326,0
M,29,C,81.70934452473965,C,A,100.91257685364059,C,C,-105.56846927259016,A,E,26.86414058599406,0
F,82,E,-6.322181551901773,C,B,-11.608118624096946,D,D,207.49339109053872,E,A,-43.9513881931261,1
Non-binary,37,D,57.02286351125285,E,C,138.23473464948748,E,D,113.00399120150261,D,A,23.888726024626745,0
M,51,A,-133.64039605353403,D,A,52.210389624002026,E,D,81.46599568133554,C,E,-19.65882144562926,0
Other,87,A,15.279681008375997,C,D,102.95773772361689,E,B,-43.05231755211098,C,C,181.04428486330232,0
Female,88,E,-139.61639518620234,D,B,32.26314558013226,D,D,20.87514203461389,A,B,-47.53235016053567,0
