nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Other,-113.4269400345239,-22.4589380096324,D,B,-176.72289519284624,7.778916006065997,E,E,-155.06253815343487,39.9488408175755,1
China,-79.93853926982533,-102.05017969460933,A,D,-34.72186175377866,160.10084839834738,B,E,36.1881833195934,-54.9802722746874,1
UK,144.08152462632106,-84.16354972242833,A,D,-0.4556241225151792,166.70964821622783,D,D,52.240116218136734,45.051153085294985,0
US,-87.54856725187345,-211.5953759513086,B,E,-61.050144904221746,78.24810924302335,B,D,99.58654842831099,-103.65294130604575,0
India,13.012952398869595,91.06911592375538,C,E,-128.13671410664423,138.72170794379895,C,B,-108.42433144702224,-74.89434033413673,1
Mexico,-49.2277950452589,41.05478377116995,C,D,-77.81919219925533,-175.93116359915058,A,E,-53.42648038677766,64.844444519928,1
Germany,115.90851569232952,122.44139249850343,B,C,-32.31273993440142,-73.35400514692473,E,E,164.4509117427916,-108.62905933632622,0
Other,2.845520373523159,-38.542955964600345,B,B,-96.51495349994717,-87.7036300202645,D,A,58.04953662656629,189.76528961318718,0
Brazil,150.31706801620737,-134.45876307821715,A,A,35.938900826967476,69.7595657393435,E,A,-94.76370049759664,43.834014927140025,1
China,91.02839750183446,-83.77492628847511,A,C,41.89699773445154,-95.88069226394454,B,B,-94.15955842082074,-73.63123430102287,1
US,-61.71329599013292,46.85494935699384,A,D,-73.83942043311673,-114.6485537495504,C,D,121.74349795575348,133.68911087638952,1
US,-63.434251794388054,-3.9650378639924893,A,E,86.07508008256856,199.8217568951264,A,B,81.13599482095117,17.342167940897074,0
China,-86.39232290349543,9.657590585659866,E,A,-21.80557569516076,45.1504880400166,E,E,40.67899411465367,-17.721988261405535,0
Germany,111.51821926032758,-29.095020885632074,B,B,-14.941228023983813,51.440573249884146,A,E,16.632902408019152,-137.43884787835958,0
India,86.63049982357067,-30.72950211716424,E,B,-6.102641418030744,60.89815374939652,C,D,-4.716910904518272,8.362139730842024,0
