sex,faith,military,anos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Non-binary,Jewish,Non-Veteran,59,E,A,129.54244133190008,D,B,E,D,B,D,-35.19970342508322,45.925343665188166,D,A,E,E,B,0
Other,Christian,Yes,28,D,C,-204.59771040946083,C,C,A,C,D,E,-114.22490765583413,81.48387267627352,E,A,C,A,B,0
Female,Buddhist,Veteran,57,E,C,65.1419045400066,C,A,B,E,E,B,-38.81428177841227,-121.03059310655955,C,E,B,E,D,0
F,None,Yes,87,A,B,-44.90548099824777,C,E,B,C,B,B,-26.652281818410827,212.01478390136265,B,E,E,B,C,0
Non-binary,Muslim,Veteran,88,B,B,-128.59673146727545,D,B,C,D,A,B,21.75324145065455,-118.0839888492222,E,A,B,E,D,0
Non-binary,Christian,Yes,83,C,D,-57.78789679983344,A,C,B,C,E,A,-30.476294261998945,-75.59269454438069,B,E,A,D,D,1
Female,Jewish,Yes,75,D,E,-98.52741862176157,D,A,A,A,C,A,-23.182413794346992,121.3520112993265,D,D,D,A,C,1
Female,None,Non-Veteran,27,E,D,-71.24642479934457,D,C,E,C,C,A,43.45709522612221,183.7014910717247,B,B,B,E,B,1
F,Jewish,Non-Veteran,61,C,E,0.6142582152573328,B,D,B,E,E,D,-59.546389130424984,-62.12709442108309,B,A,E,E,B,0
F,Christian,Yes,87,E,D,101.01560859368006,D,E,C,C,E,E,-31.97198431854151,-219.50045537361925,D,C,A,B,E,1
M,Buddhist,Yes,97,E,B,247.88515593752751,A,B,D,B,D,B,57.56230250533889,13.277706448269248,A,C,C,E,E,1
M,Christian,Yes,69,D,C,-123.8749397567832,A,E,B,B,E,C,81.16277050621072,-138.79833311698272,D,C,D,C,D,1
Other,Buddhist,No,85,B,B,4.57366088090346,C,D,C,B,D,A,-91.10496834037176,-0.02648687480381949,A,D,C,E,B,1
M,Other,Veteran,68,B,B,1.4165111465951383,C,E,B,C,B,D,68.29474453082909,74.03160133870428,D,D,D,B,D,1
Female,Hindu,No,45,E,C,110.79268058557142,E,E,A,A,E,E,12.56108543228162,95.864930421383,D,B,D,D,C,0
Male,Hindu,No,30,E,B,13.1902739146352,A,D,E,C,B,A,177.67441365854856,-172.12990590882094,B,D,A,B,D,0
Non-binary,None,Non-Veteran,31,B,B,122.71435811876003,C,D,A,C,D,A,-21.495933607528986,107.7713071030553,E,B,A,C,B,0
Non-binary,Hindu,No,64,D,A,30.13882217835978,C,E,E,C,A,E,-18.77505814656132,-78.38929857385688,C,A,D,B,D,1
Other,Hindu,Veteran,64,B,E,-129.19282680831824,E,B,B,E,C,A,-120.58767826962551,-82.25780639290458,D,B,C,D,C,1
Male,Other,Yes,54,A,E,118.31122964740155,A,C,D,A,C,C,-100.33320220229484,87.62199792822095,A,A,B,C,D,0
Male,Other,Veteran,31,B,B,-142.7910754411164,B,A,E,E,E,C,-109.33430252930285,85.03816841870254,E,A,D,D,C,0
Other,Muslim,Veteran,47,C,E,126.1480681324504,B,E,D,A,E,D,-144.9952139406647,-40.767776153352536,B,B,D,D,E,0
Female,Muslim,Non-Veteran,66,E,C,-14.506122411708002,B,C,E,C,C,A,-163.54274370120433,25.040077348451522,E,B,B,A,D,0
F,Other,Yes,52,D,C,96.50703529239142,D,E,E,D,C,B,-130.5824863081111,-26.573330181515896,A,C,D,A,C,1
Female,None,No,71,C,B,-246.60720569146045,C,E,D,A,B,A,57.733224501746186,162.98394454630102,A,C,B,B,C,1
Non-binary,None,No,49,B,A,-8.508803681637406,A,A,D,C,E,C,160.97486320717496,119.7455206172643,A,A,B,E,D,1
Non-binary,Jewish,No,55,B,B,-51.29293991506193,C,A,C,A,D,C,90.08694608597469,-121.5955361321577,A,B,E,B,D,1
F,Hindu,No,69,C,B,36.17072746509287,D,A,B,B,E,A,-100.90095438695299,-212.61182659986167,B,C,D,C,E,1
M,Buddhist,Veteran,97,B,A,-224.57685330798967,C,D,B,D,D,E,11.84984481872962,121.0870075305865,A,B,C,D,E,0
Male,Christian,Veteran,22,E,A,-112.69510798898588,E,A,B,C,A,C,-42.10115814195067,-78.74083898463297,C,A,E,B,A,1
M,Jewish,Yes,71,D,E,28.27158406036406,D,A,E,C,B,A,52.90543725451452,-20.66287272366076,C,C,B,C,D,1
Other,Other,Yes,97,E,E,122.75366450862815,D,E,E,A,C,B,-6.136338042795651,21.781984391684738,D,E,E,C,E,0
Female,Jewish,Non-Veteran,93,C,D,178.7709203689748,D,D,D,E,E,C,-106.34572572883532,-176.05381684286957,E,A,E,B,C,0
F,Muslim,Non-Veteran,58,D,A,-198.49652024602563,E,B,E,A,E,C,-46.44756404757877,47.91019762191308,D,E,B,A,E,1
Male,Hindu,No,71,A,E,208.97432130038607,A,D,E,B,C,B,-24.50010403156693,54.55225111092348,E,B,A,E,A,0
Female,Jewish,Veteran,97,D,A,2.918631243159298,C,D,A,B,E,B,-3.4372129504083886,53.831611564555516,E,D,B,A,E,0
Non-binary,Jewish,Non-Veteran,79,A,E,72.19774079725964,D,E,D,A,D,A,23.54672680910356,-50.11636901011139,A,A,A,A,C,0
Non-binary,None,No,60,D,B,-5.8588508680906415,E,E,B,E,B,A,-61.1000108480312,86.40172882737984,C,B,B,E,E,0
Other,Jewish,Veteran,74,D,D,-139.41788872041636,C,C,A,D,D,D,-25.825890622981838,-87.44707430195253,D,E,A,B,D,1
Male,Hindu,Yes,84,C,E,16.630839061694346,A,A,E,E,D,A,47.10049507609024,-65.80817512074442,E,A,E,D,E,0
Non-binary,Christian,Yes,38,E,D,86.66389408515232,E,E,C,C,B,B,-45.564121342676735,56.46894250976586,A,E,E,C,A,0
M,Hindu,Yes,39,D,B,-49.93348892926848,D,A,D,D,A,D,132.92959851463823,21.10354411613868,C,B,C,D,D,0
Other,Hindu,Non-Veteran,77,A,E,-49.65581076683881,E,B,A,D,E,D,14.651504326570036,50.26426960435574,C,C,D,B,A,1
