handicap,AGE,military,nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Physical,71,Non-Veteran,UK,E,D,72.20515405142987,E,A,44.919772249052706,52.22276534684607,-74.65118381964493,D,A,1
No,43,Veteran,US,C,B,228.68998344410812,A,B,133.69561149032398,-28.723717590902204,39.7077424269471,B,E,0
Mental,45,Veteran,Brazil,E,C,-56.03961956780902,A,B,-27.57052826665687,-103.12235366115536,-20.725883879384817,A,D,0
Physical,35,No,India,D,D,108.87717709070097,B,C,1.2913883386563816,-88.08036432751813,-35.567389304118386,B,B,1
None,90,Veteran,Other,C,B,33.77596995460675,D,A,-42.36615662033319,-122.47823218544877,-92.47027415817344,B,C,1
Physical,53,Non-Veteran,Mexico,A,B,-132.98525447367112,E,E,-60.216639445530575,107.30802855189285,24.602829763064307,E,E,1
No,84,No,Mexico,A,A,38.98528892056722,E,B,78.56598062864202,-29.4276195712533,-60.90456473534853,C,B,1
Physical,29,Veteran,Mexico,E,A,-107.04476935200952,C,D,-27.94185747755244,56.43454926178425,-112.41625814185892,C,B,0
No,64,Veteran,US,B,B,63.06906095033853,C,B,-90.77873244862506,203.8289085375286,-15.600827257803154,A,A,0
None,68,Yes,Other,E,D,6.929399795909852,D,E,-126.09042044138343,99.29648667305582,8.186248159988269,E,B,0
No,47,No,US,C,A,108.3045598436595,E,B,151.60862505186395,107.12236739352731,56.98034108529141,B,E,0
Both,61,Non-Veteran,Brazil,E,E,-109.40778799000157,C,D,6.653726419945719,43.80020708862854,-2.561917200659043,C,D,0
Physical,47,No,Germany,A,D,-24.457459579138792,B,A,200.6881258142032,-33.88010893399625,94.41902992239906,D,B,0
None,28,No,US,D,A,34.508858136193055,A,D,-151.05262200428874,-64.37384655074463,-76.6518354468221,C,D,0
Physical,75,Yes,Other,B,E,75.74026378724557,B,C,232.19217852683468,-97.61935900212514,286.54471801740334,C,B,1
Mental,72,Non-Veteran,China,A,E,-97.56766307634267,B,D,-94.59187209236863,228.65129767136145,71.85711517445817,D,A,1
Both,85,Non-Veteran,Brazil,C,C,11.23699045906084,D,E,46.71439965662423,-9.332471333430478,30.34065428428205,C,E,1
None,91,Yes,Other,D,D,9.959273659008414,A,C,2.4741444106749038,-133.18820909529478,152.94913564284843,B,B,1
None,46,Yes,Mexico,C,A,10.831318081802884,C,A,-66.71144812965085,-71.592282362071,130.24381883921055,A,A,1
Both,70,Yes,India,D,D,15.5778461045353,E,E,-12.337521546956648,117.89466017364954,-124.53043553866785,B,E,0
Yes,90,No,Other,D,A,-114.30477594450579,D,E,58.17837179282064,98.1047907615473,102.57139262815349,C,E,0
Mental,63,Veteran,Germany,D,D,-74.07094792784147,A,B,101.18296578108806,2.3180712364043474,64.43512715057544,C,A,1
Both,67,Yes,Brazil,B,B,8.687686566374259,A,A,-43.99814220490669,-197.35302435608398,-1.7663716944049148,D,D,0
Physical,25,Veteran,US,B,E,-76.0779638519104,D,B,85.52768814760292,-39.223431084734386,151.35302129066702,A,B,0
No,73,Veteran,Other,E,B,85.16702300573866,A,E,-84.81743222150297,124.77227433465386,101.1273834354009,B,E,1
Mental,81,Veteran,China,C,E,-105.8922066554928,A,C,51.092671894903305,-3.8791729943461584,-83.87269339534296,B,D,0
Mental,62,Veteran,India,D,B,75.08387912096917,B,B,108.31580472471587,-100.39889780036017,-217.22259514315155,A,D,1
Mental,43,Veteran,Germany,D,B,-46.68448812058594,C,C,58.824109378800635,36.3902529338827,-34.33440763742508,C,E,1
