Disability,religion,nation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Mental,Hindu,Germany,52.02325774626946,A,57.75165758793841,5.100945018142395,-25.58733334334506,D,28.227226728721398,E,-171.58855981459732,28.107290860625444,-67.60651913592847,B,-18.834556252392254,-137.4826344481723,E,22.69857578205314,32.379395039522926,1
None,Muslim,Germany,-94.62465802676793,E,22.637991675224818,-47.0481670154995,130.60819234339527,D,-126.08894743039431,C,26.466627015967546,-45.618577834024,-173.31787982852157,B,280.9548302244923,126.63259066226342,C,-61.61730410257744,9.217669961983438,0
Mental,Other,Mexico,-88.87269875638117,B,110.36417645797091,14.967189865737602,5.52454019691664,E,112.14142195586004,B,147.55783076637223,-163.4619731433115,121.68694895125579,B,-68.5887176860215,58.69236702654725,D,33.12020427251806,21.117283929699536,0
Physical,Other,Mexico,-34.262215577152894,C,24.253063135896287,74.0221431462974,165.16121793482142,C,182.5309629200143,C,50.36436131971953,88.94306519810713,51.526003772912254,E,9.492022905052574,31.135723571194212,E,78.37779612301684,-78.40017013404422,0
Mental,Other,UK,-26.44783631216654,B,8.456309111673074,-55.819526521533945,162.7498051782412,A,70.39792228305964,D,81.40849447369146,-3.3968702502588646,-117.52787328538012,C,95.86793189098745,48.5111790777739,D,-17.307784130100977,-167.22863419014067,0
No,None,Brazil,39.22028805582153,A,128.21939417671,64.52942665620066,66.5989520434952,A,130.00954722728855,E,63.94780048083377,49.8261434112754,-82.19058800376311,E,-18.741904423373608,49.07741523041324,C,-4.550556512596405,-60.464140835674996,0
Mental,Buddhist,China,-94.60224033040629,E,-83.36166484363787,-5.200488179877997,-47.22847127705032,A,-117.25598629099277,B,33.80216526833654,-106.30294213932203,-71.95751382681843,D,-183.8874670641192,-127.52465584713939,D,42.955854166733054,-113.36400964596042,1
Physical,Jewish,US,-62.20771479674849,D,12.040745793000385,-52.50678285817874,-148.34122341248462,C,-85.97717902769311,E,-72.52696142944224,105.81608319972263,146.960006453948,E,25.681472125162557,-65.31398931135647,A,102.84951890987848,-60.69753649414805,0
None,Christian,Mexico,51.41325995727064,C,-36.995499862743216,93.22922080706124,180.1058873234286,A,4.13890912272394,D,27.333587877428695,31.72791802649966,-0.7597569376228025,D,-80.3864527657428,-79.78086615878178,B,-23.012626133212553,-2.9911862161841967,0
Both,Jewish,Other,-60.61584087226113,E,240.28352499186494,-63.08831794933144,-30.895764191946373,B,26.746035482053305,A,-225.57939975328446,-102.60673645449943,77.8749115385184,C,56.57023478521898,-141.64329668410218,D,85.8776495554802,-42.10634027722607,0
No,Other,China,216.3542514474281,E,47.320188448216555,135.24858908093572,-41.51094898326113,A,-1.3898650826400545,C,-91.57569421768743,81.38625983675539,83.19021899479118,A,81.10618842634358,328.6323184598569,D,-21.94848331416491,-25.783807654593367,0
No,Jewish,China,-196.4592037614359,E,48.30502364294228,-23.327263553955614,91.66893010383917,C,100.85835858743286,A,49.34298016064678,16.900784100836667,227.64688686492286,E,21.982217760755944,57.735321908314866,C,-42.06070791405217,51.10499645805452,1
None,Other,UK,-27.8564268662425,A,134.13417063100243,101.16824736808954,161.31696160032868,B,38.32463361055798,B,51.86376792944781,-114.31120540971973,-27.855425741115937,E,-81.89174211722955,66.8171357780754,C,125.00544053326226,-137.11461346720694,0
Yes,None,US,-8.62946178381359,D,-229.37708527722413,-19.837089371755784,19.67406307227523,A,-33.830375217618844,E,52.87711762319083,5.820572903515443,123.55056691100211,A,-194.38041139981414,-38.64634209468375,A,-33.182690870656636,-76.32741368134208,0
Mental,Christian,Other,-14.232320679670604,D,107.49912990970087,-200.1089638133055,129.4045091486926,A,-39.1653903175684,E,52.46907609028265,-13.771276069793311,140.95198066430123,B,-0.4872728656327257,154.01289580833094,C,-30.601823390841076,-183.42021419906754,0
Yes,Buddhist,Mexico,-40.52219508040885,D,-15.114907507130518,-168.4623507165255,100.76036161946669,C,-13.096731789317598,E,-91.55646353391089,-66.56750311556614,115.43307096293249,B,-66.18836495922686,-7.124467762994302,B,-0.940787389487875,-162.30776725583058,0
