ethnic_group,Gender,birth_year,orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Other,F,50,Heterosexual,106.97038323194701,-67.11821569027211,-21.996553398764515,-17.05547920107525,A,148.64465752390012,0
Asian,Male,18,Homosexual,1.9061905259446212,37.33121456463663,-133.07087716971523,30.795813013615536,B,-176.16631410873939,0
African American,Other,37,Other,90.63638694524315,-10.364557025523109,-49.45146081756777,-71.42889039216567,D,84.52289808924928,1
White,F,27,Bisexual,30.768097833572757,-36.184294644694695,-31.150930629194466,68.44116397038128,C,-3.0100782069806233,1
African American,Female,58,Heterosexual,-56.9901950773134,217.62808518731669,-66.20743462893563,15.192649305629496,B,5.928025806304336,1
African American,F,23,Homosexual,-34.849546958492745,-81.14514853219504,-50.167763672581856,-49.865622957243374,D,-94.42978467786965,1
Other,Female,41,Other,62.31483333995952,-151.32783053780008,-69.78884005557069,47.73760701215716,A,-247.07993346915038,1
Black,Male,62,Heterosexual,-20.012509195606885,-100.6042903181154,-108.99098404007364,48.38829849333025,D,86.32380788308352,1
Other,M,77,Homosexual,-8.15858761464916,-71.62058611266346,-0.04062200090089757,73.96153083224092,C,-77.12239556717826,0
Other,Female,37,Bisexual,45.937548761376384,-52.162481653916856,142.7791454417676,-146.59043977839372,B,44.58495758741921,1
Other,Non-binary,41,Other,-94.95688273761475,23.88901899748117,-93.59513113587687,-105.43162325945119,C,28.136530970111423,1
Hispanic,F,44,Heterosexual,29.881806246323183,116.1405744982499,-7.591851469722563,-22.47084386047156,C,61.83551917454322,1
Asian,Non-binary,23,Bisexual,-172.6605488991608,-101.4693468180513,23.74754036371086,-125.58701724740598,D,187.55004491092194,0
African American,Male,41,Other,42.24866519688316,-36.21158347107999,-42.417835719443694,-131.13757556664982,A,43.38389218140359,0
Asian,Non-binary,77,Other,-63.03366986583606,39.87383557852008,122.06762111595502,59.99878480078533,A,4.428332221075428,0
Asian,Female,55,Homosexual,-178.72619310744466,-13.364564816047597,315.41889888848743,-9.82211236274046,C,75.950991479972,0
African American,Non-binary,40,Homosexual,1.4626769550796912,11.105466082640921,33.336532917023106,-160.96133187679723,B,87.52649776016348,0
Hispanic,Male,58,Other,-103.00237874353675,11.36061827469296,-157.2016363632504,202.54362872368353,D,102.79956484153693,1
Hispanic,F,23,Heterosexual,-37.4064559349801,-78.37970861116781,-13.77857548967417,195.8204344485889,B,-41.57184073120173,0
Black,Other,30,Homosexual,118.8275222803685,-219.06509863108857,-42.479324137589906,121.2636526431548,A,-187.5207931267844,0
Other,Female,68,Homosexual,177.12094986511858,61.736940084845735,-194.7348102526314,-128.45812021367828,E,-26.271055091516253,1
Hispanic,M,49,Other,-135.92684830881123,39.79710681941073,-70.01406221057319,149.83074050379398,A,13.050256678076947,1
Black,Male,44,Other,-91.98760954352288,130.67797755603402,-5.13578267236781,4.884212592471876,A,-12.339307912589327,1
Other,F,66,Other,162.27259740881837,50.2637484857447,176.13310637399445,-17.229157511471392,D,-58.18830745560609,0
African American,M,21,Bisexual,41.5078710590429,-119.53451580226087,49.90158232517984,-17.95158725835507,D,172.14589170652786,0
Asian,M,24,Other,-38.09585349607553,67.87177592964792,-48.58106048283469,-5.718248414573321,E,-10.137672371983038,0
African American,F,23,Bisexual,172.84779223317472,157.29221037599845,-86.22812768840579,-98.70995253721159,A,79.12051545242558,1
Hispanic,Other,49,Bisexual,-96.12163908615248,96.09782740539936,-145.07317099766982,0.3797805481789905,E,47.357903563572314,1
Black,Non-binary,36,Bisexual,115.46786411610096,4.065534118270208,29.685819477058317,-96.61021821790683,A,-129.14674817563463,0
Hispanic,Non-binary,58,Heterosexual,-51.6622627475981,-98.44403369957334,-10.145524704259792,-1.2489562468114543,E,-28.610916658370268,1
Asian,F,58,Heterosexual,-170.0267754757444,205.09177706574664,24.71947404044406,-48.427953862203395,D,117.97497279571215,0
Asian,M,39,Other,19.558354556686417,-70.96791105973209,-153.9271467903273,-76.63512242379613,E,-264.0424848185953,1
Black,M,52,Bisexual,-8.72349178048171,-157.30172700212967,11.599975951612981,191.48703080918102,A,-91.24165150524504,1
Asian,F,19,Heterosexual,115.46878094186917,-169.77221868144176,-27.777589108923234,-81.87744320603373,B,32.940049648813805,1
African American,M,22,Homosexual,138.4843792004234,-60.653907141192306,211.20503338632432,9.54123432060903,C,-6.020355418944585,0
Asian,Other,19,Other,-179.95094198197282,-30.84540688957785,243.27409455358858,-89.0386557324945,D,-109.59877779570203,0
Asian,Male,75,Other,154.2773882593889,-182.94348827407288,79.15360569042912,1.928833708203198,D,184.9563557750601,1
White,F,43,Other,204.17951773994923,-41.87243595690454,72.34811379133774,152.4422107544475,B,5.733455881216389,1
Asian,Non-binary,45,Bisexual,81.6041881626677,81.72507207267763,152.47560732508953,-76.69074946566884,B,-53.648610455030656,0
Hispanic,Female,73,Heterosexual,-108.65651157735523,91.90907040939646,6.542626914351992,-25.456124280655768,C,-63.85707650426815,1
Hispanic,M,28,Heterosexual,-38.317136600477276,58.924904796509516,-48.960452967660544,-42.56634536072113,E,119.896923572457,0
Hispanic,Male,54,Heterosexual,113.1345300627205,89.7537818667168,-17.635502327851736,64.04155799408798,B,63.61879716167931,0
Other,Female,36,Bisexual,8.670031373831359,-22.267903818078,9.931978638554634,-87.49124154611638,C,25.812090367384755,1
Other,Other,65,Other,11.459979476432766,118.79422463485545,-5.9458160717600075,-33.17204370707798,E,44.940136265247205,0
Black,Male,56,Other,-97.3909134649587,134.9634452319637,10.624295404703107,-6.484432128836412,A,64.54927340974541,1
Hispanic,F,40,Heterosexual,-133.39010894476874,-16.98705640485967,-75.82444693466068,152.19027289829558,C,-135.34978739958626,1
African American,Female,32,Heterosexual,81.0766049846958,96.58128642689404,-152.3934857359149,-21.020210535584447,A,65.51370355436055,0
