nationality,age,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Mexico,77,-191.4612144980461,-88.36512941742232,D,-13.747881631273936,1.5127397197972414,E,A,0
Other,22,-134.08413019636717,-6.8858090825161655,E,-66.14223899175137,-179.87373330364392,A,B,1
Germany,19,9.664968972190302,68.34830721688229,A,-147.3189840983727,-164.56524151748613,E,E,1
UK,33,107.02311974443643,262.75886393050905,A,6.286789263650312,-67.88687234549772,C,A,0
Brazil,26,134.72386730047026,-11.802133054406717,A,-4.18725420560698,-5.7542790583098,E,E,1
Mexico,47,-118.35511731321321,25.325581868841024,B,-41.52903350790616,16.12059250884545,D,D,0
US,39,57.74702525510117,-3.2892012483921222,C,92.77285146873997,85.83729546407636,D,C,0
India,25,69.52371626892064,-84.5519716472751,D,-179.83354759677482,-193.4036898720284,D,C,0
Other,42,94.00619915727397,36.17568590190859,C,15.547307812133987,163.49706012123374,B,C,1
Brazil,31,-48.68840911337717,-126.03746804105465,D,-127.07660884532727,46.34975045880207,A,E,0
Brazil,25,-29.46417728950651,41.678642983009965,C,-81.32399117279856,-35.16868363365781,B,C,1
Mexico,31,-8.750864019230699,-72.95731718372049,D,113.3396398476363,43.095669930781206,E,E,0
Brazil,78,12.673624665793717,-122.63367881805094,B,197.83479347590455,40.29350938406756,A,B,1
US,54,-243.72914324601186,55.493507347081916,B,-51.547428617587265,82.331398865828,D,C,1
UK,57,65.55460035358146,125.34450368117712,C,41.807184456574745,-30.05456010344349,C,C,0
Other,71,-108.94962043102313,-151.7707950216993,E,-55.969474995589806,-196.6639368438954,D,E,0
Mexico,65,60.17701660845284,-176.41207708748743,E,147.64948123920206,41.30457553688581,D,E,0
India,69,-16.012665185057962,-90.06951864164962,A,162.03870556705,-13.776332198340773,B,E,1
Other,33,-33.75391081938556,113.6790429665376,A,26.29065066037547,14.115924408713438,B,E,1
Brazil,68,-8.78003110813698,-194.63879315384509,E,-63.07050723903181,-124.98141790120528,E,D,1
Brazil,39,-23.3672305041713,-16.354588336220345,D,15.359317526182295,-35.22827091792612,C,E,0
Germany,21,-23.804745039757254,-1.8189501990976007,B,70.14263565319071,-23.703909404088947,A,D,1
Other,45,72.91152397814429,-110.88707252306884,A,66.22085096262855,47.47078657125279,A,A,1
US,55,55.61807881627624,-97.75179421866387,D,1.6449548659116409,-3.529190553734355,E,E,0
Other,56,-65.22630452728625,8.604358860745556,C,-24.363183071135218,82.45438809733403,E,B,0
Germany,75,-8.179267519378076,2.752175896925663,B,-47.286352526487704,-36.52059426755348,B,B,0
Mexico,32,-107.51904846590345,115.14891567507226,E,-5.592940285793812,-75.3533143808577,E,E,0
Mexico,22,103.9774654964183,-118.44965857839884,E,53.73813938276599,-10.996490255985963,E,E,0
US,56,-130.08996847813975,-171.5324699149552,E,2.3950979368776264,-59.38492977544436,B,E,0
China,24,-10.920047838713726,123.95145146807833,A,22.40551231993373,19.00580691267884,A,B,0
Other,63,202.74342969637235,-59.32581083074054,B,33.24793230337419,30.98372605689669,D,B,1
India,32,95.4270577969897,58.28703305451953,A,46.706154006955266,-103.35520802357416,C,A,0
Germany,55,-87.04199351450072,-42.56368052246916,E,-113.68494333463235,-0.09882596817894311,D,D,0
Brazil,30,-51.60169016752351,85.44387962020413,B,-106.36262129246448,-33.54101574757911,C,D,0
Brazil,57,-86.05274301345725,-159.0471003608651,A,-35.98755684243998,-123.9368954939715,E,C,1
China,66,-75.77665768086739,94.13796514735782,E,102.31463926017874,118.00530004888152,B,B,1
China,49,-64.80214274832441,-137.65360365234986,B,34.233469170238436,97.24838997576644,D,E,1
Mexico,79,6.943996488010126,-46.64982742023745,E,-28.24135177515296,83.26132843504958,C,D,1
India,57,-58.80864645939363,58.39251606478221,C,13.77715166897161,33.5781678300688,A,D,1
Other,54,-135.1184648071986,-71.61751935366361,A,143.290052106462,186.74884784740132,E,D,0
India,40,35.22019653035262,103.1895097588207,E,86.2491815817198,-34.813090066502276,E,A,1
Other,46,-9.262298938014156,46.55396496258825,E,41.64326154953909,6.673416888585192,E,E,1
Mexico,47,-122.25058597906953,-370.0717928520834,A,-157.76577654812056,-24.969813168107123,B,D,0
India,44,63.57342391919196,-102.1187084429676,C,9.160232537693167,62.13842182737878,B,A,1
Other,60,-164.42405600145614,-122.2281323693799,C,94.93687539311873,37.4425762261197,D,C,0
US,50,-38.24132555655535,77.96292769433596,B,-159.55029559973667,11.739856561728224,C,A,0
Mexico,29,71.78592084388316,97.18439263213867,B,-148.79816372918015,257.3630970128614,E,B,0
US,35,6.656902588017736,-77.23915601056875,D,60.024130167909576,-70.56307693255323,E,C,0
China,34,172.92838995759274,-78.23289256886835,C,40.96811431380031,-53.470660029141506,D,E,0
Germany,75,-95.72573995579953,52.797949131723286,D,-2.434657239567426,96.64808295240871,C,B,0
Germany,28,17.01089813174924,27.770486051478038,C,36.313888221401605,-36.594266115738215,B,B,0
Mexico,57,80.36455074300989,-212.50533389703645,A,-131.99996334616358,122.46302380123714,E,C,0
Mexico,39,142.59608709247405,8.847095824914579,E,-174.99725653549544,16.594284289306078,D,A,0
Mexico,69,-27.059964286456527,111.39534660099415,E,-29.568149980642804,0.3337582884742799,B,D,0
China,79,11.03060647427354,-7.21141361039175,C,189.90355790848207,38.052240320644806,B,A,0
India,44,6.401065830763733,-58.67866728924206,C,117.83865158680031,-109.25082828710254,E,E,1
Brazil,47,-63.99360877316367,25.769780019000738,C,-23.939253664043196,-65.95505719697789,B,E,0
Brazil,75,-105.76206348174182,31.69941935809065,D,-95.77627458407036,97.69410828053964,A,A,1
India,59,17.072658727183107,21.051902442586023,D,-4.292031990094427,-103.62850416359662,A,A,0
Germany,47,68.89655873650855,127.3865669695343,B,28.343502111907103,-116.25734024653312,A,A,0
India,33,-332.0781675818094,4.136783699848958,B,-38.2676447986063,201.49283483065736,D,E,0
Germany,56,-46.31167890138349,23.992844828543735,C,30.11008545798467,155.2601078735846,A,A,0
Mexico,60,54.38625343080563,-51.48922937229845,A,-178.15233224128525,132.65354427671485,A,E,0
India,35,92.12176995215022,-64.58746036096828,C,2.3930080211724816,42.9800646859499,E,B,1
India,28,214.2799333075838,-27.044127037535738,B,17.472493890798905,-99.14169429126531,C,E,1
Germany,31,23.44791816141575,35.48964058512377,E,67.47464776230238,251.34153378803254,A,E,0
China,70,17.284448505158206,-27.42508972463089,B,-207.2341674461469,49.61302958837567,B,B,0
China,27,46.65843757098826,14.806886094069382,B,145.95112663060925,-176.76182300984826,C,B,1
China,37,37.93893162489003,-25.293667624534326,A,-83.39788517678703,147.21160172653256,C,A,0
Germany,66,27.379284035984874,49.312902002937584,E,200.14453708273882,106.2722792772285,D,A,0
US,77,45.04807350730118,192.38073736208875,B,-47.48453931924405,-71.73028246887316,D,B,1
Brazil,71,106.35485908840639,18.604753104045194,B,-93.5918857325455,-112.33507889913325,E,D,0
Other,66,26.43162757480677,-39.87819539400188,E,134.41807002892506,15.334851798334496,A,D,1
China,49,-7.750143094290118,-114.5006093819746,C,27.343050071935593,32.66793353967207,E,D,1
Mexico,34,20.65630367047943,97.03308242461682,E,95.35303408196305,59.149295241525735,E,A,1
Brazil,20,-140.99707453905714,34.45393666994353,E,-52.56644698546582,45.687270146136925,C,A,1
China,32,5.854660656073926,36.08532585683334,D,-161.0404831128371,-47.3111836616422,B,D,1
Mexico,36,-250.3130698652998,-52.358461899908335,A,25.46064971234158,-19.238864263569756,A,D,0
Brazil,59,-40.45615580001755,-163.16261294423873,E,53.30528277292168,-69.14423760250085,C,C,0
Other,51,-67.45609688112512,3.5211874521289146,E,-59.608158524993456,14.507463397869127,B,D,1
UK,71,20.9688649831484,112.14119727938919,E,-110.26977491151095,-122.09502175351497,A,C,1
Other,71,29.653019329524238,57.15217993270101,D,-223.08293758592117,-61.11933358271079,D,C,0
Germany,49,-109.24709501197864,-7.336216665205714,E,66.02223120385146,16.790832242517975,A,D,0
India,50,-160.22697599323178,86.42692403148952,E,168.46792443316696,-25.27944944892565,D,A,0
China,60,-53.331332258734406,32.100785306084944,E,-27.256071391765463,-80.87701467377671,C,C,1
China,76,-28.28783759632604,-2.406722253620833,A,-72.97987209013668,22.537271903113925,B,A,1
US,55,-108.0706262541876,9.941791005897402,E,170.10551778600512,69.42396132513831,B,C,0
Other,19,-37.534204821273235,132.47988756032143,B,-30.597842420241854,-71.82703424665294,B,B,0
Germany,56,147.53293999301417,158.62505047415604,E,-46.825115124622734,79.177042005505,B,D,0
Germany,57,-45.58597056648554,-0.30277657538636893,C,190.13404780603514,95.9105896412897,E,B,0
Mexico,55,-5.212414322802918,74.82288775987274,D,189.7297624051484,-33.186991884844026,B,A,1
Brazil,27,-109.76665335779434,75.11565668193487,D,31.654509693693246,162.1607609743602,C,D,0
China,56,-20.520961431161545,-43.860193369300944,A,92.05771410238818,64.1006384823257,C,A,0
Germany,59,93.40405189702864,58.10195211115048,A,55.8761301534654,22.032036655408287,B,A,1
Other,40,126.7964951015835,71.07010629175511,B,-19.125128159773848,88.02098394487001,E,C,1
US,78,34.56033773824901,-205.25629705591763,A,102.96399567562744,-166.56743059941527,A,C,1
India,67,43.580700387765745,134.91730035091612,B,44.86205193182283,32.74453310162257,E,A,1
US,22,-1.0049747974115675,31.731243965401234,E,-55.08640941919195,46.179844762658064,C,D,0
India,72,-192.09133701282286,43.91466439768183,B,-59.362204691541265,-50.87100411541432,E,E,0
Brazil,69,4.753543954075709,-168.98777984826214,A,-80.50677347934815,-17.67011401517829,B,B,0
Other,19,-147.32660672018181,53.34422020291636,E,-83.18820224188718,-91.83851597625899,D,C,1
Brazil,29,-0.5328758690111137,31.846234430784875,E,-54.62537360873316,40.45537777587219,E,B,0
Germany,59,-13.592721455549947,-1.3384366646924055,D,-14.802014207782094,0.332595967961292,A,D,1
China,72,-31.357788872719734,-4.958723390492577,C,145.83126924163773,130.74506037868832,E,E,0
UK,24,-41.35105678822728,86.46816042078869,B,106.57795337004106,-105.29834492122518,B,B,0
Brazil,33,-33.531212656761284,156.4541348599281,A,86.09518779596333,-32.368038175360816,A,C,0
Germany,49,-7.11511245928483,-15.435652625328858,C,-11.381323854669816,-106.46722730767777,C,C,1
Germany,75,-67.98846793866707,31.53627055890542,C,18.265963921787158,-40.450412576265485,C,A,0
UK,35,-8.890971067975347,-148.1011546506408,A,-284.53636777535127,-68.09023771921373,E,A,0
UK,68,24.75544569856381,0.9740560678295053,C,96.41197381144613,-31.70960683847906,A,E,0
Germany,31,-81.60512265401859,-147.1538254205804,E,-81.48549160188279,91.70491949024618,A,B,0
Brazil,78,103.47859480548698,41.98468835087687,A,41.32691432161571,-23.788535307283507,B,A,1
UK,24,188.93578659013093,84.80236613132935,A,-68.60347519546471,88.51941563355051,D,A,0
Brazil,47,9.711878695727279,-53.33484068908021,E,179.60579166086032,-88.38079551013632,A,B,1
US,48,167.79511754567918,-47.451608763798646,C,-104.95002480567098,-39.69095319431328,A,B,1
China,24,-66.04132877116433,82.763253860638,C,-214.9206244651376,-4.919330746126257,A,E,1
US,65,24.123504301889938,-138.7357300970247,A,106.15065617092081,118.33155800942576,D,D,1
India,61,-29.452234972095965,14.57035048518899,E,-78.30321409094785,56.615928884246536,C,D,0
US,34,-25.952044428543104,-132.13976326876815,C,70.42125705368406,-82.65917251603338,D,B,1
Germany,30,41.8695818424558,-28.827693137298045,C,6.386779410909475,76.69407447853136,C,A,1
India,63,75.62838976337757,-30.789286871830623,A,86.51998891331625,68.17150548112436,E,C,0
Brazil,37,-6.875121230148482,150.97240595163723,B,-91.33850619619204,-180.14542911925568,D,C,1
Brazil,65,79.10065800260749,105.78812002283635,B,-101.50346693194017,-47.80698428460062,A,B,0
China,20,-80.69259043244895,132.66211321914255,C,-32.78061207674783,43.53642528524221,C,D,1
US,45,115.29425001452265,-103.88502630536624,A,-91.90992103421046,161.65422365908566,A,C,0
Germany,74,43.28913160114047,0.11732376946596515,A,-99.84549126968399,146.01790133320463,C,A,0
US,23,100.81261966486903,-42.857844990950205,E,71.19662648747467,-80.41167578190489,D,E,1
UK,55,-90.74654890321573,34.75494685971599,C,212.97644231050361,77.16662133331465,E,B,0
China,30,-16.07700758243312,182.42702306652333,A,-70.45237943642508,-144.88381755254426,D,E,0
UK,30,51.3830876393894,39.57458481095966,C,43.40613110990536,-243.92540163731988,D,C,1
China,70,99.3843269150469,34.514303322175884,A,-37.54321547552354,108.12314980103088,C,B,1
China,33,1.3614429571154463,35.9653928042517,B,-10.942677844204319,-117.64072453133305,E,D,0
Mexico,21,89.80637397440837,97.56073809581724,B,88.61794292943004,77.22971372227174,E,C,0
UK,49,18.81905315883995,-71.52750544602607,B,30.61152725899109,130.3140411791171,B,E,1
Other,22,-332.71044933434473,-221.14925406454938,A,-1.4601554633390832,11.826366618756671,B,B,1
US,53,61.15040507822867,-60.813647561441734,E,-94.84930810239729,1.128795168653859,E,D,0
India,54,10.450766759371136,-78.17555900057471,E,-189.16088965825597,-90.3180967834059,E,B,1
Germany,23,-26.75661656228341,30.72300839080016,C,30.676800838543862,-93.00927478506725,A,A,0
Mexico,72,7.731717869614056,90.07620150637662,D,54.711914584434,4.912481812219835,A,B,0
China,74,-4.031355207683815,250.39295358643326,B,24.673363381082787,134.39484531572992,B,B,1
Other,74,-81.37477345733953,184.3205918403506,C,-84.46600667294992,-103.55207225919452,B,B,1
Brazil,60,-32.87418312137419,-76.53479593075663,A,14.880191133659723,-88.16932290105875,A,D,1
Mexico,44,156.12868358846143,-188.64317673352687,B,-75.801224344955,166.55365717364654,D,C,1
India,21,57.96213929128468,66.81887034107545,D,164.2489474476011,73.99956565149762,A,D,0
US,18,-97.01182326288988,113.76353015153033,E,-98.83820826642811,80.85261764210759,E,B,0
Brazil,75,99.686074850089,-17.797798998533306,B,-44.953836531776496,135.5981801790488,B,A,0
India,32,-30.30406096919922,185.78432136185458,A,60.0564649340544,88.49442753875365,E,B,1
US,60,-46.53422547492624,66.45436231070444,D,-44.392749885775764,-56.54849394837821,C,A,0
Germany,22,63.226578538253776,-170.69808440376173,B,-5.7446226508335565,224.1765604649251,D,B,1
Germany,25,-63.00537712467025,-40.53702863618328,E,109.2076287907989,-24.3516277252786,D,E,1
India,36,-19.813264116649584,5.671686402644436,B,-21.38829802403081,133.65086001053618,B,D,1
Mexico,28,-1.7950383417908704,-2.7162335456467765,C,-166.5372391804472,-157.96853406984403,A,C,1
China,59,-8.386881109340964,-44.78052255232253,B,25.653513760665003,-128.38543694018549,B,E,1
US,44,38.578656894786135,155.40055371608858,E,13.761548690567269,-148.20285243385888,C,B,0
China,77,15.162558972598077,-51.96122517272526,C,-102.88853718649362,-71.88254695135376,B,B,1
Brazil,29,-91.24785007135203,-42.719086626414416,D,37.45877088060012,-83.36595780474488,A,B,1
China,31,89.44551788926513,316.4517431461311,E,-85.88405057853771,-179.74068160978257,A,A,1
China,30,-93.3990981819432,0.818698787148198,D,170.65769343154153,85.96920669408016,D,D,0
China,74,17.366199151719517,131.87311192443957,D,12.221141030132127,87.2967205844598,E,C,1
Other,45,223.6750995419974,82.57211357907799,A,-55.625443939863096,86.79172721480943,B,D,1
India,27,-36.06170054927311,104.21909272919649,B,194.42156359198364,-58.22840512511396,A,E,1
Germany,18,41.48239437599458,-15.085020742005973,A,100.58937221026973,80.82419989645403,D,E,1
China,64,-23.378211187539204,-41.28205404205978,D,115.92567173944981,49.18172506256019,D,E,1
India,37,24.535320201858653,-4.650695480950225,C,93.24974152823332,-56.012421817948464,E,D,1
Mexico,22,26.541781777720374,205.64729994508184,E,4.268129847186474,19.035139871573936,A,D,0
Brazil,38,-135.08342381913013,-42.757596736729205,C,134.77118166871242,-84.67959419174251,A,C,1
Mexico,39,-94.02091704652726,84.56639791721943,C,-196.945199859291,-248.127396333867,B,B,1
Brazil,47,56.56314045782155,-84.81503612918937,C,20.549076974411555,24.863508526999034,E,E,1
Brazil,33,35.960613982312196,-30.396312747910226,A,168.10902203459997,67.5614617203787,C,B,0
