sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,target
Heterosexual,E,A,E,-41.55138713500641,-176.55699683674965,0
Homosexual,C,D,C,-55.83079516995423,-50.75930613546172,1
Other,C,C,C,110.53118436313187,5.087368607292858,1
Homosexual,A,A,B,-5.606118697449795,89.66582962469879,0
Homosexual,D,A,D,-97.43118614143313,66.67789678588878,0
Heterosexual,D,E,B,-94.69270094110442,-153.34656432331803,0
Bisexual,B,D,A,65.55868702562478,-23.246972623251416,1
Homosexual,B,C,E,61.89544039372951,87.84732948694463,0
Other,E,A,B,84.09566394878615,6.875170484079134,0
Bisexual,E,D,A,120.39048995768357,12.26364513485401,1
Bisexual,B,D,B,-244.40520923264359,-74.79380262573521,1
Other,C,D,B,9.497496375906005,76.45049484980036,1
Bisexual,A,A,D,-43.589989513426794,51.41117721225667,1
Homosexual,E,E,E,-99.742467450083,85.35775477717277,1
Heterosexual,B,E,B,83.64659954659666,142.80293094659044,0
Bisexual,B,C,B,113.15140737530626,-63.31879110363423,1
Heterosexual,C,C,C,-34.975317781754775,-121.46974152029995,0
Bisexual,A,E,B,174.5358365406717,33.3429274706722,0
Homosexual,E,B,C,-43.77974818076382,70.28408585603675,0
Bisexual,B,E,E,-101.68700373268224,42.58316632402026,0
Homosexual,C,A,E,153.78223459048493,-40.0893373098725,0
Homosexual,A,A,D,-108.2566335986958,31.941363543711788,0
Bisexual,E,A,B,-7.598438968975303,112.21016744957602,0
Heterosexual,C,A,E,-56.681388933291096,129.95973269217114,0
Other,C,A,C,-88.82162120507674,8.988641990131402,0
Bisexual,A,B,C,-65.18851207298188,66.85915875937073,0
Bisexual,B,B,A,-69.59265655707678,145.1034578927568,1
Homosexual,B,D,B,70.86345879458031,-243.11781443624062,1
Bisexual,D,B,E,100.74759409692182,-166.08554121894835,1
Homosexual,E,E,C,-38.66870876638694,-90.4270858621617,0
Other,D,C,D,-180.4101649319968,123.13539198941822,1
Bisexual,A,E,E,29.25017566608002,-198.44654816379742,1
Bisexual,D,C,B,50.34908449045301,3.154513499347942,1
Bisexual,E,A,B,2.954948379933814,-120.46649087393897,1
Homosexual,D,C,C,18.346257361307433,20.806088623317926,1
Bisexual,B,B,B,-72.39000217766393,-74.37927170766278,0
Heterosexual,A,D,E,-156.7766827879273,39.755311302765875,1
Homosexual,D,D,C,-36.618885487577735,42.99321702441388,0
Bisexual,C,A,D,120.37604655254516,-63.02496744788635,1
Heterosexual,C,D,A,29.691360716719622,-57.568904605574836,0
Heterosexual,C,B,A,109.70268954837255,-91.46770666495443,0
Bisexual,E,D,E,28.587639969598953,66.87969106483823,1
Other,E,D,C,7.657334634010414,-71.19939251430787,1
Other,D,C,E,-74.43448647065205,0.48985201657294763,1
Other,E,C,C,-82.47078260019873,-123.78853755237698,1
Heterosexual,B,D,E,48.10331458998908,35.557104702539604,0
Other,E,A,B,153.59420470276805,14.239177352850128,1
Bisexual,A,D,E,12.173253156990686,-81.67395455827314,1
Other,C,A,E,60.36861961584014,-62.564593956456605,1
Heterosexual,D,D,D,-15.04353709651818,-35.29176572285001,1
Other,B,D,E,122.16227328412536,-111.95872300199116,1
Bisexual,B,B,D,21.02244397214065,-50.004555865535984,1
Homosexual,B,B,A,-83.90550486744536,-32.64042779574265,0
Other,C,E,B,-28.01677425176323,11.587443018358892,0
Other,A,D,A,-82.37697634797019,-70.74050709277614,1
Heterosexual,D,D,C,140.31488687294615,-18.315721841111753,1
Other,D,B,C,-158.64427009624623,118.8790977640047,0
Bisexual,B,A,A,11.561170983820032,14.18844104056558,1
Other,C,D,C,39.374211223576516,164.96569125871673,0
Heterosexual,C,D,E,-89.94210749590543,-276.3280544397527,0
Bisexual,E,D,E,147.86675770529808,-96.86517999203255,0
Homosexual,D,B,B,-40.02073122619934,-149.8004540473795,0
Other,A,C,E,-42.92556543146403,222.31652827850365,1
Homosexual,B,A,B,-112.59795881594117,-34.596345434855195,1
Heterosexual,D,D,A,161.2403634327504,-33.2145308304769,1
Bisexual,C,C,E,17.553581498938808,-137.10994615461897,0
Heterosexual,D,A,A,-156.2189988016085,-20.605600501672843,0
Bisexual,A,A,C,41.76501202861986,75.24918461424949,0
Heterosexual,C,A,C,49.838821284097115,7.927935065961349,0
Other,B,D,C,28.76646750272604,-57.66530614337761,1
Other,C,E,D,-12.418080422504612,158.63948621249097,1
Bisexual,A,D,A,66.6247663220399,-67.31505856680609,1
Other,A,A,E,-83.14426140892638,-67.40925135242787,1
Bisexual,A,B,C,-65.6188688361883,-16.207957302705605,1
Bisexual,C,A,A,-1.5707402146060523,-129.92809800336101,1
Homosexual,B,B,D,-82.78029997666472,31.152700399514487,1
Heterosexual,C,A,D,62.46690463006258,-73.68421325476994,1
Homosexual,C,E,A,221.5780995657477,53.9387151470178,0
Bisexual,C,E,C,-10.470665489756557,35.14778022827676,1
Other,D,A,D,46.61070853994259,40.59756988013299,1
Other,B,B,C,-153.42360016683273,-16.967269669883358,1
Other,D,D,D,3.7726263871629895,17.76328255181924,1
Bisexual,A,E,C,103.48487309571598,-50.62345023614153,1
Homosexual,A,B,B,95.80698552469687,36.25628192766589,0
Homosexual,C,D,D,53.28378658928372,112.48324264594514,1
Other,D,E,B,121.61857345963614,23.555248131559647,0
Homosexual,B,A,A,370.2158573119867,35.3676085413294,1
Heterosexual,B,A,D,74.94740439409208,-13.030308107208391,1
Bisexual,B,A,B,-116.59038312463122,-86.42369680996505,0
Homosexual,E,D,B,-173.0473420011938,-66.0079919835567,0
Bisexual,D,B,E,-64.01302497257588,28.03963196092724,0
Other,B,B,D,-78.87320117554839,284.3120534826656,1
Heterosexual,E,C,C,-223.72258093544977,127.32764651544424,1
Heterosexual,D,D,D,190.42736751734398,96.43478985912412,0
Bisexual,B,C,B,158.14247213445108,-4.492055800847312,1
Homosexual,B,B,D,-41.053922815934826,-110.845173203571,1
Bisexual,C,E,A,-78.0791330519238,-132.86738466434272,0
Bisexual,A,C,B,-120.18461535478862,74.38291343445857,1
Heterosexual,C,B,B,86.79248025091644,171.19920941210228,0
