orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Bisexual,C,D,-98.68704705647387,B,-6.210871167629551,B,D,A,E,-41.60277298949385,-103.78428124373184,0
Homosexual,C,C,-207.25462280949424,C,161.89546646095343,D,E,A,C,-203.11579192755156,-68.92722283572121,0
Other,E,D,82.07045757902193,A,100.5487897524648,C,D,E,A,-106.3332827244092,33.17522791184904,0
Other,D,A,232.31071794730553,D,-220.3063633349348,A,B,E,A,54.576034458360176,44.49798279376234,1
Other,A,B,-51.48755203888141,B,-150.32727923052542,E,C,D,D,43.84014353368447,188.3512449367776,0
Heterosexual,D,E,-228.91202250642442,D,-16.640475552446635,E,D,D,D,-115.22753279237496,47.17960520609593,0
Other,D,A,-15.746592250758743,C,65.37946487969268,E,B,E,B,121.09815341552932,68.68494611814562,0
Bisexual,A,C,114.92248121046586,B,-37.03036327643608,E,B,D,D,173.85404687403414,140.00346427308438,0
Homosexual,A,E,-46.10875776365957,A,-51.68659645884032,D,C,A,B,254.89477786073286,112.38001057309796,1
Other,A,D,-62.45965012584691,A,54.24690739109453,E,E,A,E,48.06361546940935,-71.43687042848275,0
Heterosexual,C,B,85.64986139671767,E,-180.55977470142474,D,A,D,E,-28.727516944486343,-2.91637689118979,0
Heterosexual,B,C,-109.08218799843698,A,-3.3811278462114043,B,B,C,C,62.987000105737465,-1.661572255900362,1
Bisexual,A,B,115.48179301880599,B,81.45820421908923,C,E,A,A,-180.03908501902552,-28.23973247165661,0
Bisexual,D,B,22.627669340259253,B,171.2084997858432,D,A,A,B,4.174887900822193,-35.40191960144728,0
Bisexual,B,C,98.99096907274473,C,108.05217466490798,A,C,B,C,-121.54736084411064,-160.3977920792787,1
Other,E,A,-108.96428024618774,C,-25.966105612922792,B,B,E,B,-15.972302977412403,-30.61785868709824,0
Bisexual,A,E,-10.08181118577692,D,-83.73831562560557,A,B,E,E,-13.610330851779642,0.7004376785068837,1
Bisexual,E,C,-63.83536105391512,A,90.7018798270269,E,C,C,E,-16.570545165271913,21.327429698815497,1
Heterosexual,B,A,44.86307130451444,D,-21.250232361682496,C,D,B,E,35.235806505961385,5.609953555540889,1
Other,E,C,-86.59016957997974,C,-18.51323294221057,D,E,B,B,-57.78526855660802,-81.80061072617198,1
Bisexual,E,A,67.02544201297765,E,40.844447770582015,D,B,B,C,26.75472969823317,85.4111337001197,0
Homosexual,E,D,62.50024128735324,D,90.2581313489171,D,D,E,E,-156.03528680682504,53.1011348599155,1
Bisexual,B,D,102.99784210077118,B,143.15774738937657,A,A,C,E,-109.15923128398998,-198.4890369753874,1
Homosexual,C,E,39.98479058698306,D,-4.259619137177021,A,C,D,D,212.44591992174438,-26.461408407507385,1
Other,A,D,92.41253672542545,D,27.47156345363788,C,B,D,D,-75.58663254649382,156.2096713459375,1
Other,C,C,45.22529030198841,E,125.93688023306217,E,B,C,D,-1.123965207349042,-0.46355293490428606,1
Homosexual,B,E,-40.690058315104,A,64.67923080173169,E,B,A,C,50.06191801415773,-147.84985243654228,0
Bisexual,B,D,-72.00653465848096,E,-62.332716434946356,C,D,B,B,-12.726273070297633,-77.91464008273704,1
Bisexual,D,E,-58.89593518196153,C,127.2944663883283,B,C,D,E,233.11493117799026,-46.17192208318454,1
Bisexual,A,C,-80.13141546136163,A,2.862609444552919,A,A,C,B,70.51810195403775,-7.130779515184712,1
Bisexual,B,B,131.83410369196122,E,143.34474347514688,A,A,C,A,-244.81461225254938,-34.59713706751313,0
Heterosexual,B,E,250.88966094612624,D,-70.36288325414046,C,E,B,A,-99.83391538874213,89.21575667062142,1
Homosexual,E,B,-100.16483083418632,B,78.64002523071707,A,B,D,D,57.62109429825271,82.72818248284085,0
Other,E,C,-23.484450826150294,B,-31.047211446405417,B,C,D,D,-194.48959943411268,68.29672405926955,0
Other,C,D,201.3968127794374,B,-8.543868502874282,C,B,E,A,-142.561469696114,-13.781343880184899,0
Homosexual,B,E,41.53564951434275,A,85.63436205538291,A,C,D,D,32.685654574878235,-100.6167715848395,0
Other,B,E,-25.437397107810455,E,79.47552900286287,E,D,D,A,6.454294017681342,148.23979891355728,1
Other,C,D,-3.41732913715561,D,-110.00410208387885,D,D,C,E,-101.29969925743474,198.55464281642367,0
Other,B,E,133.33115201047627,D,64.57062245231133,A,E,B,E,-24.070653742840012,86.12641692390088,0
