faith,RACE,sexual_orientation,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Jewish,Black,Bisexual,Widowed,156.42992602222387,196.1722486736586,A,-31.06982589062947,B,B,158.5419051940527,A,D,32.668137943927015,106.75333086812711,-216.30461477221564,0
Other,Hispanic,Heterosexual,Widowed,10.718581808203192,71.20652701223275,D,86.82515532248696,E,E,-140.46733540211284,C,A,-140.18019489663806,54.54819111967246,101.5637611897879,1
Other,African American,Heterosexual,Single,8.89023339576482,46.438581522784915,B,-226.4107686650536,B,A,-7.925060462371193,B,A,160.7998990180538,37.52251489191333,-37.46671102291133,1
Jewish,African American,Bisexual,Divorced,52.86291711810834,3.9338324709449495,D,-127.89401597008798,B,E,49.502261182367654,D,E,-95.31347464353281,-81.52005944726982,-86.36686527484909,0
Christian,Other,Bisexual,Divorced,75.7824441709709,16.04525663599948,B,199.46507441832634,E,A,44.272904483330905,D,B,67.73137918327222,-45.53913415981815,121.2647591177612,0
Other,White,Homosexual,Divorced,172.23429024138326,16.251129464086528,A,240.85691700465603,E,D,-116.50329141967724,D,A,34.96565051463831,-151.02122867121227,29.20250077594829,1
Jewish,Asian,Homosexual,Single,-70.51952676831175,85.73509360550788,A,35.06035661112514,A,B,-0.7962969893544506,B,A,-126.73360888345728,193.3291629468839,71.32151669980003,0
Muslim,Hispanic,Homosexual,Widowed,-98.32854381818849,-63.31006339231629,A,85.48230703286838,D,C,-6.6402558184655405,C,C,-35.63281524895998,-144.44401140536615,83.10106933767734,0
Christian,Black,Bisexual,Single,-46.61638781194687,-31.12872977734582,C,-43.398286324119475,D,B,-84.28918687677601,C,A,173.84033872401523,132.14089137935656,-49.775885738922376,1
None,Hispanic,Bisexual,Single,13.20075875184912,9.50190027080686,C,-26.350919034435734,B,A,66.1218601385202,D,A,31.82254305115974,-27.154947679437452,13.208507431376049,1
Christian,Other,Homosexual,Divorced,-275.5066697524933,-8.92109831834495,A,-76.19016801648296,B,B,-85.51728567721315,C,A,59.26949130835312,-129.2410686916952,22.031867336452862,0
Christian,White,Heterosexual,Divorced,46.90855085833611,-16.02624490159033,C,16.48532026414212,D,E,224.25888883185758,B,D,57.0007746370322,-120.67080313928422,-34.900522468635856,1
Muslim,Other,Other,Married,35.636859691894315,-135.4240949194984,E,63.12671416609707,C,D,-36.04347522876935,D,A,-95.06801642611296,6.3638748350237,-45.75449888154965,1
None,Other,Heterosexual,Widowed,14.994305165262976,-77.21933272670023,D,24.991533399484222,A,C,168.9690620494429,E,E,65.73159072136112,-58.95042730757862,-89.43997359597017,1
Muslim,Asian,Other,Divorced,25.215808311536193,-105.49884062586321,D,239.83747075090344,C,A,4.598311204456986,D,D,-113.67453998772821,1.2053731083797814,102.27534540258922,0
Christian,Black,Other,Single,-40.64639656718862,24.005513885380118,B,83.05979454261828,A,E,-50.435085173877845,A,B,12.814912570754574,-56.69451250106244,-14.846052562944953,1
Jewish,Asian,Other,Single,9.423094461969164,123.22192848472673,A,150.6546786968775,B,C,-105.04222890438253,C,A,-126.51924159079407,120.17059655822193,30.053996810410936,1
Hindu,Other,Other,Widowed,-51.90006484051638,45.74742622870065,E,-47.48519997517598,E,E,-117.55400846247146,E,D,-115.78025302104216,-65.58712317805023,-146.06513917427304,1
Buddhist,Other,Bisexual,Divorced,-24.158357444220353,-77.17717270101502,A,-74.89151387322401,A,B,45.082739488228555,B,E,57.56676980480629,-144.4483984351857,75.9906191645506,0
Buddhist,Hispanic,Other,Divorced,-21.233920480832676,256.9721496218537,A,-31.582891998323287,D,B,93.09447415269787,D,C,-54.115224742846536,129.477957614131,-31.154941775068806,0
Buddhist,Black,Other,Married,63.65346372908323,81.51778673494267,E,134.16710098232903,C,B,48.817584389774595,C,B,-131.93144294040093,-67.48009792190045,31.423765454258724,0
