nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
UK,-64.0403266277525,E,0.5659221757790867,E,188.23960821623956,-60.46843207647614,A,E,46.396378378478374,0
Other,26.160041396078277,C,-88.3990185196086,E,-25.024488754723972,144.81487678488114,D,C,-25.277957890641602,1
Germany,-28.42362047344171,E,42.57200632620231,B,34.42236923480327,-49.88240620736909,B,E,87.69597087540902,0
Germany,66.67632722345452,C,22.54167586884284,D,85.85503306463248,19.262253312033472,D,D,102.14040611860777,0
Brazil,-29.695407331872687,E,-118.1850467961183,D,-39.872538364407426,2.0956564221706158,E,D,15.409471532991986,0
Brazil,68.26765495147751,C,-27.555660474062677,D,-142.64085621041298,86.85805683492443,C,A,-153.2782112775843,0
Mexico,-62.81243934200672,D,122.82499133741793,D,4.566619060950352,-116.28177453049058,E,D,133.02344687854026,1
India,-63.05769868339415,C,54.113118267628714,C,82.74738685267576,7.549302442724853,B,D,141.2953020966579,0
UK,-213.89362792714505,D,-23.198091909561676,D,-64.37657797586603,-0.04377225117037581,B,A,-77.56585753632619,0
China,37.64057257165412,D,151.23980574918093,E,-49.37782816871882,-75.7435593394307,A,E,-69.38139254483396,1
UK,-122.96621121086504,D,235.93376737081218,D,45.43021472939376,10.392826231520656,D,B,16.9207206872278,0
Brazil,24.63980469953323,D,113.89395680103493,A,-24.634234234753226,116.7603492071855,C,D,-20.678967661412965,0
Other,-72.93422952931304,A,111.78067905223355,A,2.9148001715723506,-87.72936234310924,E,C,33.167020921610565,1
India,158.8869943041823,C,-138.31287998652274,E,67.35412198642396,-15.33732596644414,B,E,-14.426307442842653,0
China,-164.66866447014002,A,5.732365430710138,E,-30.5936063216678,173.0426285302813,B,E,-186.0405736256736,1
Other,121.97972853412634,B,94.6168891387565,E,-41.87372925983155,70.87174208038851,A,D,-16.712443264870167,1
India,64.69138832639216,B,186.55723418975214,D,-42.30166334800647,-20.33142717941526,C,E,277.0347429276754,1
Mexico,158.1110816505967,E,76.49145992286708,A,104.35148111526813,143.43647364663806,E,E,114.23756068139816,1
Brazil,56.18956579124301,D,-23.72174018658723,C,-55.910190939023316,-1.6196535556699272,E,D,-24.345471227487042,0
