birth_year,handicap,military,nation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
46,Yes,No,Mexico,119.01839881965095,C,B,-75.50879210550737,41.71329962517796,81.89954046314405,68.58933335381299,B,-19.28895070848578,A,A,A,0
37,Mental,Non-Veteran,US,-28.57827681079999,B,D,-35.14632868183733,1.3257788079017032,39.0298808574965,98.19910478701829,D,-57.95429797035102,D,A,C,0
78,None,Yes,Mexico,19.757771311440514,D,D,-26.751849313797333,-107.71781883606135,-122.83098558430399,-2.4830440593101453,E,105.33448253671031,D,C,E,0
28,Both,Veteran,China,92.74245508019857,E,D,168.8533064728952,-117.45287989944093,2.9558102090834373,160.51331996428488,A,-2.7584359085395,E,E,D,1
46,Both,Veteran,India,168.95398611819977,C,B,-104.53044090305144,40.964606467752404,-138.9648023079654,-0.017850659345561792,B,132.57053062505724,C,E,D,1
47,Physical,Non-Veteran,India,-61.902862460973786,C,D,-41.066302517243,-84.67295488716728,-117.93132632338622,-2.8810580279335896,E,-52.181199948119236,B,C,C,1
79,No,Non-Veteran,US,-112.3893232725149,C,D,-17.209474242795498,34.085384754768775,-41.54227768253917,29.572418415731516,D,-131.6974073767546,B,C,A,0
78,Yes,Non-Veteran,Germany,20.38936323040211,E,D,40.57951876158029,82.7798017169392,-68.01671290243955,141.67308430323874,C,102.75450442391814,A,D,E,1
51,None,Non-Veteran,China,77.8046476026304,D,B,-33.98169171997407,-209.80026604065563,-41.967662760799094,-56.761190755229265,D,-136.00632067424326,E,E,D,0
79,Mental,Yes,Germany,162.5769036649308,C,A,55.55975784145849,14.302230435503754,-133.88911048574866,-259.35057982945136,C,-109.63519535847497,C,B,B,0
74,No,Veteran,US,-8.556900244030588,B,D,11.738058183784341,118.59925499908981,142.32160930992177,118.09932294439234,C,-14.792114546695043,A,D,A,0
29,Both,No,UK,42.279038939370714,C,C,132.73129039572785,-211.99124145342023,44.09741155961706,-56.863715855607644,C,164.13816749161796,D,C,E,1
26,Mental,Non-Veteran,China,73.38872106237959,D,A,59.685261161267945,-45.66509362465716,42.394541792190374,86.59723620864867,E,15.228925901229918,C,B,A,1
